iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp,physical_exposure,gdp_inverted,socio_vulnerability,CLVI,sp_score,protection_gap,CLVI_0.6_0.4,CLVI_0.4_0.6,CLVI_0.7_0.3
BOL,"Bolivia, Plurinational State of",41.6886972245285,58.3113027754715,2.98,0.35,28.14,13.47,42.71,38.4,2021.0,4421.16609889999,2.8,2.967,68.581,6.91864729,43.8,13.7,4.0,48.3,31.2,2.28,Lower middle income,Americas,Latin America and the Caribbean,,,,,8.394158763557042,0.2718577893112084,0.9853995693151187,0.43776238456565975,0.3548100869384341,0.384,-0.02918991306156593,0.33821962741298894,0.3714005464638792,0.3216291678875438
BIH,Bosnia and Herzegovina,51.1960284880304,48.8039715119696,2.63,0.34,14.13,11.51,51.26,54.5,2021.0,9358.78768951134,0.2,11.037,77.85,8.9216938,33.03,19.76,7.46,40.67,25.14,1.27,Upper middle income,Europe,Europe and Central Asia,,,,,9.1440710407318,0.24873497463497635,0.9682420631329467,0.32388473188196787,0.28630985325847214,0.545,-0.2586901467415279,0.27879487753377297,0.2938248289831713,0.2712799018090738
BWA,Botswana,49.909767974129,50.090232025871,1.35,0.09,15.74,10.37,49.91,,,7695.75319445165,21.4,24.477,69.163,6.25574684,53.33,10.95,3.95,58.5,41.48,3.79,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.948423922503302,0.24491272371754874,0.9740208625217874,0.6030388300424177,0.4239757768799832,0.413,0.010975776879983246,0.3881631662474963,0.4597883875124701,0.3523505556150094
BRA,Brazil,49.0973157823589,50.9026842176411,13.47,6.37,36.84,12.37,50.63,71.2,2022.0,10310.5488778166,3.8,5.97,75.848,9.73092747,54.0,10.6,3.3000000000000003,58.6,43.0,4.0600000000000005,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.240922813015535,0.35012169397633053,0.9649348334936099,0.5633872762968841,0.4567544851366073,0.7120000000000001,-0.25524551486339275,0.435427926904552,0.47808104336866264,0.4141013686724966
BRN,Brunei Darussalam,56.7054735287072,43.2945264712928,1.3,0.33,8.07,2.24,7.43,,,33153.4738913513,,5.277,75.327,2.2286067,56.4,21.32,8.26,38.08,48.3,4.98,High income,Asia,East Asia and the Pacific,,,,,10.408902783226198,0.04148054105957036,0.8855590409290589,0.5894051754324534,0.31544285824601187,0.413,-0.09755714175398811,0.2606503948087236,0.37023532168330014,0.20585793137143527
BGR,Bulgaria,55.5012320521842,44.4987679478158,2.4,0.3,17.48,8.65,46.46,82.8,2022.0,17596.0173663521,1.0,3.536,75.7073170731707,7.91853094,39.6,17.0,6.0,45.8,31.2,1.84,Upper middle income,Europe,Europe and Central Asia,857.0,,,,9.775427869416982,0.23396495301424358,0.9396189059082012,0.3795270679255879,0.30674601046991573,0.828,-0.5212539895300843,0.2921897989787813,0.3213022219610502,0.2776335874876468
BFA,Burkina Faso,37.6950370363227,62.3049629636773,2.01,0.07,47.61,61.45,65.44,9.7,2021.0,981.992649769081,42.1,3.477,61.092,7.79943228,35.300000000000004,20.0,8.31,44.32,29.6,1.48,Low income,Africa,Sub-Saharan Africa,,,,,6.889583823366251,0.566317927431382,0.9973501893924502,0.4753463309146473,0.5208321291730147,0.09699999999999999,0.4238321291730147,0.529929288824688,0.5117349695213411,0.5390264484763615
BDI,Burundi,35.960261007696,64.039738992304,3.03,0.16,47.46,59.56,66.84,16.1,2022.0,219.424830882698,74.2,0.922,63.651,9.09471226,38.62,17.87,6.86,46.33,31.02,1.74,Low income,Africa,Sub-Saharan Africa,,,,,5.391009717748469,0.5654140744537652,1.0,0.5995736810541552,0.5824938777539602,0.161,0.4214938777539602,0.5790779170939212,0.5859098384139992,0.5756619564338822
KHM,Cambodia,40.5493575362487,59.4506424637513,8.19,2.47,29.66,13.65,49.62,20.8,2022.0,2627.87969756224,,0.263,70.668,4.61706829,30.76,12.6,2.8000000000000003,50.8,25.23,1.16,Lower middle income,Asia,East Asia and the Pacific,1996.0,,,,7.873932601373376,0.31074059396079284,0.9916309748517159,0.3194699756746698,0.3151052848177313,0.20800000000000002,0.1071052848177313,0.3142323466463436,0.315978222989119,0.3133594084749559
CMR,Cameroon,38.738229360373,61.261770639627,11.15,2.08,58.44,61.53,59.29,10.0,2022.0,1830.00833684727,26.7,3.602,63.7,4.5545516,46.64,12.98,4.51,51.72,35.04,2.7,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.512075801479336,0.5892056422343964,0.9944034600559436,0.5427783527148821,0.5659919974746392,0.1,0.46599199747463926,0.5706347264265906,0.5613492685226878,0.5752774553785421
CAN,Canada,68.1819038515583,31.818096148441697,19.17,25.89,10.29,7.84,35.48,95.6,2022.0,54340.3477224733,0.2,6.907,81.6465853658537,11.3095665,30.9,20.4,7.4,38.3,23.3,1.14,High income,Americas,North America,,,,,10.903022281974833,0.2663648206696868,0.8119377817727113,0.2672882943403678,0.2668265575050273,0.956,-0.6891734424949727,0.2667342101379592,0.26691890487209546,0.2666418627708911
CPV,Cape Verde,51.4953266427675,48.5046733572325,1.18,0.07,15.34,10.89,48.22,,,5192.48157325878,14.6,11.939,76.059,5.84791613,39.0,13.72,13.5,25.5,37.14,2.71,Lower middle income,Africa,Sub-Saharan Africa,,,,,8.55496700702154,0.23896405755907826,0.9827193618960489,0.45961995503071157,0.34929200629489493,0.413,-0.06370799370510505,0.3272264165477316,0.37135759604205826,0.3051608268005682
CAF,Central African Republic,27.6920740567652,72.3079259432348,3.36,0.16,75.77,64.55,72.17,,,516.160999996036,71.6,6.251,57.408,10.65553188,56.24,10.32,3.33,60.85,46.22,4.48,Low income,Africa,Sub-Saharan Africa,,,,,6.246418732311045,0.6967562105857243,0.9989688856137301,0.7997782259456365,0.7482672182656804,0.413,0.33526721826568046,0.7379650167296892,0.7585694198016717,0.7276628151936979
TCD,Chad,27.3512480018784,72.6487519981216,2.9,0.12,70.25,70.16,70.33,2.5,2022.0,961.55975562506,39.5,1.057,55.069,4.99707747,43.32,14.57,4.86,48.81,32.44,2.23,Low income,Africa,Sub-Saharan Africa,,,,,6.868556711433702,0.6882669475217587,0.9974211906834893,0.5435956446010464,0.6159312960614025,0.025,0.5909312960614025,0.6303984263534738,0.6014641657693314,0.6448655566455449
CHL,Chile,59.9328626512199,40.0671373487801,14.06,12.86,9.97,9.04,40.3,75.3,2022.0,16709.8893972307,0.5,8.974,81.167,10.53092575,46.49,14.41,5.21,52.870000000000005,37.84,2.63,High income,Americas,Latin America and the Caribbean,,,,,9.723756002610664,0.23588238306059095,0.9426980697990317,0.44952213389556916,0.34270225847808006,0.753,-0.41029774152191995,0.32133828339458226,0.36406623356157786,0.2999743083110844
CHN,China,58.7069609482147,41.2930390517853,27.1,64.59,14.75,11.54,8.63,75.6,2021.0,13303.1481543868,0.0,4.615,77.953,5.94388866,46.7,19.7,7.0600000000000005,39.68,29.41,1.72,Upper middle income,Asia,East Asia and the Pacific,,,,,9.495755989537384,0.34594288118010297,0.9545359927468527,0.41773533017120146,0.3818391056756522,0.756,-0.3741608943243478,0.37465986077654234,0.38901835057476203,0.36748061587743247
COL,Colombia,48.3974739005916,51.6025260994084,37.64,31.54,39.65,50.01,45.75,54.3,2022.0,7919.20886825345,7.7,8.29,77.725,8.14139366,52.0,11.3,3.5,56.7,40.9,3.62,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.977046589447056,0.554873801579597,0.9732443870397485,0.5483826223926886,0.5516282119861429,0.543,0.00862821198614283,0.5522773299048336,0.5509790940674519,0.5529264478235244
COM,Comoros,37.3938538074981,62.6061461925019,2.73,0.33,12.92,14.75,59.83,,,1662.75663312504,31.4,3.819,66.777,6.55212021,45.33,13.55,4.47,50.35,33.660000000000004,2.48,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.416232126406334,0.285393407453901,0.9949846350382568,0.5406102629949292,0.41300183522441514,0.413,1.8352244151587094e-06,0.3874801496703123,0.4385235207785179,0.36195846411620947
COG,Congo,36.0993545745017,63.9006454254983,5.24,0.57,34.66,58.41,55.24,,,2482.2489948456,39.2,19.876,65.772,3.29744148,48.94,12.42,4.19,53.74,37.93,3.0500000000000003,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.81692028097681,0.4778564347198428,0.9921370200470233,0.6057182212571364,0.5417873279884896,0.413,0.12878732798848963,0.5290011493347602,0.5545735066422189,0.5162149706810308
COD,"Congo, the Democratic Republic o",32.663081371401,67.336918628599,9.73,1.37,70.92,69.24,67.21,,,649.383338556725,85.3,4.434,61.895,3.68495083,42.1,15.52,5.54,48.36,31.99,2.06,Low income,Africa,Sub-Saharan Africa,,,,,6.476023202666871,0.6813266274227363,0.9985059576522588,0.6644393909724875,0.6728830091976119,0.413,0.2598830091976119,0.6745717328426368,0.671194285552587,0.6762604564876616
CRI,Costa Rica,53.9191894976903,46.0808105023097,12.48,9.89,22.86,10.88,15.73,,,18587.1532203482,1.3,6.843,80.799,6.8663702,49.3,12.1,3.9,54.3,37.1,3.0700000000000003,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.830225933989032,0.18548501189294112,0.936174855117706,0.4835355186335503,0.33451026526324573,0.413,-0.07848973473675425,0.3047052145891848,0.36431531593730665,0.27490016391512384
CIV,Cote d'Ivoire,41.512101899099,58.487898100901,1.86,0.13,24.41,13.03,59.13,,,2727.8935220697,20.9,2.323,61.944,3.43218303,41.47,15.95,5.71,47.78,31.93,2.0,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.911284986702227,0.3161267112174272,0.9912834415746515,0.4678885779220219,0.39200764456972453,0.413,-0.020992355430275444,0.3768314578992651,0.407183831240184,0.3616552712288056
HRV,Croatia,55.648897350468,44.351102649532,4.77,1.57,8.54,9.6,37.03,81.4,2022.0,24050.4397933135,0.3,5.002,78.4731707317073,7.14699411,29.7,20.9,7.4,37.1,22.0,1.05,High income,Europe,Europe and Central Asia,,,,,10.087908561990972,0.17719933386518064,0.9171907407155686,0.283388154693742,0.2302937442794613,0.8140000000000001,-0.5837062557205388,0.2196748621966052,0.24091262636231747,0.20905598011374904
CUB,Cuba,44.8588795325829,55.1411204674171,7.76,4.57,12.73,10.32,17.47,63.9,2022.0,9605.27914559614,,1.746,78.085,9.38383102,38.0,20.2,7.8,33.4,18.1,0.9,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.17006813730988,0.13479903301875668,0.9673855417077996,0.34633478605889445,0.24056690953882556,0.639,-0.3984330904611745,0.2194133342348118,0.26172048484283933,0.198259758930798
CYP,Cyprus,57.7335532550152,42.2664467449848,3.56,1.02,7.26,7.45,35.48,,,38674.29296875,0.0,4.924,81.648,8.11912918,29.1,22.1,8.9,38.2,23.7,1.07,High income,Asia,Europe and Central Asia,,,,,10.56293039392316,0.15851547849541472,0.8663750095664219,0.26701759825018484,0.2127665383727998,0.413,-0.20023346162720018,0.20191632639732277,0.2236167503482768,0.19106611442184573
CZE,Czech Republic,64.6756828027501,35.3243171972499,1.12,0.1,7.55,6.68,38.61,,,31823.3078290564,0.0,2.825,79.8780487804878,8.50710297,24.0,25.1,10.4,34.5,20.6,0.8200000000000001,High income,Europe,Europe and Central Asia,1464.0,,,,10.367954250890415,0.1648767471446076,0.8901811716489455,0.23334322803135446,0.19910998758798104,0.413,-0.21389001241201894,0.19226333949930635,0.20595663567665573,0.18541669141063166
DNK,Denmark,70.8942615158465,29.105738484153505,0.99,0.18,3.47,1.6,28.66,100.0,2023.0,71026.4832271897,0.4,5.529,81.8536585365854,9.38812923,27.8,23.2,9.0,36.8,23.2,1.0,High income,Europe,Europe and Central Asia,,,,,11.170808089674908,0.09978169723182387,0.7539559239440141,0.2297464059621225,0.1647640515969732,1.0,-0.8352359484030268,0.1517675807239433,0.17776052247000307,0.13877110985091345
DJI,Djibouti,41.031117317375,58.968882682625,10.68,4.25,23.79,14.42,56.42,,,3552.72335079222,25.4,26.015,65.987,2.28316021,41.59,15.82,5.4,47.59,32.31,2.04,Lower middle income,Africa,Middle East and North Africa,,,,,8.175469729435386,0.32444032908619447,0.9884172796734527,0.4825874535914825,0.40351389133883847,0.413,-0.009486108661161508,0.3876991788883097,0.4193286037893673,0.37188446643778084
DMA,Dominica,53.8365702883702,46.1634297116298,3.01,0.79,7.03,5.27,40.98,,,10405.2787777582,,,71.132,5.00757647,44.4,14.68,5.32,52.33,37.24,2.54,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.250068531141398,0.16999939291823318,0.9646056610744486,0.4456803529991767,0.30783987295870496,0.413,-0.10516012704129502,0.2802717769506106,0.3354079689667993,0.2527036809425162
DOM,Dominican Republic,46.4559595001091,53.5440404998909,12.92,7.05,22.87,11.88,48.86,61.0,2022.0,10875.6618443092,0.8,5.092,73.72,4.59880495,44.4,15.2,5.5,50.6,35.5,2.34,Upper middle income,Americas,Latin America and the Caribbean,3515.0,,,,9.294282713351858,0.2970857233110355,0.9629711493517026,0.4321158901770866,0.36460080674406103,0.61,-0.24539919325593895,0.35109779005745595,0.3781038234306662,0.33759477337085086
ECU,Ecuador,43.6257702403162,56.3742297596838,23.58,14.57,26.41,44.16,47.6,46.8,2021.0,6874.705739766,7.3,3.308,77.392,7.56167889,45.4,14.1,4.9,51.3,35.2,2.5,Upper middle income,Americas,Latin America and the Caribbean,234.0,,,,8.83560412013018,0.4326377978255099,0.9768738812315265,0.4666219516796173,0.44962987475256355,0.46799999999999997,-0.01837012524743642,0.44623145936715286,0.4530282901379743,0.44283304398174206
EGY,Egypt,46.9822891956235,53.0177108043765,17.76,10.74,11.85,46.49,46.04,36.6,2022.0,3338.47371395895,1.4,6.781,71.633,4.88449335,31.3,21.9,9.12,41.49,27.1,1.24,Lower middle income,Africa,Middle East and North Africa,,,,,8.113269009658705,0.3695171530094589,0.9891617655359345,0.3212689820098261,0.3453930675096425,0.36600000000000005,-0.020606932490357555,0.3502178846096058,0.34056825040967925,0.3550427017095691
SLV,El Salvador,46.3016149411131,53.6983850588869,14.49,7.3,37.1,12.16,52.68,18.8,2021.0,5579.65969165029,4.6,3.303,72.099,9.28738594,40.5,15.9,5.6000000000000005,46.6,30.5,1.92,Lower middle income,Americas,Latin America and the Caribbean,172.0,,,,8.626883066356118,0.36136284259409757,0.9813739750862263,0.4088708820049712,0.38511686229953435,0.188,0.19711686229953435,0.38036605835844706,0.38986766624062175,0.37561525441735966
GNQ,Equatorial Guinea,42.3534826793701,57.6465173206299,3.37,0.86,11.06,3.58,58.05,,,6745.40013244916,8.8,8.337,63.707,3.49941635,50.2,9.9,2.4,52.7,,,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.816616089706518,0.24044956654153943,0.9773231991300765,0.4664947716630312,0.3534721691022853,0.413,-0.059527830897714684,0.3308676485901362,0.3760766896144345,0.30826312807798695
ERI,Eritrea,31.0939734975221,68.9060265024779,7.58,2.3,18.65,14.58,57.55,,,688.68165957684,,5.978,68.624,3.6837678,,17.88,6.9,45.85,,,Low income,Africa,Sub-Saharan Africa,,,,,6.534779131699235,0.30387528573643807,0.998369401787562,0.378464533369504,0.341169909552971,0.413,-0.07183009044702898,0.33371098478966443,0.3486288343162776,0.3262520600263578
EST,Estonia,63.9324029117629,36.0675970882371,1.84,0.43,6.7,1.92,37.87,,,31428.3547816104,0.3,8.313,78.490243902439,7.83648062,30.6,20.1,7.5,37.8,21.9,1.09,High income,Europe,Europe and Central Asia,1032.0,,,,10.35546578294303,0.1459981284382837,0.8915535751895707,0.2838154629312656,0.21490679568477464,0.413,-0.19809320431522534,0.20112506223547644,0.22868852913407284,0.18734332878617826
ETH,Ethiopia,38.5234107049333,61.4765892950667,4.85,0.36,64.71,62.02,69.83,7.4,2019.0,1133.88279681719,38.6,3.323,67.315,2.80310345,33.0,19.44,7.35,43.01,28.46,1.46,Low income,Africa,Sub-Saharan Africa,,,,,7.033403125169599,0.6435108248425241,0.9968223935520513,0.4506043627511016,0.5470575937968128,0.07400000000000001,0.47305759379681284,0.5663482400059552,0.5277669475876705,0.5856388862150973
FJI,Fiji,51.1967810419109,48.8032189580891,6.41,2.79,16.53,11.43,16.95,,,6425.74151715712,4.7,5.347,67.316,3.61524153,36.7,18.85,7.52,44.67,29.7,1.58,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.768067314334736,0.1424292324893454,0.9784339656332216,0.37307200323150247,0.2577506178604239,0.413,-0.15524938213957606,0.2346863407862082,0.2808148949346396,0.2116220637119925
FIN,Finland,73.2697151191108,26.7302848808892,1.43,0.49,5.71,0.49,26.53,100.0,2022.0,53149.7671934051,0.2,9.461,81.6853658536585,10.47389507,25.9,24.0,9.8,35.800000000000004,21.9,0.91,High income,Europe,Europe and Central Asia,,,,,10.880869003579976,0.09756095583410426,0.8160748733689371,0.2300463983898528,0.16380367711197852,1.0,-0.8361963228880215,0.15055513285640368,0.1770522213675534,0.1373065886008288
FRA,France,67.2432556076688,32.7567443923312,7.39,2.7,8.46,29.38,33.29,99.4,2021.0,46103.0840855884,0.1,7.542,82.9292682926829,11.53530598,29.3,22.5,8.700000000000001,38.4,24.5,1.09,High income,Europe,Europe and Central Asia,,,,,10.738635126651344,0.22839631932320498,0.8405610570035973,0.2627979517834707,0.24559713555333784,0.9940000000000001,-0.7484028644466623,0.24215697230731126,0.2490372987993644,0.23871680906128467
GAB,Gabon,42.6301851335201,57.3698148664799,4.52,1.5,15.8,3.28,48.8,,,8230.04311451151,3.8,20.154,68.337,3.13430715,38.02,16.9,6.05,44.37,27.73,1.64,Upper middle income,Africa,Sub-Saharan Africa,,,,,9.015546532358671,0.2248568994071904,0.9721642839164261,0.37894442814554885,0.3019006637763696,0.413,-0.11109933622363038,0.2864919109025338,0.31730941665020546,0.2710831580286979
GMB,Gambia,40.2681574508166,59.7318425491834,4.85,0.67,56.53,12.79,59.82,,,871.340291776294,22.0,6.521,65.86,2.89250112,35.92,18.96,7.390000000000001,43.61,28.73,1.52,Low income,Africa,Sub-Saharan Africa,,,,,6.770032591455433,0.4298357204014337,0.9977346900030161,0.4217144789871911,0.4257750996943124,0.413,0.012775099694312397,0.42658722383573666,0.42496297555288814,0.4273993479771609
GEO,Georgia,58.8032588150903,41.1967411849097,3.69,0.73,15.32,9.28,45.41,,,9241.49122313713,4.2,12.097,74.496,6.85758877,37.94,17.330000000000002,6.26,44.51,28.9,1.67,Upper middle income,Asia,Europe and Central Asia,,,,,9.131458539399526,0.22638400308655063,0.9686496510393973,0.37990337764221627,0.30314369036438343,0.413,-0.10985630963561654,0.28779175290881687,0.31849562781995,0.2724398154532503
DEU,Germany,69.0061203618549,30.993879638145103,4.3,1.99,7.02,3.21,35.42,,,56103.7323182554,0.2,3.711,80.5414634146342,12.26655293,31.1,21.2,7.7,38.9,24.7,1.17,High income,Europe,Europe and Central Asia,,,,,10.934957619034956,0.14824675485084224,0.805810280596597,0.2680765401554056,0.20816164750312394,0.413,-0.20483835249687604,0.19617866897266759,0.22014462603358026,0.18419569044221124
GHA,Ghana,44.9930826491296,55.0069173508704,2.99,0.34,28.76,12.17,52.22,25.2,2022.0,2390.77237652715,39.0,2.979,65.498,2.94686937,43.52,14.29,4.67,48.61,32.21,2.25,Lower middle income,Africa,Sub-Saharan Africa,307.0,,,,7.77937176281239,0.30426028705847363,0.9924548877927629,0.5428294111385233,0.4235448490984985,0.252,0.1715448490984985,0.3996879366904935,0.44740176150650346,0.37583102428248855
GRC,Greece,59.8761782543809,40.1238217456191,8.58,8.25,8.82,8.09,9.98,84.6,2023.0,24626.1481858973,0.6,8.54,81.5365853658537,8.39367008,32.3,20.2,7.2,39.5,24.6,1.22,High income,Europe,Europe and Central Asia,,,,,10.11156409179176,0.1018264760107388,0.9151902390319915,0.3055828746419362,0.2037046753263375,0.846,-0.6422953246736625,0.18332903546321774,0.22408031518945723,0.162953395600098
GRD,Grenada,57.1265959454479,42.8734040545521,1.85,0.31,14.34,2.55,36.61,,,11705.0902976658,0.8,,75.205,4.65330839,36.6,18.42,7.26,45.63,29.76,1.62,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.367779094347696,0.1690505575814461,0.9600890079087061,0.35798195174484515,0.26351625466314565,0.413,-0.14948374533685432,0.24462311524680572,0.2824093940794855,0.2257299758304658
GTM,Guatemala,44.1887059124734,55.8112940875266,11.71,4.29,40.45,14.37,56.33,12.1,2022.0,6150.02571438505,9.7,2.604,72.602,6.80241346,45.0,15.21,5.59,51.25,36.76,2.42,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.724211541992643,0.38110196215908265,0.9793920373492842,0.4688865208048318,0.4249942414819572,0.121,0.3039942414819572,0.41621578561738226,0.4337726973465321,0.40743732975280733
GIN,Guinea,38.936304979348,61.063695020652,6.86,1.47,31.77,14.61,70.72,3.7,2021.0,1694.95375862193,11.7,5.163,60.74,3.69442987,33.730000000000004,19.73,7.55,41.5,26.41,1.34,Low income,Africa,Sub-Saharan Africa,,,,,7.435410738393407,0.3931337560408636,0.9948727547797916,0.37103963142639096,0.38208669373362725,0.037000000000000005,0.3450866937336272,0.38429610619507454,0.37987728127218,0.38650551865652183
GNB,Guinea-Bissau,33.1915507742989,66.8084492257011,4.13,0.67,18.97,13.39,65.09,,,1007.74151728028,39.9,2.673,64.085,8.82204819,50.66,12.79,4.49,56.7,42.0,3.28,Low income,Africa,Sub-Saharan Africa,,,,,6.91546698447763,0.3222105591358632,0.9972607158786542,0.6279415539244899,0.4750760565301766,0.413,0.062076056530176615,0.44450295705131393,0.5056491560090393,0.4139298575724512
GUY,Guyana,45.3356633556796,54.6643366443204,8.13,2.63,28.67,11.85,46.79,,,29675.2443873316,13.0,11.962,70.18,2.46673751,35.0,14.22,7.0,42.0,34.11,2.4,Upper middle income,Americas,Latin America and the Caribbean,,,,,10.298068454905849,0.2922527237478649,0.8976453750320419,0.3982612218138435,0.3452569727808542,0.413,-0.06774302721914577,0.3346561229742563,0.355857822587452,0.3240552731676584
HTI,Haiti,35.3433700117027,64.6566299882973,9.67,2.78,35.88,15.43,68.85,6.6,2022.0,2142.62330526788,40.4,14.944,64.936,3.19156528,60.79,7.47,1.98,64.29,48.21,6.45,Low income,Americas,Latin America and the Caribbean,,,,,7.669786200866231,0.4080303624511893,0.9933171691859598,0.808549026404934,0.6082896944280616,0.066,0.5422896944280615,0.5682378280326872,0.6483415608234361,0.5281859616373127
HND,Honduras,40.7484656397968,59.2515343602032,16.79,8.82,39.35,14.55,56.97,30.1,2022.0,3426.43483328923,15.7,4.92,72.884,7.70976162,48.1,12.7,4.2,53.2,36.5,2.87,Lower middle income,Americas,Latin America and the Caribbean,,,,,8.139275592397405,0.39773838705187753,0.9888561136302539,0.5242303671978676,0.4609843771248726,0.30100000000000005,0.15998437712487257,0.44833517911027354,0.4736335751394716,0.4356859810956745
HUN,Hungary,57.0198235705571,42.9801764294429,0.94,0.11,5.33,9.22,10.36,89.0,2022.0,23292.3263882478,0.9,4.521,76.7707317073171,6.36868954,28.7,22.4,8.6,37.4,23.2,1.04,High income,Europe,Europe and Central Asia,1524.0,,,,10.055879245749429,0.06320476956066429,0.9198250728926101,0.27951570899648914,0.17136023927857671,0.89,-0.7186397607214233,0.14972914533499423,0.19299133322215922,0.12809805139141173
ISL,Iceland,68.5619308981895,31.4380691018105,1.81,0.55,6.26,1.71,19.86,,,86040.5309851288,0.1,3.625,82.6073170731707,8.98358727,24.1,25.3,10.4,34.6,21.2,0.84,High income,Europe,Europe and Central Asia,,,,,11.3625737547379,0.07935275596525217,0.7017843242175207,0.18788684129902697,0.13361979863213957,0.413,-0.2793802013678604,0.1227663900987621,0.14447320716551704,0.1119129815653846
IND,India,45.4558519863007,54.5441480136993,41.52,35.99,37.79,55.86,52.04,64.3,2025.0,2694.73780859961,5.3,4.219,72.003,3.33944035,29.0,19.6,8.1,44.7,29.9,1.53,Lower middle income,Asia,South Asia,,,,,7.899056190521106,0.6063474718058688,0.9913986527848259,0.33066658684799255,0.46850702932693067,0.643,-0.17449297067306935,0.4960751178227183,0.44093894083114304,0.5236432063185059
IDN,Indonesia,48.3823456887259,51.6176543112741,43.5,39.89,45.46,50.59,46.38,54.3,2021.0,4925.43048751861,5.4,3.237,71.146,2.70239949,40.69,16.03,6.11,47.08,30.72,1.92,Lower middle income,Asia,East Asia and the Pacific,,,,,8.502166958419497,0.6111247409896519,0.9836473249994295,0.4129068168104637,0.5120157789000578,0.543,-0.030984221099942255,0.5318375713179766,0.49219398648213897,0.5516593637358954
IRN,"Iran, Islamic Republic of",49.5626295715914,50.4373704284086,19.72,12.49,19.92,57.99,26.08,,,5190.16959024821,2.5,8.301,77.654,6.02542305,39.97,16.67,6.13,46.67,30.85,1.85,Upper middle income,Asia,Middle East and North Africa,,,,,8.554521651974477,0.36712452734136325,0.9827273956957374,0.3972665628070834,0.3821955450742233,0.413,-0.03080445492577666,0.3791813415276513,0.3852097486207953,0.37616713798107926
IRQ,Iraq,43.2586975249766,56.7413024750234,9.23,1.72,36.65,66.59,49.85,41.7,2022.0,6073.61032342708,0.5,15.485,72.324,5.53275251,29.54,21.93,8.8,38.51,23.7,1.08,Upper middle income,Asia,Middle East and North Africa,,,,,8.711708488695376,0.4947291380880386,0.9796575695531426,0.2997834899090116,0.3972563139985251,0.41700000000000004,-0.019743686001474914,0.4167508788164278,0.37776174918062244,0.4362454436343305
IRL,Ireland,64.2468917867885,35.753108213211505,3.25,1.45,4.59,3.43,24.76,100.0,2022.0,112894.953240805,0.1,4.632,82.8609756097561,6.85410833,30.6,21.3,8.4,39.1,24.2,1.14,High income,Europe,Europe and Central Asia,,,,,11.634213047994296,0.10006774448294897,0.6084691708759753,0.2143550087351549,0.15721137660905193,1.0,-0.8427886233909481,0.14578265018383135,0.16864010303427251,0.13435392375861074
ISR,Israel,61.7243465627677,38.2756534372323,3.93,0.88,11.13,16.37,29.77,100.0,2022.0,54176.6844383302,0.7,3.489,83.1951219512195,7.09822369,34.4,18.37,6.18,40.23,24.63,1.34,High income,Asia,Middle East and North Africa,,,,,10.900005918460748,0.17793639730169508,0.8125064875266758,0.2971687195675351,0.2375525584346151,1.0,-0.7624474415653849,0.2256293262080311,0.2494757906611991,0.21370609398144708
ITA,Italy,59.7736980909756,40.2263019090244,9.97,8.69,7.96,5.25,35.77,88.8,2022.0,40385.3413957669,0.9,6.391,83.7,8.44437313,33.4,19.3,6.6000000000000005,40.0,25.1,1.3,High income,Europe,Europe and Central Asia,,,,,10.606222161369622,0.18491372097390368,0.8604293688513942,0.3023079902025062,0.24361085558820494,0.888,-0.6443891444117951,0.23187142866534471,0.2553502825110652,0.22013200174248443
JAM,Jamaica,49.2431798635609,50.7568201364391,3.84,1.1,8.89,5.55,48.87,32.6,2022.0,7753.8006955432,1.4,3.286,71.479,7.60493946,37.48,17.62,6.5,44.84,29.32,1.66,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.955938414462723,0.20687838988395985,0.9738191560239198,0.3698913844968124,0.28838488719038613,0.326,-0.03761511280961388,0.27208358772910085,0.3046861866516714,0.25578228826781557
JPN,Japan,65.8050728143673,34.19492718563269,20.86,43.67,11.43,5.09,16.97,94.6,2020.0,32487.0778047567,1.2,2.451,84.0412195121951,10.73979473,33.9,18.92,6.5,40.43,24.99,1.32,High income,Asia,East Asia and the Pacific,,,,,10.388597683244114,0.26391570335270936,0.8878746689628602,0.3137623730210326,0.28883903818687096,0.946,-0.657160961813129,0.28385437122003865,0.2938237051537033,0.27886970425320634
