iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp,physical_exposure,gdp_inverted,socio_vulnerability,CLVI,sp_score,protection_gap,CLVI_0.6_0.4,CLVI_0.4_0.6,CLVI_0.7_0.3
SYR,Syrian Arab Republic,36.8859690122157,63.1140309877843,12.24,2.53,48.72,71.32,59.7,,,1051.67149587463,16.5,13.569,72.12,2.70998812,34.2,21.7,8.899999999999999,40.3,25.7,1.18,Low income,Asia,Middle East and North Africa,,,,,6.95813607825352,0.5891666412352264,0.9971080656875686,0.38237442951037,0.48577053537279824,0.413,0.07277053537279826,0.5064497565452839,0.4650913142003126,0.5271289777177695
TJK,Tajikistan,48.7644779442997,51.2355220557003,2.47,0.23,34.53,11.61,46.6,29.8,2021.0,1341.20229027672,6.1,6.931,71.79,7.43789911,34.0,19.48,7.44,41.72,26.39,1.35,Low income,Asia,Europe and Central Asia,,,,,7.201321722223124,0.30158382367282555,0.9961019889148307,0.35690938611593537,0.32924660489438046,0.298,0.03124660489438047,0.3237140486500695,0.33477916113869144,0.3181814924057585
TZA,"Tanzania, United Republic of",39.8080008808834,60.1919991191166,16.08,5.49,33.66,55.22,56.18,,,1186.71691894531,51.3,1.572,66.995,3.05201221,37.78,18.51,7.37,45.83,30.95,1.67,Low income,Africa,Sub-Saharan Africa,,,,,7.078945881707162,0.4871047628178934,0.9966388027765316,0.5239972430848905,0.5055510029513919,0.413,0.0925510029513919,0.5018617549246922,0.5092402509780917,0.4981725068979925
THA,Thailand,52.7003738303207,47.2996261696793,21.09,14.32,16.01,48.79,38.38,70.1,2020.0,7346.62022142185,0.0,0.781,76.412,4.53787661,36.53,14.18,5.03,51.120000000000005,35.29,2.49,Upper middle income,Asia,East Asia and the Pacific,,,,,8.901995652630733,0.3770224630920736,0.9752340480673443,0.39201438666751753,0.3845184248797956,0.701,-0.31648157512020436,0.3830192325222512,0.38601761723733996,0.38152004016470675
TLS,Timor-Leste,42.3103688053554,57.6896311946446,7.79,2.93,13.36,12.6,52.77,23.6,2023.0,1331.9705130185,43.9,1.592,67.689,9.59779453,28.65,22.86,9.43,38.41,23.99,1.05,Lower middle income,Asia,East Asia and the Pacific,,,,,7.194414713481801,0.26491429913205805,0.996134067978095,0.42470260348907807,0.34480845131056803,0.23600000000000002,0.10880845131056802,0.32882962087486606,0.36078728174627006,0.31285079043916403
TGO,Togo,42.6786387181448,57.3213612818552,1.45,0.07,32.98,13.57,61.05,38.7,2022.0,1119.38160509429,34.4,1.995,62.739,6.10829544,43.06,14.58,5.04,48.59,31.56,2.16,Low income,Africa,Sub-Saharan Africa,,,,,7.020531673495984,0.3537869946900467,0.996872783052759,0.5243191159547818,0.43905305532241423,0.387,0.05205305532241422,0.42199984319594075,0.4561062674488877,0.4049466310694672
TON,Tonga,42.3478084752413,57.6521915247587,3.77,1.33,9.56,11.41,11.13,,,5651.59373063157,0.4,2.008,72.895,7.36037779,37.59,18.21,6.84,45.36,29.74,1.63,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.639692860582446,0.0918820806583075,0.9811240149189917,0.3682987970553613,0.2300904388568344,0.413,-0.1829095611431656,0.202448767217129,0.25773211049653977,0.17480709557742363
TTO,Trinidad and Tobago,48.3561532326569,51.6438467673431,2.98,0.49,12.41,11.31,42.11,57.2,2022.0,18733.4110406494,3.2,3.329,73.49,7.52568626,40.27,15.85,5.51,45.9,29.89,1.89,High income,Americas,Latin America and the Caribbean,,,,,9.83806389528244,0.20981609145144553,0.9356666307813616,0.3908434545562048,0.30032977300382513,0.5720000000000001,-0.27167022699617493,0.28222703669334925,0.3184325093143011,0.26412430038287327
TUN,Tunisia,52.4365326205932,47.5634673794068,9.47,2.88,17.12,44.18,39.97,53.8,2021.0,4181.13789301228,0.7,15.108,76.508,7.98537874,32.82,20.14,7.8,40.9,25.57,1.27,Lower middle income,Africa,Middle East and North Africa,160.0,,,,8.338338711681466,0.3281409262845226,0.9862336318998751,0.3286069055001215,0.32837391589232207,0.538,-0.20962608410767797,0.3283273179707622,0.32842051381388193,0.3282807200492023
TUR,Turkey,55.2981786793522,44.7018213206478,16.17,8.9,12.63,48.58,41.34,,,15892.7157287241,0.5,8.52,77.156,4.27524424,40.8,16.7,6.1000000000000005,47.6,34.4,2.18,Upper middle income,Asia,Europe and Central Asia,,,,,9.673616152965664,0.3545098418134064,0.9455376276736104,0.3995318615745547,0.3770208516939806,0.413,-0.03597914830601939,0.37251864971786575,0.3815230536700954,0.36801644774175085
