iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp
LAO,Lao People's Democratic Republic,42.4996424860974,57.5003575139026,2.79,0.38,10.35,13.61,60.47,,,2123.97909415109,15.7,1.187,68.964,1.32651615,36.39,19.1,7.56,44.6,29.76,1.56,Lower middle income,Asia,East Asia and the Pacific,,,,,7.661046539634995
LVA,Latvia,60.9996635809667,39.0003364190333,2.74,0.79,9.29,2.29,40.13,,,23409.0845154775,0.4,6.568,75.6780487804878,7.27783823,35.6,17.900000000000002,6.2,41.8,26.1,1.46,High income,Europe,Europe and Central Asia,1212.0,,,,10.060879453162286
LBN,Lebanon,44.4622586400712,55.5377413599288,3.86,0.38,21.99,46.97,57.95,20.0,2022.0,3477.72489842684,5.9,10.985,77.817,5.57497263,31.83,20.55,7.86,39.96,24.79,1.21,Upper middle income,Asia,Middle East and North Africa,,,,,8.15413359415124
LSO,Lesotho,41.5196792456659,58.4803207543341,1.38,0.07,23.92,14.02,61.02,,,971.90771824829,41.9,16.315,57.375,12.61182117,54.18,9.63,2.84,58.21,40.88,4.25,Lower middle income,Africa,Sub-Saharan Africa,962.0,,,,6.87926085987957
LBR,Liberia,37.1309826722364,62.8690173277636,2.99,0.54,20.2,3.53,63.23,,,851.497723870206,33.6,2.884,62.163,13.00574875,35.27,18.81,7.21,42.82,27.1,1.44,Low income,Africa,Sub-Saharan Africa,,,,,6.746996827016617
LBY,Libyan Arab Jamahiriya,44.3190114126449,55.6809885873551,13.93,4.94,23.84,53.86,47.13,66.1,2021.0,6569.16408678648,,18.758,69.339,7.80515862,30.2,,,,,,Upper middle income,Africa,Middle East and North Africa,,,,,8.790141871540236
LIE,Liechtenstein,,,0.72,0.09,6.68,1.0,27.77,,,206780.590353385,,,84.8414634146342,5.71460724,,,,,,,,,,,,,,12.23941356011961
LTU,Lithuania,61.9371943452482,38.0628056547518,2.31,0.64,6.98,2.08,39.5,,,29384.0189598663,1.1,6.731,76.9878048780488,7.59519005,36.9,17.5,6.1000000000000005,43.3,27.6,1.58,High income,Europe,Europe and Central Asia,558.0,,,,10.28820623274386
LUX,Luxembourg,67.1894851941246,32.8105148058754,0.64,0.06,5.36,5.76,10.22,,,137781.681659123,0.1,6.343,83.3585365853659,5.89136267,30.9,20.7,7.7,38.7,23.6,1.14,High income,Europe,Europe and Central Asia,,,,,11.83342569446625
MKD,Macedonia,55.0971927374185,44.9028072625815,1.3,0.1,9.54,10.36,48.99,50.5,2022.0,9291.85661671864,3.9,12.256,75.3160975609756,7.42730284,32.4,18.8,6.0,38.3,22.8,1.21,Upper middle income,Europe,Europe and Central Asia,,,,,9.136893662940274
MDG,Madagascar,35.1642132439695,64.8357867560305,23.59,18.38,25.97,15.27,69.94,15.4,2022.0,544.987501003384,69.2,3.041,63.632,3.42822957,42.65,15.75,5.72,49.42,33.49,2.13,Low income,Africa,Sub-Saharan Africa,602.0,,,,6.3007628604615125
MWI,Malawi,36.8830805401972,63.1169194598028,3.17,0.35,25.65,14.03,65.31,19.9,2022.0,522.570393642547,75.4,5.072,67.353,6.53459597,44.69,16.21,6.390000000000001,51.67,38.09,2.35,Low income,Africa,Sub-Saharan Africa,,,,,6.2587596994391435
MYS,Malaysia,56.9345275458025,43.0654724541975,14.04,8.64,15.9,20.01,37.42,29.2,2023.0,11874.4273684245,0.0,3.764,76.657,3.95760036,41.04,15.93,5.82,47.26,31.26,1.96,Upper middle income,Asia,East Asia and the Pacific,,,,,9.382142406133784
MDV,Maldives,45.2104039622165,54.7895960377835,1.19,0.11,6.9,9.96,30.83,,,13379.3513577224,0.0,4.514,81.041,9.24973583,37.0,18.0,7.0,43.0,28.86,1.6,Upper middle income,Asia,South Asia,,,,,9.501467854011015
MLI,Mali,35.2664673890902,64.7335326109098,2.31,0.08,61.03,70.18,68.44,12.6,2022.0,1094.61949265799,36.1,2.831,60.439,3.81316996,33.04,20.05,7.97,41.3,25.68,1.28,Low income,Africa,Sub-Saharan Africa,922.0,,,,6.998162086570615
MLT,Malta,58.6054490701846,41.3945509298154,0.88,0.15,4.67,2.07,13.99,,,43898.5781808597,0.1,2.896,83.5073170731707,8.84301376,28.7,22.1,8.8,37.4,23.0,1.04,High income,Europe,Europe and Central Asia,,,,,10.689637210859036
MHL,Marshall Islands,41.6739701785404,58.3260298214596,2.69,0.5,12.33,5.44,45.2,25.2,2019.0,7726.33668877794,2.1,,66.945,13.40528965,,,,,,,,,,,,,,8.952390120943276
MRT,Mauritania,38.8037795481376,61.1962204518624,9.01,2.91,23.17,15.14,61.82,11.2,2020.0,2110.12036938187,10.2,10.319,68.484,4.34333467,32.62,19.9,7.53,40.19,24.93,1.25,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.654500271943401
MUS,Mauritius,57.6056928559842,42.3943071440158,3.6,0.73,12.43,9.82,45.94,,,11990.7798944837,0.5,5.635,73.4121951219512,5.56544495,38.47,18.18,7.01,46.2,31.61,1.74,Upper middle income,Africa,Sub-Saharan Africa,,,,,9.391893291317684
MEX,Mexico,48.7384836133905,51.2615163866095,38.17,50.08,44.78,12.28,44.76,80.8,2022.0,14185.7812248529,2.3,2.673,75.069,5.50398684,47.5,13.6,4.7,53.2,37.6,2.76,Upper middle income,Americas,Latin America and the Caribbean,3156.0,,,,9.559995419737918
FSM,"Micronesia, Federated States of",37.293342416924,62.706657583076,4.37,1.12,10.0,10.9,45.63,,,4166.00476748564,26.1,,67.198,12.88087559,40.06,16.2,5.53,46.02,29.72,1.83,Lower middle income,Oceania,East Asia and the Pacific,,,,,8.334712766199917
MDA,"Moldova, Republic of",52.3078506614329,47.6921493385671,1.33,0.1,11.78,9.73,48.54,,,7576.19589413326,0.1,1.505,71.198,6.7359705,25.9,24.04,9.98,36.08,21.67,0.9,Lower middle income,Europe,Europe and Central Asia,144.0,,,,8.932766491729783
MCO,Monaco,,,0.24,0.02,2.79,1.0,7.75,,,288001.433369041,,,86.372,3.11959291,,,,,,,,,,,,,,12.570720736081535
MNG,Mongolia,54.8485794048496,45.1514205951504,2.11,0.21,18.2,11.63,44.67,93.5,2021.0,6750.6301157724,0.4,5.233,72.1224390243902,6.07207489,32.35,20.45,8.03,40.57,25.62,1.25,Lower middle income,Asia,East Asia and the Pacific,,,,,8.81739112999449
MNE,Montenegro,55.1439629361699,44.8560370638301,3.13,0.83,8.37,4.39,44.66,,,13263.3281277699,2.5,13.572,77.5878048780488,9.6549921,31.93,20.76,8.46,40.51,25.72,1.24,Upper middle income,Europe,Europe and Central Asia,,,,,9.492758222275022
MAR,Morocco,53.1212226891785,46.8787773108215,9.96,7.63,14.98,12.02,12.17,42.6,2023.0,4153.1943359375,3.7,9.0,75.313,6.06396198,39.55,17.45,6.7,47.0,31.89,1.83,Lower middle income,Africa,Middle East and North Africa,,,,,8.331633036645623
MOZ,Mozambique,38.5185299132892,61.4814700867108,34.61,18.1,65.78,64.15,68.65,6.0,2022.0,656.776824637306,81.4,6.628,63.611,8.50126553,43.9,15.71,5.67,50.35,36.03,2.29,Low income,Africa,Sub-Saharan Africa,,,,,6.487344272249701
MMR,Myanmar,36.8926098644018,63.1073901355982,36.16,22.43,52.14,58.83,64.54,6.3,2019.0,1359.05001560107,10.3,3.047,66.889,4.45748425,38.07,18.67,7.33,45.73,31.71,1.7,Lower middle income,Asia,East Asia and the Pacific,,,,,7.214541216712384
NAM,Namibia,46.2852442535929,53.7147557464071,5.68,1.32,23.57,12.03,51.41,52.1,2022.0,4413.12752211572,22.9,19.291,67.385,9.48251629,56.0,8.1,2.6,65.9,50.2,6.2,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.392338905773798
NRU,Nauru,53.4225171962699,46.5774828037301,1.0,0.11,9.01,2.89,29.47,,,13609.158837552,9.7,,62.109,18.21076012,,16.2,5.2,45.3,30.0,1.85,Upper middle income,Oceania,East Asia and the Pacific,,,,,9.51849828900018
NPL,Nepal,43.6031770748274,56.3968229251726,2.57,0.25,27.73,13.01,50.73,21.0,2022.0,1447.31004458428,2.4,10.465,70.354,6.15843678,32.84,20.44,8.32,41.51,26.41,1.29,Low income,Asia,South Asia,,,,,7.277461970842152
NLD,Netherlands,65.8722724730304,34.12772752696959,4.32,2.2,5.6,3.28,33.07,100.0,2022.0,67520.4218956281,0.1,3.874,81.9146341463415,10.00551128,27.0,23.3,9.1,36.1,22.1,0.95,High income,Europe,Europe and Central Asia,,,,,11.120185377704525
NZL,New Zealand,69.2704861108011,30.7295138891989,14.04,17.99,6.62,6.09,32.7,100.0,2023.0,49205.1792146792,,5.076,83.0048780487805,10.06186676,34.1,19.2,7.32,42.23,26.3,1.37,High income,Oceania,East Asia and the Pacific,,,,,10.80375416553109
NIC,Nicaragua,41.6942889884693,58.3057110115307,21.76,18.71,21.37,14.04,54.02,15.3,2021.0,2847.53966339498,6.6,5.04,74.947,8.29879284,46.16,14.31,5.14,52.06,37.21,2.6,Lower middle income,Americas,Latin America and the Caribbean,,,,,7.9542106244236175
NER,Niger,35.0891052312767,64.9108947687233,2.16,0.07,68.67,67.85,63.1,20.6,2015.0,735.270255787226,60.5,0.394,61.183,4.04895782,34.28,19.59,7.79,42.42,27.02,1.38,Low income,Africa,Sub-Saharan Africa,,,,,6.600238126578222
NGA,Nigeria,38.5734109995968,61.4265890004032,9.17,1.32,57.49,66.17,68.06,14.8,2022.0,1084.16041805436,41.8,3.064,54.462,4.19086456,44.7,12.68,4.41,54.01,32.730000000000004,2.17,Lower middle income,Africa,Sub-Saharan Africa,996.0,,,,6.988561158185594
NOR,Norway,75.4583051443586,24.541694855641396,2.89,1.06,6.55,3.18,23.67,99.3,2023.0,86785.4334489176,0.2,4.637,83.1121951219512,9.42925453,24.8,24.3,9.2,34.300000000000004,20.5,0.84,High income,Europe,Europe and Central Asia,,,,,11.371194069156742
OMN,Oman,54.1987809750079,45.8012190249921,7.53,6.68,14.18,4.81,8.94,,,20285.2272897377,,3.251,80.031,3.49047446,30.7,17.0,6.1000000000000005,45.2,,,High income,Asia,Middle East and North Africa,,,,,9.917648180396
PAK,Pakistan,39.2143381457614,60.7856618542386,26.45,13.11,40.23,60.92,62.06,20.2,2022.0,1478.77277977996,16.5,5.42,67.649,2.51988316,33.45,21.08,8.86,42.79,28.9,1.37,Lower middle income,Asia,South Asia,,,,,7.298967819927933
PLW,Palau,46.6070117228557,53.3929882771443,2.21,0.36,7.3,10.17,33.34,,,15610.8231931032,,,69.269,10.85468197,43.0,10.0,3.0,56.0,38.0,3.8,High income,Oceania,East Asia and the Pacific,14800.0,,,,9.655719747103227
PAN,Panama,48.688522072953,51.311477927047,18.82,15.89,26.4,10.81,38.82,66.1,2022.0,19161.2188501596,3.1,8.36,79.594,8.33022976,49.8,11.2,3.3000000000000003,53.9,37.3,3.33,High income,Americas,Latin America and the Caribbean,,,,,9.860643663810503
PNG,Papua New Guinea,37.0950465041816,62.9049534958184,26.3,18.84,56.19,13.85,63.58,9.1,2022.0,3006.70564478923,52.2,2.571,66.134,2.87081432,41.85,15.06,5.07,47.34,31.0,2.06,Lower middle income,Oceania,East Asia and the Pacific,,,,,8.008600288203386
PRY,Paraguay,49.4282815951706,50.5717184048294,1.68,0.14,12.71,12.56,51.9,36.1,2021.0,6416.09708970845,2.1,4.803,73.844,8.35731316,47.4,13.1,4.3,52.5,36.5,2.79,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.766565281867711
PER,Peru,48.9695246535664,51.0304753464336,25.55,16.65,27.28,46.96,47.1,25.1,2021.0,8452.37167056621,5.1,5.117,77.74,5.63786411,43.9,14.2,4.7,49.1,32.7,2.3000000000000003,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.042202352043386
PHL,Philippines,45.6051740422682,54.3948259577318,46.86,39.99,51.21,58.84,54.98,34.9,2022.0,3984.8315387656,5.3,2.235,69.833,5.10122538,44.35,14.97,5.69,50.88,34.81,2.33,Lower middle income,Asia,East Asia and the Pacific,,,,,8.290250316495268
POL,Poland,61.5406496530338,38.4593503469662,4.22,1.73,5.2,5.21,40.15,84.2,2023.0,25103.565661423,0.2,2.976,78.5073170731707,8.06380177,27.8,22.6,8.6,36.7,22.1,0.98,High income,Europe,Europe and Central Asia,1068.0,,,,10.130765173254584
PRT,Portugal,62.77194932928,37.22805067072,5.32,3.07,8.09,6.93,14.04,100.0,2022.0,29292.242104753,0.4,6.164,82.2804878048781,10.24061108,32.1,20.5,7.7,40.2,25.2,1.23,High income,Europe,Europe and Central Asia,,,,,10.28507798536437
QAT,Qatar,59.5874339653502,40.4125660346498,1.15,0.15,4.44,7.98,19.53,,,76688.6941743178,0.0,0.13,82.368,2.52358818,24.6,24.4,10.0,34.4,,,High income,Asia,Middle East and North Africa,,,,,11.24750957328727
ROU,Romania,51.4451157086373,48.5548842913627,3.33,0.71,9.25,8.68,47.28,79.8,2022.0,20080.2096215595,0.7,5.992,76.6073170731707,5.70901489,35.1,17.6,5.6000000000000005,40.6,24.5,1.39,Upper middle income,Europe,Europe and Central Asia,348.0,,,,9.907490013071868
RUS,Russian Federation,58.384897958142,41.615102041858,28.2,28.35,14.97,39.0,37.81,,,14889.0185546875,0.1,2.133,73.2546341463415,7.04438496,35.800000000000004,18.19,6.6,42.63,26.65,1.47,Upper middle income,Europe,Europe and Central Asia,2208.0,,,,9.608379210455828
RWA,Rwanda,43.2704065084245,56.7295934915755,2.69,0.16,33.52,45.17,61.26,7.7,2023.0,999.65456165547,38.6,11.363,67.785,5.12708998,43.71,15.83,6.0200000000000005,50.82,35.63,2.25,Low income,Africa,Sub-Saharan Africa,,,,,6.907409780960038
KNA,Saint Kitts and Nevis,,,2.33,0.53,7.18,4.83,30.63,,,23960.6534357084,,,72.145,5.73595428,40.0,,,,,,High income,Americas,Latin America and the Caribbean,,,,,10.084168323798599
LCA,Saint Lucia,53.7728189043003,46.2271810956997,2.45,0.46,9.19,5.16,46.48,,,14181.6303351598,0.1,9.452,72.697,4.7298274,51.23,11.08,3.13,55.39,38.62,3.49,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.559702767747874
VCT,Saint Vincent and the Grenadines,53.623026585639,46.376973414361,2.42,0.43,16.01,9.71,16.42,,,11501.2265187188,,18.003,71.23,4.43696308,40.0,,,,,,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.350208962465864
WSM,Samoa,45.8671719222988,54.1328280777012,2.94,0.81,9.74,2.54,48.87,,,5392.87761915762,4.5,4.996,71.698,6.78103304,38.73,17.89,6.84,46.35,31.28,1.75,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.59283440254454
SMR,San Marino,,,0.36,0.03,2.83,1.31,20.47,,,59879.7173015651,,,85.706,6.60829115,27.7,,,,,,High income,Europe,Europe and Central Asia,,,,,11.000093117439674
STP,Sao Tome and Principe,41.3880591482388,58.6119408517612,0.67,0.02,16.85,12.74,51.52,,,3490.56883486557,13.0,9.132,69.718,5.77292156,30.82,21.12,8.38,39.49,24.18,1.14,Lower middle income,Africa,Sub-Saharan Africa,,,,,8.157819991847886
SAU,Saudi Arabia,58.2281367154928,41.7718632845072,8.76,5.25,5.43,19.79,29.16,64.0,2022.0,35121.6628687742,,3.038,78.732,5.68722248,45.9,,,,,,High income,Asia,Middle East and North Africa,,,,,10.466573394827883
SEN,Senegal,40.8897643731681,59.1102356268319,5.49,1.05,30.6,13.0,59.16,19.9,2022.0,1773.21829923448,17.9,2.735,68.683,4.32314825,40.29,16.41,6.0600000000000005,46.93,31.05,1.89,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.480551422710769
SRB,Serbia,51.3693505765074,48.6306494234926,1.75,0.17,14.15,9.57,42.49,,,13679.2065983557,2.0,7.123,76.2209756097561,8.03133774,37.8,16.3,4.5,42.5,26.5,1.63,Upper middle income,Europe,Europe and Central Asia,,,,,9.523632192298418
SYC,Seychelles,51.4748927576649,48.5251072423351,2.76,1.03,4.34,2.5,37.38,,,17858.8226383978,0.7,,74.9585365853659,4.48238087,46.82,15.21,5.43,53.03,39.88,2.62,High income,Africa,Sub-Saharan Africa,,,,,9.790252930555308
SLE,Sierra Leone,34.9621372377926,65.0378627622074,5.32,1.09,18.99,13.61,67.72,4.4,2019.0,806.654650417726,41.5,3.15,61.786,4.71883011,34.03,19.83,7.9,42.42,26.91,1.36,Low income,Africa,Sub-Saharan Africa,,,,,6.692895634195301
SGP,Singapore,70.5715560176398,29.428443982360207,0.63,0.15,2.71,0.83,7.92,,,90674.066632628,,2.818,82.8951219512195,4.49163246,47.3,15.38,4.78,45.17,29.36,1.91,High income,Asia,East Asia and the Pacific,,,,,11.415026670551148
SVK,Slovakia,57.0135384196135,42.9864615803865,0.95,0.1,4.59,4.08,39.25,,,25992.6748502048,0.5,5.359,78.0170731707317,7.35262203,23.2,25.0,9.4,32.8,19.1,0.76,High income,Europe,Europe and Central Asia,1201.0,,,,10.165570040777842
SVN,Slovenia,63.9395760255655,36.0604239744345,1.96,0.31,7.44,7.19,35.63,,,34301.0318686594,0.0,3.175,81.9780487804878,9.87630939,23.4,25.0,9.9,33.4,19.6,0.78,High income,Europe,Europe and Central Asia,3512.0,,,,10.442930716335912
SLB,Solomon Islands,38.4917008530975,61.5082991469025,14.82,9.62,17.82,12.32,54.15,,,1933.55538435227,40.3,1.431,70.528,5.36366177,37.05,18.35,6.98,44.61,29.25,1.59,Lower middle income,Oceania,East Asia and the Pacific,,,,,7.5671157552465
SOM,Somalia,37.5258665499648,62.4741334500352,25.09,8.55,67.49,82.11,72.02,0.0,2023.0,629.538899449007,,18.948,58.816,3.74413586,39.7,12.6,4.1,52.2,35.6,2.83,Low income,Africa,Sub-Saharan Africa,226.0,,,,6.444987645775389
ZAF,South Africa,48.108901390221,51.891098609779,9.14,3.13,29.12,12.83,50.97,63.4,2022.0,6267.186814093,31.2,32.391,66.139,8.90966797,65.5,6.63,1.61,66.01,48.08,7.25,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.743082858954319
ESP,Spain,61.0117091832812,38.9882908167188,9.64,7.77,6.97,7.38,33.35,78.1,2022.0,35326.7683069278,0.8,10.376,83.8829268292683,9.2206583,33.2,19.1,6.6000000000000005,39.7,24.2,1.27,High income,Europe,Europe and Central Asia,,,,,10.472396264528527
LKA,Sri Lanka,45.4788298241834,54.5211701758166,5.92,1.6,18.92,12.1,45.75,41.3,2021.0,4515.56787322732,2.7,4.005,77.483,3.68313766,39.81,17.69,7.0,47.55,32.86,1.86,Upper middle income,Asia,South Asia,,,,,8.415286232743277
SDN,Sudan,31.3320132805069,68.6679867194931,10.27,1.65,60.01,63.64,68.36,10.4,2021.0,984.607666015625,10.1,7.53,66.331,2.85165739,35.4,18.47,6.82,42.38,26.69,1.45,Lower middle income,Africa,Sub-Saharan Africa,,,,,6.892243253212564
SUR,Suriname,46.4406499226126,53.5593500773874,6.72,1.78,26.95,11.29,53.62,,,6961.78955961526,2.2,7.834,73.631,5.40666008,38.1,7.32,1.01,60.23,42.72,5.84,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.848191840912996
SWZ,Swaziland,42.9219750911959,57.0780249088041,1.97,0.14,30.2,13.36,52.44,,,3909.55892378182,44.5,34.202,64.123,7.49763966,51.45,11.54,4.0,56.73,39.98,3.46,Lower middle income,Africa,Sub-Saharan Africa,,,,,8.271179839399274
SWE,Sweden,69.8248248142432,30.1751751857568,2.72,1.05,3.8,5.55,16.65,100.0,2022.0,57117.4877440616,0.8,8.694,83.309756097561,11.21510124,27.0,22.8,8.6,35.5,21.3,0.93,High income,Europe,Europe and Central Asia,,,,,10.952865613974476
CHE,Switzerland,72.0035803135863,27.996419686413702,1.02,0.16,4.31,2.67,23.84,100.0,2021.0,103998.186685604,0.2,4.873,84.0560975609756,11.69096088,30.1,21.9,8.4,38.7,24.4,1.11,High income,Europe,Europe and Central Asia,,,,,11.55212874225616
SYR,Syrian Arab Republic,36.8859690122157,63.1140309877843,12.24,2.53,48.72,71.32,59.7,,,1051.67149587463,16.5,13.569,72.12,2.70998812,34.2,21.7,8.899999999999999,40.3,25.7,1.18,Low income,Asia,Middle East and North Africa,,,,,6.95813607825352
TJK,Tajikistan,48.7644779442997,51.2355220557003,2.47,0.23,34.53,11.61,46.6,29.8,2021.0,1341.20229027672,6.1,6.931,71.79,7.43789911,34.0,19.48,7.44,41.72,26.39,1.35,Low income,Asia,Europe and Central Asia,,,,,7.201321722223124
TZA,"Tanzania, United Republic of",39.8080008808834,60.1919991191166,16.08,5.49,33.66,55.22,56.18,,,1186.71691894531,51.3,1.572,66.995,3.05201221,37.78,18.51,7.37,45.83,30.95,1.67,Low income,Africa,Sub-Saharan Africa,,,,,7.078945881707162
THA,Thailand,52.7003738303207,47.2996261696793,21.09,14.32,16.01,48.79,38.38,70.1,2020.0,7346.62022142185,0.0,0.781,76.412,4.53787661,36.53,14.18,5.03,51.120000000000005,35.29,2.49,Upper middle income,Asia,East Asia and the Pacific,,,,,8.901995652630733
TLS,Timor-Leste,42.3103688053554,57.6896311946446,7.79,2.93,13.36,12.6,52.77,23.6,2023.0,1331.9705130185,43.9,1.592,67.689,9.59779453,28.65,22.86,9.43,38.41,23.99,1.05,Lower middle income,Asia,East Asia and the Pacific,,,,,7.194414713481801
TGO,Togo,42.6786387181448,57.3213612818552,1.45,0.07,32.98,13.57,61.05,38.7,2022.0,1119.38160509429,34.4,1.995,62.739,6.10829544,43.06,14.58,5.04,48.59,31.56,2.16,Low income,Africa,Sub-Saharan Africa,,,,,7.0205316734959835
TON,Tonga,42.3478084752413,57.6521915247587,3.77,1.33,9.56,11.41,11.13,,,5651.59373063157,0.4,2.008,72.895,7.36037779,37.59,18.21,6.84,45.36,29.74,1.63,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.639692860582446
TTO,Trinidad and Tobago,48.3561532326569,51.6438467673431,2.98,0.49,12.41,11.31,42.11,57.2,2022.0,18733.4110406494,3.2,3.329,73.49,7.52568626,40.27,15.85,5.51,45.9,29.89,1.89,High income,Americas,Latin America and the Caribbean,,,,,9.83806389528244
TUN,Tunisia,52.4365326205932,47.5634673794068,9.47,2.88,17.12,44.18,39.97,53.8,2021.0,4181.13789301228,0.7,15.108,76.508,7.98537874,32.82,20.14,7.8,40.9,25.57,1.27,Lower middle income,Africa,Middle East and North Africa,160.0,,,,8.338338711681466
TUR,Turkey,55.2981786793522,44.7018213206478,16.17,8.9,12.63,48.58,41.34,,,15892.7157287241,0.5,8.52,77.156,4.27524424,40.8,16.7,6.1000000000000005,47.6,34.4,2.18,Upper middle income,Asia,Europe and Central Asia,,,,,9.673616152965664
TKM,Turkmenistan,43.391087085209,56.608912914791,1.33,0.17,9.07,3.04,41.72,,,6856.65802730208,35.1,4.267,70.073,5.49789095,26.5,16.29,6.140000000000001,47.47,31.73,1.95,Upper middle income,Asia,Europe and Central Asia,408.0,,,,8.832975433983265
TUV,Tuvalu,52.7207887263845,47.2792112736155,1.42,0.15,7.69,11.02,29.2,4.5,2019.0,6344.7750188689,9.0,,67.105,27.08968544,39.14,17.39,6.59,46.38,30.72,1.77,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.755386921500751
UGA,Uganda,37.3901895666133,62.6098104333867,2.8,0.23,50.05,13.77,57.99,3.1,2022.0,1077.91278452817,59.8,2.746,68.252,4.23600149,42.75,15.98,6.15,49.81,34.21,2.14,Low income,Africa,Sub-Saharan Africa,,,,,6.982781843305585
UKR,Ukraine,52.4469037554889,47.5530962445111,4.02,0.48,18.78,42.11,48.11,73.0,2019.0,5389.47314453125,0.0,9.834,73.422,8.2027483,25.0,24.47,10.07,35.14,21.2,0.87,Lower middle income,Europe,Europe and Central Asia,288.0,,,,8.592202912285297
ARE,United Arab Emirates,60.2123677346681,39.7876322653319,4.97,3.77,4.09,2.23,30.91,,,50273.5060469837,0.0,2.174,82.909,4.97095108,38.3,,,,,,High income,Asia,Middle East and North Africa,,,,,10.825233498574942
GBR,United Kingdom,69.6633498227979,30.336650177202102,5.66,2.58,6.76,7.59,37.4,,,53246.3676145108,0.5,4.746,81.2380975609756,11.133358,34.07,20.1,7.6,40.9,25.9,1.29,High income,Europe,Europe and Central Asia,,,,,10.882684867433
USA,United States,66.7646656881949,33.235334311805104,22.47,39.59,11.16,5.71,32.54,,,84534.0407841548,1.2,4.198,78.3853658536585,16.69414902,46.42,12.62,3.54,50.35,28.54,1.76,High income,Americas,North America,44211.0,,,,11.34490958173981
URY,Uruguay,56.6101917875127,43.3898082124873,4.8,1.54,9.61,8.33,41.86,95.0,2021.0,23906.5133029408,0.2,7.516,78.138,9.01887608,39.4,16.6,6.1000000000000005,45.8,29.6,1.78,High income,Americas,Latin America and the Caribbean,,,,,10.081906223927517
UZB,Uzbekistan,53.453047141133,46.546952858867,1.52,0.18,10.26,10.92,18.86,56.0,2022.0,3161.70010632875,2.7,4.622,72.388,6.74312878,39.7,19.44,7.42,43.39,28.33,1.46,Lower middle income,Asia,Europe and Central Asia,132.0,,,,8.058865170238246
VUT,Vanuatu,40.4779095188887,59.5220904811113,10.9,5.8,13.77,12.06,51.81,57.4,2019.0,3410.77023167097,19.5,5.073,71.477,4.1186676,37.63,17.88,6.74,44.81,29.4,1.64,Lower middle income,Oceania,East Asia and the Pacific,,,,,8.134693419162097
VEN,"Venezuela, Bolivarian Republic o",40.9286455193994,59.0713544806006,23.47,19.52,25.04,14.6,61.45,,,4217.59102643391,9.7,5.307,72.514,3.77611423,37.8,17.3,6.2,44.1,28.3,1.64,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.347019397218371
VNM,Viet Nam,48.0753386042774,51.9246613957226,24.39,26.73,21.55,12.5,40.9,38.3,2022.0,4717.29028732449,1.6,1.523,74.588,4.56109476,42.4,14.65,4.81,48.09,27.12,1.44,Lower middle income,Asia,East Asia and the Pacific,,,,,8.458989822057342
YEM,Yemen,35.3974998088243,64.6025001911757,24.39,9.12,60.26,69.29,66.5,7.0,2022.0,633.887202451545,33.3,17.322,69.295,9.69559193,36.71,18.76,7.29,44.7,29.43,1.57,Low income,Asia,Middle East and North Africa,,,,,6.45187102449435
ZMB,Zambia,42.5396759277341,57.4603240722659,2.94,0.28,34.17,13.91,61.36,30.3,2021.0,1187.10943350064,71.7,5.918,66.349,5.97841072,57.14,8.88,2.88,61.27,44.38,5.0,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.079276583705228
ZWE,Zimbabwe,36.1211205130407,63.8788794869593,2.52,0.2,31.54,14.88,68.08,16.4,2021.0,2497.20332208763,49.2,9.293,62.775,2.92601609,43.15,15.32,5.82,49.66,33.83,2.21,Lower middle income,Africa,Sub-Saharan Africa,1370.0,,,,7.822926713511721
