iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp
BWA,Botswana,49.909767974129,50.090232025871,1.35,0.09,15.74,10.37,49.91,,,7695.75319445165,21.4,24.477,69.163,6.25574684,53.33,10.95,3.95,58.5,41.48,3.79,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.948423922503302
BRA,Brazil,49.0973157823589,50.9026842176411,13.47,6.37,36.84,12.37,50.63,71.2,2022.0,10310.5488778166,3.8,5.97,75.848,9.73092747,54.0,10.6,3.3000000000000003,58.6,43.0,4.0600000000000005,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.240922813015535
BRN,Brunei Darussalam,56.7054735287072,43.2945264712928,1.3,0.33,8.07,2.24,7.43,,,33153.4738913513,,5.277,75.327,2.2286067,56.4,21.32,8.26,38.08,48.3,4.98,High income,Asia,East Asia and the Pacific,,,,,10.408902783226198
BGR,Bulgaria,55.5012320521842,44.4987679478158,2.4,0.3,17.48,8.65,46.46,82.8,2022.0,17596.0173663521,1.0,3.536,75.7073170731707,7.91853094,39.6,17.0,6.0,45.8,31.2,1.84,Upper middle income,Europe,Europe and Central Asia,857.0,,,,9.775427869416982
BFA,Burkina Faso,37.6950370363227,62.3049629636773,2.01,0.07,47.61,61.45,65.44,9.7,2021.0,981.992649769081,42.1,3.477,61.092,7.79943228,35.300000000000004,20.0,8.31,44.32,29.6,1.48,Low income,Africa,Sub-Saharan Africa,,,,,6.889583823366251
BDI,Burundi,35.960261007696,64.039738992304,3.03,0.16,47.46,59.56,66.84,16.1,2022.0,219.424830882698,74.2,0.922,63.651,9.09471226,38.62,17.87,6.86,46.33,31.02,1.74,Low income,Africa,Sub-Saharan Africa,,,,,5.391009717748469
KHM,Cambodia,40.5493575362487,59.4506424637513,8.19,2.47,29.66,13.65,49.62,20.8,2022.0,2627.87969756224,,0.263,70.668,4.61706829,30.76,12.6,2.8000000000000003,50.8,25.23,1.16,Lower middle income,Asia,East Asia and the Pacific,1996.0,,,,7.873932601373376
CMR,Cameroon,38.738229360373,61.261770639627,11.15,2.08,58.44,61.53,59.29,10.0,2022.0,1830.00833684727,26.7,3.602,63.7,4.5545516,46.64,12.98,4.51,51.72,35.04,2.7,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.512075801479336
CAN,Canada,68.1819038515583,31.818096148441697,19.17,25.89,10.29,7.84,35.48,95.6,2022.0,54340.3477224733,0.2,6.907,81.6465853658537,11.3095665,30.9,20.4,7.4,38.3,23.3,1.14,High income,Americas,North America,,,,,10.903022281974833
CPV,Cape Verde,51.4953266427675,48.5046733572325,1.18,0.07,15.34,10.89,48.22,,,5192.48157325878,14.6,11.939,76.059,5.84791613,39.0,13.72,13.5,25.5,37.14,2.71,Lower middle income,Africa,Sub-Saharan Africa,,,,,8.55496700702154
CAF,Central African Republic,27.6920740567652,72.3079259432348,3.36,0.16,75.77,64.55,72.17,,,516.160999996036,71.6,6.251,57.408,10.65553188,56.24,10.32,3.33,60.85,46.22,4.48,Low income,Africa,Sub-Saharan Africa,,,,,6.246418732311045
TCD,Chad,27.3512480018784,72.6487519981216,2.9,0.12,70.25,70.16,70.33,2.5,2022.0,961.55975562506,39.5,1.057,55.069,4.99707747,43.32,14.57,4.86,48.81,32.44,2.23,Low income,Africa,Sub-Saharan Africa,,,,,6.868556711433702
CHL,Chile,59.9328626512199,40.0671373487801,14.06,12.86,9.97,9.04,40.3,75.3,2022.0,16709.8893972307,0.5,8.974,81.167,10.53092575,46.49,14.41,5.21,52.870000000000005,37.84,2.63,High income,Americas,Latin America and the Caribbean,,,,,9.723756002610664
CHN,China,58.7069609482147,41.2930390517853,27.1,64.59,14.75,11.54,8.63,75.6,2021.0,13303.1481543868,0.0,4.615,77.953,5.94388866,46.7,19.7,7.0600000000000005,39.68,29.41,1.72,Upper middle income,Asia,East Asia and the Pacific,,,,,9.495755989537383
COL,Colombia,48.3974739005916,51.6025260994084,37.64,31.54,39.65,50.01,45.75,54.3,2022.0,7919.20886825345,7.7,8.29,77.725,8.14139366,52.0,11.3,3.5,56.7,40.9,3.62,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.977046589447056
COM,Comoros,37.3938538074981,62.6061461925019,2.73,0.33,12.92,14.75,59.83,,,1662.75663312504,31.4,3.819,66.777,6.55212021,45.33,13.55,4.47,50.35,33.660000000000004,2.48,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.416232126406334
COG,Congo,36.0993545745017,63.9006454254983,5.24,0.57,34.66,58.41,55.24,,,2482.2489948456,39.2,19.876,65.772,3.29744148,48.94,12.42,4.19,53.74,37.93,3.0500000000000003,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.81692028097681
COD,"Congo, the Democratic Republic o",32.663081371401,67.336918628599,9.73,1.37,70.92,69.24,67.21,,,649.383338556725,85.3,4.434,61.895,3.68495083,42.1,15.52,5.54,48.36,31.99,2.06,Low income,Africa,Sub-Saharan Africa,,,,,6.476023202666871
CRI,Costa Rica,53.9191894976903,46.0808105023097,12.48,9.89,22.86,10.88,15.73,,,18587.1532203482,1.3,6.843,80.799,6.8663702,49.3,12.1,3.9,54.3,37.1,3.0700000000000003,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.830225933989032
CIV,Cote d'Ivoire,41.512101899099,58.487898100901,1.86,0.13,24.41,13.03,59.13,,,2727.8935220697,20.9,2.323,61.944,3.43218303,41.47,15.95,5.71,47.78,31.93,2.0,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.911284986702227
HRV,Croatia,55.648897350468,44.351102649532,4.77,1.57,8.54,9.6,37.03,81.4,2022.0,24050.4397933135,0.3,5.002,78.4731707317073,7.14699411,29.7,20.9,7.4,37.1,22.0,1.05,High income,Europe,Europe and Central Asia,,,,,10.087908561990972
CUB,Cuba,44.8588795325829,55.1411204674171,7.76,4.57,12.73,10.32,17.47,63.9,2022.0,9605.27914559614,,1.746,78.085,9.38383102,38.0,20.2,7.8,33.4,18.1,0.9,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.17006813730988
CYP,Cyprus,57.7335532550152,42.2664467449848,3.56,1.02,7.26,7.45,35.48,,,38674.29296875,0.0,4.924,81.648,8.11912918,29.1,22.1,8.9,38.2,23.7,1.07,High income,Asia,Europe and Central Asia,,,,,10.562930393923159
CZE,Czech Republic,64.6756828027501,35.3243171972499,1.12,0.1,7.55,6.68,38.61,,,31823.3078290564,0.0,2.825,79.8780487804878,8.50710297,24.0,25.1,10.4,34.5,20.6,0.8200000000000001,High income,Europe,Europe and Central Asia,1464.0,,,,10.367954250890415
DNK,Denmark,70.8942615158465,29.105738484153505,0.99,0.18,3.47,1.6,28.66,100.0,2023.0,71026.4832271897,0.4,5.529,81.8536585365854,9.38812923,27.8,23.2,9.0,36.8,23.2,1.0,High income,Europe,Europe and Central Asia,,,,,11.170808089674908
DJI,Djibouti,41.031117317375,58.968882682625,10.68,4.25,23.79,14.42,56.42,,,3552.72335079222,25.4,26.015,65.987,2.28316021,41.59,15.82,5.4,47.59,32.31,2.04,Lower middle income,Africa,Middle East and North Africa,,,,,8.175469729435386
DMA,Dominica,53.8365702883702,46.1634297116298,3.01,0.79,7.03,5.27,40.98,,,10405.2787777582,,,71.132,5.00757647,44.4,14.68,5.32,52.33,37.24,2.54,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.250068531141398
DOM,Dominican Republic,46.4559595001091,53.5440404998909,12.92,7.05,22.87,11.88,48.86,61.0,2022.0,10875.6618443092,0.8,5.092,73.72,4.59880495,44.4,15.2,5.5,50.6,35.5,2.34,Upper middle income,Americas,Latin America and the Caribbean,3515.0,,,,9.294282713351858
ECU,Ecuador,43.6257702403162,56.3742297596838,23.58,14.57,26.41,44.16,47.6,46.8,2021.0,6874.705739766,7.3,3.308,77.392,7.56167889,45.4,14.1,4.9,51.3,35.2,2.5,Upper middle income,Americas,Latin America and the Caribbean,234.0,,,,8.83560412013018
EGY,Egypt,46.9822891956235,53.0177108043765,17.76,10.74,11.85,46.49,46.04,36.6,2022.0,3338.47371395895,1.4,6.781,71.633,4.88449335,31.3,21.9,9.12,41.49,27.1,1.24,Lower middle income,Africa,Middle East and North Africa,,,,,8.113269009658705
SLV,El Salvador,46.3016149411131,53.6983850588869,14.49,7.3,37.1,12.16,52.68,18.8,2021.0,5579.65969165029,4.6,3.303,72.099,9.28738594,40.5,15.9,5.6000000000000005,46.6,30.5,1.92,Lower middle income,Americas,Latin America and the Caribbean,172.0,,,,8.626883066356118
GNQ,Equatorial Guinea,42.3534826793701,57.6465173206299,3.37,0.86,11.06,3.58,58.05,,,6745.40013244916,8.8,8.337,63.707,3.49941635,50.2,9.9,2.4,52.7,,,Upper middle income,Africa,Sub-Saharan Africa,,,,,8.816616089706518
ERI,Eritrea,31.0939734975221,68.9060265024779,7.58,2.3,18.65,14.58,57.55,,,688.68165957684,,5.978,68.624,3.6837678,,17.88,6.9,45.85,,,Low income,Africa,Sub-Saharan Africa,,,,,6.534779131699235
EST,Estonia,63.9324029117629,36.0675970882371,1.84,0.43,6.7,1.92,37.87,,,31428.3547816104,0.3,8.313,78.490243902439,7.83648062,30.6,20.1,7.5,37.8,21.9,1.09,High income,Europe,Europe and Central Asia,1032.0,,,,10.35546578294303
ETH,Ethiopia,38.5234107049333,61.4765892950667,4.85,0.36,64.71,62.02,69.83,7.4,2019.0,1133.88279681719,38.6,3.323,67.315,2.80310345,33.0,19.44,7.35,43.01,28.46,1.46,Low income,Africa,Sub-Saharan Africa,,,,,7.033403125169599
FJI,Fiji,51.1967810419109,48.8032189580891,6.41,2.79,16.53,11.43,16.95,,,6425.74151715712,4.7,5.347,67.316,3.61524153,36.7,18.85,7.52,44.67,29.7,1.58,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.768067314334736
FIN,Finland,73.2697151191108,26.7302848808892,1.43,0.49,5.71,0.49,26.53,100.0,2022.0,53149.7671934051,0.2,9.461,81.6853658536585,10.47389507,25.9,24.0,9.8,35.800000000000004,21.9,0.91,High income,Europe,Europe and Central Asia,,,,,10.880869003579976
FRA,France,67.2432556076688,32.7567443923312,7.39,2.7,8.46,29.38,33.29,99.4,2021.0,46103.0840855884,0.1,7.542,82.9292682926829,11.53530598,29.3,22.5,8.700000000000001,38.4,24.5,1.09,High income,Europe,Europe and Central Asia,,,,,10.738635126651344
GAB,Gabon,42.6301851335201,57.3698148664799,4.52,1.5,15.8,3.28,48.8,,,8230.04311451151,3.8,20.154,68.337,3.13430715,38.02,16.9,6.05,44.37,27.73,1.64,Upper middle income,Africa,Sub-Saharan Africa,,,,,9.015546532358671
GMB,Gambia,40.2681574508166,59.7318425491834,4.85,0.67,56.53,12.79,59.82,,,871.340291776294,22.0,6.521,65.86,2.89250112,35.92,18.96,7.390000000000001,43.61,28.73,1.52,Low income,Africa,Sub-Saharan Africa,,,,,6.770032591455433
GEO,Georgia,58.8032588150903,41.1967411849097,3.69,0.73,15.32,9.28,45.41,,,9241.49122313713,4.2,12.097,74.496,6.85758877,37.94,17.330000000000002,6.26,44.51,28.9,1.67,Upper middle income,Asia,Europe and Central Asia,,,,,9.131458539399526
DEU,Germany,69.0061203618549,30.993879638145103,4.3,1.99,7.02,3.21,35.42,,,56103.7323182554,0.2,3.711,80.5414634146342,12.26655293,31.1,21.2,7.7,38.9,24.7,1.17,High income,Europe,Europe and Central Asia,,,,,10.934957619034956
GHA,Ghana,44.9930826491296,55.0069173508704,2.99,0.34,28.76,12.17,52.22,25.2,2022.0,2390.77237652715,39.0,2.979,65.498,2.94686937,43.52,14.29,4.67,48.61,32.21,2.25,Lower middle income,Africa,Sub-Saharan Africa,307.0,,,,7.77937176281239
GRC,Greece,59.8761782543809,40.1238217456191,8.58,8.25,8.82,8.09,9.98,84.6,2023.0,24626.1481858973,0.6,8.54,81.5365853658537,8.39367008,32.3,20.2,7.2,39.5,24.6,1.22,High income,Europe,Europe and Central Asia,,,,,10.111564091791761
GRD,Grenada,57.1265959454479,42.8734040545521,1.85,0.31,14.34,2.55,36.61,,,11705.0902976658,0.8,,75.205,4.65330839,36.6,18.42,7.26,45.63,29.76,1.62,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.367779094347695
GTM,Guatemala,44.1887059124734,55.8112940875266,11.71,4.29,40.45,14.37,56.33,12.1,2022.0,6150.02571438505,9.7,2.604,72.602,6.80241346,45.0,15.21,5.59,51.25,36.76,2.42,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.724211541992643
GIN,Guinea,38.936304979348,61.063695020652,6.86,1.47,31.77,14.61,70.72,3.7,2021.0,1694.95375862193,11.7,5.163,60.74,3.69442987,33.730000000000004,19.73,7.55,41.5,26.41,1.34,Low income,Africa,Sub-Saharan Africa,,,,,7.435410738393407
GNB,Guinea-Bissau,33.1915507742989,66.8084492257011,4.13,0.67,18.97,13.39,65.09,,,1007.74151728028,39.9,2.673,64.085,8.82204819,50.66,12.79,4.49,56.7,42.0,3.28,Low income,Africa,Sub-Saharan Africa,,,,,6.91546698447763
GUY,Guyana,45.3356633556796,54.6643366443204,8.13,2.63,28.67,11.85,46.79,,,29675.2443873316,13.0,11.962,70.18,2.46673751,35.0,14.22,7.0,42.0,34.11,2.4,Upper middle income,Americas,Latin America and the Caribbean,,,,,10.298068454905849
HTI,Haiti,35.3433700117027,64.6566299882973,9.67,2.78,35.88,15.43,68.85,6.6,2022.0,2142.62330526788,40.4,14.944,64.936,3.19156528,60.79,7.47,1.98,64.29,48.21,6.45,Low income,Americas,Latin America and the Caribbean,,,,,7.669786200866231
HND,Honduras,40.7484656397968,59.2515343602032,16.79,8.82,39.35,14.55,56.97,30.1,2022.0,3426.43483328923,15.7,4.92,72.884,7.70976162,48.1,12.7,4.2,53.2,36.5,2.87,Lower middle income,Americas,Latin America and the Caribbean,,,,,8.139275592397405
