"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.03,0.25,65,56.56,76.24,63.68,68.55,55.19,56.82,59.46,45.29,77.15,80.61,71.27,66.33,68.36,56.94,56.33,0.01,0.01,46.79,0.01,2.45,0.01,67.21,71.55,73.95,62.1,55.76,35.81,74.82,62.12,38.44,71.8,66.46,58.96,53.3,66.89,67.68,87.95,76.4,85.05,69.65,71.1,73.11,69.71,63.11,69.43,67.3,63.67,170245.87,66.24,0.57312,59.54,56449.58,53.31,0.19003,51.25,1791.2,46.58,0.00603,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,319987.9,41.51,1.07721,50.72,275303.98,42.91,0.92679,52.05,209309.72,44,0.70462,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1801577.6,42.4,6.06487,31.85,24794.25,28.34,0.08347,0.01,0,0.01,0,0.01,0,0.01,0,66.11,64.98,68.32,10.16,74.49,3.9,68.72,10.2,75.09,2186.61,72.82,383.88,75.73,478.03,50.93,68.21,54.54,72.43,57,49.01,28.32,97.7,45.29,36,80.51,0.52,69.54,593.56,58.98,23.4,65.42,107,38.87,51.74,38.01,133.74,72.82,77.35,23.6,4.76,0.43431,64.43,533459,53.95,1.4,57.55,115291,49.37,0.3,74.16,461000,60.33,1.21,25.51,13.39,43.35,20623.11,65.42,30148.85,58.17,1313.64,76.44,2755741.8,59.93,7.418,88.02,21976.2,87.89,0.060232,76.4,-1.40108,76.4,-1.46388,89.84,-2.64941,80.51,-1.71353,63.49,32.67,76.4,44.6,81.55,54.96,61.99,2.71,76.4,512.62,69.97,62.3,63.49,1.05,81.55,23.55,65.42,81.28,57.57,0.86,63.18,0.52,69.12,9.69,62.58,1499.16,74.49,4618.39,71.8,8668.38,64.92,72,61.56,75,76.26,41,69.54,635.06,46.62,2.3
"Albania","ALB",5.49,2.29,13.14,12.07,11.5,16.36,48.04,11.82,35.98,2.52,4.97,0.66,51.54,44.73,45.2,2.27,42.7,2.62,2.05,60.17,23.45,0.01,0.17,25.4,40.34,43.33,51.72,58.9,27.26,0.57,51.38,24.46,33.14,34.24,41.04,28.15,56.62,0.01,43.95,0.01,52.74,50.36,46.45,47.91,40.21,48.05,42.52,43,0.12,37.91,14818.54,65.67,0.53284,32.21,1951.3,40.74,0.07016,0.01,0,0.01,0,29.31,93.93,35.67,0.00338,27.02,2.78,25.95,1e-04,0.01,0,0.01,0,49.39,15758.15,71.08,0.56663,50.73,12628.57,74.87,0.4541,50.86,5719.16,69.96,0.20565,21.16,13555.52,29.42,0.48743,19.75,8911.01,26.19,0.32042,20.46,6615.93,25.21,0.2379,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,213333.46,85.33,7.67104,0.01,0,0.01,0,0.01,0,0.01,0,24.1,14096.07,26.77,0.50687,36.51,78.62,44.58,13.84,45.3,10.1,41.44,14.7,49.77,14043.18,53.74,2001.2,44.09,26.45,78.68,1259.69,37.02,94.76,20.08,99.18,0.01,100,32.71,80.7,44.58,152.83,59.22,921.48,19,4,31.48,136,30.88,47.39,35.57,121.82,35.89,25.44,62.58,20.76,0.24671,25.62,3965,30.94,0.14,48.32,32700,66.34,1.15,0.01,0,0.01,0,0.01,1.18,41.83,19828.39,33.89,541.29,43.1,664.11,42.28,55285.4,45.69,1.934,0.01,0,0.01,0,56.41,-0.52876,49.3,-0.06133,47.2,0.11857,53.74,-0.41118,49.77,164.7,43.35,508.8,40.51,335.18,56.65,6.6,38.3,12.66,42.21,8.8,56.9,3.89,41.31,79.67,47.2,98.7,41.71,4.73,46.73,2.6,39.43,59.78,36.51,13.5,50.23,1555.18,43.35,531.06,0.01,99,0.01,99,18.85,96,48.6,3203.02,37.52,1.4
"Algeria","DZA",9.53,2.62,34.66,17.83,51.21,45.6,46.38,10.95,42.72,2.2,37.76,39.54,61.85,54.91,47.36,45.9,43.63,2.67,0.48,1.7,24.13,0.01,37.95,42.2,41.31,48.22,48.38,48.02,40.33,20.23,50.35,0.35,35.4,56.65,38.87,41.08,26.02,0.01,34.96,44.71,57.92,66.05,53.43,55.54,55.79,50.97,44,48.84,43.14,59.66,114400.22,52.93,0.26715,40.5,7091.26,28.5,0.01656,0.01,0,0.01,0,29.67,97.75,18.93,0.00023,23.14,0.76,0.01,0,0.01,0,0.01,0,24.55,74.71,19.81,0.00017,24.55,57.43,20.15,0.00013,0.01,0,0.01,0,34.86,87851.79,17.57,0.20515,33.89,71385.79,18.31,0.1667,31.65,36612.43,16.43,0.0855,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2250403.72,33.76,5.25515,36.98,43642.54,30.09,0.10191,37.56,83.77,35.54,2e-04,50.73,378539.54,35.11,0.88397,41.18,76.97,41.44,14.46,55.42,8,41.95,14.6,52.8,11702.82,44.33,4661.39,43.1,12.32,53.51,119.46,37.63,94.24,43.22,86.14,24.44,99.5,16.75,99.3,50.7,83.22,50,1093.56,0.01,2.5,12.55,150,35.89,48.8,34.91,119,56.9,48.57,50.7,10.42,0.22435,47.63,100324,35.43,0.23,31.88,3002,21.24,0.01,0.01,0,0.01,0,30.88,22.67,30.46,13620.77,46.97,7479.75,46.02,802.95,42.63,57045,28.67,0.136,46.52,57.8,42.97,0.000142,58.43,-0.62185,57.41,-0.51617,68.72,-1.00358,63.49,-0.81546,49.07,171.9,58.17,154.8,54.22,182.84,56.9,6.36,57.16,88.67,54.46,23.5,54.46,8.82,56.41,49.06,43.1,100.53,38.73,6.55,51.63,1.66,42.59,52.62,45.3,64.3,47.44,1328.69,54.22,1769.31,40.76,91,39.77,91,49.54,77,43.59,4642.3,43.68,2
"Andorra","AND",0.26,0.02,3.45,2.71,1.81,8.39,38.96,0.5,31.67,0.01,23.64,0.01,18.3,32.38,29.36,0.43,46.7,0.14,0.01,0.01,0.01,0.01,0.16,0.01,31.34,45.71,34.9,46.08,0.01,0.01,21.95,28.18,37.53,26.09,32.45,0.01,0.01,0.01,0.01,0.01,20.8,16.1,39.19,34.74,24.94,25.89,33.3,1.35,0.14,16.27,117.78,39.18,0.10667,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8501.97,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.65,34.24,15.47,42.47,10.5,49.19,13.3,35.57,35324.22,34.24,9516.65,51.4,95.89,41.31,-25.11,0.01,100,0.01,100,0.01,100,0.01,100,10.16,471.29,47.44,1139.51,17.92,3.82,44.33,125.25,36.51,49.23,38.58,137.83,32.82,23.8,60.57,17.87,0.14353,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.67,131.58,23.6,11346.8,22.13,135.29,12.55,249.92,0.01,0,0.01,0,0.01,0,0.01,0,30.03,1.23439,14.41,1.90875,10.16,1.61514,25.51,1.57994,35.24,355.58,43.59,501.39,35.24,424.47,34.24,1209.56,27.18,5.36,22.89,2.9,15.96,3606.3,24.27,109.91,44.82,99.85,39.65,5.91,20.45,40.25,45.54,46.06,12.55,3.48,19.49,225.39,0.01,36.61,0.01,99,0.01,99,25.73,94,36.51,7868.64,59.74,4.51
"Angola","AGO",11,2.37,51.06,33.69,57.65,68.54,57.07,57.6,82.53,2.3,69.52,41.32,65.58,70.69,68.38,69.6,67.64,0.12,0.14,26.09,34.68,0.01,50.58,54.65,74.49,62.11,57.03,40.2,62.94,46.74,70.94,52.76,79.59,84.04,84.04,38.44,31.55,0.01,44.48,38.39,69.34,62.03,73.94,68.23,70.03,67.75,69.02,66.11,73.27,15.88,99.35,15.7,3e-04,0.01,0,0.01,0,0.01,0,0.01,0,33.31,141.59,23.57,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,27.11,127.95,21.63,0.00038,26.77,123.02,22.34,0.00037,33.79,121.49,26.63,0.00036,42.21,140839.84,27.49,0.42252,42.21,125934.77,28.13,0.37781,42.91,102880.87,29.42,0.30865,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.36,1146043.59,19.94,3.43818,61.16,360891.98,55.3,1.08269,69.09,72699.19,71.34,0.2181,62.82,1079359.51,47.54,3.23812,74.49,61.31,74.49,9.58,65.59,5.2,58.82,11.8,58.43,6368.01,55.67,1774.59,41.57,3.85,38.87,-42.42,70.91,56.88,55.86,51.39,52.88,45.67,41.31,49.6,66.46,3.74,75.73,465.99,48.7,15.5,57.16,116,80.51,68.56,78.68,446.23,85.59,91.1,20.45,4.3,0.59421,44.02,56037,33.57,0.18,37.7,6734,26.4,0.02,0.01,0,0.01,0,71.32,1273.82,68.72,32330.84,66.81,33230.03,71.32,1982.94,51.08,296933.8,38.74,0.994,38.43,15,38.36,5e-05,68.72,-1.05468,69.97,-1.11714,55.67,-0.3111,69.12,-1.05434,68.72,16.69,79.55,40.8,70.41,78.96,66.11,0.72,64.76,245.06,75.73,77.2,62.28,1.3,77.11,27.14,64.76,82.14,58.72,0.79,80.51,0.16,69.54,9.56,72.3,3208.41,56.41,2264.2,70.86,8547.48,73.61,57,75.85,56,70.45,45,59.49,1375.58,76.91,17.1
"Antigua and Barbuda","ATG",3.87,1.2,12.47,5.63,9.27,37.12,45.51,4.69,50.75,0.01,52.38,0.49,40.12,40.58,38.07,38.07,35.29,2.51,37.89,0.01,0.01,3.16,2.07,59.08,42.59,51.36,42.97,45.64,32.87,0.01,27.24,53.97,44.81,31.28,93.27,0.01,0.01,0.01,24.1,0.01,45.22,35.6,38.01,42.07,41.79,35.49,40.84,42.97,33.73,22.42,739.32,100,0.82016,20.35,178.23,54.54,0.19772,0.01,0,0.01,0,27.89,50.06,62.9,0.05553,26.63,2.4,44.3,0.00266,29.37,2,48.72,0.00222,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.72,3335.32,100,3.7,41.04,270.43,62.47,0.3,0.01,0,0.01,0,15.31,6941.06,100,7.7,15.3,139.8,33.29,0.15508,0.01,0,0.01,0,38.6,88645.45,90.42,98.33795,40.25,77.09,45.06,13.65,49.3,9.3,53.51,12.8,42.59,21026.77,43.35,5019.93,70.41,370.83,29.59,-431.22,27.13,97.84,39.83,89.42,0.01,100,0.01,100,46.49,131.17,15.96,1698.7,40.42,10.4,72.05,100,50.58,56.79,39.7,143.05,44.58,31.82,55.67,13.13,0.69466,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,57.41,315.47,52.33,23829.66,52.8,13517.38,47.44,846.74,17.23,360,33.71,0.378,0.01,0,0.01,0,42.08,0.2779,48.6,-0.00387,30.88,0.95971,41.04,0.4052,47.44,193.27,30.46,908.3,42.84,312.44,41.31,417.27,47.44,37.54,36.82,6.4,40.51,256.29,35.73,92.39,30.88,107.63,49.24,2.26,25.51,21.05,54.22,25.95,47.9,90.05,38.01,741.26,43.59,547.3,29.1,95,27.93,95,47.22,80,33.19,9550.99,37.52,1.4
"Argentina","ARG",15.73,11.56,21.41,18.59,11.02,47.9,39.24,10.26,44.07,2.59,48.33,0.61,50.8,43.22,36.63,44.97,66.7,44.56,29.07,35.54,54.05,0.01,41.87,26.4,42.46,29.54,44.93,42.06,29.65,0.4,41.95,22.25,28.86,53.51,55.42,45.57,38.1,0.01,37.32,0.01,48.46,53.26,42.3,41.97,45.46,40.52,33.12,41.05,49.27,49.8,56804.02,42.03,0.12727,50.6,18531.1,34.2,0.04152,52.07,1856.79,41.53,0.00416,34.81,177.4,23.04,4e-04,34.47,26,24.57,6e-05,33.89,8.15,26.2,2e-05,41.17,3750.28,32.84,0.0084,41.06,1885.17,31.73,0.00422,37.3,454.61,30.65,0.00102,58.17,667305.44,51.16,1.49507,58.76,550078.65,49.86,1.23243,59.36,369092.14,48.2,0.82693,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2867363.38,45.98,6.4242,33.65,27803.2,24.54,0.06229,49.57,6142.48,46.05,0.01376,36.14,70591.86,19.28,0.15816,42.72,76.74,42.21,14.35,39.43,10.9,22.13,17.7,42.34,22076.17,47.67,3632.69,41.04,0.94,43.1,-6.14,25.52,98.58,34.45,94.73,0.01,100,16.16,99.8,42.08,195.67,41.83,1254,15.72,3.5,31.48,136,42.72,53.93,19.49,73.76,49.54,38.33,60.03,17.52,0.37387,51.94,185635,39.99,0.41,44.6,22518,32.55,0.05,0.01,0,0.01,0,60.03,418.17,45.78,21695.6,45.54,7111.31,43.59,669.17,44.77,84169.6,31.11,0.194,0.01,0,0.01,0,46.97,-0.07107,50,-0.08649,51.86,-0.11998,54.7,-0.43073,33.89,373.38,52.8,250.4,35.89,399.61,49.07,79.84,47.67,40.3,43.35,9.9,51.86,19.11,47.2,65.77,27.18,108.88,45.22,3.25,46.49,2.63,17.28,95.45,44.82,55.08,34.24,602.91,45.06,669.17,54.31,83,53.03,83,41.52,84,49.77,3114.73,89.4,53.5
"Armenia","ARM",2.48,0.23,26.74,10.73,41.74,42.69,53.88,9.95,38.52,0.16,43.12,32.12,51.61,43.88,48,36.11,44.9,47.13,0.01,0.01,28.81,0.01,2.68,0.01,48.77,43.27,53.53,74.59,19.27,0.43,45.13,26.24,37.27,37.12,41.31,39.67,0.01,0.01,27.71,37.24,49.3,54.03,40,47.68,44.3,53.99,42.67,46.57,28,41.25,22961.78,100,0.82016,42.57,8261.09,61.05,0.29507,29.34,29.86,34.85,0.00107,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.87,26038.44,38.45,0.93005,23.55,14580,33.57,0.52078,22.54,9828.51,32.29,0.35106,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,206078.68,66.38,7.36083,33.29,26601.32,53.43,0.95016,0.01,0,0.01,0,0.01,0,0.01,0,46.49,75.14,51.16,12.46,37.27,11.3,50.23,13.1,48.6,14468.21,58.96,1457.48,72.82,436.87,76.4,1212.85,10.43,99.97,35.6,93.85,0.01,100,18.51,98.1,46.73,130.41,43.59,1223.49,14.77,3.2,46.61,124,37.72,50.66,36.82,126.94,43.1,30.65,59.22,16.95,0.25361,35.79,19128,43.96,0.65,0.01,0,0.01,0,0.01,0,0.01,0,37.72,46.01,49.07,22719.84,39.97,3019.7,46.73,824.3,25.75,4470,29.81,0.154,34.44,2.6,40.26,9e-05,49.07,-0.18417,49.54,-0.06682,59.49,-0.50641,49.07,-0.13128,35.89,344.35,44.58,436.8,36.51,393.52,62.28,2.7,43.1,24.81,45.54,12.4,64.43,0.91,40.51,80.09,60.3,88.45,33.46,11.87,53.27,1.51,43.59,51.49,41.57,35.04,55.42,2142.37,43.84,572.35,37.72,92,30.89,94,18.85,96,53.74,2241.94,37.52,1.4
"Australia","AUS",21.43,31.27,14.68,8.19,13.72,28.16,9.14,1.17,40.11,2.68,32.06,4.02,23.37,27.47,25.89,25.97,33.22,23.37,63.12,26.14,34.65,49.35,6.64,66.72,15.17,0.5,28.08,32.8,8.92,0.01,37.99,0.55,36.51,48.84,36.2,46.27,41.48,0.01,28.86,0.56,23.18,23.57,25.43,32.22,25.29,27.52,24.36,24.48,27.55,29.3,4028.27,25.64,0.01908,18.58,67.8,16.54,0.00032,26.31,3.39,26.84,2e-05,75.86,10501.58,61.93,0.04975,65.29,2686.73,54.48,0.01273,67.08,2103.88,56.43,0.00997,30.47,422.92,24.55,0.002,28.27,156.75,23.08,0.00074,27.31,33.37,23.91,0.00016,38.45,108539.67,31.01,0.51419,38.78,92971.97,30.7,0.44044,38.12,72632.89,31.97,0.34409,47.99,31843.96,43.55,0.15086,46.84,686.23,38.49,0.00325,61.9,43.61,61.9,0.00021,42.95,590500.95,17.73,2.7974,21.76,3016.01,16.4,0.01429,31.5,0.1,0.01,0,70.87,3318488.28,62.82,15.72079,15.96,83.52,14.41,17.4,24.59,12.7,0.01,22,26.65,50538,29.59,11727.97,32.07,0,33.54,-212.57,10.43,99.97,7.63,99.99,0.01,100,0.01,100,29.14,345.06,49.54,1099.12,0.01,2.5,29.81,137,36.82,49.68,36.2,124.44,41.57,29.74,66.81,24.57,0.17951,50.45,135892,42.44,0.54,45.05,22964,38.19,0.09,0.01,0,0.01,0,41.04,70.44,30.88,14501.85,26.65,224.13,31.28,395.11,34.37,16125.6,24.23,0.066,31.29,0.2,0.01,0,22.13,1.81111,24.27,1.5719,24.27,1.0865,22.89,1.73414,33.19,376,19.49,1324,36.82,377.33,28.2,3616.6,22.89,4.38,27.95,3.7,28.68,1558.11,45.54,69.12,15.96,117.98,53.74,1.23,39.97,6.22,6.73,115.95,27.7,6.75,15.96,123.88,33.19,161.15,29.1,95,27.93,95,25.73,94,27.7,12129.26,39.84,1.6
"Austria","AUT",1.19,0.17,8.3,6,3.19,29.91,28.29,0.47,30.82,0.63,30.12,0.06,24.28,22.21,32.01,30.45,27.44,38.81,0.01,0.01,54.86,0.01,0.16,0.01,29.79,30.07,22.89,31.25,0.29,0.01,40.06,0.43,24.81,41.83,28.2,54.35,0.47,0.01,0.37,0.01,26.07,22.61,27.66,15.96,24.81,30.33,33.78,19.62,47.25,41.93,26854.32,55.17,0.30727,39.69,5760.74,39.93,0.06592,29.78,32.61,31.28,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,240795.53,61.28,2.75523,47.4,204002.41,62.67,2.33424,48.61,150963.02,64.96,1.72735,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.93,505683.35,39.04,5.78613,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.14,81.59,30.46,16.13,27.7,12.5,32.64,16.1,22.89,58942.16,22.89,16700.03,32.07,0,30.46,-372.75,0.01,100,8.45,99.97,0.01,100,0.01,100,36.2,283.67,44.33,1207.89,0.01,2.5,18.45,146,23.6,43.93,26.09,91.57,20.89,21.58,71.32,28.66,0.12594,51.56,166739,57.3,1.88,22.19,263,0.01,0,0.01,0,0.01,0,51.4,195.21,24.27,11382.61,27.18,240.68,24.27,276.96,13.45,66,0.01,0,0.01,0,0.01,0,26.65,1.54543,25.51,1.49091,29.59,0.98012,17.28,1.88305,22.13,521.1,34.58,708.9,15.96,727,15.96,6953.36,23.6,4.72,26.09,3.5,24.27,2020.23,28.2,102.87,40.78,101.14,51.07,1.69,29.59,13.55,25.51,86.48,10.16,3.35,29.14,428.84,25.51,100.59,50.95,85,49.87,85,41.52,84,19.49,14476.88,38.63,1.5
