"WRI.Country","ISO3.Code","Year","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10_Norm","SI_10_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Norm","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",2025,3.7,0.25,54.81,32.13,73.62,69.61,70.31,57.3,66.87,2.85,44.62,68.24,80.73,72.44,68.9,67.27,72.76,56.35,0.01,0.01,46.79,0.01,2.44,0.01,69.22,74.22,81.24,58.55,53.64,39.96,75.57,66.57,39.14,76.4,100,37.37,61.96,0.01,49.64,93.81,78.57,82.95,69.68,71.76,76.02,67.14,70.7,68.43,66.13,63.67,173969.26,66.24,0.57259,60.33,57597.28,52.71,0.18957,51.25,1816.13,46.58,0.00598,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,326617.47,41.16,1.07501,50.72,281218.89,42.91,0.92558,52.05,213831.11,44.36,0.70379,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1844184.83,42.4,6.06982,31.5,25117.39,28,0.08267,0.01,0,0.01,0,0.01,0,0.01,0,67.18,66.03,71.32,10.29,81.55,2.51,67.55,10.71,77.11,2221.85,85.59,-287.29,74.49,570.14,46.02,22.72,51.17,82.18,56.22,55.95,36.92,85.3,43.25,14.36,76.06,0.8,75.09,554.82,63.34,30.4,69.97,105,39.7,52.45,38.58,233,76.4,83.84,77.87,79.47,20.45,4.37,100,0.51588,44.91,102003,31.09,0.25,63.97,418248,60.01,1.01,0.01,0,0.01,0,28.2,13.08,41.83,20436.28,61.99,22050.99,54.22,1619.54,57.3,412524.4,43.01,0.766,88,26178.4,100,0.068826,68.72,-1.15493,89.84,-1.98701,87.45,-2.48408,78.68,-1.64964,64.11,31.7,75.73,54.9,85.59,36,60.16,5.54,81.55,620.41,70.86,55.5,63.2,1.16,72.82,28.35,65.76,81.73,61.42,0.48,85.17,0.01,67.55,11.56,65.42,1422.29,70.86,4283.98,69.12,7200.86,70.3,60,61.91,68,66.45,42,81.55,335.04,64.92,7.7
"Albania","ALB",2025,5.91,2.29,15.25,9.06,10.16,38.54,48.71,13.26,37.71,0.48,5.23,0.49,48.25,44.3,47.13,29.81,40.73,2.62,2.06,60.41,23.35,0.01,0.17,25.4,37.08,46.23,46.49,70.64,27.22,0.78,50.56,28.81,34.03,39.15,40.25,28.42,0.38,0.01,23.76,0.01,47.25,49.28,44.93,49.29,39.27,48.07,46.21,45.17,19.67,37.91,14828.76,65.67,0.53054,32.21,1932.77,40.74,0.06915,0.01,0,0.01,0,29.31,96.86,37.26,0.00347,27.02,2.85,25.95,1e-04,0.01,0,0.01,0,49.39,16040.03,71.08,0.57388,51.37,12901.63,74.87,0.46159,51.55,6013.87,69.82,0.21516,20.81,13430.55,28.78,0.48052,19.75,8855.68,26.19,0.31684,20.46,6607.85,25.54,0.23641,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,214380.66,85.33,7.67009,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13954.94,26.77,0.49928,35.89,79.6,38.3,14.76,47.44,10.12,45.06,14.49,46.49,20991.66,46.49,4670.77,66.46,322.63,75.09,1677.69,36.47,95.09,20.32,99.3,0.01,100,60.15,2.49,42.59,230.16,60.03,950.48,21.76,4.5,38.15,134,32.26,46.72,35.89,200.88,39.15,50.03,37.42,25.57,63.49,24.46,40.25,0.19785,25.73,7137,31.4,0.26,14.71,13,0.01,0,0.01,0,0.01,0,0.01,1.07,47.44,22568.22,36.51,903.34,43.1,1063.17,11.82,16.8,47.78,1.456,0.01,0,0.01,0,50.93,-0.33222,43.84,0.25086,47.9,0.18335,50.7,-0.1641,47.67,209.89,42.34,553.68,41.83,350.87,58.08,10.65,35.89,8.28,42.97,9.4,57.95,4.73,37.12,90.18,51.63,95.14,43.59,4.24,58.22,0.35,38.87,64.73,41.04,26.79,49.3,1660.57,45.54,534.18,17.47,97,18.69,97,23.3,93,46.02,5113.78,36.04,2.2
"Algeria","DZA",2025,9.25,2.62,32.68,15.59,47.72,46.91,47.56,4.66,43.28,2.34,41.08,32.52,59.98,55.72,52.02,38.45,51.62,2.67,0.48,1.69,24.17,0.01,37.95,42.2,46.98,48.98,46.05,48.3,41.65,0.59,50.46,0.38,34.47,55.91,42.08,36.63,35.13,0.01,26.06,40.58,58.97,61,52.89,59.42,55.06,51.02,53.03,46.8,31.59,59.66,117466.19,52.93,0.26722,40.5,7328.16,28.5,0.01667,0.01,0,0.01,0,29.67,99.09,18.93,0.00023,23.14,0.77,0.01,0,0.01,0,0.01,0,24.55,72.43,19.81,0.00016,24.18,55.11,20.15,0.00013,0.01,0,0.01,0,35.18,89600.03,17.57,0.20383,33.89,72876.15,18.31,0.16579,31.65,37512.36,16.43,0.08534,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2311617.88,33.76,5.25869,36.98,44696.11,30.09,0.10168,37.56,84.39,35.54,0.00019,51.21,384525.23,34.77,0.87475,43.84,76.26,50.35,12.7,60.85,6.99,39.43,15.49,50.7,16580.91,41.83,6824.66,44.58,15.09,52.33,114.69,37.72,94.66,46,85.83,0.01,100,34.39,44.45,49.77,120.01,51.16,1115.58,0.01,2.5,14.41,152,36.2,48.8,32.82,181.33,55.91,58.77,56.9,48.65,48.84,10.12,42.08,0.2309,45.23,103139,29.67,0.22,42.56,22640,28.99,0.05,0.01,0,0.01,0,37.12,42.96,30.03,13316.6,48.6,7483.94,52.56,1470.42,26.92,6317.6,25.23,0.066,41.43,23.8,39.74,5.6e-05,57.92,-0.58931,60.03,-0.67014,61.99,-0.57789,60.03,-0.67836,50.7,166,55.18,250.8,57.66,155.13,61.23,4.04,54.7,77.69,55.42,22,57.95,4.73,58.96,45.81,38.87,102.5,42.84,4.58,78.51,0.02,44.33,55.52,44.58,46,43.35,1131.52,53.03,1310.33,33.44,92,40.45,88,23.3,93,44.09,5521.01,60.44,5.3
"Andorra","AND",2025,0.29,0.02,4.07,3.08,1.8,12.17,27.44,1.42,28.91,0.01,24.56,0.01,19.33,29.98,34.42,1.27,41.24,0.14,0.01,0.01,0.01,0.01,0.16,0.01,17.53,45.5,27.17,26.15,0.01,0.91,14,32.05,45.48,21.32,24.91,0.01,0.01,0.01,0.01,0.01,28.19,13.25,32.87,33.13,24.74,34.29,34.56,0.13,12.4,16.27,121.59,39.18,0.10667,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8776.58,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,14.41,84.04,21.32,17.3,38.44,11.61,53.86,12.78,23.6,75252.13,31.28,14279.72,32.07,0,21.32,-2213.36,0.01,100,0.01,100,0.01,100,82.22,0.08,6.73,516.97,29.14,1560.97,21.23,4.22,48.37,126.03,36.51,49.24,56.65,486.67,21.32,38.25,10.16,16.93,60.85,21.32,24.91,0.06019,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.87,53.38,28.68,12313.5,20.45,234.83,15.96,385.35,0.01,0,0.01,0,0.01,0,0.01,0,30.46,1.25136,26.09,1.47544,6.73,1.58347,26.09,1.4769,23.6,506.8,45.78,472.2,43.35,316.04,25.32,6149.13,27.18,4.61,22.51,2.6,35.36,822.14,24.91,112.28,45.78,98.55,42.59,4.62,24.57,31.84,39.43,64.28,0.01,2.19,20.45,239.38,0.01,13.07,12.2,98,12.46,98,12.54,96,35.24,10551.06,48.26,3.6
"Angola","AGO",2025,10.83,2.37,49.49,33.73,52.16,68.91,56.01,59.57,75.98,2.48,69.42,34.02,62.67,66.57,72,68.49,66.37,0.12,0.14,26.85,34.66,0.01,49.42,54.65,68.83,61.75,57.17,40.51,64.63,48.29,67.56,59.71,69.31,79.55,79.55,32.1,47.29,0.01,30.03,38.54,63.18,62.17,63.31,67.79,68.75,73.97,70.09,64.59,72.63,15.88,101.84,15.7,0.00028,0.01,0,0.01,0,0.01,0,0.01,0,33.68,155.5,23.57,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,27.11,167.66,22.72,0.00046,29.03,162.22,22.34,0.00045,34.65,160.16,27.08,0.00044,42.21,152531.83,27.49,0.42126,41.86,136071.17,27.81,0.3758,43.63,110911.58,29.42,0.30632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.06,1162440.5,18.49,3.21044,61.16,360253.63,54.04,0.99495,69.09,72115.94,68.96,0.19917,62.82,1182757.6,47.54,3.26656,69.54,64.62,68.12,10.5,65.25,5.84,58.43,12.17,59.49,7276.07,54.94,2282.25,42.84,7.4,38.3,-40.02,72.89,57.72,57.3,52.18,56.1,51.1,41.57,17.49,68.32,3.73,66.81,699.32,56.44,23.2,63.18,111,77.49,68.56,61.99,725.12,79.55,90.05,80.51,84.71,30.88,5.34,79.55,0.45094,39.41,56025,26.15,0.15,51.99,79484,43.01,0.22,0.01,0,0.01,0,71.8,1461.24,67.93,33231.9,73.91,38007.2,64.43,2256.36,35.75,20289.4,25.23,0.066,38.9,14.2,38.19,4.4e-05,58.43,-0.60992,68.32,-1.00891,56.9,-0.34151,67.93,-1.09907,66.46,24.4,60.3,187.3,66.81,87.68,68.79,0.46,64.43,221.91,73.35,64,70.48,0.3,80.51,24.07,71.32,73.26,48.6,2.47,100,0,70.86,9.91,67.55,1710.48,56.65,2429.79,70.41,7650.43,74.47,54,70.3,60,73.18,35,58.17,1913.14,75.73,28.4
"Antigua and Barbuda","ATG",2025,3.8,1.2,12.02,18.08,2.57,37.35,39.1,12.28,43.26,1.84,50.57,0.01,39.18,43.24,33.14,29.29,53.68,2.51,37.65,0.01,0.01,3.16,2.07,59.08,39.22,42.17,43.31,32.63,29.87,0.88,22.75,38,61.32,26.65,49.54,18.96,32.97,0.01,0.01,0.01,41.57,36.93,45.17,41.66,42.97,27.24,40.32,43.8,19.59,22.42,750.99,100,0.82016,20.35,181.14,54.54,0.19783,0.01,0,0.01,0,27.53,50.61,62.9,0.05528,26.63,2.43,43.17,0.00265,29.37,2.03,48.72,0.00221,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.72,3387.95,100,3.7,41.04,274.7,62.47,0.3,0.01,0,0.01,0,15.31,7050.6,100,7.7,15.3,142.78,33.29,0.15593,0.01,0,0.01,0,38.6,90047.29,90.42,98.34122,40.78,77.6,37.72,14.84,45.42,10.55,39.15,15.51,42.08,30678.77,44.58,5109.71,32.07,0,33.19,-343.96,27.14,98.36,32.88,97.4,0.01,100,78.29,0.11,50.93,106.85,10.16,1992.44,25.71,5.5,56.16,119.34,53.74,58.88,69.97,1323.13,26.65,41.75,38.3,25.82,56.16,15.93,49.54,0.3034,15.08,105,23.85,0.11,22.93,300,47.42,0.32,0.01,0,0.01,0,55.67,268.96,45.54,22017.5,52.56,13086.34,49.07,1346.62,0.01,0,0.01,0,0.01,0,0.01,0,41.83,0.32679,41.31,0.38041,31.28,0.92339,43.59,0.37859,46.02,244.93,44.33,509.96,40.78,370.13,42.55,637.34,43.35,21.25,42.59,9.3,45.74,147.27,15.96,122.92,27.7,110.71,38.3,7.81,31.42,12.08,54.46,31.17,46.97,69.14,39.7,893.41,45.06,526.21,17.47,97,12.46,98,34.54,87,46.49,4612.97,61.99,6
"Argentina","ARG",2025,15.72,11.54,21.42,18.7,10.76,48.81,38.98,11.1,48.61,2.36,46.04,0.56,53.49,41.62,36.23,50.2,63.94,44.56,29.06,35.41,53.95,0.01,41.82,26.4,40.05,28.51,44.4,45.53,29.03,0.58,38.57,23.34,56.1,43.59,46.97,42.74,30.81,0.01,31.86,0.01,53.61,53.38,32.12,48.72,46.08,42.39,30.97,40.81,61.76,49.8,57470.03,42.03,0.12716,50.6,18740.8,34.2,0.04147,52.07,1877.25,41.53,0.00415,34.81,182.15,23.22,4e-04,34.47,27.31,24.57,6e-05,33.89,8.43,25.98,2e-05,40.72,3812.53,32.84,0.00844,41.06,1918.11,31.73,0.00424,37.3,465.97,30.33,0.00103,58.17,678003.66,51.16,1.50014,58.17,559364.06,49.86,1.23764,58.76,375357.26,48.61,0.83051,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2903834.83,45.63,6.42496,33.65,28248.16,24.54,0.0625,49.57,6197.19,46.05,0.01371,36.14,72896.87,19.28,0.16129,41.57,77.39,38.58,14.68,41.7,11.14,19.49,18.98,42.84,29460.92,46.02,4780.6,44.82,17.96,46.26,22.82,23.2,98.96,36.33,95.14,0.01,100,33.91,46.27,41.83,252.53,35.57,1376.86,16.42,3.2,33.19,137,45.54,56.12,69.12,1282.25,43.59,52.42,47.9,33.82,58.96,18.6,46.97,0.28155,51.69,231068,35.34,0.51,38.38,9830,24.73,0.02,0.01,0,0.01,0,57.41,338.77,44.82,21909.67,50,8783.15,34.91,732.95,49.16,170374.8,20.65,0.038,0.01,0,0.01,0,51.63,-0.36088,55.67,-0.37752,52.33,-0.12752,54.46,-0.41083,22.89,510.6,45.06,474.9,42.34,334,56.07,22.35,48.84,44.9,43.47,9.6,56.82,7.48,46.73,70.74,28.68,110.36,39.43,6.8,74.13,0.03,10.16,107.05,42.84,30.34,36.2,660.86,43.84,465.34,65.95,66,60.03,71,59.49,54,43.84,5586.31,93.27,229.8
"Armenia","ARM",2025,1.91,0.23,15.85,9.21,42.5,10.18,50.35,4.47,42.23,0.16,43.53,33.27,52.3,44.11,47.54,32.16,0.69,46.88,0.01,0.01,28.24,0.01,2.67,0.01,47.72,42.93,47.2,66.48,20.28,0.77,41.87,0.61,50.28,36.51,41.04,40.91,0.01,0.01,28.35,39.04,48.03,56.96,42.11,45.91,44.39,54.5,41.47,47.54,21.75,41.25,22878.68,100,0.82016,42.14,8224.08,61.05,0.29482,29.34,29.37,34.11,0.00105,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.21,25642.72,38.78,0.91925,22.54,14326.24,33.25,0.51357,21.85,9650.36,31.65,0.34595,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,205350.24,66.79,7.36145,32.57,26259.52,53.43,0.94136,0.01,0,0.01,0,0.01,0,0.01,0,45.54,75.68,50,12.74,40.25,11.33,45.78,14.41,46.97,20765.09,47.44,4050.69,65.42,294.93,67.55,811.53,10.67,99.97,38.55,93.98,0.01,100,59.62,2.88,45.78,182.55,38.3,1324.02,0.01,2.5,36.67,135,53.03,58.84,47.67,334.07,36.51,48.72,45.3,29.07,59.22,19.65,41.04,0.20232,36.16,35988,46.28,1.2,0.01,0,0.01,0,0.01,0,0.01,0,37.42,47.1,51.63,24060.53,39.97,2892.9,46.49,1216.81,24.64,4253,32.61,0.218,35.96,4,42.39,0.000136,45.3,0.0584,50.93,-0.18413,66.11,-0.82928,49.07,-0.12202,39.15,336,45.3,474.7,34.58,442.36,60.96,4.38,44.58,27.19,44.21,10,64.98,0.95,45.54,73.14,54.7,92.37,30.03,18.57,58.22,0.35,40.78,61.19,40.78,26.7,58.17,2601.29,45.3,530.87,28.87,94,28.41,94,12.54,96,47.67,4454.62,0.01,0.2
"Australia","AUS",2025,21.9,31.21,15.37,8.31,14.67,29.78,9.55,1.48,39.54,2.31,30.7,4.59,25.25,27.25,33.49,22.71,34.74,23.33,63.12,26.21,34.24,49.35,6.63,66.72,17.28,0.54,27.44,32.44,0.33,0.63,41.58,0.56,36.63,49.3,34.24,42.68,29.05,0.01,37.64,0.56,22.43,28.43,24.69,35.13,23.32,31.9,35.15,19.29,26.74,28.98,4028.33,25.64,0.01908,18.58,67.79,16.54,0.00032,26.31,3.38,26.84,2e-05,75.86,10501.65,61.93,0.04975,65.29,2686.79,54.48,0.01273,67.08,2103.97,56.43,0.00997,30.85,427.9,24.91,0.00203,28.65,161,23.08,0.00076,27.31,33.5,23.37,0.00016,38.45,108603.91,30.38,0.51447,38.78,93037.87,30.06,0.44073,37.79,72688.18,31.33,0.34433,47.99,31845.98,43.55,0.15086,46.84,686.09,38.49,0.00325,61.9,43.55,61.9,0.00021,42.67,590535.29,17.73,2.79742,21.76,3017.69,16.4,0.0143,31.5,0.1,0.01,0,70.87,3319170.78,62.82,15.72324,17.28,83.92,17.28,17.48,29.37,12.73,0.01,21.08,27.18,67463.83,27.7,16905.54,32.07,0,32.82,-350.42,10.67,99.97,0.01,100,0.01,100,39.8,26,33.19,361.23,52.1,1091.57,0.01,2.5,31.48,138,35.57,48.17,37.72,219.4,49.3,54.84,42.84,27.92,65.76,26.92,34.24,0.12475,49.54,155792,36.77,0.58,34.12,4686,24.73,0.02,0.01,0,0.01,0,42.08,72.37,30.46,13385.26,25.51,263.26,27.18,427.8,42.59,56886.4,33.27,0.224,31.65,0.2,0.01,0,21.32,1.7812,23.6,1.58988,31.68,0.91706,25.51,1.52318,31.28,408.6,19.49,1345,39.97,372.3,30.87,4744.63,17.28,2.94,31.48,3.7,30.87,1567.6,51.4,61.31,20.45,115.46,56.78,0.87,60.96,0.22,12.55,106.24,10.16,3.79,22.89,255.71,30.88,125.92,28.87,94,28.41,94,23.3,93,26.09,16421.18,46.26,3.3
"Austria","AUT",2025,1.31,0.17,10.09,9.7,3.36,31.54,29.96,1.34,30.25,2.39,29.54,0.06,27.33,23.06,34.88,29.26,30.74,38.81,0.01,0.01,54.56,0.01,0.16,0.01,31.06,34.23,25.21,30.07,0.27,0.71,41.65,0.4,23.24,43.84,27.18,59.19,22.99,0.01,0.41,0.01,29.62,25.22,23.32,18.24,28.83,31.78,38.29,24.26,35.3,41.93,27002.15,55.17,0.3074,39.69,5794.48,39.93,0.06597,29.78,32.79,31.28,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.01,242842.84,61.28,2.76462,47.4,205927.08,61.96,2.34436,48.61,152243.92,64.16,1.73321,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.93,508202.48,39.04,5.78559,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,30.46,81.96,31.68,16.22,34.58,12.31,33.89,16.37,24.91,70257.57,25.51,18517.85,32.07,0,28.2,-670.35,0.01,100,7.2,99.97,0.01,100,50.06,8.82,38.3,296.77,45.3,1215.54,0.01,2.5,15.96,151,23.6,43.81,22.89,136.76,43.84,52.59,25.51,21.82,70.41,30.77,27.18,0.06853,54.8,316202,63.94,3.46,25.98,671,20.35,0.01,0.01,0,0.01,0,44.09,88.43,23.6,11308.65,28.68,323.41,25.51,423.14,17.22,446.6,0.01,0,0.01,0,0.01,0,31.68,1.13365,27.7,1.32668,36.82,0.72799,17.28,1.74657,21.32,551.5,25.51,1128,18.45,732.85,18.03,8289.59,30.88,5.23,26.92,3.1,25.32,2204.49,30.88,101.12,41.04,100.64,51.86,1.52,49.83,0.74,21.73,94.51,17.28,4.41,31.68,489.99,26.09,101.4,47.22,84,46.89,84,19.87,94,21.32,17550.09,44.33,3
