"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.15,0.25,68.8,59.89,77.92,69.8,66.63,70.03,69.86,50.36,46.92,68.39,88.11,78.51,69.41,78.7,62.26,56.79,0.01,0.01,45.43,0.01,2.48,0.01,65.93,76.26,73.15,53.58,70.18,49.24,79.77,87.24,39.83,85.59,100,38.85,50.89,64.59,56.55,82.71,84.81,91.54,77.72,79.86,77.98,69.81,69.02,76.2,81.29,65.22,119771.48,66.24,0.58161,59.54,40316.8,53.79,0.19578,52.07,1439.84,46.58,0.00699,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.02,214076.18,40.13,1.03955,49.44,180866.56,40.82,0.87828,51.16,137669.69,43.27,0.66852,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.57,1227697.74,40.55,5.96167,33.65,20966.64,30.44,0.10181,0.01,0,0.01,0,0.01,0,0.01,0,65.76,56.52,66.11,9.4,77.76,2.2,74.79,6.2,80.51,697.63,66.46,203.55,72.82,366.91,39.43,-7.36,81.4,28.2,60.51,21.88,47.64,34.11,50.89,7.2,63.63,0.57,100,0,84.72,51.62,89.84,82.82,39.97,52.73,39.7,146.76,87.45,99.83,18.45,4.65,0.52026,46.62,33931,32.38,0.16,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,26.09,5.61,47.67,30446.94,62.28,44497.68,62.58,1950.91,60.73,608706.6,52.66,2.936,88.05,5514.2,77.7,0.027256,77.11,-1.26285,93.27,-1.997,93.27,-2.19317,89.84,-1.7685,64.76,19,93.27,21.75,100,39,63.78,2.94,87.45,1400.42,69.54,125.29,71.36,0.43,47.67,51.84,100,17.1,66.3,0.11,64.92,0.3,76.4,1.85,66.81,6828.03,87.45,13195.89,75.73,29467.41,79.61,33,79.21,35,85.2,11,71.8,190.52,53.98,5.39
"Albania","ALB",8.18,2.38,28.09,12.31,43.65,41.26,52.55,14.75,36.72,1.93,5.15,28.9,61.51,46.78,52,29.69,45.51,2.75,2.03,59.67,28.51,0.01,0.18,25.6,40.14,47.59,51.36,77.75,35.55,0.6,55.68,39.86,30.19,46.97,34.91,18.64,38.57,0.01,25.94,32.2,61.58,61.44,45.12,53.7,42.25,55.21,48.97,44.47,19.82,41.25,17456.07,65.67,0.56736,37.36,2626.33,42.68,0.08536,0.01,0,0.01,0,31.47,79.39,32.61,0.00258,26.63,2,25.38,7e-05,0.01,0,0.01,0,50.59,14915.66,69.44,0.48479,52.02,12085.67,67.8,0.39281,52.15,5991.69,69.89,0.19474,25.87,21437.22,34.53,0.69676,24.88,14599.62,30.7,0.47452,24.88,10985.61,31.65,0.35706,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,35.2,236292.41,85.33,7.68007,0.01,0,0.01,0,0.01,0,0.01,0,25.44,13487.44,25.77,0.43837,37.72,74.54,42.72,12.27,40.5,8.7,55.91,10.7,53.51,4464.48,49.3,1269.1,69.12,294.5,87.45,754.13,38.78,86.9,32.59,90.03,0.01,100,36.43,40.5,56.82,0.78,54.56,128.31,37.98,8.66,41.83,121.16,29.14,45.73,31.28,107.7,46.02,47.08,58.17,11.61,0.24575,20.11,367,17.27,0.01,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,0.92,43.1,29063.25,37.12,752.23,43.84,927.38,24.49,2020,27.47,0.064,30.94,1.2,33.51,3.8e-05,62.88,-0.85264,60.3,-0.63203,60.03,-0.40892,62.88,-0.88842,46.97,131,43.35,383.2,44.82,325.5,64.35,2.14,38.01,21.86,46.97,24.51,64.47,1.58,45.06,53.49,57.92,82.83,49.05,0.95,47.44,1.79,50.46,15.9,39.7,53.1,47.9,1929,46.26,2013.57,17.05,97,16.47,97,27.73,90,46.97,1579.87,44.09,3.1
"Algeria","DZA",10.57,2.64,42.31,30.03,52.82,47.76,47.6,36.02,42.61,8.92,37.46,40.79,66.24,54.54,53.27,44.61,45.85,2.69,0.49,1.7,24.89,0.01,37.18,43.24,45.62,53.64,41.01,51.15,36.72,20.05,65.22,35.04,40.75,48.84,38.87,53.23,24.25,0.55,27.7,60.06,64.3,68.24,50.77,58.28,54.82,58.29,48.69,48.76,40.82,59.66,82718.1,54.26,0.27387,40.9,4992.57,28.65,0.01653,0.01,0,0.01,0,30.75,76.2,20.19,0.00025,23.53,0.62,0.01,0,0.01,0,0.01,0,25.28,57.54,20.17,0.00019,23.81,32.99,20.15,0.00011,0.01,0,0.01,0,34.53,67828.82,19.4,0.22457,33.57,55558.47,19.4,0.18395,31.01,28577.51,17.57,0.09462,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,1567555.04,33.33,5.19,37.36,29793.43,30.09,0.09864,35.25,31.24,33.32,1e-04,52.72,285303.93,35.46,0.94461,47.2,71.34,44.09,12.19,54.26,6.1,53.03,11.1,44.58,8504.22,37.72,3859.06,42.59,31.88,61.42,103.66,35.47,90.11,38.01,84.76,24,96.57,16.75,97.2,52.17,1.03,81.53,3.18,37.41,8.48,32.82,128.05,39.7,52.55,41.83,157.85,50.23,53.14,45.78,7.11,0.26903,61.96,169571,45.73,0.54,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,28.68,7.47,31.28,18236.83,47.44,12244.62,46.26,1018.73,31.99,12903,23.99,0.04,62.12,1404.4,58.07,0.004622,65.76,-0.95882,62.88,-0.77669,73.35,-1.44994,63.49,-0.91603,48.6,120.53,53.03,184.26,54.7,189.56,62.09,4.36,56.16,152.59,53.51,38.68,61.69,3.87,58.69,36.91,54.7,86.24,42.54,1.56,53.51,0.93,50.7,15.65,48.6,270.59,45.78,1581.06,52.1,3912.26,39.24,89,38.04,89,45.58,73,42.84,2004.22,49.07,4.2
"Andorra","AND",0.33,0.02,5.35,2.7,2.17,26.18,34.12,0.59,33.98,0.01,20.93,0.01,29.35,34.68,27.57,18.15,35.86,0.14,0.01,0.01,0.01,0.01,0.16,0.01,26.14,42.58,29.23,41.64,0.01,0.01,32.07,37.72,37.78,31.28,33.19,0.01,0.01,0.01,0.01,0.01,28.89,29.81,41.9,35.95,27.69,22.91,33.18,11.81,27.89,15.88,71.97,40,0.10694,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,14.72,5182.2,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.13,79.23,30.88,14.14,32.78,9.9,55.3,10.8,32.07,25785.25,26.65,8460.39,59.49,122.12,29.14,-106.85,0.01,100,0.01,100,0.01,100,0.01,100,25.99,25.55,39.56,437,31.91,6.29,44.58,118.37,36.2,50.03,39.43,145.86,37.12,32.13,61.13,15.04,0.23514,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.51,107.44,17.28,13598.92,14.41,152.59,14.41,287.01,0.01,0,0.01,0,0.01,0,0.01,0,29.59,1.32507,28.2,1.4501,30.03,1.17338,29.59,1.34459,36.82,260,47.67,318,35.57,497.88,36.34,770.71,27.18,8.55,28.2,6.16,19.24,1853.68,14.41,105.55,43.35,94.95,40.96,2.32,21.32,28.46,41.83,28.33,12.55,3.12,19.49,379.19,6.73,97.17,22.96,96,25.53,95,37.03,83,27.18,6603.71,47.32,3.7
"Angola","AGO",11.06,2.2,55.59,35.68,64.05,75.17,60.25,65.48,80.08,2.61,70.11,46.41,81.34,69.6,73.4,80.14,72.21,0.12,0.13,22.2,32.11,0.01,63.95,34.62,77.75,68.98,60.99,40.28,62.56,44.59,71.2,92.54,75.41,79.55,85.59,38.06,46.67,0.01,36.28,59.36,79.18,83.55,67.4,62.06,80.59,71.72,75.11,82.02,78.31,16.27,79.47,15.7,4e-04,0.01,0,0.01,0,0.01,0,0.01,0,22.6,13.66,17.48,7e-05,0.01,0,0.01,0,0.01,0,0.01,0,23.1,19.94,18.71,1e-04,23.08,17.67,19.41,9e-05,27.14,17.39,22.77,9e-05,36.8,78832.77,26.52,0.39472,37.46,71641.94,26.84,0.35872,38.78,57932.42,28.78,0.29007,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.51,1203147.87,41.3,6.02429,72.54,451373.95,64.87,2.26008,81.83,86609.73,77.46,0.43366,42.66,102427.45,28.1,0.51286,80.51,47.42,75.09,8.69,61.11,4.4,77.87,5.5,61.13,2283.79,60.85,400.69,51.86,87.55,31.28,-65.18,67.86,42.25,57.68,28.99,55.16,20,36.05,41.7,63.63,0.57,79.68,4.43,91.81,57.75,93.27,78.83,75.09,67.34,75.73,438.08,81.55,93.91,24.59,5.12,0.47892,44.73,26330,32.38,0.16,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,63.8,639.42,79.55,40455.84,70.86,59090.34,67.18,2349.07,37.92,44788.8,34.72,0.286,58.07,1091,60.68,0.006796,80.51,-1.31125,77.87,-1.38674,81.55,-1.92306,85.59,-1.65945,64.11,20.49,70.86,48.61,62.58,139.53,61.55,5.62,72.3,764.88,89.84,199.45,65.92,1.34,75.73,23.31,73.91,51.87,77.55,0.03,77.11,0.13,70.86,2.44,87.45,17943.98,75.09,9140.01,84.04,37355.36,71.23,42,91.24,28,73.9,29,55.91,843.8,93.27,152.6
"Antigua and Barbuda","ATG",4.05,1.21,13.55,11.35,9.67,22.69,47.02,12.78,47.92,0.13,50.28,0.58,35.53,43.94,37.74,8.49,36.46,2.51,38.35,0.01,0.01,3.15,2.08,59.35,40.15,43.83,39.89,69.65,28.74,0.45,37.71,54.69,48.23,42.84,53.27,0.01,24.51,0.01,33.5,0.01,34.96,36.1,46.56,43.5,41.89,35.7,39.89,38.93,1.85,22.76,592.85,100,0.82016,20.35,143.04,54.41,0.19789,0.01,0,0.01,0,28.6,42.83,63.93,0.05926,27.02,2.05,43.6,0.00284,29.81,1.82,49.58,0.00252,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2674.52,100,3.7,41.71,216.85,62.47,0.3,0.01,0,0.01,0,16.42,5565.89,100,7.7,15.3,95.5,32.21,0.13212,0.01,0,0.01,0,38.96,71381.31,90.42,98.7508,38.3,74.27,42.08,12.37,39.71,8.9,48.37,11.93,36.51,15672.49,43.59,2159.85,63.49,173.35,76.4,446.77,21.11,98.14,39.12,82.8,20.54,97.6,0.01,100,32.21,10.39,44.14,323.78,41.66,11.03,71.8,94.67,51.63,59.68,45.06,180.02,43.59,43.36,56.16,10.15,0.37403,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,57.92,207.87,46.49,30352.01,49.54,15735.58,47.9,1066.01,23.15,1596.4,48.47,2.15,0.01,0,0.01,0,33.19,0.88432,36.82,0.62291,39.7,0.75586,32.82,1.05088,48.37,121.52,44.82,352.85,44.45,327,42.57,325.62,43.59,42.47,40.25,15.04,44.8,156.26,41.83,60.42,24.27,106.9,47.85,1,24.91,15.09,53.27,13.14,44.09,137.01,30.88,723.86,43.35,1403.64,17.05,97,0.01,99,37.03,83,37.72,3315.03,35.24,1.9
"Argentina","ARG",15.75,11.63,21.34,21.97,11.42,38.74,36.95,29.77,52.42,1.96,45.34,0.64,54.46,42.72,39.01,43.01,34.64,45.53,27.91,36.49,54.53,0.01,41.93,27.13,38.72,28.77,43.77,38.21,30.64,21.3,46.65,25.79,53.39,49.77,54.22,22.29,33.61,0.01,40.94,0.01,51.51,57.57,46.06,36.56,46.29,34.23,44.46,39.05,47.38,51.95,46451.55,42.03,0.12833,52.84,15263.25,35.13,0.04217,52.91,1548.85,41.53,0.00428,34.43,122.08,22.15,0.00034,31.9,14.13,23.81,4e-05,32.5,5.37,25.1,1e-05,43.05,3979.96,33.64,0.011,42.98,2055.33,32.71,0.00568,38.54,469.2,30.08,0.0013,59.98,559234.44,50.72,1.54497,59.98,466117.33,49.86,1.28772,59.98,322419.82,48.2,0.89073,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2321877.36,46.33,6.41454,34.38,21095.99,23.84,0.05828,50.46,5157.29,45.28,0.01425,36.84,57146.08,19.98,0.15787,38.87,73.84,38.58,13.06,38.08,9.1,21.73,16.3,40.78,10904.03,46.97,1595.8,35.57,6.59,41.04,-2.78,26.24,96.53,35.77,87.75,25.03,95.51,18.12,95.5,42.82,2.52,50.83,180.86,21.54,4,30.88,129.12,53.27,60.27,53.51,241.96,45.06,45.47,61.99,15.77,0.3796,28.78,3933,17.27,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,58.17,208.28,39.43,26238.39,44.33,10175.37,41.57,818.9,46.26,134404,36.24,0.368,0.01,0,0.01,0,51.86,-0.34044,51.16,-0.22818,60.85,-0.49143,54.46,-0.49018,29.14,324.8,72.82,44.5,38.87,417.11,34.38,967.87,48.6,64.65,44.09,18.85,36.94,449.08,43.59,56.23,24.91,106.81,74.14,0.05,50.23,1.4,23.6,59.01,42.34,109.83,32.07,802.92,43.84,1523.53,45.58,83,42.56,85,54.83,56,46.49,1591.87,25.81,1.1
"Armenia","ARM",2.19,0.24,19.99,16.09,11.86,41.88,51.9,16.83,43.21,0.76,37.64,0.66,57.06,44.25,46.88,30.72,50.99,48.93,0.01,0.01,29.17,0.01,2.8,0.01,44.57,37.31,62.35,69.97,31.44,0.51,85.91,58.29,40.38,44.09,45.3,82.81,0.01,0.54,43.82,0.01,56.31,57.83,36.95,50.52,46.42,55.82,39.38,47.5,19.87,44.4,24730.61,100,0.82016,45.19,8988.3,60.95,0.29809,30.67,40.69,36.61,0.00135,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.49,27666.46,38.12,0.91752,25.87,15072.5,31.65,0.49986,23.88,10176.52,30.06,0.33749,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.34,221786.38,65.58,7.35528,38.12,34095.93,55.95,1.13075,0.01,0,0.01,0,0.01,0,0.01,0,44.82,72.08,44.33,12.16,25.34,10.7,54.94,10.9,56.9,3085.85,68.32,162.14,69.54,299.06,70.41,270.33,27.2,95.49,36.33,87.33,0.01,100,26.15,81.8,100,0,73.81,8.36,50.02,18.45,67.93,97.8,40.51,53.4,40.25,148.83,41.31,38.31,62.28,16.11,0.31582,68.57,264364,100,8.67,0.01,0,0.01,0,28.97,66.67,0.01,0,22.13,2.76,50,31502.68,40.25,4994.71,45.06,983.05,40.33,63828.8,47.61,2.076,0.01,0,0.01,0,60.85,-0.78936,52.1,-0.26844,61.13,-0.61595,54.7,-0.50195,36.2,261.9,37.72,545.2,35.24,502.5,72.42,0.25,43.1,40.63,50,29.31,76.94,0.06,46.97,52.11,48.14,92.15,35.1,4.65,44.45,2.28,39.15,33.55,46.73,187.27,51.16,2504.29,44.82,1744.34,29.5,94,16.47,97,16.15,96,58.96,624.27,44.09,3.1
"Australia","AUS",18.71,31.94,10.96,9.19,7.16,20.02,7.51,3,33.11,2.62,33.57,0.52,23.78,29.63,8.02,26.13,38.3,23.64,63.74,27.58,36.03,49.61,6.75,67.62,13.45,0.25,32.43,29.11,9.7,0.01,36.59,22.91,29.56,37.42,32.82,46.84,38.53,0.01,26.85,0.01,25.21,22.43,28.78,36.5,24.76,23.73,2.71,20.56,33.21,31.2,4025.03,25.64,0.01908,18.93,66.96,16.32,0.00032,26.74,3.35,26.41,2e-05,75.86,10513.05,61.93,0.04983,66.71,2689.67,54.38,0.01275,70.82,2107.19,55.54,0.00999,33.17,424.39,24.91,0.00201,31.34,173.44,24.55,0.00082,28.72,37.56,24.12,0.00018,42.56,109391.53,30.38,0.51851,42.91,93620.33,29.42,0.44376,43.63,73044.38,30.7,0.34623,48.72,31805.79,43.55,0.15076,47.65,683.02,38.49,0.00324,61.9,43.08,61.9,2e-04,45.72,590195.04,17.73,2.7975,22.11,3015.39,16.77,0.01429,31.5,0.09,0.01,0,73.71,3315034.96,62.03,15.71313,12.55,80.04,14.41,15.31,6.27,11.9,0.01,20.1,31.68,26605.09,33.19,5700.67,24.27,0,34.91,-26.65,12.82,99.71,7.34,99.99,0.01,100,0.01,100,36.77,6.33,36.42,573.43,15.82,2.9,33.19,126.82,30.46,46.15,28.68,97.77,35.57,30.86,66.81,18.55,0.23423,52.51,69443,41.78,0.36,48.08,14608,30.87,0.06,0.01,0,0.01,0,47.44,55.8,30.88,17420.59,27.7,280.1,31.28,471.34,30.04,7806,23.99,0.04,0.01,0,0.01,0,24.91,1.8383,25.51,1.75811,23.6,1.37444,21.32,1.74757,37.42,257.3,22.13,1060,40.25,395,33.1,1130.58,22.13,6.68,27.7,6.11,29.66,756.2,44.33,54.7,10.16,117.46,50.5,0.84,39.43,4.16,0.01,85.52,27.7,6.54,10.16,199.88,30.88,273.25,33.44,92,34.55,91,31.69,87,29.14,6372.45,50.35,4.4
"Austria","AUT",1.23,0.17,8.93,5.55,6.06,21.19,29.02,0.39,28.12,0.58,28.53,0.47,20.17,23.44,31.67,10.14,29.61,39.56,0.01,0.01,55.09,0.01,0.16,0.01,25.8,29.25,25.33,37.08,0.01,0.01,19.04,12.18,22.13,33,30.46,43.96,0.45,0.01,22.21,0.01,21.45,18.97,27.78,21.62,21.45,29.28,34.25,1.97,52.17,43.69,24516.02,55.62,0.30512,42.14,5223.2,40.17,0.06501,29.78,34.72,31.28,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.61,206431.99,60.62,2.56918,48.61,176343.63,61.96,2.19471,50.28,131032.7,62.67,1.63079,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.95,459942.02,37.87,5.72429,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.09,78.67,25.51,14.49,37.38,9.2,22.89,16.1,27.18,29309.29,23.6,9336.86,24.27,0,56.65,53.02,0.01,100,0.01,100,0.01,100,0.01,100,21.33,39.86,17,813.33,9.29,2.58,15.96,143.6,22.13,43.27,22.13,84.22,22.13,24.46,76.4,22.87,0.20758,45.1,29562,42.84,0.37,20.2,129.5,0.01,0,0.01,0,0.01,0,52.1,88.16,20.45,14087.65,27.18,262.38,22.89,311.7,23.99,2000,20.57,0.026,0.01,0,0.01,0,23.6,1.87875,19.49,1.92039,28.68,1.20636,12.55,1.86531,21.32,396.2,36.2,574.2,20.45,785,22.86,2464.85,19.49,5.98,23.6,5.36,26.27,1063.65,28.2,82.45,33.89,100.29,53.07,0.66,30.03,8.99,25.21,58.75,0.01,2.4,33.19,822.65,22.89,188.11,44.62,84,44.34,83,71.77,34,22.89,7368.48,38.3,2.3
