"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.18,0.25,69.81,62.11,73.58,74.46,67.05,68.07,69.78,63.89,45.43,66.81,77.71,76.74,70.9,77.7,74.93,56.79,0.01,0.01,46.33,0.01,2.49,0.01,65.25,75.75,73.58,55.57,68.29,49.83,78.73,80.15,39.7,85.59,100,79.35,50.89,64.59,57.41,77.74,71.78,84.14,72.52,80.77,77.15,72.13,69.69,75.09,80.4,65.22,126283.54,66.24,0.58035,59.54,42459.9,53.79,0.19513,52.07,1491.16,46.58,0.00685,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.86,234634.84,40.82,1.0783,50.28,199096.17,41.86,0.91497,52.05,152229.11,44.36,0.69959,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.57,1302137.7,41.3,5.98416,33.65,21329.51,30.09,0.09802,0.01,0,0.01,0,0.01,0,0.01,0,65.09,58,65.42,9.53,80.45,2.5,71.32,7.9,76.4,959.16,70.86,184.52,75.73,401.66,40.78,-3.76,77.7,34.33,60.02,26.07,51.96,31.48,47.79,10.4,88.04,0.01,70.41,24.27,77.4,40.6,83,91,39.7,52.73,39.7,146.76,87.45,97.06,19.98,4.5,0.51196,82.58,885018,76.25,3.58,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,24.91,6.13,45.06,28688.03,63.8,42451.55,59.49,1739.21,61.29,579480,53.77,2.772,81.67,2516.4,73.99,0.011664,77.11,-1.34528,66.81,-0.89405,85.59,-2.29618,82.72,-1.69714,66.11,16.35,79.55,30.45,100,39,65.24,1.9,85.59,1199.53,69.54,112.71,65.24,0.84,82.72,19.32,69.54,65.98,62.28,0.24,64.68,0.42,84.04,1.2,67.93,6230.42,85.59,11448.89,72.82,22450.5,72.62,50,71.58,50,100,2,72.82,196.71,77.11,16.4
"Albania","ALB",6.25,2.35,16.63,9.38,12.13,40.41,52.98,13.92,37.19,0.52,5.08,0.65,57.73,47.54,52.83,27.84,44.87,2.73,2.01,59.54,27.07,0.01,0.18,25.1,41.23,50.27,51.14,74.34,34.78,0.58,50.2,37.08,29.95,47.44,36.2,0.37,38.57,0.01,42.14,0.01,56.79,58.69,47.4,53.39,42.45,55.79,50.02,44.05,17.59,40.57,16611.3,65.67,0.56166,36.22,2459.68,42.68,0.08317,0.01,0,0.01,0,30.75,78.19,32.61,0.00264,26.24,2,25.38,7e-05,0.01,0,0.01,0,50.47,14583.58,69.37,0.4931,52.02,11708.89,67.8,0.3959,51.55,5730.57,69.96,0.19376,25.21,19381.29,34.21,0.65532,22.88,13098.29,29.1,0.44288,22.54,9806.41,30.38,0.33157,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.63,227119.62,85.33,7.67933,0.01,0,0.01,0,0.01,0,0.01,0,24.77,12897.86,25.44,0.4361,37.42,75.16,45.42,12.31,44.7,9.1,56.53,10.9,52.8,5555.75,49.54,1598.36,65.76,227.16,84.04,872.44,38.18,88.51,31.69,91.71,0.01,100,33.5,49,58.13,1.05,43.35,416.13,29.56,7.5,46.51,120,28.68,45.56,31.28,107.2,45.54,42.37,59.22,12.7,0.24385,13.96,79,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,1.03,41.83,27307.32,36.2,696.96,43.84,856.08,39.08,38876.8,45.43,1.274,0.01,0,0.01,0,59.75,-0.6992,53.98,-0.41587,58.43,-0.42838,58.96,-0.68777,49.07,119.1,45.78,358.7,45.3,300.7,62.93,3.58,39.15,22.11,46.02,20.49,61.28,2.08,47.2,55.13,60.03,82.23,52.3,0.8,49.24,1.99,48.6,19.89,39.43,32.77,48.37,1894.9,44.82,1423.85,19.25,97,13.25,98,21.32,96,45.3,2049.74,44.45,2.9
"Algeria","DZA",10.51,2.63,42.01,29.21,53.51,47.42,47.25,33.11,40.51,8.83,37.98,45.55,60.95,55.18,53.67,42.45,46.79,2.68,0.5,1.66,24.72,0.01,37.25,43.03,43.06,54.09,39.33,54.42,36.85,19.22,55.4,30.64,38.29,46.02,37.72,51.62,24.25,0.55,36.07,57.51,58.7,63.29,51.85,59.12,54.82,56.3,51.17,48.9,36.85,59.06,86270.82,53.82,0.27255,41.31,5220.51,28.3,0.01649,0.01,0,0.01,0,31.11,79.7,20.37,0.00025,23.72,0.69,0.01,0,0.01,0,0.01,0,24,49.14,18.88,0.00016,23.44,26.33,19.41,8e-05,0.01,0,0.01,0,34.53,70490.6,19.4,0.2227,33.89,57759.75,19.04,0.18248,30.7,29243.72,17.19,0.09239,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,1648815.31,33.33,5.20899,37.36,31528,30.44,0.0996,35.25,34.78,33.32,0.00011,51.71,295834.85,35.8,0.93461,44.33,72.83,41.83,12.83,57.32,6.7,51.05,12,43.1,10144.18,35.89,5024.18,43.84,39.34,67.55,300.88,35.47,90.88,38.28,85.56,23.75,97.03,15.55,98.1,57.11,1.1,53.74,149.35,28.77,7,32.64,130,37.72,51.43,38.87,143.43,48.14,46.14,46.26,7.37,0.25261,59.55,169053,44.74,0.52,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,30.03,10.18,31.28,17393.44,47.9,11274.69,46.26,949.44,41.19,57266.8,31.58,0.178,60.07,636,55.06,0.002004,59.49,-0.67948,57.92,-0.57263,71.32,-1.35952,56.16,-0.62091,50.46,105.79,53.27,191.57,56.78,170,61.55,5.21,56.16,132.24,53.51,34.9,59.42,4.06,58.17,38.18,51.63,91.48,46.89,1.25,57.95,0.76,49.3,19.15,48.37,192.19,45.78,1477.85,52.8,3498.6,43.38,86,44.18,86,26.1,94,42.59,2543.77,51.4,4
"Andorra","AND",0.28,0.02,3.97,2.62,2.05,11.69,33.64,0.58,29.88,0.01,21.02,0.01,24.8,34.52,28.35,1.49,37.85,0.14,0.01,0.01,0.01,0.01,0.16,0.01,26.14,44.79,27.38,39.96,0.01,0.01,31.9,36.43,36.31,22.13,33.19,0.01,0.01,0.01,0.01,0.01,29.16,21.09,39.81,36.98,27.95,25.08,32.04,14.77,0.15,15.88,77.44,39.59,0.10685,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.31,5580.77,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.13,80.12,30.88,14.47,35.18,10.5,57.03,10.8,30.88,30082.82,24.27,10432.1,55.67,116.49,28.68,-160.38,0.01,100,0.01,100,0.01,100,0.01,100,31.73,82.39,32.07,765.46,26.68,6.68,49.73,117.72,35.24,49.67,37.42,138.54,34.24,27.7,60.03,13.85,0.22909,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,52.1,109.25,17.28,13105.92,17.28,148.75,12.55,272.13,0.01,0,0.01,0,0.01,0,0.01,0,31.28,1.13741,27.18,1.52457,14.41,1.40149,30.88,1.21047,32.45,313.2,48.84,291,36.2,476.9,37.78,768.93,27.7,7.68,28.2,5.51,23.73,1717.89,14.41,106.07,46.14,95.36,38.21,3.95,20.34,31.53,42.34,32.46,12.55,2.98,20.45,322.3,12.55,99.58,0.01,99,0.01,99,34.16,88,25.51,8055.07,56.16,5.2
"Angola","AGO",11.13,2.24,55.33,36.2,63.28,73.96,60.94,65.07,78.36,2.86,69.96,48.83,73.59,70.52,72.26,81.68,68.55,0.12,0.13,23.49,31.87,0.01,63.23,37.83,77.29,70.83,54.45,46.26,62.56,43.73,65.55,100,70.66,79.55,85.59,50.03,46.67,0.01,42.41,56.23,75.44,71.78,68.11,65.35,78.8,70.65,73.91,79.32,84.12,16.27,83.89,15.7,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,23.66,19.96,17.48,1e-04,0.01,0,0.01,0,0.01,0,0.01,0,23.64,42.31,20.34,0.00022,24.36,38.41,20.88,2e-04,28.49,38.08,24.1,0.00019,36.15,77228.45,26.52,0.39363,37.13,70010.24,26.84,0.35684,38.12,56552.3,28.78,0.28825,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.49,1148080.18,40.18,5.85173,70.98,424692.34,64.87,2.16464,81.83,83821.38,77.46,0.42723,44.62,143416.21,32.08,0.73099,79.55,49.75,75.09,8.8,66.24,4.4,75.73,6.8,56.9,3778.99,52.1,1417.05,63.8,205.35,33.54,-52.26,67.86,45.35,57.67,33.29,53.63,28.54,35.65,42.5,65.69,0.71,65.42,39.45,100,58.7,100,80,67.55,64.6,73.91,357.93,80.51,93.01,24.91,5.06,0.47589,53.45,105157,46.82,0.56,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,64.76,769.66,77.87,39818.18,69.54,55544.62,68.32,2257.98,44.91,95693.8,40.04,0.526,55.06,527.4,57.42,0.003124,74.49,-1.31356,76.4,-1.31458,66.81,-1.0628,77.11,-1.49628,77.11,6.2,60.16,98.5,65.76,117.3,64.94,2.01,69.12,575.34,89.84,175.86,65.54,0.83,73.35,23.82,73.35,60.47,67.37,0.13,77.71,0.14,77.11,1.98,84.04,13374.82,72.82,7721.16,81.55,29316.19,73.74,47,100,18,80.71,28,53.74,1293.32,87.45,43.5
"Antigua and Barbuda","ATG",3.46,1.21,9.88,11.31,2.45,34.82,44.92,13.15,47.36,0.13,50.83,0.01,33.38,43.93,35.62,31.83,37.25,2.51,38.36,0.01,0.01,3.15,2.07,59.35,40.75,45.24,40.34,54.74,29.8,0.47,37.32,57.17,46.75,42.84,53.03,0.01,24.51,0.01,0.01,0.01,35.94,31.01,46.82,43.27,41.84,33.01,38.43,38.86,26.07,22.76,610.58,100,0.82016,20.35,147.23,54.41,0.19776,0.01,0,0.01,0,28.24,43.78,63.93,0.0588,27.02,2.1,44.17,0.00282,29.81,1.85,49.58,0.00248,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2754.52,100,3.7,41.71,223.34,62.47,0.3,0.01,0,0.01,0,15.87,5732.39,100,7.7,15.3,101.92,32.21,0.13691,0.01,0,0.01,0,38.96,73451,90.42,98.66266,38.3,74.9,43.35,12.52,44.7,9.1,45.78,12.54,36.51,17800.79,44.58,2468.5,43.35,38.67,69.12,326.34,22.71,97.79,39.1,83.98,21.68,97.98,0.01,100,39.15,20.69,35.57,672.08,38.15,12,85.67,88,51.63,59.1,42.34,168.46,43.59,40.75,55.67,10.35,0.36472,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,56.65,192.81,47.44,29192.43,52.1,15799.3,47.67,1013.66,0.01,0,0.01,0,0.01,0,0.01,0,34.24,0.85666,37.72,0.55905,28.68,1.08571,33.54,0.92267,48.14,129.08,45.54,358.78,43.1,325.41,43.44,354.73,44.09,39.72,39.7,13.09,42.86,165.78,41.04,67.58,20.45,108.83,44.63,1.44,25.32,18.15,50.23,18.1,44.82,118.57,30.03,644.14,43.59,1171.52,19.25,97,19.64,97,46.85,73,36.51,4402.07,38.01,2
"Argentina","ARG",15.77,11.66,21.34,21.11,11.6,39.67,38.43,28.96,42.29,1.95,45.63,0.63,55.37,44.69,41.01,30.52,49.89,45.41,28.1,36.69,54.85,0.01,42.01,27.13,38.58,30.55,45.58,40.62,29.62,20.34,43.91,26.58,27.16,50.7,54.94,21.92,33.61,0.01,39.49,0.01,50.26,60.99,47.23,40.84,46.27,37.74,44.57,39.57,23.54,50.65,48038.06,42.44,0.12842,53.43,15757.84,34.75,0.04213,52.91,1588.31,41.53,0.00425,34.43,130.82,22.51,0.00035,31.9,14.92,23.81,4e-05,32.5,5.64,25.73,2e-05,43.4,4188.63,33.47,0.0112,42.49,2127.71,32.91,0.00569,38.69,504.13,31.06,0.00135,59.98,581770.99,51.16,1.55531,59.98,484589.77,50.72,1.2955,59.98,334261.23,48.61,0.89361,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2399801.37,46.68,6.41563,34.01,22126.82,24.19,0.05915,50.46,5363.22,45.28,0.01434,36.84,59785.06,19.98,0.15983,38.87,74.37,38.3,13.28,43.77,9.2,21.32,16.3,42.34,10857.47,49.07,1683.54,36.04,7.22,45.78,5.74,24.92,97.21,35.2,89.34,25.11,96.61,16.47,97.2,41.67,14.1,46.26,351.04,18.47,4.5,38.25,125,39.97,53.37,18.45,77.21,46.49,43.98,61.7,15.75,0.37697,28.34,3876,16.95,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,57.92,240.96,39.97,25471.2,45.06,8929.8,41.57,760.74,45.29,96730.8,34.43,0.258,0.01,0,0.01,0,53.51,-0.42499,47.2,-0.05757,60.57,-0.60996,61.42,-0.80737,31.28,318.6,71.32,48.5,37.42,450.89,44.57,299.7,48.84,60.23,43.84,16.99,47.27,82.92,43.59,59.74,26.09,105.29,65.99,0.15,51.44,1.54,26.09,65.49,42.59,91.05,32.82,724.29,44.33,1403.35,13.01,98,36.98,91,27.1,93,46.73,1941.38,53.27,4.4
"Armenia","ARM",2.24,0.23,21.88,19.16,11.79,46.36,53.49,39.34,43.82,0.73,38.36,0.68,52.91,45.52,46.8,38.51,55.3,48.31,0.01,0.01,29.01,0.01,2.79,0.01,46.01,42.25,55.92,75.29,31.68,19.54,66.16,58.51,43.31,43.35,44.82,73.13,0.01,0.54,45.91,0.01,52.67,53.15,39.68,51.84,45.85,55.34,39.58,47.1,31.48,42.98,24382.4,100,0.82016,43.86,8845.63,60.95,0.29754,30.22,38.63,36.61,0.0013,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.17,27104.57,38.12,0.91173,25.54,14884.8,31.65,0.50069,23.21,10013.22,30.7,0.33682,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.76,218702.94,66.38,7.3566,37.74,32680.46,55.3,1.09929,0.01,0,0.01,0,0.01,0,0.01,0,45.54,72.58,46.49,12.17,32,10.8,55.79,11,54.46,4806.29,57.41,909.81,70.41,330.47,80.51,778.5,27.2,96.37,36.89,88.5,16.71,99.24,22.84,89.7,73.25,0.33,59.75,67.75,50.41,21.1,67.9,100,44.58,55.9,42.08,165.86,40.51,33.63,63.49,17.79,0.29831,63.01,235385,84.88,7.84,0.01,0,0.01,0,28.97,66.67,0.01,0,23.6,5.56,49.54,30041.02,40.25,4097.18,46.02,940.55,41.55,59400,50.73,1.936,0.01,0,0.01,0,57.92,-0.61048,47.9,-0.09224,53.03,-0.11686,53.27,-0.42261,38.87,246,40.51,486.1,37.72,443.7,71.25,0.52,42.84,35.69,49.07,25.17,73.04,0.12,44.33,57.68,52.33,90.76,32.87,6.32,47.51,2.23,39.7,37.88,44.09,108.87,52.33,2489.5,45.3,1435.04,35.94,91,33.25,93,26.1,94,53.51,1297.14,57.16,5.9
"Australia","AUS",18.99,31.9,11.3,7.88,6.81,26.92,8.76,1.19,33.83,2.56,33.55,0.49,22.04,29.19,22.83,27.2,31.41,23.61,63.92,27.6,35.79,49.49,6.74,67.62,13.45,0.48,31.06,29.38,9.92,0.01,32.13,0.62,30.84,37.42,33.54,43.65,38.53,0.01,23.7,0.01,18.45,26.33,27.99,35.12,25.3,21.59,24.14,20.9,35.39,31.2,4027.13,25.64,0.01909,18.93,67.53,16.32,0.00032,26.31,3.4,26.62,2e-05,75.86,10496.94,61.93,0.04975,66.71,2684.14,54.38,0.01272,70.82,2103.56,56.53,0.00997,32.62,454.85,24.73,0.00216,31.34,192.04,24.55,0.00091,28.88,41.34,24.68,2e-04,41.51,109411.36,30.06,0.51858,41.86,93634.83,29.42,0.4438,43.63,73066.64,31.33,0.34631,48.72,31806.66,42.94,0.15075,47.65,682.92,38.49,0.00324,61.9,43.5,61.9,0.00021,45.44,590205.53,17.73,2.7974,22.11,3016.01,16.77,0.0143,31.5,0.07,0.01,0,73.71,3316697.33,62.03,15.72018,12.55,80.85,14.41,15.79,23.09,11.8,0.01,20.3,30.46,30414.57,31.68,6759.37,25.21,0,34.24,-40.08,12.82,99.76,7.68,99.99,0.01,100,0.01,100,34.38,50.28,30.03,818.78,0.01,2.5,38.25,125,31.68,47.13,30.03,105.72,37.72,29.76,66.11,18.95,0.23104,48.48,68495,39.3,0.34,48.08,14608,30.87,0.06,0.01,0,0.01,0,46.73,58.64,30.88,16780.2,27.7,256.69,31.68,456.28,27.86,4117.2,20.16,0.02,0.01,0,0.01,0,18.45,2.02876,18.45,2.00678,33.89,0.9365,20.45,1.81557,35.41,271.5,22.13,1024,38.87,400,31.73,1806.04,21.32,5.47,30.03,5.81,32.66,916.59,45.78,55.83,6.73,117.01,51.53,0.82,40.55,4.9,6.73,89.35,27.7,6.84,10.16,167.4,32.45,256.8,34.45,92,34.9,92,36.88,85,24.27,8367.09,40.65,2.3
"Austria","AUT",1.31,0.17,10.07,4.88,6.6,31.68,30.19,0.18,29.22,0.6,29.12,0.56,21.91,23.48,32.73,30.85,31.49,39.39,0.01,0.01,55,0.01,0.16,0.01,25.21,35.24,25.8,36.24,0.01,0.01,23.35,0.45,23.93,34.24,30.46,47.77,0.45,0.01,31.88,0.01,20.48,23.44,27.41,19.88,23.76,29.68,36.1,18.31,51.98,43.33,24864.27,55.17,0.30546,41.73,5303.54,40.17,0.06515,29.78,34.27,31.28,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.2,210711.92,60.62,2.58858,48.2,179420.34,61.96,2.20416,49.44,133015.3,64.16,1.63408,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.95,466868.39,37.87,5.73544,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.51,79.44,24.91,14.94,39.96,9.8,31.08,14.9,25.51,33699.35,26.09,9426.7,25.21,0,52.1,32.87,0.01,100,0.01,100,0.01,100,0.01,100,27.98,106.46,19.49,977.98,0.01,2.5,20.34,142,24.27,44.23,23.6,87.54,26.65,23.85,75.09,23.54,0.19625,46.05,56563,49.55,0.69,20.2,129.5,0.01,0,0.01,0,0.01,0,52.56,109.54,21.32,13550.36,27.18,251.64,23.6,301.94,33.06,12060,30.75,0.15,0.01,0,0.01,0,17.28,2.04962,24.27,1.8653,28.2,1.09058,19.49,1.83699,21.32,421,35.24,609.6,21.32,773,18.53,4068.19,22.13,6.07,25.51,5.01,25.3,1675.98,28.68,87.77,36.04,99.91,55.23,0.59,31.33,9.08,27.18,62.46,6.73,2.66,33.54,739.07,27.18,183.43,46.62,83,47.29,83,63.69,47,26.09,7961.15,38.01,2
