"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.12,0.25,68.05,58.7,77.12,69.61,65.55,60.98,68,56.28,45.55,71.16,87.64,73.55,67.29,71.42,70.19,56.71,0.01,0.01,46.86,0.01,2.46,0.01,66.55,71.78,69.9,55.3,65.19,46.97,70.4,64.13,37.42,84.04,100,83.23,30.64,69.92,50.64,100,85.05,90.31,70.14,74.55,76.08,70.6,64.13,70.38,72.48,64.43,144102.67,66.24,0.57662,59.54,48170.46,53.18,0.19275,52.07,1613.07,47.28,0.00645,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,269153.53,41.16,1.07701,51.16,230018.75,42.21,0.92041,52.51,175840.17,44.73,0.70362,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1504561.64,40.93,6.02047,32.57,22777.95,29.74,0.09115,0.01,0,0.01,0,0.01,0,0.01,0,66.11,61.83,67,9.87,73.63,3.3,69.97,9.5,73.91,1697.64,66.11,393.12,78.68,643.91,38.87,-26.24,69.85,50.83,60.85,36.43,48.95,43.22,45.07,21.5,71.28,0.94,69.54,458.14,57.48,23.7,71.56,100,37.72,50.25,37.12,129.29,84.04,95.51,23.6,4.71,0.48987,91.24,1028473,75.92,3.41,31.81,3000,29.51,0.01,72.76,186000,67.2,0.62,24.91,7.23,45.3,25303.47,64.11,36380.62,59.49,1535.28,55.44,471398.2,46.26,1.596,100,6613.2,100,0.023188,89.84,-1.57918,80.51,-1.44849,87.45,-2.50206,93.27,-1.89663,63.18,25.2,77.87,35.48,85.59,44,64.94,3.05,82.72,905,69.97,84.1,64.98,1.07,77.87,24.56,69.54,77.43,54.23,0.83,61.13,0.52,79.55,3.62,63.8,2764.75,77.11,6925.24,70.86,13966.72,67.12,68,70.87,68,80.06,31,69.97,421.89,70.41,11.8
"Albania","ALB",4.5,2.36,8.57,5.09,11.09,11.14,50.65,12.63,36.02,0.03,4.96,0.53,54.51,47.2,48.26,0.66,43.4,2.69,2.07,59.85,25.81,0.01,0.18,26.25,40.05,43.25,49.99,75.99,35.39,0.55,47.83,27.34,27.92,41.04,40.78,0.41,0.01,0.01,27.75,0.01,55.42,53.62,47.65,53.23,41.47,53.69,43.38,43.01,0.01,39.9,15310.47,65.67,0.54863,34.01,2163.22,42.25,0.07752,0.01,0,0.01,0,31.11,92.25,36.07,0.00331,27.02,2.49,25.58,9e-05,0.01,0,0.01,0,50.47,15560.75,69.44,0.5576,52.02,12661.14,70.94,0.45369,50.86,6056.35,69.89,0.21702,23.21,17189.48,33.25,0.61596,21.51,11518.69,28.78,0.41276,20.81,8606.89,29.74,0.30841,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.76,214232.81,85.33,7.67671,0.01,0,0.01,0,0.01,0,0.01,0,25.11,13777.84,27.44,0.49371,35.89,77.15,44.7,13.14,41.95,10,44.58,13.7,49.07,10210.2,50.93,2097.05,68.72,300.5,84.04,1109.58,38.79,91.81,32.28,95.7,0.01,100,30.71,69,49.98,44.13,45.78,1067.05,22.9,4.9,32.64,132,27.18,45.05,28.68,97.73,42.34,31.8,60.85,16.32,0.2512,16.88,105,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,1.06,41.31,23204.32,34.58,583.65,42.34,717.35,26.19,4195,29.4,0.144,0.01,0,0.01,0,60.03,-0.68301,51.16,-0.20821,54.7,-0.28238,52.56,-0.45537,50.93,122.2,44.58,417.6,44.82,288.2,63.21,4.85,40.38,22,42.59,12.3,59.11,3.63,47.44,59.83,55.18,91.7,43.64,2.39,47.44,2.22,39.43,49.88,38.3,17.31,47.67,1527.35,43.59,826.2,0.01,99,0.01,99,0.01,99,46.97,2997.62,40.11,3.4
"Algeria","DZA",8.85,2.61,29.98,12.64,50.91,41.88,43.14,30.75,39.33,0.16,38.72,39.63,61.24,54.37,45.41,35.65,45.36,2.67,0.49,1.66,24.48,0.01,37.15,42,40.78,47.1,40.75,44.27,39.37,19.09,52.37,22.73,35.07,43.1,40.25,43.98,0.01,0.01,26.86,58.46,56.28,66.64,51.26,56.88,55.12,43.99,46.88,48.41,26.26,58.47,96589.86,52.93,0.2694,41.73,5876.74,28.3,0.01639,0.01,0,0.01,0,30.03,84.44,19.83,0.00024,23.53,0.67,0.01,0,0.01,0,0.01,0,24,57.18,19.44,0.00016,23.44,31.88,19.41,9e-05,0.01,0,0.01,0,34.21,78713.48,18.67,0.21954,33.89,63833.6,18.67,0.17804,31.01,32435.33,17.19,0.09046,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1877321.12,33.33,5.23601,36.98,36476.43,30.44,0.10174,35.25,38.27,33.32,0.00011,50.73,320951.89,34.77,0.89516,40.78,75.29,40.78,13.79,54.94,7.4,40.38,14.3,46.26,13357.55,35.89,6546.62,42.59,13.05,46.02,11.6,37.6,92.51,41.23,87.19,23.44,98.85,15.55,99.2,54.35,26.75,50.46,971.48,20.49,4.6,25.21,139,35.24,48.8,34.91,119,49.3,40.99,49.54,8.22,0.25097,53.66,94950,36.04,0.26,0.01,0,0.01,0,0.01,0,0.01,0,32.82,17.25,30.88,15815.88,47.44,9291.21,46.73,892.42,32.61,12739.2,22.13,0.036,59.9,363.8,57.05,0.001036,55.42,-0.54458,57.16,-0.56462,72.3,-1.36056,61.42,-0.80767,50,133.93,52.56,224.15,53.74,189.25,60.21,9.75,56.78,116,53.51,26.7,56.57,10.02,57.66,42.55,26.09,106.16,41.13,4.14,52.56,1.38,47.67,31.21,46.97,103.25,45.54,1314.08,53.03,2815.49,30.34,95,32.72,95,18.24,96,42.84,4275.57,48.02,4.5
"Andorra","AND",0.29,0.02,4.07,2.79,2,12.1,39,0.57,31.89,0.01,23.99,0.01,24.57,32.55,26.3,1.49,45.25,0.14,0.01,0.01,0.01,0.01,0.16,0.01,26.95,48.12,32.77,54.46,0.01,0.01,39.09,26.77,37.62,29.14,29.59,0.01,0.01,0.01,0.01,0.01,28.46,21.21,37.93,37.75,24.09,21.12,32.75,13.96,0.16,16.27,93.07,39.18,0.10672,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,6714.89,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.13,81.46,32.82,15.12,40.25,10.4,57.53,11.7,33.89,30057.71,31.68,8125.62,53.74,109.88,55.18,120.66,0.01,100,0.01,100,0.01,100,0.01,100,26.62,307.63,57.41,776.66,16.16,3.78,44.33,123.66,35.89,49.37,39.43,142.98,35.57,25.75,61.13,16.38,0.16539,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.07,112.56,20.45,12161.54,22.89,154.54,14.41,262.85,0.01,0,0.01,0,0.01,0,0.01,0,29.81,1.27928,27.18,1.50469,15.96,1.30249,28.2,1.40784,32.45,335.29,44.33,428.69,37.72,377.49,37.78,1035.23,23.6,5.83,24.59,4,16.65,3571.22,12.55,123.84,45.06,97.69,38.73,4.76,20.45,36.19,44.33,41.27,12.55,3.24,21.32,280.54,10.16,72.47,0.01,99,0.01,99,41.45,82,33.19,6540.07,61.7,8.25
"Angola","AGO",10.95,2.31,51.87,34.93,57.73,69.22,57.08,59.38,77.95,2.85,69.02,39.65,69.6,69.72,69.87,75.89,62.56,0.12,0.13,26.25,32.47,0.01,58.27,45.52,74.5,67.66,52.46,40.15,63.58,45.71,69.98,61.12,68.12,82.72,84.04,35.83,64.44,0.01,40.23,39.08,76.03,63.72,70.49,66.76,72.02,68.34,71.44,72.53,79.4,15.88,85.01,15.7,0.00039,0.01,0,0.01,0,0.01,0,0.01,0,28.24,46.64,19.29,0.00022,0.01,0,0.01,0,0.01,0,0.01,0,26.57,98.96,21.99,0.00046,27.14,92.89,22.71,0.00043,33.37,92.25,27.25,0.00043,37.46,89697.7,27.17,0.41565,37.79,80576.26,27.17,0.37338,38.12,65190.01,29.42,0.30208,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,51.9,1090103.28,32,5.05139,67.06,375787.68,61.16,1.74135,74.22,78297.38,77.46,0.36282,52.21,344109.1,39.68,1.59455,75.09,56.93,73.91,9.22,65.42,4.7,69.97,9.5,56.9,6128.62,48.37,2542.61,42.08,11.58,38.3,-33.86,68.99,51.17,58.6,42.33,56.31,34.6,37.11,44.9,73.69,0.65,66.46,498.47,59.4,24.4,62.88,107,68.32,63.23,67.93,305.47,82.72,93.34,22.89,4.65,0.4667,44.51,23332,28.84,0.1,61.45,227000,67.58,0.94,0.01,0,0.01,0,68.32,974.93,71.8,36879.6,66.11,40512.16,69.97,2147.91,45.48,126586,35.58,0.556,39.86,10,38.31,4.6e-05,80.51,-1.34429,71.8,-1.15356,56.16,-0.36924,72.3,-1.26538,67.74,14.31,73.35,42.56,66.11,91.76,67.41,1.89,64.43,300,80.51,112.5,62.34,1.58,74.49,25.45,68.72,78.33,60.69,0.35,84.78,0.1,70.86,6.13,77.11,7592.09,64.76,4489.26,76.4,17693.71,78.66,52,83.43,50,76.28,36,53.74,1771.13,72.82,13.5
"Antigua and Barbuda","ATG",3.39,1.2,9.59,5.63,10.06,15.56,49.43,5.14,44.05,0.01,50.68,0.65,33.62,46.56,35.67,2.47,42.76,2.51,38,0.01,0.01,3.15,2.07,59.08,41.81,49.09,44.76,64.97,34.07,0.54,0.69,54.78,44.59,37.12,51.63,0.01,0.01,0.01,42.56,0.01,34.28,32.97,47.99,49.35,42.62,31.64,40.22,40.71,0.15,23.1,663,100,0.82016,20.35,159.79,53.79,0.19766,0.01,0,0.01,0,27.89,45.08,62.9,0.05577,26.63,2.16,43.6,0.00267,29.81,1.89,49.58,0.00233,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2991,100,3.7,41.71,242.51,62.47,0.3,0.01,0,0.01,0,15.31,6224.52,100,7.7,15.3,118.32,33.29,0.14637,0.01,0,0.01,0,38.6,79678.88,90.42,98.56621,38.58,76,45.3,13,47.2,9,51.05,12.6,39.7,19720.69,50.46,2120.12,66.81,275.8,63.18,326.35,27.62,96.97,42.03,86.72,29.28,94.55,0.01,100,47.76,67.23,0.01,1972.08,37.93,11.17,79.11,95,48.14,57.09,41.31,152.14,45.3,35.1,55.18,10.92,0.34675,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.18,200.34,48.6,26491.17,52.1,14605.58,47.2,914.47,28.46,6160,63.66,7.178,0.01,0,0.01,0,29.81,1.27928,39.43,0.48688,32.07,0.95759,33.89,0.94947,49.54,139.05,46.49,381.9,53.03,193.3,45.93,410.17,47.08,43,38.58,9,44.96,179.3,40.78,75.32,17.28,110.73,45.87,1.82,24.27,20.46,58.43,15.06,46.73,99.85,33.89,660.69,42.59,742.09,0.01,99,0.01,99,33.28,89,43.59,4219.79,41.95,3.5
"Argentina","ARG",14.36,11.64,17.72,11.96,10.75,43.27,37.65,24.77,42.94,0.13,47.06,0.58,51.26,41.73,38.02,38.33,55.6,45.26,28.78,36.33,54.91,0.01,42.02,26.52,40.64,28.68,43,40.1,28.31,18.37,33.16,21.82,26.01,53.51,56.9,22.37,0.01,0.01,33.86,0.01,50.92,51.6,39.66,39.99,45.83,35.45,40.78,40.39,36.37,50.22,51893.41,42.44,0.12811,52.84,16950.09,34.75,0.04185,52.91,1700.15,41.53,0.0042,35.19,153.86,22.68,0.00038,33.17,20.08,24.4,5e-05,33.89,7.28,25.94,2e-05,42.43,4391.88,34.04,0.01084,41.53,2250.41,31.73,0.00556,39.63,586.39,30.49,0.00145,59.36,628668.71,51.6,1.55203,59.98,523264.68,50.72,1.29181,59.98,358613.22,49.02,0.88533,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2596754.41,45.98,6.41074,34.01,24528.86,24.19,0.06056,50.46,5624.25,46.05,0.01388,36.49,64341.7,19.28,0.15884,40.25,75.52,41.04,13.78,41.18,10.3,19.98,17.2,41.04,18772.88,45.06,3352.1,40.51,3.54,39.7,-16.02,21.89,98.61,36.62,93.03,21.71,99.08,15.55,99.2,43.1,110.81,25.51,1471.66,13.45,3.4,35.41,130,39.15,52.2,17.28,72.33,48.84,40.42,60.57,16.12,0.37729,31.21,4537,16.03,0.01,0.01,0,0.01,0,0.01,0,0.01,0,59.49,323.07,42.34,24006.21,46.26,8379.07,42.08,709.91,39.45,55430.4,29.07,0.138,0.01,0,0.01,0,51.86,-0.36616,50,-0.12006,47.2,0.15899,56.41,-0.56089,30.46,360.35,51.63,236.79,35.24,439.1,45.39,442.76,47.9,48,43.84,13.9,43.91,188.05,44.33,66.44,22.89,108.6,58.85,0.45,46.26,2.36,24.91,76.3,43.59,67.7,33.54,653.95,45.06,1024.23,41.05,91,39.09,93,29.97,91,46.02,3332.75,67.18,9.8
"Armenia","ARM",1.64,0.23,11.7,13.29,2.86,42.1,53.73,29.65,35.75,0.18,40.37,0.01,52.95,44.31,43.65,30.96,55.23,47.79,0.01,0.01,29.09,0.01,2.74,0.01,47.26,40.17,56.04,78.34,29.87,17.87,46.2,31.32,33.1,31.68,43.59,60.22,0.01,0.01,0.01,0.01,54.18,51.75,38.1,50.38,45.32,48.72,39.1,46.64,20.55,42.28,23653.09,100,0.82016,42.99,8549.51,60.95,0.29645,30.22,34.24,35.6,0.00119,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26786.51,38.78,0.92881,24.55,14800.12,32.29,0.51319,23.21,9950.02,31.65,0.34501,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.18,212195.43,66.79,7.35779,35.85,29652.44,53.43,1.02819,0.01,0,0.01,0,0.01,0,0.01,0,46.73,73.71,47.79,12.36,33.36,11.2,48.37,13.1,53.27,8310.38,58.96,890.48,68.32,297.52,89.84,1185.55,23.48,98.51,38,91.28,18,99.6,17.74,96.8,49.24,55.82,43.35,1116.35,19.26,4.3,50.93,118,34.58,48.57,31.68,108.89,38.3,27.89,60.3,15.59,0.27761,52.43,85896,69.16,2.99,0.01,0,0.01,0,0.01,0,0.01,0,29.59,14.35,49.07,26742.59,39.97,3280.36,45.78,872.55,0.01,0,0.01,0,0.01,0,0.01,0,58.43,-0.65689,50.23,-0.12896,51.4,-0.06387,52.1,-0.44097,36.82,286.8,39.43,529.9,38.01,374.4,66.77,2.02,43.72,30,46.97,17.6,69.33,0.63,32.45,95.54,51.4,94.93,32.21,8.08,48.84,1.99,38.01,53.34,41.57,51.35,54.46,2428.54,44.82,1015.24,30.34,95,26.32,96,10.87,98,50.7,2466.76,60.16,7.7
"Australia","AUS",19.25,31.73,11.68,7.76,7.48,27.48,8.41,1.22,34.99,2.42,32.45,0.6,23.44,29.75,25.9,27.94,28.68,23.45,64.28,27.11,35.28,49.61,6.7,67.62,13.53,0.41,28.44,31.76,9.84,0.01,37.97,0.6,29.91,41.83,34.24,38.48,36.79,0.01,35.57,0.01,20.77,26.46,28.53,33.02,27.94,24.26,27.65,21.13,36.95,30.25,4027.65,25.64,0.01909,18.93,67.81,16.32,0.00032,26.31,3.38,26.41,2e-05,75.86,10512.73,61.93,0.04982,66.71,2688.41,55.23,0.01274,70.82,2107.77,57.56,0.00999,31.84,440.14,24.91,0.00209,30.17,176.35,23.99,0.00084,28.88,40.74,23.93,0.00019,40.82,108668.15,30.38,0.51501,40.47,93039.31,30.06,0.44094,40.82,72657.78,31.33,0.34434,48.72,31825.96,43.55,0.15083,47.65,686.93,38.49,0.00326,61.9,43.81,61.9,0.00021,44.6,590268.13,17.73,2.79743,22.11,3008.77,16.4,0.01426,31.5,0.16,0.01,0,73.71,3315458.52,62.03,15.71278,13.53,82.2,13.53,16.63,16.64,12.7,0.01,20.1,28.2,40280.85,28.68,9778.28,31.08,0,32.45,-124.65,12.2,99.89,7.94,99.99,0.01,100,0.01,100,31.33,248.52,46.02,1064.86,0.01,2.5,35.41,130,29.37,46.77,30.46,101.97,39.15,28.27,67.18,20.24,0.20211,46.18,28633,32.06,0.13,37.77,10000,35.84,0.04,0.01,0,0.01,0,43.1,63.23,30.46,15590.31,26.65,240.35,31.68,434.26,38.78,51282.2,32.63,0.234,0.01,0,0.01,0,19.49,2.04464,22.13,1.69595,34.24,0.93571,20.45,1.74258,33.54,328.8,24.27,1081,37.42,379,29.14,3533.95,25.81,6,30.25,4.5,28.9,1654.95,48.6,57.3,10.16,115.96,52.41,0.95,39.7,5.33,10.16,97.83,27.7,6.93,10.16,132.73,33.54,223.27,38.31,92,41.41,92,31.79,90,21.32,10934.46,38.58,3.3
"Austria","AUT",1.03,0.17,6.25,4.46,1.74,31.53,27.71,0.4,31.01,0.17,30.32,0.01,22.72,23.03,31.9,30.79,31.91,39.07,0.01,0.01,54.45,0.01,0.16,0.01,25.3,28.19,24.25,34.1,0.32,0.01,25.65,0.32,26.07,41.31,27.7,52.41,0.01,0.01,0.01,0.01,26.02,19.83,26.33,19.1,24.3,30.38,33.5,20.18,46.99,42.98,25745.06,55.17,0.3063,40.5,5506.78,39.77,0.06552,29.78,33.06,31.28,0.00039,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,223572,61.28,2.65989,47.4,189943.17,61.96,2.2598,48.2,140213.06,63.4,1.66815,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.57,483780.45,38.65,5.75566,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.37,80.87,24.27,15.86,28.44,11.8,27.95,16,23.6,44602.61,24.91,11599.17,31.08,0,37.42,-38.35,0.01,100,10.5,99.98,0.01,100,0.01,100,30.87,249.97,21.32,1551.85,0.01,2.5,10.16,147,25.51,44.31,26.65,89.11,26.09,21.54,79.55,26.78,0.15805,51.24,71983,53.61,0.86,0.01,0,0.01,0,0.01,0,0.01,0,53.27,150.14,24.27,12528.78,27.7,245.44,23.6,291.66,0.01,0,0.01,0,0.01,0,0.01,0,28.68,1.4319,23.6,1.61776,21.32,1.19352,18.45,1.80156,20.45,484,33.89,680.7,18.45,768,19.78,6195.67,21.32,5,27.7,4.2,21.33,2471.81,30.88,99.74,42.59,98.58,53.86,0.85,29.59,12.86,23.6,78.5,10.16,3.03,32.45,614.75,24.91,130.28,44.25,89,47.49,89,49.37,73,24.27,9989.29,41.95,3.5
