"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.07,0.25,66.25,57.57,73.7,68.52,65.21,61.8,63.65,53.61,45.97,65.8,83.91,72.51,67.58,70.76,67.28,56.61,0.01,0.01,47.52,0.01,2.45,0.01,66.83,70.18,68.19,56.53,62.83,43,77.75,69.44,37.43,80.51,85.59,62.21,39.88,62.09,49.35,87.74,80.51,87.45,71.07,70.28,76.32,73.41,62.21,69.52,72.02,64.43,150054.04,66.24,0.57579,59.54,50065,52.59,0.19211,52.07,1657.62,47.28,0.00636,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,283659.75,42.21,1.08846,51.6,243073.42,43.63,0.93272,52.98,185390.24,45.1,0.71138,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1571715.54,40.93,6.03097,32.57,23030.84,28.69,0.08837,0.01,0,0.01,0,0.01,0,0.01,0,66.11,62.77,67.55,9.95,73.91,3.5,66.64,10.2,71.8,2022.55,64.76,532.27,76.4,505.08,41.83,-9.57,65.78,56.01,60.01,39.51,41.83,68.98,44.21,24.8,87.45,0.05,69.12,520.84,64.74,28.2,74.49,98,39.04,50.03,35.89,124.5,80.51,90.61,24.91,4.73,0.47165,68.38,336792,56.6,1.04,44.86,15400,35.45,0.05,59.53,124000,64.75,0.38,24.91,8.21,47.44,25299.96,64.11,34684.15,58.96,1464.81,54.45,389600.2,44.72,1.296,87.76,7277,87.73,0.024034,85.59,-1.43676,75.73,-1.38493,87.45,-2.51935,87.45,-1.59731,63.49,28.5,79.55,25,81.55,53,60.57,3.2,82.72,810,70.41,76.9,72.72,1.09,82.72,23.09,65.76,81.45,53.03,0.81,64.07,0.56,70.86,6.97,63.8,2425.83,75.73,6271.66,69.54,12221.26,70.53,64,70.02,64,75.64,38,69.97,542.93,64.69,7.4
"Albania","ALB",5.15,2.32,11.44,11.57,11.77,11,49.13,11.45,36.62,2.03,4.96,0.66,53.4,46.22,46.54,0.65,43.99,2.67,2.05,60.24,24.91,0.01,0.17,25.72,39.6,40.64,51.86,69.81,34.01,0.55,42.82,21.43,32.42,36.67,41.31,35.61,23.45,0.01,44.08,0.01,55.92,51,48.18,50.78,40.37,53.75,40.3,42.75,0.01,38.9,15092.48,65.67,0.54497,34.01,2098.98,41.83,0.07579,0.01,0,0.01,0,30.39,92.07,35.28,0.00332,27.02,2.53,25.75,9e-05,0.01,0,0.01,0,50.59,15336.7,71.08,0.55379,52.02,12313.59,70.94,0.44463,51.55,5722.93,69.89,0.20665,22.19,15549.27,31.97,0.56147,21.16,10339.58,27.49,0.37335,20.81,7727.64,27.81,0.27904,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.88,212573.58,85.33,7.67578,0.01,0,0.01,0,0.01,0,0.01,0,24.1,14121.07,27.44,0.5099,35.57,77.79,44.09,13.5,42.97,10,38.44,14.9,50.93,10753.24,52.8,1875.41,65.42,223.38,74.49,902.93,38.63,92.63,29.95,96.71,0.01,100,30.71,73.3,48.6,63.06,37.72,1273.18,16.9,3.5,27.18,138,31.33,46.52,33.54,115,39.97,29.04,61.13,17.22,0.25403,33.95,7767,37.36,0.27,24.61,382,22.34,0.01,0.01,0,0.01,0,0.01,1.07,41.83,22344.23,34.24,570.54,42.34,701.41,41.59,50150,46.71,1.728,0.01,0,0.01,0,59.49,-0.6986,52.56,-0.31692,48.6,0.09193,53.51,-0.51802,50.7,127.7,45.78,428.9,44.33,288.9,58.17,5.39,38.73,16,42.08,10.7,66.39,3.46,47.9,62.12,48.84,97.58,40.25,3.37,49,2.33,33.19,64.63,37.42,16.83,47.9,1523.64,43.59,731.66,0.01,99,0.01,99,0.01,99,50.93,2756.86,37.99,1.9
"Algeria","DZA",9.17,2.64,31.86,16.27,45.29,43.88,44.82,27.77,39.65,0.6,38.49,28.99,59.37,53.96,51.06,37.13,44.55,2.67,0.49,1.73,24.49,0.01,38.06,42.61,41.17,49.87,43.65,45.03,40.25,19.2,51.63,14.9,34.6,45.06,39.97,44.7,0.49,0.01,15.7,53.53,55.67,63.32,51.26,55.18,55.54,55.32,47.13,48.79,28.25,58.47,100184.87,52.93,0.26855,41.73,6103.03,28.3,0.01636,0.01,0,0.01,0,30.03,90.31,19.29,0.00024,23.53,0.79,0.01,0,0.01,0,0.01,0,25.65,72.47,19.99,0.00019,25.28,52.35,20.33,0.00014,0.01,0,0.01,0,34.53,80268.25,18.31,0.21516,33.89,65059.65,18.31,0.1744,31.33,33247.28,17.57,0.08912,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1955669.91,33.33,5.24228,37.36,38153.8,30.44,0.10227,37.56,76.78,35.82,0.00021,51.21,344777.96,35.46,0.9242,41.04,75.73,41.31,13.96,54.46,7.8,45.66,13.6,47.67,12774.99,39.97,5925.03,43.84,12.66,46.26,10.64,38.18,92.97,42.44,86.99,23.43,98.98,15.73,99.3,51.86,33.56,51.4,1036.1,15.4,3.3,14.41,146,34.62,48.8,34.58,119,49.77,42.01,49.77,8.48,0.24477,54.51,95937,36.66,0.25,23.71,300,0.01,0,0.01,0,0.01,0,32.07,19.23,30.88,15281.36,47.44,8878.03,46.73,880.58,18.54,688.4,13.29,0.002,52.51,282.2,54.57,0.000778,53.74,-0.47348,57.66,-0.53419,69.54,-1.20237,57.66,-0.68937,49.77,135.76,52.8,211.11,54.22,183.81,56.16,9.93,57.41,115,53.74,25.7,63.26,10.87,56.41,46.66,47.44,98.2,39.7,4.55,55.33,1.36,47.67,33.89,46.49,92.52,46.49,1334.8,53.74,2621.23,30.89,95,30.47,95,23.95,93,41.83,4463.31,47.44,3.3
"Andorra","AND",0.33,0.02,5.51,2.81,2.02,29.49,39.17,0.56,32.51,0.01,24.71,0.01,26.12,31.66,28,18.25,50.19,0.14,0.01,0.01,0.01,0.01,0.16,0.01,29.1,44.35,32.77,55.67,0.01,0.01,36.74,26.53,37.99,32.07,28.2,0.01,0.01,0.01,0.01,0.01,28.16,24.22,38.03,35.23,23.68,23.89,32.82,12.17,27.37,16.27,98.2,39.59,0.10646,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,7102.24,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.09,81.35,32.45,15.31,40.38,10.5,48.72,13.1,33.89,30978.77,31.68,8082.89,53.98,107.29,57.41,210.38,0.01,100,0.01,100,0.01,100,0.01,100,22.89,343.37,58.96,791.52,16.53,3.48,42.59,125.64,36.6,49.28,39.43,142.52,33.89,24.54,63.49,19.15,0.15056,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.37,115.08,22.13,11888.73,22.89,152.11,15.22,260.53,0.01,0,0.01,0,0.01,0,0.01,0,31.08,1.2608,25.51,1.5394,20.45,1.28393,28.68,1.40904,32.45,344.58,44.58,461.78,35.89,406.86,34.58,1077.69,24.91,5.4,22.51,3.6,16.67,3831.42,18.45,117.85,44.33,99.24,39.15,4.69,21.33,37,42.34,47.26,12.55,3.4,21.32,276.03,6.73,59.81,26.66,96,26.19,96,29.35,91,35.57,6278.53,70.83,9.08
"Angola","AGO",10.89,2.31,51.35,32.87,60.74,67.8,56.04,56.94,79.71,2.18,69.21,44.54,69.08,72.84,68.61,74.08,61.31,0.12,0.13,24.61,33.82,0.01,56.46,47.3,74.64,65.51,52.75,38.25,63.46,44.68,70.91,52.27,72.86,84.04,82.72,38.79,26.61,0.01,52.09,38.08,74.67,63.9,82.66,66.33,70.49,69.77,67.47,70.92,77.39,15.88,90.98,15.7,0.00039,0.01,0,0.01,0,0.01,0,0.01,0,28.6,60.82,19.83,0.00026,0.01,0,0.01,0,0.01,0,0.01,0,24.19,65.36,20.9,0.00028,26.02,61.98,21.61,0.00027,30.89,61.12,25.29,0.00026,39.12,102272.84,27.49,0.44082,39.45,91750.62,28.13,0.39547,40.82,74496.09,30.7,0.3211,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,51.28,1090036.89,28.68,4.69833,65.93,374087.19,60.33,1.61241,71.46,76550.02,77.46,0.32995,54.86,448020.04,40.78,1.93108,74.79,58.56,74.49,9.34,64.92,4.9,66.11,10.3,55.91,7126.14,49.77,2460.69,44.09,16.05,33.19,-132.58,68.83,52.76,58.5,44.85,53.79,38.25,37.11,45.7,72.3,0.86,69.54,510.66,49.19,16.3,55.55,115,73.93,64.75,71.8,335.44,84.04,93.53,22.13,4.6,0.46336,46.18,45473,32.58,0.17,31.7,2000,22.34,0.01,0.01,0,0.01,0,69.12,1052.63,70.41,35614.51,66.11,38604.5,71.32,2131.61,56.58,468086,47.95,1.896,39.27,5,36.92,2.2e-05,77.11,-1.3097,72.3,-1.22317,55.67,-0.39123,73.35,-1.2679,68.32,17.1,100,0.12,69.97,82.11,62.88,2.18,64.43,269,77.11,98.4,68.49,2.33,71.32,28.65,69.54,77.35,57.16,0.49,80.84,0.17,66.46,8.84,76.4,6408.7,63.18,3733.14,73.91,14959.77,75.85,54,80.8,48,75.64,38,53.51,2009.62,70.25,8.8
"Antigua and Barbuda","ATG",3.55,1.2,10.53,5.61,9.32,22.36,48,5.25,43.01,0.01,51.21,0.55,34.12,43.17,38.02,8.48,34.68,2.51,37.83,0.01,0.01,3.15,2.07,59.35,42.26,48.64,49.34,52.34,34.51,0.01,38.86,56.45,45.18,34.58,50.93,0.01,0.01,0.01,30.02,0.01,34.63,33.62,46.56,40.95,42.19,37.29,38.77,41.52,1.73,23.1,678.78,100,0.82016,20.35,164.02,53.79,0.19819,0.01,0,0.01,0,27.53,47.56,62.9,0.05747,26.63,2.28,43.73,0.00276,29.81,1.99,48.72,0.0024,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,3062.18,100,3.7,41.71,248.29,62.47,0.3,0.01,0,0.01,0,15.31,6372.65,100,7.7,15.3,122.96,33.29,0.14857,0.01,0,0.01,0,38.96,81552.2,90.42,98.53861,39.43,76.27,45.3,13.18,47.44,9.1,49.88,12.8,42.59,18182.52,57.16,1358.51,44.82,25.3,61.13,300.79,28.98,96.74,41.1,87.5,0.01,100,0.01,100,38.58,170.99,39.15,1249.68,40.06,11.36,79.55,95,50.71,56.98,40.25,147.41,45.18,33.73,55.18,11.29,0.34302,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.91,223.52,49.3,25976.96,52.33,14239.88,47.67,905.92,20.32,1000,44.34,1.136,0.01,0,0.01,0,31.08,1.2608,38.58,0.49056,32.07,0.95886,35.24,0.83781,48.37,162.67,44.82,460.1,39.15,359.8,42.84,383.55,47.2,43,37.72,8,48.07,220.04,39.7,78.94,27.18,107.66,42.84,2.28,25.99,21.43,52.33,25.1,46.97,97.42,35.57,685.87,42.84,680.78,0.01,99,14.83,98,35.04,87,42.08,4460.88,28.58,1.1
"Argentina","ARG",15.83,11.6,21.61,20.52,10.86,45.26,38.88,23.98,43.23,1.91,47.28,0.61,53.17,39.53,39.41,39.96,58.88,45.11,29.33,35.11,54.44,0.01,41.9,26.65,41.04,30.99,44.23,40.64,28.24,18.1,28.97,22.34,26.18,54.22,56.9,21.79,32.16,0.01,36.76,0.01,52.8,53.55,36.12,37.4,45.73,39.29,39.54,40.88,39.06,50.22,53073.76,42.03,0.12795,52.27,17341.79,34.75,0.04181,52.91,1742.45,41.53,0.0042,35.95,177.39,23.57,0.00043,34.47,24.25,24.77,6e-05,33.89,7.44,25.98,2e-05,40.72,3345.7,32.06,0.00807,40.59,1695.52,32.12,0.00409,36.85,386.42,29.87,0.00093,59.36,620201.87,50.28,1.49521,59.98,509601.09,50.28,1.22857,59.98,340834.98,48.2,0.8217,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2662985.05,46.68,6.42004,32.93,25417.18,24.19,0.06128,50.46,5758.54,46.05,0.01388,36.84,68524.55,19.28,0.1652,40.51,75.84,41.57,13.92,41.31,10.4,23.25,17.1,41.04,19651.58,47.67,3010.56,40.51,1.27,40.78,-12.87,22.21,98.85,35.9,94.01,21.33,99.36,15.36,99.5,41.04,148.12,20.45,1596.13,13.85,3.1,36.04,131,39.65,50.83,17.28,73.31,49.07,39.87,60.57,16.42,0.37706,29.67,4239,16,0.01,38.17,6900,27.1,0.02,0.01,0,0.01,0,59.22,345.83,42.84,23454.74,46.26,8163.12,42.59,703.86,43.77,85338.8,30.87,0.204,0.01,0,0.01,0,53.27,-0.43228,52.33,-0.27755,49.07,0.06531,58.43,-0.70768,28.2,393.9,46.26,424.6,32.45,477.9,43.1,324.64,47.44,44,44.09,12.6,52.39,132.76,46.49,65.1,24.91,108.56,53.98,0.76,48.51,2.5,23.6,78.22,44.09,65.02,34.58,651.48,44.82,923.56,34.25,94,42.11,90,41.31,83,46.26,3279.35,74.95,10.6
"Armenia","ARM",2.59,0.23,29.1,13.02,43.2,43.79,53.6,28.61,36.45,0.16,41.83,37.16,49.93,43.46,47.09,32.27,55.25,47.68,0.01,0.01,28.96,0.01,2.72,0.01,48.01,39.64,54.33,79.83,27.33,18.72,45.03,29.08,34.85,32.64,42.59,41.06,0.01,0.01,34.6,39.9,50.24,49.63,39.32,47.26,44.17,53.59,41.37,46.5,22.39,42.28,23470.92,100,0.82016,42.99,8472.86,60.95,0.29607,30.22,33.07,35.1,0.00116,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26718.43,38.45,0.93364,24.22,14841.95,32.29,0.51863,22.88,10014.75,31.97,0.34995,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.29,210550.95,66.38,7.35743,35.48,28841.78,53.43,1.00784,0.01,0,0.01,0,0.01,0,0.01,0,46.97,74.22,49.07,12.39,32.26,11.4,48.72,13.1,52.1,10439.45,56.65,1459.31,68.32,247.95,93.27,1624.55,20.02,99.15,37.3,92.09,20.8,99.42,16.84,97.5,46.26,83.88,43.84,1154.85,17.27,3.6,48.95,121,36.6,49.28,33.19,114.03,39.15,28.29,60.03,15.55,0.27175,38.81,13982,43.43,0.48,0.01,0,0.01,0,0.01,0,0.01,0,34.24,22.49,48.6,25750.9,39.97,3253.46,46.02,859.35,32.22,15200,37.16,0.524,36.45,1.8,43.68,6.2e-05,55.42,-0.53195,45.54,0.06901,48.14,0.11039,51.16,-0.34421,37.42,290.3,41.31,520.1,36.2,406,61.7,2.48,42.08,26,46.37,15.9,77.27,0.48,34.24,93.86,58.17,90,31.28,8.95,51.92,1.8,43.59,45.74,41.83,45.24,54.22,2284.93,44.33,874.6,30.89,95,26.19,96,13.87,97,53.27,2086.42,57.31,5.8
"Australia","AUS",19.26,31.66,11.72,7.95,7.38,27.41,8.59,1.21,37.58,2.5,32.52,0.6,23.49,28.52,26.04,27.34,28.94,23.45,63.92,27.22,34.96,49.47,6.68,67.62,13.03,0.49,26.63,32.04,9,0.01,39.84,0.6,35.82,42.84,34.58,40.07,38.82,0.01,36.37,0.01,22.43,24.6,26.6,31.49,27.7,27.84,24.36,21,35.6,30.25,4027.28,25.64,0.01909,18.93,67.79,16.32,0.00032,26.31,3.38,26.41,2e-05,75.86,10487.1,61.93,0.04971,66.71,2683.05,54.48,0.01272,70.82,2101.74,56.43,0.00996,32.01,452.39,25.65,0.00214,29.79,175.8,24.55,0.00083,28.09,39.55,24.12,0.00019,39.45,108504.05,30.7,0.51427,39.79,92870.51,30.06,0.44018,39.79,72551.17,31.65,0.34387,48.72,31825.58,43.55,0.15084,46.84,686.24,38.49,0.00325,61.9,43.58,61.9,0.00021,44.05,590256.19,17.73,2.79762,22.11,3007.73,16.4,0.01426,31.5,0.1,0.01,0,73.71,3312728.6,62.03,15.70125,13.53,82.54,12.55,16.84,23.6,12.2,0.01,20.4,26.09,44760.31,27.18,11012.42,31.28,0,32.82,-133.29,11.75,99.91,6.9,99.99,0.01,100,0.01,100,32.82,258.6,48.37,1078.34,0.01,2.5,36.04,131,36.08,49.26,35.57,121.96,39.43,28.31,67.93,21.33,0.19226,46.87,47994,34.26,0.21,42.51,12662,35.45,0.05,0.01,0,0.01,0,42.34,64.53,31.28,15290.08,26.65,235.64,31.68,421.55,41.95,51026.2,31.53,0.23,0.01,0,0.01,0,23.6,1.78532,21.32,1.63987,29.59,1.03107,20.45,1.77864,33.19,335.3,21.32,1194,38.01,374,26.09,4125.94,27.7,6,27.7,4.1,30.82,1883.74,48.6,60.06,14.41,117.14,51.16,0.97,41.99,5.57,6.73,101.28,27.18,6.81,10.16,126.61,33.54,204.22,42.14,91,40.16,91,26.65,92,19.49,12787.74,42.98,2.5
"Austria","AUT",1.22,0.17,8.75,7.52,3.01,29.6,28.69,0.4,29.44,2.37,30.11,0.06,20.15,22.48,33.59,26.03,29.66,39.07,0.01,0.01,54.83,0.01,0.16,0.01,27.31,30.29,24.25,33.79,0.29,0.01,26.93,0.32,22.44,41.04,27.7,53.22,24.94,0.01,0.37,0.01,25.43,15.96,25.96,17.86,24.5,34.39,32.81,19.76,34.28,42.98,26009.45,55.17,0.30655,40.5,5567.16,39.77,0.06561,29.78,32.58,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,229111.76,61.28,2.70032,47.8,194483.27,61.96,2.29219,48.61,144430.05,64.96,1.70226,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.3,489552.01,38.65,5.76988,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.18,81.08,27.44,15.97,29.14,11.9,31.48,15.8,23.6,48051.31,24.91,12212.37,31.28,0,36.51,-70.66,0.01,100,8.51,99.98,0.01,100,0.01,100,31.68,263.27,22.89,1565.13,0.01,2.5,10.16,147,21.33,42.54,23.6,82.36,22.51,21.19,76.4,27.46,0.14799,51.63,78910,54.86,0.93,27.84,1000,22.34,0.01,0.01,0,0.01,0,52.8,163.58,24.27,12155.68,27.18,241.55,23.6,283.49,13.35,40,0.01,0,0.01,0,0.01,0,26.65,1.5508,24.27,1.58848,15.96,1.3641,15.96,1.85138,19.49,497.4,34.58,687.4,18.45,764,17.28,6544.62,23.25,5,25.81,3.9,30.18,1908.84,31.28,100.23,43.1,99.83,50,1.07,30.87,13.8,22.89,79.66,10.16,3.19,31.28,562.07,24.27,116.57,30.89,95,30.47,95,42.79,82,22.13,11041.33,39.74,2.1
