"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.21,0.25,70.79,62,74.27,77.04,66.12,67.32,70.36,63.55,46.04,66.34,78.99,78.17,71.98,79.6,79.79,56.79,0.01,0.01,46.39,0.01,2.49,0.01,65.59,76.36,70.76,53.93,69.04,49.85,73.68,80.98,39.83,87.45,100,78.1,50.89,64.59,57.71,76.26,75.16,83.01,75.83,80.77,77.98,73.69,70.3,75.24,84.21,65.22,124013.07,66.24,0.58066,59.54,41702.49,53.79,0.19526,52.07,1472.16,46.58,0.00689,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.86,233093.7,41.16,1.0914,50.28,197777.86,41.51,0.92604,52.05,151211.9,44.73,0.70801,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.57,1276045.66,41.3,5.97473,33.65,21276.79,30.44,0.09962,0.01,0,0.01,0,0.01,0,0.01,0,65.42,57.49,65.76,9.48,78.27,2.4,74.49,6.8,75.73,895.87,66.11,261.74,69.97,316.08,41.57,-2.47,79.41,32.27,60.02,24.67,49.31,31.86,50.39,9.4,69.03,0.62,78.64,8.45,80.42,45.6,81.55,88,39.7,52.73,39.97,146.76,87.45,98.12,19.49,4.55,0.51448,79.86,651978,76.38,2.75,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,25.51,5.96,46.02,29299.09,62.88,43221.58,60.85,1798.77,61.69,596864,53.98,2.86,81.67,3299.2,71.21,0.015676,78.68,-1.35104,71.8,-1.08249,85.59,-2.19781,80.51,-1.55383,65.76,15.07,87.45,23.83,100,39,65.24,1.69,87.45,1267.73,69.54,116.92,69.08,0.57,79.55,21.08,72.82,57.43,66.13,0.19,64.43,0.35,81.55,1.2,66.81,6530.26,85.59,12015.95,74.49,24304.35,77.27,41,83.88,41,92.14,8,70.86,203.21,89.84,35.7
"Albania","ALB",7.94,2.38,26.49,9.42,47.2,41.82,53.13,13.65,37.21,0.54,5.1,37.76,58.92,47.26,52.73,30.96,44.81,2.74,2.03,59.66,28.13,0.01,0.18,25.77,40.73,49.12,52.09,76.45,34.75,0.6,50.59,32.93,30.68,47.67,35.24,0.4,38.57,0.01,42.14,33.84,60.06,57.8,46.81,53.37,42.25,55.8,49.82,44.46,21.56,40.91,16872.81,65.67,0.56361,36.6,2512.22,42.68,0.08392,0.01,0,0.01,0,31.11,81.42,32.61,0.00272,27.02,2.08,25.38,7e-05,0.01,0,0.01,0,50.59,15131.64,69.37,0.50545,52.02,12292.82,67.8,0.41063,52.15,6057.73,69.89,0.20235,25.87,20699.52,34.21,0.69144,23.88,14084.27,30.7,0.47047,23.88,10563.02,31.97,0.35284,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.91,229908.69,85.33,7.6798,0.01,0,0.01,0,0.01,0,0.01,0,25.44,13422.62,26.11,0.44836,37.42,75.02,44.33,12.34,42.59,9,56.65,10.9,53.03,5147.97,51.16,1330.6,69.54,310.93,84.04,787.42,38.48,87.99,31.38,91.17,0.01,100,36.05,45.9,56.72,1.27,45.12,361.89,25.38,6.1,42.72,121,28.68,45.98,32.82,112.28,45.54,43.99,59.22,12.33,0.24452,15.74,115,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,0.99,42.59,27917.09,36.2,715.46,43.84,879.05,38.01,38376.8,46.71,1.258,33.02,1.2,34.68,3.8e-05,62.28,-0.81228,57.92,-0.53821,55.91,-0.30882,59.75,-0.72314,48.37,118.6,45.3,360.4,45.06,306.6,63.21,2.92,38.58,21.85,46.26,21.8,62.09,1.78,47.9,52.68,58.43,83.28,51.15,0.86,47.9,1.87,50.46,16.66,39.7,38.16,48.37,1942.31,45.78,1604.41,19.31,97,19.06,97,27.23,93,45.54,1792.88,44.09,2.4
"Algeria","DZA",10.49,2.64,41.72,29.43,53.04,46.51,47.4,33.6,40.9,8.95,37.89,43,63.35,54.79,52.98,40.31,47.1,2.68,0.5,1.68,24.97,0.01,37.18,43.03,44.32,53.43,39.72,53.68,36.69,19.58,57.75,30.71,38.71,46.49,38.01,53.73,24.25,0.55,34.23,54.02,59.89,67.01,50.92,58.79,54.94,56.35,49.81,48.9,33.23,59.06,85044.17,54.26,0.27305,40.9,5143.76,28.3,0.01652,0.01,0,0.01,0,30.75,79.54,20.19,0.00026,23.91,0.71,0.01,0,0.01,0,0.01,0,24.55,57.41,19.79,0.00018,23.44,33.84,19.78,0.00011,0.01,0,0.01,0,34.86,70141.58,19.4,0.2252,33.89,57576.24,19.4,0.18486,31.01,29313.02,17.57,0.09412,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,1620338.23,33.33,5.20244,37.36,30940.68,30.09,0.09934,35.25,35.25,33.32,0.00011,51.71,292463.82,35.8,0.93902,46.26,72.33,42.47,12.63,55.18,6.5,51.74,11.7,42.84,9620.73,36.82,4431.09,43.35,35.32,66.46,253.4,35.17,90.63,38.28,85.3,22.88,96.93,16.75,97.8,52.77,1.9,63.21,44.85,29.24,7.3,32.26,129,38.01,51.81,39.43,144.46,48.14,48.23,46.26,7.29,0.25467,61.29,169080,47.11,0.52,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,30.03,9.22,31.28,17669.5,47.44,11625.8,46.26,970.05,40.05,54866.2,29.25,0.17,56.21,759.8,51.92,0.002426,59.75,-0.69226,60.03,-0.61237,77.87,-1.75363,57.66,-0.58764,49.54,111.6,52.33,195.22,56.16,172.77,61.55,4.66,56.16,138.24,53.74,36.25,58.64,5.18,57.92,38.17,52.68,89.47,45.44,1.52,55.67,0.84,48.84,18.58,48.37,213.01,45.78,1509.73,52.8,3631.13,41.51,87,41.52,87,21.29,96,41.83,2413.44,53.03,4.3
"Andorra","AND",0.28,0.02,3.93,2.64,2.01,11.41,33.58,0.59,31.07,0.01,20.89,0.01,24.44,33.46,27.68,1.44,37.22,0.14,0.01,0.01,0.01,0.01,0.16,0.01,26.15,44.79,27.19,39.92,0.01,0.01,33,35.92,37.11,23.6,34.24,0.01,0.01,0.01,0.01,0.01,28.67,20.83,37.43,36.15,27.69,24.53,31.23,13.76,0.15,15.88,75.55,39.59,0.10685,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.31,5444.14,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,21.32,79.72,32.07,14.24,35.41,10.1,56.65,10.9,30.46,28999.28,24.27,10268.43,54.7,104.04,29.14,-140.91,0.01,100,0.01,100,0.01,100,0.01,100,32.91,49.21,33.1,709.11,27.33,6.65,47.2,117.59,36.51,49.87,37.72,141.38,35.57,29.31,59.75,13.7,0.23803,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.03,109.8,17.28,13263.27,14.41,149.28,14.41,276.95,0.01,0,0.01,0,0.01,0,0.01,0,28.91,1.37669,28.44,1.41065,13.53,1.46499,32.07,1.08721,28.68,333.3,48.84,293.7,34.91,502.76,37.43,744.86,27.18,7.74,28.2,5.72,21.92,1658.31,14.41,106.73,46.73,95.02,40.88,3.05,17.28,32.42,43.1,29.28,12.55,3.04,20.45,344.12,10.16,95.11,0.01,99,0.01,99,35.38,87,23.6,7606.74,58.69,6.79
"Angola","AGO",11.07,2.22,55.19,36.55,61.25,75.08,59.92,66.7,78.43,2.98,69.79,44.3,74.03,70.07,72,80.73,72.82,0.12,0.13,23.41,31.91,0.01,63.23,36.51,77.29,69.17,56.04,43.02,62.56,44.67,70.84,100,71.64,78.68,85.59,56.43,46.67,0.01,31.81,61.69,76.16,71.96,67.66,64.52,78.8,70.79,73.23,79.32,82.17,16.27,82.86,15.7,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,23.31,17.9,17.48,9e-05,0.01,0,0.01,0,0.01,0,0.01,0,23.46,38.33,20.34,0.00019,24.18,34.9,20.88,0.00018,28.32,34.58,24.12,0.00018,36.48,76678.09,26.52,0.38978,37.13,69678.01,26.84,0.35419,38.45,56419.09,28.46,0.2868,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.49,1164728.95,40.18,5.92067,70.98,433238.14,64.87,2.20228,81.83,84744.31,77.46,0.43078,43.83,124454.43,30.42,0.63264,79.55,48.88,75.09,8.76,63.18,4.4,75.73,6.4,57.16,3466.72,54.94,1000.22,55.18,106.35,33.54,-48.07,67.86,44.36,57.67,31.86,53.1,27.47,37.57,42,69.67,0.61,72.02,19.31,100,63.2,100,77,69.97,65.52,73.35,365.2,80.51,93.37,24.91,5.1,0.47687,58.65,147378,54.29,0.81,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,64.11,732.63,77.87,40063.82,69.97,56788.12,67.93,2288.18,36.02,23953.8,28.1,0.144,58.71,976.8,64.83,0.005962,77.87,-1.32066,74.49,-1.15653,65.09,-1.00654,79.55,-1.52141,65.42,15.18,69.97,53.65,64.11,124.78,64.94,1.83,69.12,636.68,89.84,184.4,66.77,0.69,71.32,24.3,74.49,56.59,71.52,0.1,75.41,0.13,72.82,2.63,84.04,14384.84,72.82,8036.74,81.55,32302.59,72.9,46,100,21,76.11,29,53.03,1139.15,100,98.2
"Antigua and Barbuda","ATG",3.79,1.21,11.84,11.38,9.58,15.24,46.76,13.04,47.63,0.13,50.48,0.57,35.5,43.45,37.19,2.5,38.07,2.51,38.18,0.01,0.01,3.15,2.07,59.08,40.63,45.5,40.95,63.13,29.8,0.45,39.31,54.82,47.63,42.59,53.27,0.01,24.51,0.01,32.75,0.01,36.12,34.9,46.1,42.65,41.72,35.29,39.19,39.06,0.16,22.76,604.9,100,0.82016,20.35,146,54.41,0.19795,0.01,0,0.01,0,28.24,42.88,63.93,0.05814,26.63,2.05,43.6,0.00278,29.81,1.82,49.58,0.00246,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2728.91,100,3.7,41.71,221.26,62.47,0.3,0.01,0,0.01,0,15.87,5679.09,100,7.7,15.3,99.5,32.21,0.1349,0.01,0,0.01,0,38.6,72824.94,90.42,98.73986,38.3,74.7,43.1,12.47,42.59,9,48.6,12.11,36.82,16670,45.54,2076.14,57.66,114.78,69.12,303.41,22.71,97.9,39.1,83.59,20.44,97.87,0.01,100,40.16,15.1,38.47,581.26,36.85,11.89,81.55,88,52.33,59.44,43.35,171.12,43.84,41.6,56.04,10.24,0.36868,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,56.9,198.72,47.2,29588.55,50.46,15795.07,47.9,1031.4,21.98,1191.4,48.81,1.596,0.01,0,0.01,0,34.58,0.88894,37.72,0.63333,37.12,0.86559,32.82,1.06899,47.67,124.94,44.58,375.57,43.35,329.3,41.97,361.22,43.84,40.16,39.7,13.7,42.71,179.53,41.31,66.02,24.91,107.6,48.38,1.14,24.27,16.93,51.28,16.01,44.58,123.47,30.67,665.18,43.59,1223.91,0.01,99,0.01,99,38.31,85,36.51,4047.09,39.7,2
"Argentina","ARG",16.01,11.65,22.01,21.71,11.28,43.53,37.95,28.86,49.73,1.95,45.42,0.62,54.49,42.48,41.16,35.29,56.79,45.32,28.24,36.45,54.69,0.01,42.02,27.13,38.72,30.55,42.69,41.06,30.06,20.56,48.43,23.19,44.16,50.7,54.94,22.21,33.61,0.01,38.86,0.01,50.67,58.59,40.54,40.87,46.27,39.02,43.41,40.15,31.01,51.08,47472.78,42.03,0.12832,52.84,15572.75,34.75,0.04209,52.91,1573.55,41.53,0.00425,34.43,130.83,22.51,0.00035,31.9,15.68,24.01,4e-05,32.96,6.08,25.94,2e-05,43.05,3968.48,33.47,0.01073,42.01,2046.72,32.12,0.00553,39.02,504.51,30.9,0.00136,59.98,572781.27,50.72,1.54826,59.98,477386.28,50.28,1.2904,59.98,329557.28,48.61,0.89081,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2371954.85,46.68,6.41152,34.01,21785.03,23.84,0.05889,50.46,5385.37,46.05,0.01456,36.84,58922.4,19.98,0.15927,38.87,74.19,38.58,13.21,40.78,9.3,22.89,16.3,41.57,10581.45,43.84,2396.27,36.82,10.17,45.78,8.04,25.26,96.99,35.77,88.81,23.57,96.33,17.93,96.5,45.44,6.8,51.61,205.9,16.39,3.8,32.82,128,45.78,57.01,42.59,166.12,45.78,44.48,61.99,15.77,0.37774,27.2,3819,18.13,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,57.92,229.91,39.7,25711.78,44.82,9267.22,41.31,779.39,45.09,95469.4,33.49,0.254,0.01,0,0.01,0,54.94,-0.47834,46.73,-0.04744,56.41,-0.35894,60.85,-0.77351,29.14,331.78,56.41,152.34,37.72,437.97,44.29,266.14,48.84,61.66,43.84,17.55,46.74,74.84,45.06,56.27,28.2,104.91,69.03,0.13,50.23,1.46,23.6,65.18,42.59,101.35,33.54,769.18,45.3,1536.9,24.4,96,28.82,95,42.39,80,47.2,1668.94,68.32,13.4
"Armenia","ARM",2.23,0.23,21.54,19.36,11.6,44.53,52.91,42.29,42.04,0.76,38.01,0.67,51.4,45.3,45.75,35.68,54.1,48.37,0.01,0.01,28.79,0.01,2.8,0.01,45.3,41.25,57.16,73.39,31.8,19.81,80.41,63.16,38.67,43.59,44.09,82.47,0.01,0.54,45.19,0.01,53.11,49.74,39.15,51.77,45.88,53.97,38.79,46.73,27.24,42.98,24491.77,100,0.82016,43.86,8886.24,60.95,0.29758,30.67,39.29,36.36,0.00132,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.17,27214.32,38.12,0.91133,25.54,14885.2,31.33,0.49846,22.88,10018.85,30.06,0.3355,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.05,219668.04,66.38,7.35607,38.12,33159.12,55.95,1.11041,0.01,0,0.01,0,0.01,0,0.01,0,44.82,72.51,45.78,12.18,30.03,10.8,56.65,10.9,55.67,4177.44,58.69,660.81,72.3,360.71,74.49,446.96,27.2,96.08,37.17,88.11,16.13,99.23,24.32,87.6,100,0,64.65,37.9,55.93,24.5,71.32,96,39.97,53.07,37.42,140.13,40.78,35.09,63.18,17.37,0.30156,68.02,239382,100,7.93,0.01,0,0.01,0,28.97,66.67,0.01,0,22.89,4.53,49.77,30529.88,40.25,4365.63,45.54,951.57,40.74,59400,50.13,1.936,0.01,0,0.01,0,56.16,-0.57003,50.23,-0.1563,48.14,0.2372,51.4,-0.30256,38.87,245.6,39.43,493.8,37.42,442.4,71.63,0.5,43.1,36.9,48.84,26.5,74.11,0.08,41.83,65.23,50.7,91.61,32.38,7.51,46.37,2.08,38.87,37.22,44.82,126.63,51.63,2519.35,44.09,1498.44,30.78,94,24.12,96,27.23,93,54.22,1095.3,53.98,4.5
"Australia","AUS",18.03,31.86,10.2,7.86,7.08,19.08,8.56,1.2,33.66,2.58,33.63,0.49,24.71,29.3,8.13,26.92,31.75,23.75,63.92,27.18,35.78,49.49,6.75,67.62,13.45,0.43,31.28,29.73,9.92,0.01,34.98,0.6,31.22,36.82,33.19,44.77,38.53,0.01,23.7,0.01,22.89,26.68,28.3,35.37,25.12,24.56,2.69,20.74,34.93,31.2,4026.66,25.64,0.01908,19.29,67.29,16.32,0.00032,26.74,3.39,26.62,2e-05,75.86,10495.37,61.93,0.04974,66.71,2684.08,54.38,0.01272,70.82,2102.81,56.53,0.00997,32.78,425.84,24.73,0.00202,30.56,172.86,24.55,0.00082,27.93,33.7,23.74,0.00016,41.86,109368.66,30.06,0.51836,41.86,93577.95,29.42,0.44352,43.63,73019.97,31.01,0.34609,48.72,31803.75,42.94,0.15074,47.65,683.11,38.49,0.00324,61.9,43.46,61.9,0.00021,45.72,590251.43,17.73,2.79756,22.11,3014.22,16.77,0.01429,31.5,0.03,0.01,0,73.71,3317107.32,62.03,15.72179,12.55,80.61,14.41,15.64,18.45,11.8,0.01,20.7,30.88,28896.5,31.68,6284.73,25.81,0,34.24,-46.48,12.82,99.73,7.68,99.99,0.01,100,0.01,100,37.47,25.98,32.66,721.12,0.01,2.5,36.51,125,32.45,46.85,30.03,104.41,37.12,30.11,66.11,18.8,0.23078,48.13,59220,41.64,0.3,48.08,14608,30.87,0.06,0.01,0,0.01,0,47.2,57.65,30.88,16986.27,27.7,263.25,31.68,461.64,27.3,5803.6,20.57,0.03,0.01,0,0.01,0,22.89,1.94985,22.89,1.83764,36.51,0.8788,19.49,1.88205,36.2,264.1,22.13,998.6,39.43,397,31.73,1368.89,21.32,5.91,29.59,5.91,32.2,891.98,45.3,55.97,10.16,117.86,48.94,1.02,39.97,4.34,0.01,88.52,27.7,6.89,10.16,178.95,31.68,258,33.19,93,35.04,92,36.65,86,22.13,7766.76,45.54,2.7
"Austria","AUT",1.22,0.17,8.8,4.95,6.6,20.85,30.73,0.18,30.38,0.61,29.09,0.56,21.43,23.94,32.25,10.32,27.25,39.44,0.01,0.01,54.87,0.01,0.16,0.01,25.66,35.39,25.8,38.07,0.01,0.01,25.13,0.43,27.17,33.89,30.46,49.31,0.45,0.01,31.15,0.01,18.45,24.88,27.41,21.31,23.48,28.59,36.38,2.08,51.16,43.69,24744.8,55.17,0.30532,41.73,5276.06,40.17,0.0651,29.78,34.41,31.28,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.2,208953.76,60.62,2.57819,48.2,177711.58,61.28,2.19271,49.86,131844.66,63.4,1.62678,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.95,464720.98,37.87,5.734,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.51,79.19,25.81,14.79,39.29,9.6,31.88,14.7,26.09,32030.39,25.51,9518.36,25.81,0,56.16,76.32,0.01,100,0.01,100,0.01,100,0.01,100,28.81,74,21.92,895.66,0.01,2.5,18.45,144,27.7,45.86,26.65,97.68,24.27,24.06,75.09,23.27,0.20082,47.3,49661,51.41,0.61,20.2,129.5,0.01,0,0.01,0,0.01,0,52.33,102.54,21.32,13720.35,27.18,254.78,23.6,305.06,32.45,14060,29.9,0.176,0.01,0,0.01,0,21.32,2.01974,15.96,1.99585,33.54,0.9634,18.45,1.88725,21.32,411.7,35.24,584.9,21.73,773,20.9,3460.19,22.13,6.06,24.91,5.12,24.54,1449.71,26.09,88.65,36.51,99.8,56.07,0.62,30.46,8.79,28.2,60.16,0.01,2.62,33.89,773.98,26.65,191.38,45.23,84,45.96,84,64.41,46,22.89,7741.39,32.45,1.3
