"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.07,0.25,66.27,58.78,74.17,66.76,65.16,61.93,65.26,58.28,45.73,66.6,83.46,73.4,65.68,71.05,63.76,56.61,0.01,0.01,47.58,0.01,2.45,0.01,66.64,70.86,66.95,57.01,63.88,42.77,80.73,66.69,36.02,82.72,93.27,81.17,42.99,56.74,50.54,87.77,80.5,86.52,72.47,71.5,76.32,69.65,61.94,70.16,71.96,64.43,147033.88,66.24,0.57619,59.54,49097.19,52.59,0.1924,52.07,1634.45,47.28,0.0064,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,279867.41,42.56,1.09672,51.6,239719.63,43.63,0.9394,52.51,182959.96,45.48,0.71697,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1537685.04,40.93,6.02577,32.57,22999.51,29.39,0.09013,0.01,0,0.01,0,0.01,0,0.01,0,66.11,62.32,67.18,9.91,73.91,3.4,67.93,10,72.3,1917.79,61.99,742.36,78.68,638.22,41.31,-9.98,67.57,53.4,60.4,37.96,40.58,69.1,45.07,23,93.73,0.05,69.54,492.28,62.15,24.7,71.56,100,36.82,49.55,35.24,123.12,82.72,93.2,24.27,4.72,0.48169,91.24,997298,72.22,3.2,46.74,31000,39.54,0.1,53.83,1e+05,59.81,0.32,24.91,7.6,46.26,25282.32,64.11,35533.11,59.22,1500.11,55.65,475647.4,45.9,1.608,87.78,6776.2,87.76,0.023048,84.04,-1.41989,77.11,-1.36014,85.59,-2.41856,87.45,-1.64316,63.49,24.1,82.72,32.27,80.51,53,63.49,2.94,82.72,858,70.41,80.5,65.29,1.12,77.87,23.69,66.46,81.2,52.1,0.79,61.7,0.55,73.91,5.71,63.8,2518.37,76.4,6530.44,70.86,13225.1,68.53,67,69.65,67,78.07,33,68.72,503.23,59.16,6.4
"Albania","ALB",4.84,2.32,10.09,8.27,11.82,10.51,49.77,30.04,34.93,0.15,4.95,0.65,54.52,46.57,46.69,0.65,38.22,2.68,2.06,60.48,25.05,0.01,0.17,25.74,39.49,41.31,50.58,74.38,34.94,22.26,44.33,23.62,27.12,38.3,41.04,36.01,0.01,0.01,42.69,0.01,55.67,53.39,47.52,52.39,40.56,53.21,40.97,42.83,0.01,39.9,15193.37,65.67,0.54684,34.01,2131.64,41.83,0.07672,0.01,0,0.01,0,30.39,93.7,35.67,0.00337,27.02,2.6,25.75,9e-05,0.01,0,0.01,0,50.47,15640.12,71.08,0.56292,52.02,12567.99,72.78,0.45235,51.55,5883.44,69.89,0.21176,22.19,15934.46,31.97,0.57351,21.16,10667.65,27.81,0.38395,20.81,8008.14,28.46,0.28823,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.18,213277.66,85.33,7.67628,0.01,0,0.01,0,0.01,0,0.01,0,24.44,13709.93,27.1,0.49345,35.57,77.51,43.84,13.35,42.84,10,39.84,14.6,50,10448.51,51.16,2066.4,69.54,298.33,79.55,1028.72,39.12,92.23,31.21,96.21,15.95,99.9,31.06,71.2,49.49,55.2,39.7,1206.73,19,4.1,29.37,136,26.09,44.73,28.2,96.61,41.04,30.29,60.85,16.74,0.25429,34.55,7555,37.54,0.26,0.01,0,0.01,0,0.01,0,0.01,0,0.01,1.06,41.57,22758.54,34.24,576.53,42.34,708.82,39.36,50150,46.3,1.728,0.01,0,0.01,0,59.49,-0.7265,52.1,-0.2678,53.27,-0.14363,53.51,-0.52032,50.93,126.8,44.33,441.9,44.82,288.4,61.23,4.92,38.73,17,42.47,11.4,60.16,3.1,47.44,61.27,52.8,94.19,41.04,2.91,45.9,2.47,36.51,59.25,38.01,17.05,47.67,1520.07,43.35,779.4,0.01,99,0.01,99,0.01,99,48.84,2788.28,29.91,2
"Algeria","DZA",8.96,2.62,30.65,12.77,49.88,45.2,43.83,29.81,39.5,0.17,38.72,37.76,60.8,54.06,47.52,36.02,53.94,2.67,0.49,1.67,24.28,0.01,37.84,42.61,40.97,48.97,41.69,44.14,40.05,19.34,52.13,19.55,34.74,44.09,40.25,45.06,0.01,0.01,26.32,54.16,55.91,66.12,51.38,55.74,55.18,49.44,45.67,48.56,26.72,58.47,98320.38,52.93,0.26899,41.73,5979.41,28.3,0.01636,0.01,0,0.01,0,30.03,88.53,19.65,0.00024,23.53,0.77,0.01,0,0.01,0,0.01,0,24,52.88,19.44,0.00014,23.81,32.72,19.41,9e-05,0.01,0,0.01,0,34.53,77955.98,17.94,0.21327,33.89,63009.08,18.31,0.17238,31.01,32022.46,17.19,0.08761,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1915291.87,33.33,5.23988,36.98,37338.13,30.44,0.10215,37.56,68.22,34.97,0.00019,51.21,340348.31,35.46,0.93113,41.04,75.51,40.91,13.88,54.7,7.6,43.84,13.9,47.2,13056.88,36.82,6278.23,42.34,9.37,46.02,10.85,38.52,92.75,41.64,87.09,23.78,98.76,15.73,99.3,54.11,30.89,50.23,1003.85,17.92,4,21.32,142,34.58,48.8,34.91,119,49.54,41.44,49.54,8.34,0.24961,54.08,95859,37.54,0.26,0.01,0,0.01,0,0.01,0,0.01,0,32.82,18.27,30.88,15552.69,47.44,9079.96,46.73,887.81,30.85,12498.4,22.46,0.036,53.66,320.6,54.67,0.000896,54.22,-0.50322,57.66,-0.53232,72.82,-1.32504,60.03,-0.77228,50,135.73,52.8,211.97,53.27,192.61,58.33,10.3,56.78,116,53.63,26.1,56.57,12.27,56.65,45.1,37.72,100.83,38.87,4.48,51.4,1.46,47.67,32.2,46.49,96.85,46.02,1319.88,53.51,2696.82,30.43,95,29.04,95,21.58,95,43.59,4097.31,66.74,8.9
"Andorra","AND",0.28,0.02,4.06,2.81,2.02,11.81,39.25,0.56,32.75,0.01,24.49,0.01,25.64,32.23,25.68,1.35,47.5,0.14,0.01,0.01,0.01,0.01,0.16,0.01,29.74,43.36,32.77,56.16,0.01,0.01,37.93,25.86,37.35,30.88,30.46,0.01,0.01,0.01,0.01,0.01,28.29,23.24,37.39,36.92,24.25,20.28,32.51,12.17,0.15,16.27,95.48,39.18,0.10655,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,6899.99,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.65,81.01,33.19,15.07,41.18,10.4,45.66,13.5,33.89,30562.27,31.68,7793.3,55.42,122.19,56.9,185.05,0.01,100,0.01,100,0.01,100,0.01,100,24.62,326.41,58.43,774.81,15.89,3.66,42.08,125.05,35.89,49.2,38.87,139.96,34.58,25.07,63.18,18.17,0.1641,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.14,113.43,20.45,12017.17,22.89,154.27,15.96,262.37,0.01,0,0.01,0,0.01,0,0.01,0,30.67,1.26837,26.09,1.53136,19.49,1.29035,27.7,1.40776,32.82,340.36,42.59,459.59,37.42,392.32,36.43,1069.61,24.91,5.93,23.6,3.8,15.04,3713.16,12.55,129.47,44.21,97.96,38.3,4.76,21.32,35.38,42.08,45.71,12.55,3.33,21.32,277.05,6.73,68.07,0.01,99,0.01,99,35.26,89,34.91,6347.15,64.64,7.64
"Angola","AGO",10.92,2.32,51.37,33.41,59.61,68.06,55.95,57.78,79.23,2.35,69.15,44.2,67.73,70.76,68.65,74.46,61.68,0.12,0.13,25.2,34.31,0.01,57.28,46.61,74.5,66.69,52,37.93,63.6,45.2,71.26,54.42,70.42,84.04,84.04,42.28,30.56,0.01,53.07,36.82,71.52,64.14,73.72,67.14,71.59,68.44,68.86,71.09,77.98,15.88,88.54,15.7,4e-04,0.01,0,0.01,0,0.01,0,0.01,0,28.24,51.23,19.29,0.00023,0.01,0,0.01,0,0.01,0,0.01,0,25.46,72.95,21.26,0.00033,26.77,69.32,22.16,0.00031,31.29,68.51,25.48,0.00031,39.12,100996.73,28.46,0.45257,39.45,90584.62,29.1,0.40591,41.16,73492.21,31.01,0.32932,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,51.59,1088697.05,30.15,4.87851,67.06,376852.13,61.16,1.68869,71.46,77472.34,77.46,0.34716,53.77,388900.2,40.41,1.74268,75.09,57.81,73.91,9.28,65.09,4.8,68.32,9.9,55.91,6809.65,48.37,2760.07,43.35,14.1,33.19,-116.41,69.15,51.97,58.5,43.59,55.05,37.1,37.11,45.4,73.46,0.82,69.12,509.21,51.37,17.2,57.66,113,69.54,63.99,71.32,330,84.04,93.52,23.25,4.63,0.46512,48.99,63471,36.49,0.25,33.72,6080,27.7,0.02,0.01,0,0.01,0,68.72,1013.79,71.32,36253.59,65.42,39533.89,71.32,2144.5,56.18,484166,50.13,1.972,37.2,5,36.45,2.2e-05,75.73,-1.26859,67.55,-0.98963,55.67,-0.38932,73.91,-1.26955,68.32,15.27,79.55,36.42,68.72,84.71,65.6,1.86,64.43,281,79.55,104.9,62.91,1.7,72.82,27.24,69.97,77.72,57.41,0.44,78.68,0.15,72.3,6.43,75.73,7028.6,63.18,4112.9,75.09,16312.06,79.02,53,78.84,54,76.1,35,53.51,1977.84,71.1,10.3
"Antigua and Barbuda","ATG",3.88,1.2,12.55,5.59,9.91,35.71,48.11,5.13,43.58,0.01,50.86,0.65,33.57,44.61,35.47,29.48,43.55,2.51,38.01,0.01,0.01,3.15,2.07,59.08,42.11,48.98,48.27,53.82,34.22,0.01,36.47,55.68,44.88,36.2,50.93,0.01,0.01,0.01,41.85,0.01,34.65,32.52,47.29,44.14,42.52,33.18,37.91,41.18,21.1,23.1,670.05,100,0.82016,20.35,161.68,53.79,0.1979,0.01,0,0.01,0,27.89,47.42,63.93,0.05804,26.63,2.27,43.73,0.00278,29.81,1.97,48.72,0.00241,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,3022.81,100,3.7,41.71,245.09,62.47,0.3,0.01,0,0.01,0,15.31,6290.72,100,7.7,15.3,120.33,33.29,0.14729,0.01,0,0.01,0,38.6,80518.38,90.42,98.55658,39.15,76.13,45.3,13.09,47.55,9,50.46,12.8,41.31,18950.83,56.41,1403.4,46.73,34.13,61.99,305.39,28.31,96.86,41.37,87.11,0.01,100,0.01,100,41.99,144.57,31.68,1408.97,38.97,11.1,79.55,94,49.07,57.38,41.04,150.92,45.06,34.43,55.18,11.09,0.34532,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.42,210.64,48.6,26227.14,52.1,14425.08,47.67,909.92,27.62,6160,63.42,7.178,0.01,0,0.01,0,30.67,1.26837,39.15,0.48597,30.88,0.97579,34.24,0.95155,48.84,149.45,45.78,413.28,43.59,300.03,44.7,397.71,47.2,44,38.3,8.5,42.55,228.22,40.25,78.47,21.32,108.69,43.1,2,24.27,20.17,52.1,24.83,46.97,97.82,34.91,670.14,42.59,705.45,13.99,98,20.4,97,32.93,90,42.34,4337.16,44.79,3.4
"Argentina","ARG",15.01,11.58,19.45,15.66,10.66,44.11,38.03,24.47,43.05,0.5,47.06,0.56,52.75,40.99,37.11,40.39,57.27,45.11,28.93,35.12,54.44,0.01,41.87,26.65,40.78,29.02,43.65,40.49,28.41,18.25,30.69,22.52,25.63,54.46,57.16,22.75,0.54,0.01,31.62,0.01,52.56,52.94,38.52,39.01,45.83,34.8,39.58,40.32,40.47,50.22,52523.08,42.03,0.12813,52.27,17157.88,34.75,0.04186,52.91,1726.29,41.53,0.00421,35.95,168.21,23.04,0.00041,33.6,22.94,24.96,6e-05,32.5,6.83,25.98,2e-05,41.03,3519.91,32.06,0.00859,40.59,1758.96,32.12,0.00429,36.85,389.35,29.67,0.00095,59.36,613582.24,50.28,1.49688,59.98,504833.3,50.28,1.23158,59.98,338320.48,48.2,0.82536,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2630102.71,45.98,6.41633,33.29,24883.1,24.19,0.0607,50.46,5577.21,46.05,0.01361,36.84,66841.84,19.28,0.16307,40.25,75.68,41.31,13.85,41.18,10.4,20.45,17.2,40.78,19146.57,46.73,3153.45,41.57,6.39,39.43,-14.45,22.66,98.79,35.62,93.55,21.68,99.23,15.36,99.4,44.17,123.37,21.32,1541.4,13.77,3.3,36.82,130,38.01,50.65,17.28,69.25,48.84,40.11,60.57,16.27,0.37725,32.73,5369,15.81,0.01,29.47,2000,0.01,0,0.01,0,0.01,0,59.49,334.67,42.34,23737.4,46.26,8281.11,42.08,707.33,38.01,32336.4,26.3,0.08,0.01,0,0.01,0,53.27,-0.44314,51.86,-0.23858,48.6,0.10304,57.66,-0.67968,29.14,381.27,50.93,253.77,34.24,458.8,44.44,399.5,47.9,47,43.84,13.3,46,162.61,44.82,65.24,20.45,108.89,54.94,0.6,46.49,2.43,24.27,77.45,43.59,65.35,33.54,650.03,44.82,946.24,43.18,91,43.52,90,35.26,89,46.97,3114.63,69.84,10
"Armenia","ARM",2.02,0.23,17.81,12.9,11.08,39.51,52.92,28.91,35.42,0.16,41.27,0.61,50.78,43.91,45.24,31.63,43.09,47.68,0.01,0.01,29.08,0.01,2.73,0.01,47.61,39.67,54.44,76.28,28.42,17.83,45.73,30.14,32.73,31.68,42.84,37.57,0.01,0.01,0.01,36.98,51.74,49.84,38.52,48.5,45.33,51.83,39.48,46.56,21.49,42.28,23566.37,100,0.82016,42.99,8514.45,60.95,0.29632,30.22,33.64,35.1,0.00117,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26610.21,38.45,0.92609,24.55,14872.15,32.29,0.51758,22.88,10041.56,32.29,0.34947,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.59,211408.44,66.38,7.35748,35.48,29225.83,53.43,1.01712,0.01,0,0.01,0,0.01,0,0.01,0,47.08,73.98,48.14,12.39,32.45,11.3,48.49,13,51.63,9737.42,57.41,1320.07,64.76,238.59,89.84,1411.09,21.58,98.83,37.43,91.68,18.49,99.62,17.2,97.3,48.51,73.52,43.1,1152.07,17.92,4,50.7,119,34.24,48.5,31.28,109.83,38.87,28,60.03,15.52,0.27489,36.07,8775,39.13,0.3,0.01,0,0.01,0,0.01,0,0.01,0,32.45,17.94,48.84,26244.24,39.97,3268.32,45.78,864.61,0.01,0,0.01,0,34.82,1.8,39.27,6.2e-05,56.16,-0.58779,47.67,-0.04227,47.67,0.1548,52.1,-0.41791,37.12,289.7,39.97,528.9,36.2,404.8,64.98,2.13,44.09,30,46.61,16.7,69.71,0.47,38.01,87.43,52.56,94.24,30.46,8.97,48.6,1.94,41.57,46.16,41.57,46.89,54.46,2370.77,44.58,935.93,30.43,95,24.87,96,13.11,97,52.8,2209.88,35.17,2.5
"Australia","AUS",18.99,31.71,11.37,7.77,7.44,25.4,8.11,1.22,35.59,2.48,32.35,0.6,22.87,30.03,23.96,27.64,24.75,23.49,63.92,27.27,35.1,49.49,6.7,67.62,12.55,0.39,27.7,31.86,9.52,0.01,39.98,0.59,31.28,42.08,34.24,40.02,38.1,0.01,35.56,0.01,21.27,24.6,30.05,32.1,28.08,24.03,23.89,21.21,36.01,30.25,4027.3,25.64,0.01909,18.93,67.79,16.32,0.00032,26.31,3.38,26.62,2e-05,75.86,10491.21,61.93,0.04972,66.71,2683.47,54.48,0.01272,70.82,2103.04,56.43,0.00997,31.84,453.08,25.28,0.00215,29.79,180.25,24.55,0.00085,28.49,42.31,24.51,2e-04,39.79,108469,30.7,0.51408,39.79,92863.39,30.06,0.44012,40.47,72552.18,31.65,0.34385,48.72,31829.56,42.94,0.15085,47.65,686.78,38.49,0.00325,61.9,43.74,61.9,0.00021,44.6,590300.25,17.73,2.79766,22.11,3010.01,16.4,0.01427,31.5,0.15,0.01,0,73.71,3313888.75,62.03,15.70579,12.55,82.37,12.55,16.74,15.22,12.8,0.01,20.3,27.7,41524.27,27.7,10410.49,31.28,0,32.45,-129.61,12.15,99.9,7.46,99.99,0.01,100,0.01,100,33.05,252.27,48.37,1070.58,0.01,2.5,35.24,131,31.68,48.01,30.88,109.72,39.15,28.3,67.55,20.77,0.19343,46.52,41052,34.43,0.18,40.21,16000,36.1,0.07,0.01,0,0.01,0,42.59,63.81,30.46,15435.04,26.65,238.09,31.68,428.43,39.71,53318.2,31.85,0.242,0.01,0,0.01,0,20.45,1.98577,22.13,1.62144,29.59,0.998,20.45,1.76695,33.89,328.6,26.65,1014,37.86,375,27.22,3831.2,26.65,6,29.59,4.3,28.36,1766.42,48.14,58.72,10.16,116.95,51.4,0.92,39.43,5.56,6.73,98.89,27.7,6.93,10.16,128.44,33.89,207.76,39.66,92,38.97,92,30.22,91,22.13,11747.24,27.67,1.7
"Austria","AUT",1.01,0.17,6.04,4.4,1.68,29.85,27.52,0.4,29.18,0.17,30.14,0.01,21.02,22.66,32.69,28.15,28.91,39.07,0.01,0.01,54.9,0.01,0.16,0.01,25.68,27.82,23.57,34.08,0.31,0.01,24.54,0.35,21.72,41.31,27.7,52.29,0.01,0.01,0.01,0.01,26.59,16.61,25.57,18.24,24.94,32.72,32.66,19.16,41.36,42.98,25875.13,55.17,0.30644,40.5,5536.51,39.77,0.06557,29.78,32.81,31.28,0.00039,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,227543.11,61.28,2.69476,47.8,193361.49,61.96,2.28996,49.02,143600.09,64.96,1.70064,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.3,486944.07,39.04,5.76682,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.18,80.99,24.27,15.93,27.95,11.8,27.7,16.1,22.89,46504.26,24.27,11974.46,31.28,0,37.12,-47.94,0.01,100,9.48,99.98,0.01,100,0.01,100,32.64,252.69,18.45,1611.86,0.01,2.5,12.55,146,21.32,42.55,22.13,79.73,24.27,21.33,77.87,27.13,0.15101,50.86,74667,53.77,0.89,0.01,0,0.01,0,0.01,0,0.01,0,53.03,156.94,24.27,12341.41,27.18,243.54,23.6,287.86,0.01,0,0.01,0,0.01,0,0.01,0,29.14,1.38973,24.27,1.57587,15.96,1.34057,17.28,1.85818,19.49,488.6,33.54,682.9,18.45,767,18.03,6088.01,22.89,5,27.18,4.1,27.8,1790.74,29.59,100.91,42.59,98.7,49.88,1.05,29.59,13.29,23.6,78.94,10.16,3.12,31.28,590.5,22.13,118.98,39.66,92,38.97,92,45.79,78,22.89,10522.26,36.51,2.6
