"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.03,0.25,64.98,56.78,72.78,66.39,65.58,59.85,62.06,52.65,46.02,65.53,79.51,73.99,66.73,70.36,62.32,56.63,0.01,0.01,46.79,0.01,2.44,0.01,67.19,70.55,69.8,55.89,61.8,38.6,78.72,68.33,37.11,77.87,82.72,65.52,39.17,56.86,48.92,87.78,76.86,82.26,76.95,70.47,74.71,71.45,62.32,69.78,70.95,64.43,153197.69,66.24,0.57546,59.54,51101.23,52.71,0.19195,52.07,1681.78,47.28,0.00632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,287793.25,41.51,1.08105,50.72,246803.45,42.56,0.92708,52.51,188364.71,44.36,0.70756,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1607912.81,41.3,6.03987,32.21,23255.62,28.34,0.08736,0.01,0,0.01,0,0.01,0,0.01,0,66.46,63.18,67.93,9.99,74.49,3.5,66.81,10.3,71.32,2069.18,68.32,484.78,77.11,499.35,40.51,-27.35,64.08,58.66,59.61,41.06,33.71,89.5,44.21,26.7,87.45,0.04,70.86,551.59,63.88,26.3,73.08,100,37.72,50.36,36.51,125.53,78.68,87.93,24.91,4.72,0.46099,70.32,523516,61.04,1.57,42.89,12900,35.77,0.04,55.9,156000,57.83,0.47,24.27,8.93,48.37,25219.62,65.09,33873.63,58.69,1435.62,55.88,406455.8,42.82,1.34,87.78,8465.6,87.78,0.02693,78.68,-1.35478,75.09,-1.3314,84.04,-2.41107,80.51,-1.44565,63.49,29.8,93.27,14.8,82.72,50,60.03,3.43,80.75,786,69.13,73.6,71.17,1.08,77.11,25.85,66.46,81.52,56.61,0.92,62.58,0.5,68.32,8.23,64.11,2278.16,75.73,5984.39,69.97,11589.5,71.17,62,70.78,62,70.89,44,69.54,574.6,55.85,4.7
"Albania","ALB",6.16,2.31,16.44,10.8,11.27,36.5,49.35,29.62,36.82,0.55,4.97,0.66,49.34,44.01,45.79,23.39,45.42,2.66,2.05,60.12,24.62,0.01,0.17,25.56,39.6,39.84,51.96,72.37,33.02,22.48,45.79,22.65,33.1,36.51,41.31,36.16,0.45,0.01,43.05,0.01,52.27,46.58,45.99,49.01,37.82,51.2,40.96,43.02,12.72,38.24,15004.02,65.67,0.54302,33.29,2072.33,41.98,0.075,0.01,0,0.01,0,30.39,93.05,35.28,0.00337,27.02,2.61,25.92,9e-05,0.01,0,0.01,0,50.59,15378.49,71.08,0.55657,51.37,12275.35,70.94,0.44427,51.55,5599.91,69.89,0.20267,21.85,15049.91,31.33,0.54468,20.46,9986.35,27.49,0.36142,20.81,7454.85,27.81,0.2698,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.59,212066.96,85.33,7.67508,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13982.01,27.1,0.50603,35.57,78,44.09,13.6,43.84,10,36.2,15.3,50.46,11363.4,53.51,1794.42,67.93,239.32,77.11,1057.39,38.18,93.02,28.55,97.19,16.45,99.95,30.71,74.7,48.37,71.98,43.35,1162.87,18.36,3.9,27.95,137,31.68,47.84,34.58,119.28,39.15,28.02,61.13,17.76,0.25337,34.26,8036,38.16,0.28,20.09,24,0.01,0,0.01,0,0.01,0,0.01,1.07,41.57,21930.49,34.58,565.78,42.59,695.16,40.68,48800,45.55,1.682,0.01,0,0.01,0,55.42,-0.5482,49.3,-0.08556,41.83,0.48599,51.86,-0.33786,49.07,153.8,43.1,491.9,41.57,321.86,57.79,5.87,36.51,16,39.17,10,64.54,3.58,47.44,63.62,43.84,99.97,43.44,3.61,47.67,2.2,33.19,65.78,37.42,16.46,49.07,1544.06,43.35,683.48,13.64,98,12.94,98,11.67,98,51.16,2720.1,40.32,1.6
"Algeria","DZA",8.06,2.64,24.62,21.35,24.75,28.23,45.37,26.54,39.96,2.39,38.54,4.58,61.82,53.53,50.83,9.96,44.45,2.68,0.49,1.71,24.47,0.01,38.05,42.61,41.04,48.92,44.23,47.73,39.68,19.13,49.26,13.27,34.06,46.26,40.51,44.83,30.51,0.01,0.41,51.13,57.15,66.88,51.85,55.18,53.62,54.72,47.21,48.85,2.03,59.06,102181.4,52.93,0.26816,41.73,6229.01,28.5,0.01635,0.01,0,0.01,0,30.03,91.49,19.47,0.00024,23.53,0.76,0.01,0,0.01,0,0.01,0,24.55,70.53,19.81,0.00019,24.91,52.02,20.51,0.00014,0.01,0,0.01,0,34.86,81203.31,18.31,0.21311,34.21,65838.74,18.67,0.17278,31.33,33567.42,16.81,0.08809,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1999230.21,33.33,5.24671,36.98,38972.59,30.44,0.10228,37.56,82.2,36.11,0.00022,51.21,346251.85,35.46,0.90869,41.04,75.95,41.04,14.05,53.98,7.9,44.33,14,48.6,12710.2,40.25,5637.42,41.83,9.77,54.46,131.15,37.88,93.19,41.57,86.87,23.26,99.07,15.73,99.3,51.16,41.1,47.44,1112.39,14.04,3.1,12.55,147,33.89,48.8,34.24,119,50.93,42.82,49.77,8.69,0.2432,53.88,98983,37.3,0.25,36.26,4000,25.67,0.01,0.01,0,0.01,0,32.07,20.07,30.88,15008.68,47.44,8676.02,46.97,872.38,16.78,262.8,0.01,0,49.7,202.6,52.61,0.000546,56.65,-0.60003,57.66,-0.47755,72.82,-1.19053,61.42,-0.77317,50.7,139.57,53.03,218.3,54.22,183.43,56.16,10.57,55.56,114,51.74,25.3,61.22,10.44,58.17,44.94,46.02,99.16,40.12,5.7,53.98,1.29,48.6,34.48,46.02,88.96,46.73,1352.33,54.22,2556.71,29.2,95,28.56,95,0.01,99,41.57,4787.2,47.52,2.9
"Andorra","AND",0.31,0.02,4.79,2.82,1.89,20.62,40.14,0.55,33.06,0.01,24.58,0.01,22.51,30.2,29.36,5.74,52.04,0.14,0.01,0.01,0.01,0.01,0.16,0.01,31.1,44.14,33.89,55.79,0.01,0.01,36.28,26,36.79,33.19,29.59,0.01,0.01,0.01,0.01,0.01,26.14,19.39,37.54,35.4,20.72,26.72,32.26,1.39,23.67,16.27,101.09,39.59,0.10645,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,7312.32,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.14,81.03,33.19,15.2,41.18,10.5,47.32,13.5,34.24,31205.83,33.54,7775.13,54.22,103.75,57.41,192.93,0.01,100,0.01,100,0.01,100,0.01,100,22.13,363.2,59.49,836.24,16.16,3.36,41.83,126.19,34.58,48.98,39.15,139.04,33.89,24.28,64.43,19.92,0.1508,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.37,117.24,22.89,11772.36,22.89,150.21,14.41,258.51,0.01,0,0.01,0,0.01,0,0.01,0,30.88,1.22522,22.13,1.71834,14.41,1.28659,26.09,1.64195,31.28,357.18,45.06,459.3,35.89,426.72,34.91,1092.65,22.89,5.59,18.76,3.4,18.02,3837.61,22.89,110.45,46.26,99.14,40.44,5.48,19.49,38.13,42.59,47.75,12.55,3.43,21.32,270.79,0.01,52.35,20.35,97,18.71,97,34.81,90,35.89,6247.92,75.46,11.24
"Angola","AGO",7.91,2.33,26.88,19.45,15.11,66.06,55.81,56.25,80.12,0.16,69.22,0.72,69.37,69.03,68.76,71.9,58.32,0.12,0.13,26.21,33.64,0.01,55.21,49.18,74.64,65.34,52.76,37.71,62.66,46.35,67.62,50.99,72.82,84.04,84.04,41.58,0.01,0.01,51.15,0.01,75.54,63.7,72.35,66.33,68.53,68.5,69.02,69.89,73.97,15.88,92.99,15.7,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,28.6,70.94,21.08,0.00029,0.01,0,0.01,0,0.01,0,0.01,0,27.11,109.2,21.99,0.00045,26.77,105.65,22.34,0.00044,33.37,104.86,27.25,0.00043,38.78,104461.42,27.49,0.43059,39.79,93697.73,28.13,0.38622,40.82,76355.67,29.74,0.31474,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.97,1093986.75,27.15,4.50944,64.87,371358.04,59.54,1.53075,71.46,76193.35,74.11,0.31407,57.21,536439.75,42.28,2.21122,74.79,59.2,74.49,9.4,65.76,4.9,64.92,10.7,55.42,7682.52,50.23,2451.07,42.84,13.21,33.19,-152.44,68.53,53.54,57.3,46.12,57.88,32,37.11,46.6,64.11,3.26,71.32,521.59,47.02,15,55.3,116,72.82,65.52,72.82,363.6,84.04,93.38,22.13,4.56,0.46161,49.96,59952,34.6,0.22,0.01,0,0.01,0,0.01,0,0.01,0,69.12,1094,69.97,35007.4,66.11,37724.53,71.8,2115.86,56.43,423073,46.36,1.696,0.01,0,0.01,0,81.55,-1.44389,69.97,-1.12367,56.9,-0.33323,71.32,-1.11814,69.12,15.56,75.73,41.16,69.97,80.43,62.88,2.03,62.89,258,74.68,92.9,66.57,2.26,71.09,29.26,67.93,79.61,61.01,0.54,77.49,0.18,69.54,8.08,75.09,5672.4,61.99,3375.38,73.35,13697.74,73.36,55,73.62,55,74.94,33,53.27,2247.57,63.85,7.3
"Antigua and Barbuda","ATG",3.35,1.2,9.37,5.55,9.72,15.24,45.83,5.27,42.36,0.01,51.45,0.54,40.22,42.23,39.51,2.33,38.45,2.52,37.85,0.01,0.01,3.15,2.07,59.08,42.41,51.1,53.34,38.18,34.04,0.01,40.62,55.85,44.03,33.89,50.93,0.01,0.01,0.01,29.43,0.01,41.94,38.57,46.31,41.19,39.47,39.11,39.91,41.9,0.13,23.1,687.51,100,0.82016,20.35,166.03,54.54,0.19807,0.01,0,0.01,0,27.53,47.77,63.93,0.05698,26.63,2.29,43.86,0.00273,29.37,1.98,48.72,0.00236,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,3101.58,100,3.7,41.71,251.48,62.47,0.3,0.01,0,0.01,0,15.31,6454.63,100,7.7,15.3,125.83,33.29,0.15011,0.01,0,0.01,0,38.6,82489.61,90.42,98.4053,39.7,76.41,45.3,13.27,48.37,9.1,53.98,12.5,42.59,18113.44,66.81,530.86,47.2,38.85,30.88,-304.85,28.44,96.74,40.75,87.5,0.01,100,0.01,100,44.09,116.18,37.42,1296.87,40.06,10.96,77.87,96,48.84,56.68,39.7,142.46,45.06,33.11,55.18,11.51,0.34093,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.16,238.25,49.54,25715.76,52.33,14072.85,48.14,901.06,20.4,1000,42.45,1.136,0.01,0,0.01,0,36.2,0.6399,48.6,-0.06925,30.46,0.98455,48.84,-0.1772,48.37,162.77,44.33,468.7,39.84,355,42.59,414.11,45.28,42,34.4,7.6,46.94,238.29,41.83,76.06,30.46,106.46,45.66,2.54,25.51,20.51,54.58,23.95,47.44,98.43,36.2,712.41,42.84,655.93,0.01,99,23.52,96,0.01,99,42.34,4752.85,34.91,1.1
"Argentina","ARG",15.38,11.62,20.36,17.55,11.07,43.45,39.36,9.54,44.11,2.12,47.37,0.61,55.19,40.29,39.34,34.85,59.82,45.27,29.28,35.51,54.5,0.01,42,26.52,41.49,31.51,44.3,41.42,27.81,0.39,36.29,21.03,27.82,54.22,56.9,21.58,44.31,0.01,36.78,0.01,53.01,57.45,39.57,38.12,43.37,39.52,39.16,40.96,29.65,50.22,53651.21,42.03,0.1278,52.27,17525.02,34.93,0.04175,53.79,1758.94,41.53,0.00419,35.57,168.01,23.22,4e-04,34.47,23.92,24.94,6e-05,33.89,7.93,26.2,2e-05,40.72,3549.06,32.06,0.00845,41.06,1798.49,32.51,0.00428,37.76,446.21,30.49,0.00106,59.36,630069.51,50.72,1.50091,59.36,518650.07,50.28,1.23549,59.98,347651.68,48.61,0.82815,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2694234.95,46.68,6.41802,32.93,25416.1,24.54,0.06054,50.46,5702.19,46.05,0.01358,36.49,65619.88,19.28,0.15632,40.78,75.99,42.21,14,42.08,10.4,23.6,17.3,41.57,19249.43,47.2,3100.59,40.78,1.82,42.08,-8.49,22.16,98.91,34.91,94.48,0.01,100,15.36,99.6,41.57,152.79,31.68,1435.08,12.85,2.8,34.41,133,39.7,52.33,19.49,75.71,48.84,39.63,60.3,16.58,0.37665,30.31,4319,15.37,0.01,50.43,31700,38.94,0.07,0.01,0,0.01,0,59.22,356.59,43.35,23158.15,45.78,8026.05,42.84,701.7,42.84,76019,31.57,0.182,0.01,0,0.01,0,55.18,-0.54162,50.93,-0.15914,50.7,-0.00512,65.09,-0.88603,30.46,377.08,51.4,256.11,32.07,484.3,45.3,218.81,45.28,42,41.54,12,52.5,90.5,45.06,68.41,26.09,108.78,54.73,1.02,46.49,2.54,23.6,81,44.33,63.82,34.58,645.9,44.82,895.4,33.95,94,39.55,92,19.41,96,47.9,3145.46,74.7,10.31
"Armenia","ARM",2.59,0.23,29.15,12.94,43.84,43.65,53.37,27.02,37.39,0.16,42.13,36.66,53.61,42.88,46.98,34.8,50.86,47.5,0.01,0.01,29.12,0.01,2.72,0.01,48.12,39.86,54.45,77.69,25.14,17.98,43.88,26.86,36.8,33.54,42.34,43.56,0.01,0.01,34.96,38.45,53.14,54.09,39.56,47.46,41.98,53.87,40.97,46.57,26,42.28,23390.47,100,0.82016,42.57,8439.56,61.05,0.29592,29.78,32.53,35.1,0.00114,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26786.44,38.78,0.93924,24.55,14966,32.61,0.52477,22.88,10109.7,31.97,0.35449,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.99,209867.22,66.38,7.35876,35.48,28445.19,53.43,0.9974,0.01,0,0.01,0,0.01,0,0.01,0,46.97,74.41,49.3,12.38,32.45,11.5,48.95,13.1,52.56,10488.37,56.41,1333.03,67.18,231.2,89.84,1459.37,17.27,99.44,36.61,92.5,18.99,99.71,17.02,97.7,46.02,93.7,41.83,1187.73,15.59,3.3,46.26,123,37.42,50.27,36.2,124.94,40.25,28.67,60.03,15.64,0.26866,39.71,17948,47.78,0.62,0.01,0,0.01,0,0.01,0,0.01,0,35.24,27.36,48.6,25246.76,39.97,3236.01,46.02,853.63,32.96,15200,37.09,0.524,35.4,1.8,41.76,6.2e-05,54.94,-0.524,51.4,-0.19805,55.42,-0.29714,52.8,-0.36591,37.42,289.3,41.83,515.5,36.51,416.3,61.7,2.46,40.11,27,43.93,15.1,75.45,0.54,34.91,91.55,59.35,89.63,32.2,10.08,49.54,1.93,43.1,47.08,41.83,43.76,54.46,2268.06,44.33,826.54,37.13,93,28.56,95,16.58,97,53.74,2006.88,48.14,3
"Australia","AUS",18.42,31.65,10.72,6.02,7.33,27.93,8.92,1.19,37.7,0.61,32.42,0.61,23.34,27.7,25.44,28.02,30.55,23.54,63.95,26.95,34.85,49.47,6.68,68.05,14.15,0.51,26.88,32.7,8.64,0.01,39.38,0.59,34.4,44.21,35.24,42.05,0.54,0.01,36.64,0.01,23.05,23.64,26.3,32.38,24.96,26.6,24.34,22.45,34.97,30.25,4027.65,25.64,0.01909,18.93,67.82,16.54,0.00032,26.31,3.39,26.62,2e-05,75.86,10507.27,61.93,0.04979,66.71,2688,54.59,0.01274,70.82,2105.67,56.43,0.00998,32.01,446.68,24.55,0.00212,29.79,175.27,24.18,0.00083,28.09,38.42,24.12,0.00018,39.12,108588.56,30.38,0.51456,39.45,92960.24,30.06,0.4405,40.13,72619.63,31.65,0.34411,48.72,31833.94,43.55,0.15085,46.84,686.54,38.49,0.00325,61.9,43.72,61.9,0.00021,43.77,590400.75,17.73,2.79766,22.11,3012.74,16.4,0.01428,31.5,0.09,0.01,0,73.71,3316096.51,62.82,15.71358,15.96,82.71,12.55,16.94,25.81,12.3,0.01,20.4,26.09,45653.47,27.7,11060.75,31.88,0,33.54,-142.97,10.36,99.96,7.2,99.99,0.01,100,0.01,100,30.88,278.42,50.23,1067.49,0.01,2.5,34.41,133,34.91,49.03,33.89,116.79,39.97,28.37,67.93,21.89,0.19115,48.52,57027,36.45,0.24,29.22,1131,0.01,0,0.01,0,0.01,0,41.83,65.36,31.28,15151.09,26.65,232.48,31.68,414.68,41.04,54274.8,32.72,0.24,0.01,0,0.01,0,21.32,1.85345,24.91,1.60712,28.68,1.03219,19.49,1.9231,32.45,343.1,21.32,1211,38.58,379,27.18,3888.81,25.09,6,24.83,4,30.7,1721.48,48.84,60.74,12.55,120.54,53.98,1.04,39.7,6.04,6.73,105.95,27.18,6.84,12.55,126.72,33.19,190.1,39.58,92,39.55,92,27.33,93,20.45,12603.43,45.65,2.5
"Austria","AUT",1.11,0.17,7.21,4.52,3.07,27.02,27.66,0.43,31.07,0.17,30.08,0.06,22.27,21.57,33.63,19.46,30.13,39.07,0.01,0.01,54.7,0.01,0.16,0.01,27.44,27.95,23.88,31.97,0.29,0.01,28.09,0.41,26.88,41.04,27.18,52.84,0.01,0.01,0.36,0.01,26.88,18.45,25.57,18.45,21.27,33.66,33.61,19.76,19.16,42.63,26147.31,55.17,0.30669,40.09,5598.57,39.93,0.06567,30.22,32.74,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.62,231324.72,61.28,2.71326,47.4,196690.22,62.67,2.30702,48.61,146169.84,64.96,1.71446,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.3,491907.93,38.65,5.7697,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.18,81.15,27.7,15.99,23.94,12.4,32.64,15.8,22.89,48864.04,24.91,12680.54,31.88,0,32.07,-190.19,0.01,100,8.61,99.98,0.01,100,0.01,100,31.68,276.02,24.91,1515.57,0.01,2.5,16.64,146,26.09,44.32,27.7,89.68,15.96,21.1,76.4,27.78,0.14474,51.86,84039,53.83,0.98,0.01,0,0.01,0,0.01,0,0.01,0,52.56,169.4,24.27,11974.91,27.18,240.2,23.6,279.34,12.64,40,0.01,0,0.01,0,0.01,0,27.7,1.47473,26.09,1.57259,18.45,1.2707,18.45,1.95246,19.49,503.6,33.54,698.1,18.45,758,18.45,6712.74,20.29,5,22.29,3.8,28.12,1942.33,31.28,100.62,43.35,100.28,52.86,1.13,29.59,12.59,24.27,79.16,10.16,3.25,31.28,529.71,24.27,114.83,13.64,98,12.94,98,39.88,87,22.89,11058.29,39.66,1.5
