"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",3.96,0.25,62.87,57.92,76.65,55.97,68.29,55.29,58.09,66.36,44.77,76.91,82.26,71.17,66.71,66.99,39.23,56.23,0.01,0.01,46.59,0.01,2.45,0.01,67.4,71.94,73.13,61.35,56.92,35.21,76.92,60.61,38.71,72.82,69.54,61.84,73.71,64.12,67.28,87.91,78.08,86.66,69.34,71.1,73.11,70.65,62.99,69.39,64.67,63.67,166606.49,66.24,0.57353,59.54,55295.66,52.71,0.19035,51.25,1768.16,46.58,0.00609,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,309679.18,41.51,1.06604,50.72,266125.35,42.56,0.91611,52.05,202287,43.63,0.69636,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1760122.95,42.4,6.05908,31.85,24397.39,28.34,0.08399,0.01,0,0.01,0,0.01,0,0.01,0,66.11,64.63,68.72,10.13,74.19,3.9,69.75,10.1,74.49,2104.28,71.8,383.88,73.91,430.33,50.93,64.56,56.85,69.6,57,47.39,27.11,98.72,45.73,34.1,85.08,0.43,69.54,591.21,57.7,23,63.66,106,39.43,51.74,38.01,133.74,73.35,79.32,23.6,4.76,0.41946,67.75,582442,56.44,1.57,72.92,435060,74.5,1.17,66.27,372000,62.04,1,24.91,12.5,42.59,20937.39,65.09,30606.7,58.17,1330.7,74.48,2759580.4,60.78,7.44,87.97,18445,87.86,0.051854,80.51,-1.49683,75.73,-1.45728,93.27,-2.75161,80.51,-1.66802,63.49,32.67,75.73,44.6,81.55,54.96,61.99,2.71,76.4,512.62,69.97,62.3,63.8,1.05,82.72,23.55,66.81,81.28,57.57,0.86,63.18,0.52,68.72,9.69,62.88,1626.53,74.49,4824.95,71.32,9334.6,64.75,72,58.35,76,71.57,49,69.54,635.06,22.13,0.6
"Albania","ALB",5.17,2.29,11.65,8.89,10.61,16.75,50.57,11.87,36.58,0.51,4.97,0.58,49.24,41.88,45.19,2.27,45.79,2.63,2.04,60.16,23.66,0.01,0.17,25.4,40.34,43.39,51.03,73.23,28.61,0.57,53.36,22.8,33.36,34.24,42.84,30.01,0.45,0.01,34.13,0.01,49.95,48.54,38.13,47.91,40.21,47.71,42.81,42.92,0.12,37.91,14821.56,65.67,0.53491,32.21,1972.44,41.15,0.07119,0.01,0,0.01,0,28.95,93.45,35.67,0.00337,27.02,2.75,25.95,1e-04,0.01,0,0.01,0,49.39,15663.3,71.08,0.56529,50.73,12539.32,74.87,0.45255,50.86,5685.1,69.89,0.20518,21.16,13833.38,29.74,0.49925,20.11,9089.98,26.52,0.32806,20.46,6746.7,25.54,0.24349,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,212577.39,85.33,7.67194,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13982.11,26.77,0.50462,36.51,78.51,44.58,13.79,45.3,10.1,41.57,14.7,49.54,13531.11,52.56,2277.4,69.54,307.94,77.11,1201.39,37.02,94.44,22.11,98.97,0.01,100,32.34,79.7,48.51,126.27,58.69,947.15,19.74,4.1,26.33,136,31.28,47.49,35.57,122.25,36.2,25.77,62.28,20.04,0.24749,28.07,4527,32.09,0.16,20.41,108,0.01,0,0.01,0,0.01,0,0.01,1.15,41.83,20217.12,33.89,547.43,43.1,672.78,33.42,13720.4,34.85,0.478,0.01,0,0.01,0,55.67,-0.52192,44.82,0.11479,43.84,0.37834,53.74,-0.39233,46.49,215.8,31.28,846.5,40.51,335.18,56.65,6.6,38.3,12.66,42.21,8.8,56.9,3.77,42.59,76.71,44.82,99.61,41.71,4.73,46.73,2.6,40.25,54.96,36.51,14.04,50.23,1554.07,43.1,553.65,0.01,99,0.01,99,17.01,96,48.37,3235.82,43.35,2
"Algeria","DZA",9.41,2.63,33.66,15.94,50.2,47.64,46.21,24.56,42.91,0.56,37.76,37.89,60.54,55.16,47.13,45.26,50.69,2.68,0.49,1.7,24.18,0.01,38,42.61,41.31,48.15,47.9,47.84,40.05,19.53,51.17,9.09,34.74,56.16,40.51,42.77,0.41,0.01,31.18,46.04,57.29,63.98,54.16,55.54,55.79,50.58,43.91,49.14,41.68,59.66,111564.14,52.93,0.26717,40.9,6883.15,28.5,0.01648,0.01,0,0.01,0,29.67,96.19,19.11,0.00023,23.14,0.74,0.01,0,0.01,0,0.01,0,24.55,75.05,19.81,0.00018,24.55,57.7,20.15,0.00014,0.01,0,0.01,0,34.86,86500.74,17.57,0.20715,33.89,70358.72,18.31,0.16849,31.97,36101.01,16.43,0.08645,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,2193495.34,33.76,5.25289,36.98,42621.83,30.09,0.10207,37.56,80.95,35.54,0.00019,51.21,372995.46,35.46,0.89323,41.31,76.79,41.31,14.38,54.58,8,42.47,14.5,52.33,11621.31,43.84,4812.61,42.59,9.82,53.74,129,38.1,94.04,42.09,86.3,22.76,99.64,16.75,99.3,53.62,72.63,48.84,1116.65,13.23,2.7,6.24,149,35.24,48.8,34.24,119,55.67,47.49,50.23,10.02,0.22614,50.16,103251,36.47,0.24,16.84,19,0.01,0,0.01,0,0.01,0,30.88,22.17,30.46,13932.82,46.97,7763.16,46.02,822.95,39.02,32124,24.91,0.078,47.07,79.2,45.04,0.000196,58.96,-0.63016,55.67,-0.44392,65.42,-0.82659,62.58,-0.77524,49.3,171.9,59.49,154.8,54.22,182.84,56.9,6.36,57.16,88.67,54.46,23.5,54.46,8.82,55.79,49.06,42.59,100.53,38.73,6.55,51.63,1.66,42.34,51.37,45.54,68.73,47.44,1324.27,54.94,1917.31,40.32,91,38.25,91,46.94,77,43.1,4786.38,59.62,4.3
"Andorra","AND",0.26,0.02,3.44,2.69,1.82,8.3,38.42,0.5,31.14,0.01,23.43,0.01,18.7,32.33,29.21,0.42,46.62,0.14,0.01,0.01,0.01,0.01,0.16,0.01,30.91,45.55,34.04,45.48,0.01,0.01,23.07,27.34,37.37,25.51,31.68,0.01,0.01,0.01,0.01,0.01,19.55,17.89,39.01,34.74,24.94,25.8,33.06,1.35,0.13,16.27,114.12,39.18,0.10664,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8240.17,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.2,81.65,33.89,15.47,42.08,10.5,49.3,13.3,34.91,35324.22,33.19,9516.65,52.1,95.89,39.7,-25.11,0.01,100,0.01,100,0.01,100,0.01,100,10.6,463.11,50.23,1072.8,18.67,3.82,40.05,125.25,36.2,49.23,38.58,137.83,32.45,23.8,60.57,17.87,0.14353,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.44,128.27,22.89,11429.6,22.13,137.58,12.55,252.22,0.01,0,0.01,0,0.01,0,0.01,0,30.46,1.2388,12.55,1.94498,12.55,1.42397,25.51,1.60679,34.91,355.58,43.59,501.39,35.24,424.47,34.24,1209.56,27.18,5.36,22.89,2.9,15.96,3606.3,24.27,110.32,44.33,99.85,39.65,5.91,20.45,40.25,44.58,46.06,12.55,3.49,19.49,223.8,0.01,38.92,0.01,99,0.01,99,21.14,95,35.89,7868.64,60.57,4.51
"Angola","AGO",11,2.36,51.23,34.08,57.31,68.84,57.22,57.99,81.57,2.45,69.31,40.44,65.72,70.83,68.55,70.57,67.43,0.12,0.14,25.99,34.23,0.01,52.35,52.68,74.49,61.95,56.78,40.9,62.94,47.15,74.07,51.43,79.18,84.04,81.55,41.24,35.67,0.01,44.21,36.99,70.2,61.53,74.38,68.23,70.03,68.22,68.88,66.75,74.6,15.88,99.82,15.7,0.00032,0.01,0,0.01,0,0.01,0,0.01,0,32.2,112.33,21.97,0.00036,0.01,0,0.01,0,0.01,0,0.01,0,27.11,122.8,21.81,4e-04,26.77,119.01,22.34,0.00039,32.95,117.79,26.46,0.00038,40.82,126560.3,27.49,0.4096,41.51,112703.97,27.81,0.36476,42.21,91556.27,29.42,0.29631,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.67,1131723.93,22.58,3.66273,62.02,362042.77,56.62,1.17172,69.09,73549.48,74.11,0.23804,60.54,878729.5,45.84,2.84393,74.49,60.97,74.49,9.55,65.25,5.2,58.82,11.8,58.17,6551.5,55.42,1787.29,43.35,11.39,38.58,-47.64,70.91,56.59,55.86,51.12,54.07,45.29,41.11,49,68.97,3.56,79.55,431.31,49.17,15.4,53.8,116,80.51,68.56,77.87,446.23,85.59,91.83,21.32,4.35,0.45407,47.46,69989,35.84,0.23,43.36,12018,29.35,0.04,0.01,0,0.01,0,71.32,1237.24,68.72,33091.09,66.46,34925.89,70.86,2007.16,50.81,293629.8,38.46,0.984,36.97,10,37.01,3.4e-05,70.86,-1.14468,69.54,-1.05209,55.42,-0.31663,68.32,-1.04783,68.72,16.69,80.51,40.8,70.41,78.96,66.11,0.72,64.76,245.06,75.73,77.2,62.28,1.3,77.11,27.14,66.11,82.14,58.72,0.79,80.51,0.16,69.12,9.56,72.3,3524.92,56.9,2395.57,72.3,9372.33,71.3,63,68.98,61,84.41,35,58.96,1472.83,77.11,19.6
"Antigua and Barbuda","ATG",3.83,1.2,12.22,5.41,9.57,35.27,45.01,4.74,41.72,0.01,52.14,0.49,41.16,43.47,38.14,33.19,34.66,2.51,37.85,0.01,0.01,3.15,2.07,59.35,42.33,52.32,43.09,42.99,32.76,0.01,28.65,53.66,44.81,31.68,51.16,0.01,0.01,0.01,23.68,0.01,45.15,37.52,46.71,42.07,41.79,35.51,40.96,42.8,25.74,22.76,727.88,100,0.82016,20.35,175.56,54.54,0.19781,0.01,0,0.01,0,27.89,49.92,62.9,0.05625,26.63,2.39,44.01,0.0027,29.37,2.01,48.72,0.00226,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.18,3283.69,100,3.7,41.04,266.25,62.47,0.3,0.01,0,0.01,0,15.31,6833.63,100,7.7,15.3,136.85,33.29,0.1542,0.01,0,0.01,0,38.96,87271.59,90.42,98.33584,39.97,76.96,44.82,13.58,49.07,9.3,55.79,12.5,42.59,20489.64,43.59,5019.93,64.43,235.96,28.68,-431.22,27.13,97.84,39.55,89.42,0.01,100,0.01,100,47.51,131.17,17.28,1698.7,40.96,10.4,70.3,99,50.58,56.79,39.7,143.05,44.33,31.95,55.18,12.73,0.33209,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,57.16,299.45,51.63,24288.11,52.8,13578.19,47.44,861.75,16.41,360,34.17,0.378,0.01,0,0.01,0,42.34,0.27669,48.14,-0.00601,34.75,0.84801,40.51,0.41481,47.9,193.27,45.54,451.7,42.84,312.44,41.31,417.27,47.44,37.54,36.82,6.4,40.78,256.29,35.57,92.39,30.88,107.63,49.24,2.26,25.51,21.05,54.7,25.95,47.67,91.6,37.72,717.29,43.59,567.54,27.65,95,29.19,94,21.14,95,34.91,7965.31,34.41,1.2
"Argentina","ARG",14.4,11.56,17.94,18.16,10.78,29.5,38.98,9.83,42.63,2.51,48.14,0.6,48.21,43.27,36.93,10.94,63.56,44.56,29.08,35.29,54.33,0.01,41.92,26.52,42.21,30.14,44.52,40.77,29.46,0.4,39.7,19.99,25,53.74,57.66,45.16,35.11,0.01,35.63,0.01,46.37,50.12,42.46,41.97,45.46,40.28,33.85,40.83,2.93,49.8,56162.7,42.03,0.12741,50.6,18336.8,34.2,0.0416,52.07,1836.74,41.53,0.00417,34.81,175.37,23.57,4e-04,34.03,24.93,24.57,6e-05,33.66,7.64,26.2,2e-05,40.72,3669.47,32.45,0.00832,41.06,1835.36,31.73,0.00416,37.3,433.89,30.08,0.00098,58.76,659435.32,51.16,1.49604,59.36,542979.6,49.86,1.23184,59.98,363544.22,48.2,0.82476,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2831402.59,46.33,6.42352,33.65,27392.81,24.54,0.06215,49.57,6128.12,46.05,0.0139,36.49,71880.71,19.28,0.16307,42.21,76.6,42.21,14.28,41.04,10.6,22.13,17.6,41.57,22467.53,47.67,3361.66,41.04,3.29,40.51,-20.37,25.19,98.58,34.45,94.73,0.01,100,16.16,99.8,43.91,190.44,35.89,1316.97,15.17,3.1,26.33,136,39.15,51.6,15.96,67.28,48.84,38.62,60.3,17.34,0.37439,52.7,137106,38.7,0.31,44.64,15172,27.61,0.03,0.01,0,0.01,0,59.75,405.25,45.54,21965.06,45.54,7195.92,43.35,674.5,42.51,71603.6,29.87,0.166,0.01,0,0.01,0,46.26,-0.07027,46.49,0.02599,49.54,0.01922,50.7,-0.24287,33.54,373.38,53.74,250.4,35.89,399.61,49.07,79.84,47.67,40.3,43.35,9.9,50.23,24.89,46.97,65.77,27.7,108.66,45.22,3.25,46.49,2.63,18.45,91.6,44.58,56.59,34.24,605.51,44.58,687.39,49.05,86,51.2,84,0.01,99,47.2,3416.61,85.59,34.3
"Armenia","ARM",2.57,0.23,28.62,13.04,40.73,44.14,52,25.54,41.26,0.16,42.93,29.47,52.08,44.01,45.82,36.22,51.82,47.14,0.01,0.01,28.71,0.01,2.68,0.01,48.84,43.12,51.96,66.81,19.59,18.91,45.79,25.08,45.03,36.2,43.1,40.97,0.01,0.01,23.08,37.62,50.43,53.79,40.35,47.68,44.3,50.31,41.73,46.68,28.11,41.59,23042.53,100,0.82016,42.57,8294.21,61.05,0.29522,29.34,30.4,34.6,0.00108,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.19,26062.68,38.45,0.92766,23.21,14601.22,33.57,0.51971,22.54,9850.21,31.65,0.3506,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,206794.82,66.38,7.36052,33.29,26954.73,53.43,0.95941,0.01,0,0.01,0,0.01,0,0.01,0,46.73,75.01,51.05,12.4,37.27,11.3,49.88,13.1,50.23,13248.87,53.74,2014.69,58.43,148.01,76.4,1198.54,10.69,99.95,35.89,93.69,19.51,99.9,18.32,98.1,49.24,117.71,42.59,1212.59,15.17,3.1,41.48,125,43.84,54.44,46.26,154.34,42.08,30.29,59.49,16.52,0.25784,37.38,18951,44.9,0.64,0.01,0,0.01,0,0.01,0,0.01,0,37.42,42.48,48.84,23210.73,39.97,3065.51,46.49,835.65,21.98,2130,24.24,0.074,34.7,2.6,40.78,9e-05,52.33,-0.34914,48.6,-0.02434,58.69,-0.43593,49.3,-0.15022,35.57,344.35,45.78,436.8,36.51,393.52,62.28,2.7,43.1,24.81,45.54,12.4,64.76,0.91,31.28,101.08,62.88,86.68,33.46,11.87,53.27,1.51,40.78,54.57,41.57,37.22,55.18,2157.53,44.33,625.39,37.12,92,35.18,92,17.01,96,54.46,2179.73,49.3,2.5
"Australia","AUS",21.58,31.31,14.88,8.05,14.16,28.91,9.13,1.14,39.97,2.53,32.11,4.14,24.83,27.64,28.13,25.87,33.19,23.49,63.4,26.35,34.4,49.35,6.64,66.72,15.17,0.47,29.25,33.33,8.7,0.01,38.32,0.5,36.51,47.9,36.51,45.98,35.16,0.01,30.57,0.56,24.27,25.41,25.91,32.22,25.29,28.31,27.95,24.57,27.23,29.61,4028.49,25.64,0.01908,18.93,67.82,16.54,0.00032,26.31,3.39,26.84,2e-05,75.86,10505.22,61.93,0.04977,65.29,2688.21,54.48,0.01273,68.85,2104.57,56.43,0.00997,31.24,427.91,24.55,0.00203,29.41,158.93,23.08,0.00075,27.31,33.64,23.54,0.00016,38.45,108569.34,30.7,0.51431,38.78,92989.6,30.06,0.44051,38.45,72668.35,31.33,0.34424,47.99,31846.03,43.55,0.15086,46.84,686.35,38.49,0.00325,61.9,43.66,61.9,0.00021,42.95,590523.29,17.73,2.79742,21.76,3015.33,16.4,0.01428,31.5,0.1,0.01,0,70.87,3318779.02,62.82,15.72167,15.96,83.36,14.41,17.31,22.51,12.7,0.01,22,27.7,48659.48,30.88,10902.25,32.45,0,34.24,-189.61,9.92,99.97,7.63,99.99,0.01,100,0.01,100,29.92,337.33,49.07,1106.37,0.01,2.5,24.75,137,36.82,49.71,36.2,124.67,41.31,29.45,67.18,24.03,0.18357,51.59,117711,40.98,0.47,42.13,11218,29.35,0.04,0.01,0,0.01,0,41.31,69.31,30.88,14638.15,26.65,226.01,31.28,401.62,37.01,22803,25.25,0.094,31.76,0.2,0.01,0,24.27,1.80646,24.27,1.5965,28.2,1.0027,22.89,1.71428,32.82,376,20.45,1281,36.82,377.33,28.2,3616.6,22.89,4.38,27.95,3.7,28.68,1558.11,45.78,69.12,17.28,114.64,53.74,1.23,39.97,6.22,10.16,107.81,27.7,6.79,15.96,120.52,33.54,166,27.65,95,26.49,95,27.58,93,26.09,12234.82,42.21,1.9
"Austria","AUT",1.14,0.17,7.65,4.59,3.2,30.53,28.19,0.44,30.42,0.18,30.12,0.06,24.42,22.4,31.93,30.14,29.56,38.91,0.01,0.01,54.67,0.01,0.16,0.01,30,28.22,23.57,31.66,0.29,0.01,38.29,0.35,24.16,42.08,27.7,56.83,0.01,0.01,0.37,0.01,26.37,22.62,28.4,15.96,24.81,30.35,33.59,19.52,46.55,42.63,26709.57,55.17,0.30716,39.69,5727.34,39.93,0.06586,29.78,32.66,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.01,239972.94,61.28,2.7597,47.4,203457.45,62.67,2.33977,48.61,150467.11,64.16,1.73038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,40.48,502644.89,39.04,5.78044,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.14,81.46,30.88,16.07,24.27,12.6,32.82,16.1,22.89,56531.34,24.27,15330.39,32.45,0,30.88,-353.32,0.01,100,8.45,99.97,0.01,100,0.01,100,35.72,285.18,41.04,1242.46,0.01,2.5,12.57,145,22.89,43.58,25.51,88.21,20.45,21.44,71.32,28.49,0.13054,54.64,167188,59.11,1.89,0.01,0,0.01,0,0.01,0,0.01,0,51.4,190.1,24.27,11475.26,27.18,241.31,24.27,276.02,13.45,66,0.01,0,0.01,0,0.01,0,26.09,1.59649,26.65,1.45334,32.07,0.9094,15.96,1.87477,22.89,521.1,35.24,708.9,15.96,727,15.96,6953.36,23.6,4.72,26.09,3.5,24.27,2020.23,27.7,105.45,41.57,101.04,51.44,1.54,29.59,13.55,24.91,86.69,10.16,3.44,28.68,420.36,25.51,105.86,51.28,85,49.09,85,40.06,84,19.49,13683.12,44.82,2.1
