"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.19,0.25,70.21,63.17,76.4,71.72,66.09,67.69,69.94,69.01,46.57,67.27,84.72,78.25,72.93,82.18,61.55,56.79,0.01,0.01,45.56,0.01,2.49,0.01,65.42,75.28,73.75,52.53,69.69,49.91,74.01,81.56,39.97,85.59,100,100,50.89,64.59,55.97,80.85,82.95,86.52,76.08,80.77,77.98,74.63,71.26,75.52,89.42,65.22,121878.74,66.24,0.58126,59.54,41030.56,53.79,0.19568,52.07,1454.81,46.58,0.00694,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.44,217292.82,40.47,1.03631,49.44,183645.24,40.82,0.87584,51.16,140421.69,43.27,0.6697,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.57,1251683.29,40.93,5.9695,33.65,21100.69,30.44,0.10063,0.01,0,0.01,0,0.01,0,0.01,0,65.42,56.99,65.42,9.44,75.78,2.3,74.79,6.5,78.68,827.97,69.12,163.06,66.81,264.56,41.31,-4.45,81.4,30.24,59.67,23.27,48.46,32.4,51.4,8.2,62.29,0.76,87.93,1.11,80.42,47.8,82.72,87,39.97,52.73,39.97,146.76,85.59,99.08,19.49,4.59,0.51748,100,1964218,100,8.69,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,26.09,5.79,46.26,29901.71,62.58,43935.54,62.28,1875.96,61,625923.8,51.36,3.008,88,4413,74.28,0.021436,78.68,-1.26337,87.45,-1.56797,87.45,-2.03539,85.59,-1.67082,64.43,19.01,89.84,24.66,100,39,65.24,1.84,87.45,1337.18,69.54,121.12,70.49,0.54,77.87,22.13,75.73,51.03,66.45,0.13,71.9,0.33,75.73,2.04,66.46,6326.01,85.59,12139.85,75.73,27226.7,88.86,36,87.16,36,92.31,14,71.32,207.32,53.12,5.1
"Albania","ALB",7.92,2.38,26.35,9.34,46.56,42.08,52.29,13.4,37.31,0.53,5.14,35.97,59.51,47.14,53.42,27.9,49.98,2.74,2.02,59.32,28.58,0.01,0.18,25.44,40.39,45.9,52.44,76.92,35.02,0.6,52.23,29.37,31.22,47.2,35.24,0.39,38.57,0.01,39.9,32.42,60.06,58.97,46.2,53.58,42.31,56.25,50.73,44.34,17.55,41.25,17154.35,65.67,0.56546,36.98,2567.03,42.68,0.08462,0.01,0,0.01,0,31.11,77.52,32.61,0.00256,26.63,1.99,25.38,7e-05,0.01,0,0.01,0,50.59,14856.76,67.88,0.48972,52.02,12049.03,67.8,0.39717,51.44,5986.74,69.96,0.19734,25.87,21099.46,34.53,0.6955,25.21,14393.3,30.7,0.47445,24.88,10862.86,31.65,0.35807,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,35.2,232979.36,85.33,7.67972,0.01,0,0.01,0,0.01,0,0.01,0,25.11,13238.03,25.77,0.43637,37.42,74.83,43.59,12.34,37.03,9,56.9,10.7,53.51,4798.03,51.4,1209.1,69.12,329.51,85.59,778.31,39.08,87.45,31.39,90.61,0.01,100,36.43,43.1,58.5,0.97,46.64,278.92,20.81,4.9,41.44,122,30.03,46.15,32.45,112.45,46.02,45.58,58.69,11.96,0.24522,15.25,74,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,0.95,43.35,28516.82,36.82,733.58,43.84,903.13,37.34,38796.8,42.64,1.272,31.14,1.2,33.75,3.8e-05,62.28,-0.8686,57.92,-0.53335,57.92,-0.29458,60.03,-0.76215,48.14,117,44.33,366.9,44.82,314.1,64.06,2.29,38.3,21.62,46.73,23.14,64.47,1.6,47.67,51.33,57.92,82.33,48.52,1,53.06,1.87,50.7,16.31,39.97,44.16,47.9,1912.58,45.54,1791.29,14.1,98,13.89,98,27.58,93,46.26,1680.69,54,5.2
"Algeria","DZA",10.34,2.64,40.52,29.46,51.51,43.83,46.8,34.41,41.53,8.85,37.46,39.54,63.57,54.38,53.41,42.69,36.93,2.69,0.49,1.69,24.77,0.01,37.18,43.23,44.74,51.94,40.01,51.59,36.27,19.81,61.79,31.56,39.53,47.67,38.01,51.92,24.25,0.55,26.65,58.66,61.15,66.09,50.11,58.53,54.82,57.86,49.31,48.75,37.38,59.06,83857.94,54.26,0.27347,40.9,5067.56,28.65,0.01653,0.01,0,0.01,0,30.75,76.24,20.01,0.00025,23.34,0.57,0.01,0,0.01,0,0.01,0,24.92,59.79,19.79,0.00019,24.18,36.57,19.78,0.00012,0.01,0,0.01,0,34.21,68944.16,19.4,0.22483,33.89,56384.44,19.04,0.18387,30.7,28833.57,17.57,0.09403,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,1593455.64,33.33,5.19634,37.36,30340.8,30.09,0.09894,35.25,33.66,33.32,0.00011,52.21,288831.4,35.8,0.94189,46.73,71.83,42.84,12.41,51.21,6.3,52.68,11.5,43.84,8928.7,36.51,4349.49,41.31,30.47,64.43,170.94,34.87,90.37,37.73,85.03,23.44,96.61,16.75,97.5,54.04,1.43,70.66,14.13,30.19,8,33,127,38.58,52.18,40.51,150.93,49.07,50.55,45.78,7.2,0.25674,60.06,169246,44.89,0.53,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,28.68,8.32,31.28,17952.85,47.44,11967.67,46.26,993.47,31.49,12764,22.55,0.04,61.95,1231.6,55.55,0.004016,62.58,-0.87568,59.75,-0.59752,77.11,-1.63323,56.65,-0.63016,49.3,111,50.93,219,55.42,181.07,61.82,4.35,56.16,145.01,53.51,37.52,61.42,4.67,58.17,37.2,54.22,88.19,40.63,2.71,59.56,0.99,49.54,17.37,48.37,239.81,45.78,1545.19,52.33,3751.49,44.16,86,42.89,86,27.58,93,41.83,2283.63,32.61,1.4
"Andorra","AND",0.31,0.02,4.77,2.67,2.13,19.06,33.75,0.61,31.58,0.01,20.91,0.01,28.22,34.08,29.07,6.22,38.29,0.14,0.01,0.01,0.01,0.01,0.16,0.01,27.71,40.48,28.26,40.94,0.01,0.01,38.59,34.74,36.93,24.91,34.24,0.01,0.01,0.01,0.01,0.01,28.9,27.56,40.19,35.24,27.95,25.83,32.72,1.37,28.26,15.88,73.75,40,0.10693,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.31,5310.74,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.89,79.33,33.54,14.09,29.83,9.9,54.94,11,32.07,27020.25,24.91,9523.53,58.43,127.43,28.68,-124.62,0.01,100,0.01,100,0.01,100,0.01,100,37.09,16.39,40.16,468.11,26.36,6.54,45.78,117.62,35.89,49.62,38.01,138.04,35.73,30.18,59.75,14.02,0.23501,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.27,108.51,17.28,13422.28,14.41,151.64,14.41,283.49,0.01,0,0.01,0,0.01,0,0.01,0,29.37,1.3499,28.44,1.42387,24.59,1.28204,30.88,1.252,33.89,290,47.67,312.9,34.91,506.95,35.58,829.42,27.7,8.23,28.2,5.93,22.76,1718.56,17.28,101.24,43.84,95.16,40.3,2.75,20.53,32.24,42.34,29.01,12.55,3.14,20.45,370.17,0.01,88.23,21.31,97,28.07,95,37.73,85,24.91,7155.43,58.87,7.77
"Angola","AGO",11.12,2.22,55.74,36.36,61.87,76.99,59.52,66.71,79.76,2.86,70.2,43.93,76.96,70.06,77.02,82.09,72.18,0.12,0.13,22.76,32.15,0.01,63.75,36.51,77.62,67.35,55.3,43.4,63.15,43.67,71.83,100,74.53,79.55,85.59,50.28,46.67,0.01,31.52,61.23,75.74,78.19,68.19,63.19,79.79,72.04,82.35,81.19,83.01,16.27,80.15,15.7,0.00041,0.01,0,0.01,0,0.01,0,0.01,0,22.96,16.11,17.48,8e-05,0.01,0,0.01,0,0.01,0,0.01,0,23.46,31.29,18.88,0.00016,23.44,27.79,20.51,0.00014,27.53,27.53,23.72,0.00014,36.8,80312.82,26.52,0.40584,37.79,72916.18,26.84,0.36846,38.78,58877.17,28.78,0.29752,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.49,1182059.92,41.3,5.97323,72.54,441227.14,64.87,2.22963,81.83,85491.78,77.46,0.43201,43.83,122076.6,30.42,0.61688,79.55,48.1,75.73,8.72,59.37,4.4,76.4,5.9,57.41,3380.36,53.27,1093.03,56.16,102.53,33.54,-53.78,68.68,43.38,58.07,30.42,51.82,26.38,36.81,41.7,66.1,0.65,78.05,7.99,100,67.5,100,74,73.35,66.43,75.73,399.07,80.51,93.7,24.91,5.12,0.47805,53.78,100738,47.01,0.58,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,64.11,689.13,78.68,40276.61,70.86,57965.4,67.93,2319.72,35.04,23788.8,28.36,0.144,60.51,1185,61.95,0.007322,76.4,-1.18363,75.09,-1.23886,73.91,-1.57705,82.72,-1.61733,64.76,17.67,71.8,48.82,63.18,131.83,63.21,2.9,70.86,700.65,89.84,192.31,67.12,0.9,74.79,23.48,74.49,54.48,73.33,0.06,81.64,0.14,93.27,0.71,87.45,16107.31,72.82,8564.07,84.04,34727.92,75.15,47,100,22,76.11,32,52.1,1147.91,100,108.9
"Antigua and Barbuda","ATG",4.25,1.21,14.91,9.38,9.69,36.45,46.6,4.98,47.79,0.13,50.47,0.58,35.86,43.78,38.26,32,39.57,2.51,38.18,0.01,0.01,3.15,2.07,59.35,40.39,42.01,41.01,67.74,29.35,0.01,39.12,53.52,47.82,42.84,53.27,0.01,24.51,0.01,33.64,0.01,35.51,36.22,46.47,43.13,41.86,35.67,41.04,39.01,26.25,22.76,598.76,100,0.82016,20.35,144.58,54.41,0.19805,0.01,0,0.01,0,28.24,42.45,62.9,0.05814,27.02,2.03,43.6,0.00278,29.81,1.81,49.69,0.00248,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2701.18,100,3.7,41.71,219.01,62.47,0.3,0.01,0,0.01,0,15.87,5621.38,100,7.7,15.3,97.83,32.21,0.134,0.01,0,0.01,0,38.96,72083.39,90.42,98.73777,38.3,74.48,42.59,12.42,37.03,9,47.67,12.18,37.12,15534.72,45.3,1961.33,67.55,271.53,67.93,257.87,22.18,98.02,38.85,83.19,0.01,100,0.01,100,39.2,12.38,39.05,487.94,36.21,11.62,79.11,90,51.86,59.49,44.09,173.04,43.35,42.46,56.04,10.17,0.3717,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,57.41,204.09,46.97,29978.27,50.23,15774.4,47.9,1049.24,23.68,1596.4,47.78,2.15,0.01,0,0.01,0,34.24,0.88013,36.82,0.61435,39.97,0.79276,32.82,1.06105,47.67,124.81,45.3,358.26,44.33,325.96,41.97,320.56,43.84,41.13,39.97,14.35,45.98,121.24,41.83,62.59,23.6,107.57,47.85,1.04,27.72,16.62,52.1,14.65,44.33,128.69,30.88,691.66,43.35,1320.32,14.1,98,34,93,37.73,85,37.12,3625.15,42.18,2.4
"Argentina","ARG",16.25,11.69,22.58,21.46,11.58,46.33,36.85,27.65,50.44,1.95,45.43,0.64,57.22,42.42,41.08,37.38,64.76,45.38,28.24,36.9,54.92,0.01,41.85,27.37,38.72,26.13,43.58,41.84,30.52,20.34,50.37,18.7,46.92,50.23,54.46,22.13,33.61,0.01,40.38,0.01,52.91,61.89,39.96,41.16,46.4,37.98,44.43,39.35,35.5,51.51,46967.61,42.03,0.12836,52.84,15411.48,34.75,0.04212,52.91,1560.02,41.53,0.00426,34.43,129.76,22.51,0.00035,31.9,14.75,24.01,4e-05,32.5,5.64,26.31,2e-05,44.03,4160.25,33.47,0.01137,42.98,2141.4,32.91,0.00585,39.02,496.24,31.06,0.00136,59.98,567518.11,51.6,1.55099,59.98,472655.78,50.72,1.29174,59.98,326080.25,48.61,0.89116,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2346163.49,46.33,6.41192,34.01,21468.03,23.84,0.05867,50.46,5136.12,45.28,0.01404,36.84,59326.37,20.34,0.16214,38.87,74.02,38.58,13.14,35.04,9.2,19.49,16.4,42.84,9542.25,44.33,2145.52,36.2,10.18,48.37,8.96,26.24,96.76,35.49,88.28,24.13,96.05,17.15,96.2,48.07,3.93,52.77,174.27,11.82,3,29.59,132,54.7,60.64,40.25,150.74,45.3,44.96,61.99,15.78,0.37854,28.42,3963,17.23,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,57.92,218.81,39.7,25965.69,44.58,9699.43,41.57,799.49,46.24,135489.4,35.27,0.37,0.01,0,0.01,0,54.22,-0.46821,51.63,-0.28036,64.11,-0.77942,59.75,-0.758,28.68,333.79,55.67,158.38,38.01,430.86,44.57,240.32,48.84,63.16,44.09,18.16,47.41,94.28,43.35,57.64,26.65,106.6,66.45,0.13,55.91,1.4,23.6,62.75,42.59,107.66,32.45,790.71,44.09,1567.31,35.17,93,31.46,94,40.43,83,51.16,1202.34,81.97,25.9
"Armenia","ARM",2.21,0.23,21.26,19.4,11.75,42.17,51.14,43.84,42.95,0.75,38.01,0.66,54.6,45.04,47.25,35.33,44.93,48.49,0.01,0.01,29.12,0.01,2.8,0.01,44.82,35.14,59.43,73.08,31.56,22.17,82.14,64.29,40.78,43.35,44.82,77.7,0.01,0.54,43.55,0.01,54.27,54.94,38.15,52.12,45.96,54.74,40.79,47.15,26.48,43.33,24610.17,100,0.82016,43.86,8938.48,60.95,0.29788,30.67,40.05,36.61,0.00133,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.49,27615.48,38.12,0.92032,25.87,15161.61,31.33,0.50528,23.88,10210.72,30.06,0.34028,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.34,220699.48,65.98,7.35506,38.12,33619.99,55.95,1.12042,0.01,0,0.01,0,0.01,0,0.01,0,44.58,72.35,45.06,12.18,21.94,10.8,56.28,10.8,56.16,3584.06,62.88,354.9,73.35,430.34,72.82,351.45,27.2,95.78,36.62,87.71,19.61,98,25.06,84.9,100,0,67.47,23.52,55.93,26.1,73.91,94,40.78,53.94,40.78,151.24,40.78,36.62,62.88,16.74,0.3047,67.14,247579,89.93,8.16,0.01,0,0.01,0,28.97,66.67,0.01,0,22.89,3.57,49.77,31023.52,40.25,4674.98,45.54,966.77,40.05,59428.8,47.36,1.936,0.01,0,0.01,0,60.03,-0.74652,49.07,-0.0914,56.41,-0.25748,53.51,-0.42327,37.72,256.3,38.58,513,37.72,434.8,72.02,0.46,42.84,38.58,49.3,27.88,76.94,0.08,42.84,61.25,49.77,91.42,35.51,5.02,49.89,2.22,38.3,36.15,45.54,150.7,51.63,2502.32,44.58,1597.31,32.16,94,24.47,96,23.6,95,56.41,860.56,35.78,1.8
"Australia","AUS",18.22,31.94,10.39,7.77,7.18,20.1,7.95,1.21,33.71,2.59,33.63,0.51,24.6,29.52,8.58,27.22,34.75,23.64,63.76,27.61,36.05,49.49,6.75,67.62,13.45,0.31,31.87,30.12,9.79,0.01,36.08,0.61,31.08,37.12,33.19,45.31,38.53,0.01,25.68,0.01,25.21,24.01,28.78,35.49,25.19,26.41,2.79,20.69,35.8,31.2,4026.28,25.64,0.01908,18.93,67.12,16.32,0.00032,26.74,3.37,26.41,2e-05,75.86,10504.37,61.93,0.04979,66.71,2686.93,54.38,0.01274,70.82,2104.78,55.64,0.00998,33.17,438.03,24.73,0.00208,30.56,185.74,24.91,0.00088,28.72,39.81,24.68,0.00019,42.21,109517.55,30.38,0.51911,42.91,93700,29.42,0.44413,43.27,73080.81,31.33,0.3464,48.72,31802.57,42.94,0.15074,47.65,682.92,38.49,0.00324,61.9,43.31,61.9,0.00021,45.72,590188.44,17.73,2.79746,22.11,3013.68,16.77,0.01428,31.5,0.14,0.01,0,73.71,3315252.24,62.03,15.71413,12.55,80.34,14.41,15.48,9.47,11.8,0.01,20.6,31.68,27937.59,32.07,6273.7,25.51,0,35.57,-38.26,13.06,99.71,7.34,99.99,0.01,100,0.01,100,38.38,13.13,33.91,644.74,0.01,2.5,36.67,124,31.28,46.92,30.88,104,36.51,30.48,66.81,18.67,0.23077,49.58,66693,41.41,0.34,48.08,14608,30.87,0.06,0.01,0,0.01,0,47.2,56.75,30.88,17198.9,27.7,271.77,31.68,466.68,29.24,7800.6,22.55,0.04,0.01,0,0.01,0,24.91,1.80963,25.51,1.71894,28.2,1.19291,20.45,1.79999,37.42,257.2,22.13,999.2,39.7,393,31.73,1186.07,22.13,6.31,28.68,6.01,32.94,765.15,44.58,55.93,12.55,117.48,49.84,0.96,43.42,4.63,0.01,89.76,27.18,6.73,10.16,190.47,32.07,266,37.19,92,36.21,92,34.06,89,25.51,6997.44,47.35,3
"Austria","AUT",1.22,0.17,8.75,4.88,6.41,21.44,29.96,0.18,30.08,0.59,28.86,0.56,19.74,23.84,33.19,10.38,28.62,39.49,0.01,0.01,55.2,0.01,0.16,0.01,25.8,33.1,24.81,38.02,0.01,0.01,25.24,0.43,26.63,33.54,30.46,45.92,0.45,0.01,31.04,0.01,21.12,18.45,27.93,22.08,21.97,29.17,37.77,1.97,54.72,43.69,24630.43,55.62,0.30523,41.73,5249.23,40.17,0.06505,29.78,34.62,31.28,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.2,208137.54,60.62,2.57929,49.02,177730.42,61.96,2.20248,50.28,132186.41,63.4,1.63809,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.95,462324.6,37.87,5.72924,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.09,78.93,25.51,14.64,34.16,9.4,32.07,14.7,26.09,30997.74,23.6,9691.81,25.51,0,56.65,68.34,0.01,100,0.01,100,0.01,100,0.01,100,26.47,55.8,24.07,833.46,0.01,2.5,18.45,145,26.09,44.82,27.18,93.81,22.13,24.23,74.49,23.05,0.20476,46.26,43616,45.59,0.54,20.2,129.5,0.01,0,0.01,0,0.01,0,52.33,95.3,21.32,13898.49,27.18,258.19,22.89,308.53,32.13,14060,29.99,0.176,0.01,0,0.01,0,22.89,1.96643,19.49,1.9427,21.32,1.36221,15.96,1.89166,22.13,403.4,35.24,584.3,21.32,781,22.86,2756.6,20.45,6.02,23.6,5.23,26.27,1173.68,26.09,88.89,36.2,99.76,53.71,0.68,33.9,8.13,29.59,57.33,0.01,2.46,33.54,796.64,22.89,181.79,48.02,83,47.95,82,71.17,39,23.6,7336.52,34.71,1.7
