"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",3.99,0.25,63.69,56.51,69.32,65.96,68.52,56.22,60.24,54.63,45.45,56.39,80.71,73.19,65.95,69.8,62.35,56.37,0.01,0.01,46.72,0.01,2.45,0.01,67.5,71.02,72.82,63.16,60.2,35.46,77.85,60.11,38.72,73.91,76.4,66.36,32.77,74.96,36.2,87.85,77.89,83.64,74.88,70.12,74.66,71,61.26,69.91,69.69,63.67,159664.57,66.24,0.57443,59.54,53092.19,52.71,0.19101,51.25,1718.61,47.28,0.00618,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.86,298485.8,41.51,1.07386,50.28,256363.24,42.91,0.92232,52.51,194919.36,44.36,0.70126,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1680966.27,42.04,6.04761,32.21,23859.63,28.34,0.08584,0.01,0,0.01,0,0.01,0,0.01,0,66.11,63.92,68.92,10.06,75.09,3.6,67.18,10.3,73.35,2000.86,72.3,279.06,78.68,447.45,50.7,50.56,61.62,64.05,58.82,44.2,27.49,97.7,45.73,30.3,87.68,0.25,69.12,610.55,55.9,21.5,64.64,106,39.15,51.08,38.3,131.81,74.49,83.21,24.27,4.74,0.43935,70.76,563985,62.24,1.59,39.24,7200,27.36,0.02,76.85,653000,73.12,1.85,24.27,10.68,46.26,23133.2,64.76,32094.5,58.69,1384.16,41,70608.2,31.96,0.214,87.89,12662.4,87.81,0.03751,82.72,-1.52635,73.35,-1.22636,89.84,-2.67105,77.87,-1.49819,64.11,27.8,87.45,14.8,81.55,50,60.3,3.2,79.66,673,69.97,67.5,66.89,0.88,77.87,25.04,68.72,78.94,53.15,0.94,60.85,0.61,71.09,8.22,63.8,2000.98,75.09,5402.26,71.32,10403.44,70.15,66,65.64,71,73.52,40,70.41,551.99,55.22,4.4
"Albania","ALB",6.47,2.31,18.12,14.62,11.31,35.97,49.6,31.17,36.89,2.36,4.97,0.64,49.19,45.99,46,23.11,43.77,2.64,2.06,60.54,24.22,0.01,0.17,25.56,39.82,42.36,50.68,70.81,30.8,24.65,47.82,26,33.36,36.2,41.57,36.14,36.56,0.01,41.54,0.01,50.26,48.14,50.19,49.48,39.16,50.44,41.95,42.38,12.6,38.24,14881.2,65.67,0.53909,32.57,2019.62,41.57,0.07316,0.01,0,0.01,0,30.39,94.56,36.07,0.00343,27.02,2.71,25.95,1e-04,0.01,0,0.01,0,49.98,15570.27,71.08,0.56405,51.37,12490.43,74.87,0.45248,51.55,5653.13,69.89,0.20479,21.85,14463.09,31.01,0.52394,20.11,9530.83,26.52,0.34527,20.81,7088.86,26.84,0.2568,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.99,211823.98,85.33,7.6736,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13980.12,27.1,0.50645,35.57,78.29,44.58,13.71,44.58,10,40.25,14.8,49.3,12275.48,52.1,2059.84,62.28,174.18,80.51,1180.11,38.33,93.75,24.75,98.11,18.57,99.89,32.71,77.6,50.22,92.62,45.54,1171.64,21.17,4.7,31.92,133,31.28,47.29,35.57,121.29,37.72,26.77,61.7,18.87,0.24902,33.44,7812,39.06,0.27,32.34,2649,41.33,0.09,0.01,0,0.01,0,0.01,1.1,41.57,21045.48,34.58,557.36,42.59,684.18,39.93,55360,43.22,1.912,0.01,0,0.01,0,53.51,-0.40527,47.2,0.01327,44.09,0.34464,52.56,-0.32887,52.33,121.6,48.14,365,42.08,322.42,58.17,4.78,36.66,16,41.83,9.3,60.69,2.64,44.58,71.64,47.44,99.22,40.25,4.51,47.9,2.26,38.3,58.38,36.2,15.31,49.07,1554.15,42.84,605.92,13.96,98,13.64,98,10.5,98,49.54,2943.36,38.67,1.3
"Algeria","DZA",10.2,2.63,39.58,28.69,47.29,45.71,46.44,26.07,41.58,10.09,38.24,31.82,62.37,53.3,48.37,39.58,49.89,2.68,0.49,1.72,24.1,0.01,37.95,42.41,41.31,49.39,47.22,48.27,41.14,19.79,49.38,11.49,34.91,51.16,40.25,45.26,0.56,40.53,21.19,47.78,57.8,67.31,50.05,55.18,54.83,52.18,44.84,49.29,31.78,59.66,106537.92,52.93,0.26751,41.31,6527.2,28.5,0.01639,0.01,0,0.01,0,30.03,93.37,19.29,0.00023,23.53,0.76,0.01,0,0.01,0,0.01,0,25.28,80.02,19.99,2e-04,25.28,62.06,20.15,0.00016,0.01,0,0.01,0,34.53,83393.22,17.57,0.20939,33.89,67954.32,18.31,0.17063,31.65,34855.34,16.43,0.08752,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2090108.53,33.33,5.24805,36.98,40693.25,30.44,0.10218,37.56,71.36,35.54,0.00018,50.73,358670.03,35.46,0.90058,41.31,76.39,41.31,14.22,54.58,7.9,44.7,14.2,51.16,11510.62,43.59,4345.17,42.59,10.5,54.7,138.91,39.4,93.62,42.95,86.61,23.39,99.4,16.75,99.3,52.17,70.52,46.73,1160.04,13.49,2.8,9.79,149,34.91,48.8,34.91,119,53.98,44.92,50,9.26,0.23055,53.35,99925,38.4,0.25,30.82,2000,0.01,0,40.86,3000,40.2,0.01,31.68,21.29,30.46,14478.71,47.44,8252.17,46.73,852.22,27.29,7104.2,16.45,0.018,49.24,141.2,46.37,0.000366,59.22,-0.67789,56.41,-0.53116,69.97,-1.09753,64.76,-0.8574,47.44,183.3,52.8,224.3,53.98,178.59,56.41,7.02,55.56,113,54.1,24.5,57.32,8.86,55.91,47.85,44.33,100.1,36.82,6.45,52.92,1.48,46.26,42.63,45.78,79.42,47.2,1338.99,55.42,2294.82,43.23,91,40.51,91,18.32,96,41.57,5007.12,59.87,6.4
"Andorra","AND",0.3,0.02,4.54,2.76,1.85,18.27,39.39,0.53,32.65,0.01,23.46,0.01,19.97,31.68,28.17,4.83,44.79,0.14,0.01,0.01,0.01,0.01,0.16,0.01,30.59,44.6,32.99,53.5,0.01,0.01,30.31,25.95,36.53,31.28,30.46,0.01,0.01,0.01,0.01,0.01,20.8,19.17,38.76,35.68,22.98,24.94,31.82,1.28,18.19,16.27,107.34,39.18,0.10663,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,7751.86,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.2,81.38,33.19,15.44,40.25,10.6,49.42,13.3,33.54,34104.08,32.45,8807.92,53.03,101.43,53.98,118,0.01,100,0.01,100,0.01,100,0.01,100,16.65,420.34,55.18,984.95,15.97,3.44,42.18,125.84,34.58,48.36,38.58,132.23,34.24,24.77,62.28,19.06,0.14983,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.67,121.72,22.89,11574.96,22.13,143.94,12.55,256.56,0.01,0,0.01,0,0.01,0,0.01,0,30.03,1.22878,14.41,1.86059,14.41,1.41342,25.51,1.57792,33.89,349.3,44.33,458.27,36.82,406.36,34.58,1199.87,23.47,5.57,22.51,3.1,15.04,4168.1,22.89,112.88,45.06,99.92,38.58,5.77,19.49,41.71,42.84,48.38,10.16,3.51,20.45,242.01,0.01,43.23,13.96,98,13.64,98,31.61,90,34.91,7156.94,57.46,5.69
"Angola","AGO",11,2.34,51.75,34.23,57.46,70.47,57.29,57.02,80.32,2.58,69.42,40.52,67.89,68.95,71.79,72.22,67.49,0.12,0.14,24.79,33.88,0.01,53.45,50.85,74.79,63.18,55.91,40.78,62.46,46.69,72.02,50.34,75.74,82.72,82.72,39.4,43.55,0.01,45.73,35.9,73.36,62.83,70.39,67.57,68.92,70.53,73.08,68.06,76.63,15.88,95.32,15.7,0.00035,0.01,0,0.01,0,0.01,0,0.01,0,29.67,90.57,21.79,0.00033,0.01,0,0.01,0,0.01,0,0.01,0,24.92,75.12,21.26,0.00028,26.4,71.6,21.24,0.00026,30.89,70.52,25.29,0.00026,39.45,115008.97,27.49,0.4253,40.13,103156.87,28.13,0.38147,41.51,84085.16,29.74,0.31095,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.67,1108614.03,24.96,4.09964,62.02,365924.1,58.03,1.35318,69.09,74557.38,74.11,0.27571,58.48,658228.2,44.22,2.43412,75.09,60.2,74.49,9.49,65.59,5.1,60.85,11.4,56.65,6732.79,55.18,1735.26,44.09,14.51,37.72,-82.33,68.53,55.08,56.93,48.63,54.09,41.8,40.31,47.8,67.9,2.94,76.4,450.76,48.17,14.5,52.61,117,75.09,67.04,76.4,402,84.04,92.83,22.13,4.46,0.45772,46.23,45689,33.58,0.16,48.5,19000,39.11,0.07,0.01,0,0.01,0,70.41,1170.29,69.12,34071.9,66.46,36588.4,71.8,2070.21,51.99,369959.8,40.23,1.47,36.26,5,35.55,1.8e-05,77.87,-1.4397,69.12,-1.0359,56.41,-0.3159,69.97,-1.08732,67.55,17.47,73.35,50.33,70.86,79.4,64.43,1.18,62.73,246,75.73,84,62.34,2.12,85.59,22.48,65.76,82,61.42,0.38,93.27,0.07,68.12,9.34,72.82,4483.05,60.3,2804.33,71.8,11186.6,72.62,59,72.22,58,85.79,26,55.18,1861.98,82.54,30.7
"Antigua and Barbuda","ATG",3.35,1.2,9.36,8.64,2.54,37.35,43.41,4.69,41.74,0.11,51.61,0.01,37.88,43.19,37.36,44.18,31.56,2.51,38,0.01,0.01,3.15,2.07,59.08,42.18,51.57,47.52,34.36,35.62,0.01,24.8,54.57,43.99,32.45,50.93,11.63,0.01,0.01,0.01,0.01,39.43,36.39,46.33,42.45,40.97,35.97,38.81,42.38,46.06,22.76,706.57,100,0.82016,20.35,170.31,54.54,0.19769,0.01,0,0.01,0,27.89,49.12,63.93,0.05701,26.63,2.36,44.3,0.00273,29.37,1.98,48.72,0.0023,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.18,3187.54,100,3.7,41.04,258.45,62.47,0.3,0.01,0,0.01,0,15.31,6633.54,100,7.7,15.3,131.07,33.29,0.15214,0.01,0,0.01,0,38.6,84725.89,90.42,98.34712,39.7,76.69,44.82,13.44,48.84,9.2,54.46,12.5,42.59,18573.81,53.03,1941.92,40.51,2.5,29.14,-388.78,30.31,96.74,41.85,87.5,0.01,100,0.01,100,49,97.98,12.55,1904.36,40.23,10.45,74.01,98,49.07,56.29,39.43,139.97,43.84,32.36,55.06,12.08,0.33659,9.76,5,13.86,0.01,0.01,0,0.01,0,0.01,0,0.01,0,56.65,268.42,50,25081.86,52.56,13797.57,47.67,885.38,0.01,0,0.01,0,0.01,0,0.01,0,36.51,0.69375,42.59,0.26549,34.58,0.87861,38.3,0.50884,47.9,177.69,44.82,448.7,43.35,301.1,41.57,377.89,45.4,43,36.97,7,41.71,248.02,37.42,87.91,29.81,107,42.08,3.04,25.51,20.89,54.46,25.77,47.2,95.87,37.42,711.96,43.1,622.03,40.9,92,46.18,87,51.72,68,39.15,5414.84,25.44,0.5
"Argentina","ARG",15.26,11.59,20.09,17.28,10.71,43.79,39.08,9.67,40.65,2.1,47.78,0.62,48.81,40.62,36.2,40.81,56.83,44.83,29.19,35.37,54.35,0.01,42.08,26.52,42.08,30.45,44.52,40.9,27.47,16.63,36.05,0.53,21.58,54.22,57.41,25.5,36.55,0.01,38.04,0.01,47.32,50.34,38.79,39.1,44.18,38.75,33.82,41.14,40.49,50.22,54876.74,42.03,0.1276,51.15,17932.47,34.2,0.0417,52.91,1798.61,41.53,0.00418,35.57,173.33,23.57,4e-04,34.03,24.93,24.77,6e-05,33.42,7.34,26.2,2e-05,40.72,3622.41,32.45,0.00842,41.06,1809.95,32.12,0.00421,36.85,429.17,30.49,0.001,59.36,643900.23,50.72,1.49721,59.36,530120.48,49.86,1.23265,59.98,355348.52,48.2,0.82626,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2761409.61,46.68,6.42088,33.29,26569.07,24.54,0.06178,50.46,5936.42,46.05,0.0138,36.49,69335.85,19.28,0.16122,41.83,76.3,42.34,14.14,41.18,10.5,22.51,17.4,41.57,19863.77,47.67,2972.69,40.25,0.1,41.57,-13.76,22.16,99.02,34.05,95.42,17.12,99.96,16.16,99.8,43.91,166.36,29.59,1461.79,0.01,2.5,27.67,136,37.12,50.29,12.55,65.81,48.6,39.15,60.3,16.95,0.37576,33.14,7365,19.62,0.02,44.3,12500,30.15,0.03,0.01,0,0.01,0,59.22,379.56,44.33,22550.5,45.78,7590.95,43.35,689.32,44.34,121699.4,32.63,0.288,0.01,0,0.01,0,50.23,-0.28404,44.58,0.16213,46.73,0.20463,54.22,-0.39361,29.14,400.1,51.63,258.2,32.07,494.8,47.67,123.87,45.16,40,43.22,10.9,49.98,55.04,46.73,66.29,24.91,109.61,47.67,1.67,46.97,2.59,17.28,87.21,44.58,62.12,35.24,644.26,44.33,757.95,40.9,92,46.18,87,35.14,88,49.77,2898.41,64.9,8.53
"Armenia","ARM",2.57,0.23,28.79,13.07,44.02,41.49,52.89,27.03,39.34,0.16,42.32,36.2,54.06,43.58,45.98,33,47.08,47.2,0.01,0.01,28.74,0.01,2.69,0.01,48.57,40.97,53.03,74.16,25.68,18.8,47.13,23.45,39.97,35.57,42.84,43.61,0.01,0.01,33.89,38.67,53.11,55.02,39.64,48.77,42.81,52.18,40.51,46.82,23.26,41.93,23209.27,100,0.82016,42.57,8361.77,61.05,0.29549,29.34,31.44,34.6,0.00111,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.19,26244.24,38.45,0.92741,23.21,14644.59,32.93,0.51751,22.88,9849.76,31.97,0.34807,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,208273.87,66.38,7.35991,34.01,27689.63,53.43,0.97849,0.01,0,0.01,0,0.01,0,0.01,0,46.97,74.73,50.23,12.36,33.19,11.5,50.58,13,52.33,10953.05,53.74,1906.9,71.32,331.32,77.11,1039.67,17.87,99.56,36.89,93.24,19.29,99.8,18.32,98,48.51,101.89,45.78,1169.75,13.49,2.8,40.76,126,40.25,51.98,39.7,140.55,41.57,29.46,60.03,15.97,0.26279,40.3,18539,47.2,0.63,0.01,0,0.01,0,0.01,0,0.01,0,35.89,35.51,48.6,24221.35,39.97,3168.44,46.02,846.48,32.84,15350,34.98,0.53,35.11,4.4,42.59,0.000152,56.41,-0.57195,50,-0.15818,62.58,-0.66226,48.37,-0.11913,35.24,334.05,44.58,452.1,38.01,389.92,62.58,2.22,40.24,26,45.54,13.7,69.9,0.45,36.51,89.92,55.67,93.9,30.88,11.99,52.1,1.66,41.31,51.08,42.08,42.27,54.7,2237.25,44.58,766.25,34.45,94,24.54,96,14.89,97,55.42,1858.01,40,1.4
"Australia","AUS",18.95,31.41,11.43,7.87,7.13,26.61,9.07,1.14,39.03,2.32,32.27,0.54,24.03,27.91,24.93,26.34,28.71,23.45,63.7,26.59,34.7,49.47,6.63,66.72,14.69,0.49,28.29,33.2,8.41,0.01,40.14,0.5,35.56,45.78,36.51,44.98,27.72,0.01,28.83,0.01,24.59,23.48,24.75,33.14,26.5,26.03,23.87,23.19,29.92,29.61,4028.2,25.64,0.01909,18.93,67.81,16.54,0.00032,26.31,3.39,26.62,2e-05,75.86,10515,61.93,0.04982,65.29,2690.26,54.48,0.01275,70.82,2106.88,56.43,0.00998,32.01,442.57,24.55,0.0021,29.79,167.53,23.08,0.00079,27.31,36.41,23.93,0.00017,38.78,108652.36,30.7,0.51478,39.45,93043.58,30.06,0.44083,39.45,72739.01,31.33,0.34463,48.72,31841.11,43.55,0.15086,46.84,686.6,38.49,0.00325,61.9,43.74,61.9,0.00021,42.67,590434.61,17.73,2.7974,21.76,3011.84,16.4,0.01427,31.5,0.1,0.01,0,70.87,3318094.76,62.82,15.72069,15.96,83.04,13.53,17.13,23.6,12.6,0.01,23.1,26.65,46219.83,30.03,9783.53,31.88,0,34.58,-161.44,9.82,99.97,7.2,99.99,0.01,100,0.01,100,31.78,304.83,50.7,1097.56,0.01,2.5,25.09,137,35.89,49.08,35.24,120.41,40.25,28.76,67.55,22.97,0.18865,50.7,71820,39.9,0.3,33.5,3148,22.93,0.01,0.01,0,0.01,0,41.57,67.23,31.28,14886.17,26.65,229.06,31.28,408.08,34.15,17442.4,24.34,0.074,0.01,0,0.01,0,24.27,1.81612,24.91,1.56851,24.91,1.04796,22.13,1.75552,33.19,356.7,18.45,1241,38.3,384,28.68,3170.49,25.59,6,27.44,3.8,29.92,1378.37,46.97,65.99,12.55,124.04,50.93,1.24,39.7,6.14,6.73,120.97,26.09,6.88,14.41,120.53,33.19,181.79,34.45,94,33.04,94,23.54,94,21.32,11978.65,38.67,1.3
"Austria","AUT",1.19,0.17,8.29,5.98,3.22,29.61,27.65,0.45,31.05,0.66,29.98,0.06,26.13,21.25,32.09,29.98,26.99,39.07,0.01,0.01,54.7,0.01,0.16,0.01,29.35,27.59,22.43,32.16,0.29,0.01,35.87,0.41,26.33,41.83,27.18,60.95,0.47,0.01,0.36,0.01,26.07,26.19,26.08,15.78,23.33,32.03,32.15,21.29,42.23,42.63,26424.16,55.17,0.30691,40.09,5661.91,39.93,0.06576,30.22,32.66,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.62,234553.75,61.28,2.72432,47.4,199024.34,62.67,2.31165,48.61,147635.93,64.96,1.71478,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.03,497464.38,38.65,5.778,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.28,30.03,16,23.6,12.6,32.26,16,21.32,52680.05,23.6,14286.99,31.88,0,32.45,-266.05,0.01,100,8.61,99.97,0.01,100,0.01,100,33.85,288.82,38.01,1268.16,0.01,2.5,16.52,144,25.51,44.32,27.18,89.92,15.96,21.18,73.63,28.26,0.13828,56.25,170561,66.04,1.95,22.04,291,0.01,0,0.01,0,0.01,0,51.86,179.64,24.27,11690.31,27.18,239.98,23.6,275.44,12.68,40,0.01,0,0.01,0,0.01,0,26.65,1.54854,25.51,1.5119,33.54,0.90964,20.45,1.81497,19.49,512.3,34.91,701.8,17.28,742,14.41,6032.94,21.33,5,25.51,3.6,26.62,1748.3,29.59,103.23,41.7,101.38,49.07,1.48,29.59,13.4,22.89,83.45,12.55,3.59,30.88,456.2,24.91,117.35,48.84,87,46.18,87,33.39,89,20.45,12168.05,35.62,1
