"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",3.99,0.25,63.78,58.45,73.27,60.57,66.6,60.32,60.77,60.57,46.13,65.02,80.99,74.7,66.19,69.34,48.42,56.52,0.01,0.01,46.99,0.01,2.44,0.01,67.19,70.89,69.6,59.34,60.84,43.23,77.95,64.59,37.25,75.73,79.55,64.08,53.15,65.25,48.15,87.81,76.09,86.21,79.68,70.71,73.99,69.51,63.02,69.76,68.92,63.67,156415.31,66.24,0.57507,59.54,52091.2,52.71,0.19152,52.07,1704.28,47.28,0.00627,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,291125.22,42.21,1.07033,50.72,249784.93,42.91,0.91834,52.51,190379.6,44.36,0.69994,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1644143.44,41.3,6.04476,32.21,23597.01,28.34,0.08676,0.01,0,0.01,0,0.01,0,0.01,0,66.46,63.56,67.93,10.03,74.19,3.6,67.74,10.2,71.32,2106.18,67.93,477.65,75.73,448.16,46.49,12.54,62.51,61.34,59.21,42.63,40.47,71.5,46.18,28.6,86.3,0.21,70.41,572.71,60.54,24.2,68.92,103,38.01,50.51,36.51,126.03,75.73,85.25,24.27,4.71,0.45014,68.83,473779,59.66,1.38,57.71,70444,48.95,0.2,67.49,335000,63.08,0.97,24.27,9.77,48.84,24895.19,65.09,33104.18,58.69,1411.04,56.58,423171.2,40.97,1.384,87.84,10547.4,87.78,0.032264,77.11,-1.34199,75.09,-1.32297,89.84,-2.57122,82.72,-1.50404,63.49,28.5,100,13,84.04,50,59.49,3.43,80.75,701,67.8,70.4,63.18,1.02,78.68,25.51,67.55,79.6,56.61,1.03,61.99,0.55,71.32,8.03,63.8,2125.66,75.09,5694.16,70.86,11056.24,67.67,64,66.83,67,72.39,42,69.12,617.76,33.92,0.7
"Albania","ALB",5.68,2.31,13.98,14.69,11.2,16.62,50.14,30.92,36.18,2.45,4.97,0.65,49.07,44.03,45.23,2.07,49,2.65,2.06,60.55,24.45,0.01,0.17,25.4,39.71,41.15,51.03,75.78,32.1,22.74,46.56,26.88,31.67,36.2,41.31,36.53,40.21,0.01,42.78,0.01,50.58,47.6,46.56,49.55,36.99,48.97,41.77,42.72,0.1,38.24,14935.46,65.67,0.54107,32.93,2044.14,41.57,0.07405,0.01,0,0.01,0,30.39,93.75,35.67,0.0034,27.02,2.73,25.95,1e-04,0.01,0,0.01,0,49.98,15534.94,71.08,0.56279,51.37,12452.03,74.87,0.4511,51.55,5717.4,69.96,0.20712,22.19,14910.84,31.01,0.54018,20.46,9883.18,26.84,0.35804,20.81,7381.78,27.17,0.26742,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.99,211841.23,85.33,7.67438,0.01,0,0.01,0,0.01,0,0.01,0,24.1,14079.44,26.77,0.51006,35.57,78.16,44.33,13.66,44.21,10,38.3,15.1,49.77,11796.25,52.33,1965.35,71.32,343.17,80.51,1164.73,38.33,93.39,26.88,97.65,15.72,99.98,32.89,75.9,49.73,84.31,43.59,1180.6,21.2,4.4,34.07,134,29.59,47.27,33.89,117.62,37.42,27.17,61.7,18.38,0.25106,34.3,8381,38.9,0.29,35.73,4000,45.26,0.14,0.01,0,0.01,0,0.01,1.08,41.57,21499.68,34.58,561.46,42.59,689.85,40.89,54460,44.75,1.88,0.01,0,0.01,0,54.46,-0.47903,46.97,0.01029,44.09,0.34613,51.4,-0.32823,48.37,161.49,44.82,464.02,41.83,329.56,58.69,4.53,36.37,15,37.63,9.6,57.92,2.78,46.26,66.44,43.84,100.29,41.97,4.76,48.37,2.1,35.89,62.01,36.82,15.98,48.84,1559.45,43.35,639.75,0.01,99,0.01,99,10.39,98,50.46,2846.33,47.59,1.9
"Algeria","DZA",9.06,2.63,31.23,22.03,47.88,28.88,45.99,27.36,40.81,2.63,38.38,33.36,62.11,52.98,49.66,9.9,49.01,2.68,0.49,1.69,24.26,0.01,38,42.61,41.24,49.2,46.28,47.62,39.94,19.74,51.48,13.81,34.74,48.6,40.25,43.97,41.56,0.01,22.54,49.36,57.28,67.35,51.49,54.58,52.92,52.57,46.92,49.3,1.99,59.66,104287.73,52.93,0.2678,41.31,6368.22,28.5,0.01635,0.01,0,0.01,0,30.03,92.82,19.29,0.00024,23.53,0.79,0.01,0,0.01,0,0.01,0,24.19,68.87,19.81,0.00018,24.18,49.56,20.15,0.00013,0.01,0,0.01,0,34.53,82047.49,18.31,0.21069,33.89,66809.69,18.31,0.17156,31.65,33951.19,16.43,0.08718,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2043691.15,33.33,5.2479,36.98,39856.88,30.44,0.10235,37.56,81.56,35.82,0.00021,51.21,351698.32,35.46,0.90311,41.18,76.17,41.31,14.14,54.46,7.9,44.45,14.2,50,11694.23,42.84,4375,41.83,5.15,54.22,139.38,37.88,93.41,42.12,86.74,23.26,99.19,16.75,99.4,52.53,57.12,50.46,1088.09,14.09,2.9,13.53,148,34.58,48.8,34.91,119,52.33,43.88,49.77,8.96,0.23682,52.33,100749,36.94,0.25,47.54,19000,36.34,0.05,0.01,0,0.01,0,31.68,20.78,30.88,14738.35,47.44,8470.75,46.73,863,28.67,7262.8,17.72,0.018,49.02,177.4,49.7,0.00047,58.17,-0.64557,56.41,-0.50088,70.41,-1.09016,64.43,-0.86394,50,152.41,53.03,225.21,52.8,190,56.41,8.33,55.56,114,50.41,24.9,55.18,8.86,57.66,45.38,45.66,99.53,41.06,5.4,53.03,1.38,47.44,36.78,46.02,84.85,47.2,1357.67,55.18,2450.17,28.87,95,27.16,95,0.01,99,41.31,5077.44,58.15,4.8
"Andorra","AND",0.31,0.02,4.69,2.8,1.86,19.84,40.05,0.54,32.66,0.01,24.55,0.01,21.11,30.53,27.93,5.66,49.42,0.14,0.01,0.01,0.01,0.01,0.16,0.01,30.32,44.83,33.33,56.78,0.01,0.01,33.32,25.17,37.4,31.48,29.59,0.01,0.01,0.01,0.01,0.01,24.37,18.29,40.2,35.53,19.93,23.78,32.8,1.37,23.39,16.27,104.21,39.18,0.10657,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,7529.89,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.7,81.3,33.19,15.34,40.38,10.6,49.77,13.1,34.24,31304.23,32.45,8275.99,55.18,107.75,58.43,223.41,0.01,100,0.01,100,0.01,100,0.01,100,19.25,393.55,57.66,914.65,15.24,3.37,41.57,126.53,35.24,49.1,39.7,141.5,34.24,24.6,62.28,19.17,0.14992,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.14,119.38,22.89,11660.55,22.89,147.64,14.41,257.77,0.01,0,0.01,0,0.01,0,0.01,0,30.46,1.2185,19.49,1.7872,12.55,1.39129,26.65,1.57599,34.24,333.3,47.2,401.3,36.51,418.15,34.58,1153.01,23.47,5.48,16.93,3.3,14.41,3868.84,20.45,112.51,45.66,99.53,40.75,5.42,20.45,37.27,42.34,48.29,12.55,3.47,20.45,263.03,0.01,44.21,18.69,97,18.59,97,36.84,88,35.57,6500.63,68.67,8.78
"Angola","AGO",8.68,2.34,32.19,33.59,14.82,67.01,57.34,56.1,80.73,2.37,69.43,0.69,69.42,67.92,67.3,72.84,61.37,0.12,0.14,25.25,33.83,0.01,54.19,49.67,74.79,64.93,54.57,40.79,62.46,45.97,68.95,50.03,74.49,84.04,84.04,40.08,33.05,0.01,48.1,0.01,74.86,64.37,69.57,66.02,68.21,65.85,68.79,69.22,76.64,15.88,94.91,15.7,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,28.95,78.69,21.26,0.00031,0.01,0,0.01,0,0.01,0,0.01,0,26.01,80.41,21.26,0.00031,26.4,77.37,21.98,3e-04,31.7,76.41,25.46,3e-04,39.45,111201.03,27.49,0.43546,39.79,99754.36,28.13,0.39063,41.51,81289.52,29.74,0.31833,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.67,1100785.01,25.53,4.31061,62.93,366720.83,58.77,1.43606,71.46,75621.77,74.11,0.29613,57.84,573704.08,42.66,2.24659,75.09,59.74,74.49,9.45,65.76,5,64.11,11,56.16,6964.51,53.03,1835.96,44.82,24,37.12,-78.42,68.53,54.32,56.93,47.37,52.43,42,40.31,47.3,65.29,5.51,72.82,497.93,46.47,14.2,53.86,118,74.49,66.28,74.49,369.4,84.04,93.07,22.13,4.5,0.45958,46.95,50322,34.21,0.18,38.66,5500,28.25,0.02,0.01,0,0.01,0,70.41,1133.32,69.54,34496.19,66.11,36913.31,71.8,2101.44,54.97,386116.8,42.08,1.538,0.01,0,0.01,0,81.55,-1.39478,68.72,-1.0001,59.22,-0.5009,69.97,-1.08193,66.46,18.67,72.82,51.39,68.32,83.73,63.8,1.59,62.89,251,73.98,88.1,58.43,2.44,73.91,27.33,66.11,81.03,61.55,0.61,76.06,0.17,69.54,8.4,74.49,5110.89,61.13,3091.36,72.82,12363.5,71.97,59,72.77,62,85.97,26,53.74,2069.9,70.08,9.2
"Antigua and Barbuda","ATG",3.14,1.2,8.23,8.84,2.47,25.57,44.71,4.56,42.6,0.12,51.68,0.01,35.76,41.91,38.27,10.66,40.98,2.52,37.92,0.01,0.01,3.16,2.07,58.8,42.24,51.25,50.11,36.85,35.02,0.01,21.97,56.07,44.8,33.89,50.93,16.62,0.01,0.01,0.01,0.01,39.44,32.42,46.82,40.83,38.52,37.15,39.43,42.11,2.7,23.1,697.39,100,0.82016,20.35,168.04,54.54,0.19762,0.01,0,0.01,0,27.89,48.71,63.93,0.05729,26.63,2.34,43.73,0.00275,29.37,1.98,48.72,0.00232,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.18,3146.16,100,3.7,41.71,255.09,62.47,0.3,0.01,0,0.01,0,15.31,6547.42,100,7.7,15.3,128.59,33.29,0.15122,0.01,0,0.01,0,38.24,83646.17,90.42,98.3709,39.7,76.55,44.94,13.36,48.02,9.2,54.7,12.5,43.35,17719.86,57.92,1333.49,44.58,21.08,30.46,-305.29,29.69,96.74,41.3,87.5,0.01,100,0.01,100,47.51,106.87,10.16,1880.92,41.15,10.98,76.4,98,49.54,56.73,40.51,143.79,44.09,32.59,55.18,11.78,0.33898,13.01,15,21.22,0.02,0.01,0,0.01,0,0.01,0,0.01,0,56.65,253.36,50,25428.75,52.33,13938.65,48.14,895.02,0.01,0,0.01,0,0.01,0,0.01,0,35.89,0.68963,43.35,0.22746,27.44,1.00473,38.3,0.58989,48.14,168.3,45.54,450.9,39.15,361.3,42.59,369.8,45.53,43,32.59,7.3,39.7,244.38,41.83,77.46,30.88,106.4,45.39,3.09,24.91,19.79,54.22,24.81,47.44,97.38,36.51,723.33,43.1,636.85,0.01,99,47.13,86,41.98,84,42.59,4525.18,39.44,1
"Argentina","ARG",15.22,11.59,19.99,16.77,10.93,43.61,31.34,9.96,41.85,2.13,47.63,0.61,54.07,39.58,38.06,37.47,58.14,45.11,29.11,35.26,54.44,0.01,42.08,26.52,41.95,30.61,44.48,16.88,27.64,16.84,37.75,0.56,23.75,54.22,56.9,21.11,45.68,0.01,36.95,0.01,52.63,55.54,38.5,37.98,42.39,38.38,37.74,40.96,34.28,50.22,54280.18,42.03,0.12775,51.7,17740.18,34.56,0.04175,53.79,1778.8,41.53,0.00419,35.57,171.16,23.22,4e-04,34.03,24.51,24.57,6e-05,33.89,8.23,25.98,2e-05,40.72,3643.08,32.06,0.00857,41.06,1833.16,31.73,0.00431,36.85,416.43,30.65,0.00098,59.36,635087.81,50.72,1.49473,59.98,522720.19,49.86,1.23027,59.98,350371.29,48.2,0.82463,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2727624.13,46.68,6.4197,33.29,26199.44,24.54,0.06166,50.46,5933.35,46.05,0.01396,36.49,67241.7,19.28,0.15826,41.57,76.15,42.34,14.07,42.34,10.4,22.13,17.4,41.31,19696.01,47.9,2843.4,6.73,-0.64,42.34,-6.45,22.16,98.97,34.48,94.95,17.55,99.81,16.16,99.7,43.91,158.95,32.45,1433.79,0.01,2.5,31.48,135,39.15,51.31,14.41,69.8,48.6,39.36,60.3,16.75,0.37621,29.14,4249,15.29,0.01,51.33,35648,40.66,0.08,0.01,0,0.01,0,59.49,367.7,43.84,22862.06,45.78,7874.72,43.1,697.71,43.03,105145.6,31.73,0.25,0.01,0,0.01,0,55.91,-0.54706,49.54,-0.07501,50.23,0.01479,61.42,-0.77081,28.2,399,52.56,236.68,31.68,495.5,45.54,205.42,45.16,41,39.79,11.5,47.2,80.33,46.97,64.32,25.51,109.15,54.23,1.25,46.49,2.51,21.32,84,44.58,62.02,34.58,647.71,44.58,806.99,32.28,94,32.49,93,38.4,87,47.9,3129.32,70.58,9.4
"Armenia","ARM",2.51,0.23,27.3,10.76,43.71,43.26,52.48,10.5,38.73,0.16,42.32,36.32,53.25,43.19,46.45,32.17,54.17,47.43,0.01,0.01,28.85,0.01,2.7,0.01,48.46,40.14,52.68,74.05,24.78,0.43,45.49,25.03,38.86,34.91,42.84,43.37,0.01,0.01,33.62,39.24,52.76,53.74,40.2,48.51,41.31,51.43,41.95,46.64,22.19,41.93,23287.32,100,0.82016,42.57,8395.91,61.05,0.2957,29.78,32,35.1,0.00113,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.52,26330.83,38.78,0.92735,23.88,14774.3,32.61,0.52034,22.54,9952.52,31.97,0.35052,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,208950.33,66.38,7.35907,34.38,28065.59,53.43,0.98845,0.01,0,0.01,0,0.01,0,0.01,0,46.97,74.58,50,12.37,32.07,11.7,50.23,13,52.56,10374.38,52.8,1837.45,70.41,328.26,77.87,1065.32,16.65,99.55,36.89,92.91,0.01,100,18.7,97.8,48.01,97.87,43.1,1184.21,14.09,2.9,44.45,125,39.43,51.51,38.3,133.68,41.31,29.08,60.03,15.75,0.26554,39.69,19712,47.4,0.67,0.01,0,0.01,0,0.01,0,0.01,0,35.89,31.75,48.6,24741.77,39.97,3213.53,46.02,848.11,32.86,15200,34.39,0.524,36.27,3.6,42.46,0.000124,55.42,-0.53382,50.23,-0.16081,54.7,-0.25233,52.8,-0.38785,37.72,291.4,42.84,495.4,37.42,388.62,62.88,2.11,40.76,28,41.87,14.4,67.18,0.49,33.89,93.52,59.75,89.18,32.66,11.91,51.86,1.72,43.59,46.52,41.83,42.37,54.7,2298.72,44.33,775.92,32.28,94,23.38,96,14.47,97,54.22,2055,54.13,3.7
"Australia","AUS",18.05,31.63,10.3,8.01,7.21,18.9,9.06,1.18,38.58,2.48,32.32,0.55,25.34,26.92,8.17,27.15,30.43,23.57,63.92,26.91,34.82,49.47,6.67,68.05,14.69,0.49,28.14,33.24,8.41,0.01,41.12,0.56,35.4,44.82,36.2,41.97,36.41,0.01,29.73,0.01,23.88,26.88,25.91,31.71,23.75,23.73,2.81,23.44,31.45,30.25,4027.62,25.64,0.01908,18.93,67.8,16.54,0.00032,26.31,3.39,26.84,2e-05,75.86,10510.34,61.93,0.0498,66.71,2688.56,54.48,0.01274,70.82,2106.37,56.43,0.00998,32.01,446.88,24.91,0.00212,29.79,175.45,23.81,0.00083,28.09,38.45,23.91,0.00018,38.78,108578.79,30.7,0.51449,39.45,92955.92,30.38,0.44046,39.45,72657.17,31.65,0.34428,48.72,31836.34,43.55,0.15085,46.84,686.4,38.49,0.00325,61.9,43.68,61.9,0.00021,43.5,590387.87,17.73,2.7975,22.11,3011.94,16.4,0.01427,31.5,0.09,0.01,0,73.71,3317191.69,62.82,15.71824,15.96,82.88,13.53,17.03,23.6,12.5,0.01,23.3,27.18,45342.14,29.14,10479.77,32.26,0,34.24,-132.29,9.82,99.97,7.2,99.99,0.01,100,0.01,100,33.05,286.7,51.16,1082.05,0.01,2.5,31.48,135,35.57,49.27,35.24,121.7,40.51,28.51,67.55,22.42,0.18993,48.32,57669,36.45,0.24,40.41,6251,32.8,0.03,0.01,0,0.01,0,41.83,66.27,31.28,15017.58,26.65,230.52,31.28,410.45,35.14,18805.8,25.15,0.08,0.01,0,0.01,0,22.89,1.88211,24.91,1.56453,33.89,0.88498,21.32,1.82521,32.82,348.9,20.45,1220,37.72,382,26.65,3590.65,25.09,6,22.48,3.9,27.18,1540.51,48.37,62.52,10.16,126.61,56.35,1.07,39.43,6.32,0.01,118.61,26.65,6.96,14.41,126.76,33.54,189.52,35.18,93,32.49,93,27.22,93,20.45,12129.61,45.28,1.5
"Austria","AUT",1.13,0.17,7.45,4.55,3.14,28.92,27.76,0.43,30.22,0.18,30.04,0.06,23.96,21.51,32.18,26.22,28.68,39.07,0.01,0.01,54.7,0.01,0.16,0.01,28.91,26.3,24.59,31.77,0.29,0.01,27.21,0.42,24.59,40.51,27.7,58.7,0.01,0.01,0.36,0.01,27.18,21.12,25.96,18.35,20.89,31.7,32.66,19.76,34.79,42.63,26285.55,55.17,0.30681,40.09,5630.05,39.93,0.06571,30.22,32.74,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.62,233152.08,61.28,2.72135,47.4,198072.55,62.67,2.31191,48.61,146995.76,64.96,1.71574,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.3,494565.67,38.65,5.77258,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.21,29.14,15.99,21.32,12.6,32.45,15.9,24.27,49374.92,24.91,12792.07,32.26,0,31.28,-246.39,0.01,100,8.15,99.98,0.01,100,0.01,100,33.46,284.11,22.13,1558.61,0.01,2.5,17.88,145,24.27,43.71,24.91,85.41,15.96,21.06,76.4,28.1,0.14164,54.74,153086,62.94,1.77,0.01,0,0.01,0,0.01,0,0.01,0,52.33,174.52,24.27,11817.81,27.18,238.91,23.6,276.4,12.73,40,0.01,0,0.01,0,0.01,0,27.18,1.51928,27.18,1.47913,22.89,1.14308,19.49,1.85525,19.49,510.4,34.58,701.4,17.28,754,19.49,5733.69,21.33,5,20.46,3.7,26.09,1659.14,28.68,101.22,42.59,100.85,52.36,1.37,28.2,14.6,23.6,80.72,10.16,3.43,31.28,504.3,24.27,115.84,35.18,93,32.49,93,36.84,88,22.89,11317.92,35.93,0.8
