"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.1,0.25,67.21,57.76,77.26,68.02,67.16,61.94,69.03,49.54,45.2,72.38,88.24,72.22,68.54,72.54,63.31,56.71,0.01,0.01,46.93,0.01,2.47,0.01,66.28,74.7,74.49,55.16,66.19,46.26,72.82,66.02,38.44,85.59,100,42.47,45.67,62.7,55.94,93.64,85.05,91.54,66.65,73.71,76.68,72.08,65.17,70.76,74.37,64.43,138590.61,66.24,0.57769,59.54,46399.58,53.18,0.19341,52.07,1575.25,47.28,0.00657,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,259751.24,41.51,1.08273,51.6,221108.56,41.86,0.92165,52.98,169026.03,44.36,0.70455,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1442935.49,41.3,6.01462,32.57,22348.72,29.74,0.09316,0.01,0,0.01,0,0.01,0,0.01,0,65.76,60.76,66.81,9.77,77.71,3.1,71.8,8.9,74.49,1515.36,74.49,88.3,84.04,746.84,36.2,-59.17,71.58,45.78,61.21,33.38,47.02,45.52,45.51,18,82.72,0.04,64.11,369.79,59.2,26.5,73.63,97,38.3,51.55,38.58,138.03,85.59,97.59,22.13,4.66,0.49897,50.59,60389,35.65,0.21,47.45,28000,43.96,0.1,61.02,147000,64.43,0.52,24.91,6.96,44.58,25971.44,63.49,38103.76,59.22,1589.42,59.81,564672.2,52.32,2.116,100,5028.8,87.68,0.018406,89.84,-1.5348,80.51,-1.4839,93.27,-2.71269,89.84,-1.84709,63.49,21.3,69.97,60.8,84.04,42,64.65,3.03,84.04,994.69,69.97,92.02,71.34,0.95,76.4,24.67,68.72,74.29,56.82,0.5,63.18,0.41,77.11,3.77,63.8,3360.68,77.87,7842.87,71.32,16030.75,72.41,63,72.07,63,78.81,24,72.82,311.46,55.05,6.8
"Albania","ALB",6.13,2.35,15.97,9.19,12.09,36.66,53.15,13.54,36.42,0.5,4.99,0.71,53.32,46.73,51.07,23.39,41.26,2.7,2.04,59.85,25.84,0.01,0.18,25.59,40.99,49.36,52.43,75.22,35.46,0.56,49.07,34.45,28.57,43.84,38.58,0.41,29.92,0.01,49.89,0.01,53.61,53.03,46.86,52.91,41.16,55.47,47.01,42.87,12.76,39.9,15597.2,65.67,0.55244,34.74,2236.21,42.68,0.07921,0.01,0,0.01,0,31.11,85.33,33.96,0.00302,27.02,2.3,25.38,8e-05,0.01,0,0.01,0,50.47,15086.28,69.44,0.53435,52.02,12215.98,70.94,0.43268,50.86,5944.74,69.89,0.21056,23.55,17594.46,32.29,0.62318,21.51,11784.36,28.78,0.41739,21.51,8831.85,29.42,0.31282,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.76,216763.84,85.33,7.67764,0.01,0,0.01,0,0.01,0,0.01,0,24.77,13203.83,26.44,0.46767,36.51,76.33,46.02,12.66,46.25,9.3,52.68,12.3,50.93,8678.65,53.98,1528.29,66.11,261.53,85.59,1089.51,38.78,90.93,32.42,94.63,0.01,100,31.75,63.9,48.37,31.43,49.77,841.58,28.29,7.3,41.95,125,27.18,44.71,30.03,99.22,43.59,34.75,60.57,15.29,0.24756,16.97,88,0.01,0,28.88,200,31,0.01,0.01,0,0.01,0,0.01,1.05,41.31,24233.25,35.24,606.82,42.59,742.85,45.34,81495,54.89,2.708,0.01,0,0.01,0,55.91,-0.5385,51.4,-0.2579,52.1,-0.04525,53.98,-0.50043,49.54,123,44.33,418.9,44.58,300.8,62.79,4.27,38.87,19.55,43.59,14.37,64.25,3.38,46.26,60.56,57.41,88.51,44.7,1.82,50.23,1.72,46.26,33.39,38.3,18.23,47.44,1540.56,43.35,915.44,14.06,98,13.41,98,11.03,98,46.26,2884.76,36.8,2.2
"Algeria","DZA",9.77,2.63,36.27,21.88,52.07,41.87,44.13,30.83,39.09,2.46,38.37,42.72,60.96,54.21,49.45,32.57,45.56,2.68,0.49,1.67,24.63,0.01,37.19,42.82,41.24,50.1,40.53,45.27,38.06,18.46,47.62,27.02,36.2,41.57,39.7,45.35,32.84,0.01,32.45,56.24,56.9,65.3,50.54,57.26,55.06,51.88,47.14,48.32,21.95,59.06,93272.86,52.93,0.27021,41.73,5666.38,28.3,0.01642,0.01,0,0.01,0,29.67,81.19,19.45,0.00024,23.34,0.64,0.01,0,0.01,0,0.01,0,24,59.86,19.44,0.00017,23.44,32.84,19.6,1e-04,0.01,0,0.01,0,34.21,77425.95,19.4,0.2243,33.89,62918.59,19.04,0.18227,31.01,31758.71,16.81,0.092,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1805838.75,32.89,5.23146,37.74,34963.24,30.44,0.10129,35.25,37.88,33.32,0.00011,51.71,315759.5,35.46,0.91474,41.57,74.8,40.91,13.59,58.59,6.9,42.84,13.6,45.78,12600.66,35.89,6014.26,44.09,28.04,46.49,9.7,36.69,92.07,39.48,86.76,22.75,98.82,14.98,99.1,49.54,23.15,45.78,926.3,24.32,5.6,30.03,135,36.2,49.55,36.2,124.74,47.9,40.72,49.07,7.95,0.24976,54.34,94302,37.85,0.27,34.79,3000,31,0.01,0.01,0,0.01,0,31.28,15.23,31.28,16297.13,47.67,9778.65,46.49,898.61,38.47,25009.4,27.38,0.074,56.95,357.6,55.53,0.00104,57.16,-0.57788,56.65,-0.58294,69.12,-1.19708,61.7,-0.79354,48.6,127.91,52.56,210.44,54.46,185.55,60.21,9.39,56.9,114.98,53.27,28.31,61.22,9.01,58.69,39.85,38.87,100.09,41.42,3.18,52.8,1.32,47.9,29.91,47.2,119.86,45.06,1333.07,53.03,3042.86,29.5,95,32.52,94,11.03,98,39.15,4864.59,53.02,5.7
"Andorra","AND",0.28,0.02,4,2.67,2.04,11.79,35.5,0.57,29.18,0.01,23.06,0.01,24.66,34.57,27.77,1.48,39.9,0.14,0.01,0.01,0.01,0.01,0.16,0.01,25.99,48.26,30.25,41.85,0.01,0.01,36.62,29.2,37.94,22.13,29.59,0.01,0.01,0.01,0.01,0.01,27.78,21.89,39.29,38.32,27.44,24.04,32.08,13.76,0.16,16.27,88.09,39.18,0.10677,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,6353.1,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,21.32,81.29,31.68,15.14,41.56,10.3,56.04,11.7,32.45,31449.25,28.2,9563.92,51.16,90.72,34.24,-81.38,0.01,100,0.01,100,0.01,100,0.01,100,26.09,271.62,51.4,764.25,19.34,4.73,44.09,123.09,36.51,49.92,39.43,144.64,35.89,26.16,59.49,13.94,0.17405,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.77,112.38,20.45,12484.82,22.13,152.63,12.55,263.56,0.01,0,0.01,0,0.01,0,0.01,0,30.25,1.32558,25.51,1.5401,15.96,1.29642,30.03,1.2245,33.54,314.8,46.02,368.1,38.87,373.12,37.78,960.01,27.7,6.17,27.18,4.41,20.83,2862.77,14.41,121.69,46.26,96.22,35.72,5.6,21.32,32.61,43.35,37.87,12.55,3.07,20.45,286.73,10.16,82.47,0.01,99,0.01,99,41.98,82,32.82,7129.63,48.51,4.31
"Angola","AGO",10.92,2.31,51.62,35.15,56.69,69.04,57.36,62.68,75.39,2.85,69.47,39.39,69.28,66.76,70.21,77.94,60.15,0.12,0.13,25.73,33.44,0.01,60.27,43.23,74.21,69.02,54.45,38.81,63.46,43.75,65.52,84.85,61.38,81.55,85.59,39.82,57.88,0.01,39.13,39.66,75.35,63.7,62.86,65.22,72.57,70.46,69.96,74.39,81.65,15.88,87.25,15.7,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,26.83,38.28,18.72,0.00019,0.01,0,0.01,0,0.01,0,0.01,0,26.2,80.25,21.63,0.00039,26.4,75.87,22.34,0.00037,32.53,75.33,26.66,0.00037,38.45,91362.82,27.81,0.44524,39.12,82366.28,28.13,0.40139,39.12,66951.05,30.38,0.32627,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.5,1096241.41,34.19,5.34229,68.27,389212.47,63.87,1.89674,77.56,79750.14,77.46,0.38864,48.87,266037,38.24,1.29647,75.09,54.91,73.35,9.08,67.22,4.7,70.86,9,56.41,5842.71,52.56,1789.65,42.34,21.99,35.57,-65.88,68.83,49.58,58.5,39.79,52.1,33.8,36.74,44.3,66.28,0.67,64.76,360.19,85.66,42.9,84.04,90,58.17,61.7,64.76,278.83,81.55,93.03,23.94,4.74,0.46952,47.57,35992,33.33,0.16,58.71,86400,57.07,0.38,0.01,0,0.01,0,67.55,906.35,73.35,37912.4,67.18,43337.26,69.97,2167.88,44.25,72538,34.6,0.33,39.46,10,39.87,4.6e-05,84.04,-1.40466,67.55,-0.96035,56.9,-0.34726,71.32,-1.23083,68.52,13.1,57.66,131.4,66.11,104.77,64.35,3.13,65.42,355.58,80.51,129.13,67.78,1.75,70.86,27.32,72.82,67.77,62.77,0.23,77.49,0.14,70.41,5.59,78.68,8676.26,67.18,5306.35,77.87,20655.4,80.97,50,91.01,36,73.86,32,47.44,2768.96,76.27,13.7
"Antigua and Barbuda","ATG",3.61,1.2,10.85,6.55,10.2,19.12,44.92,11.68,45.31,0.01,50.73,0.67,34.79,45.49,35,7.72,25.86,2.51,38.14,0.01,0.01,3.15,2.06,59.35,41.27,46.95,37.12,56.6,32.85,0.48,23.38,50.48,46.49,38.58,51.86,0.01,0.01,0.01,44.52,0.01,34.16,35.43,47.51,46.21,42.88,31.15,39.32,39.75,1.5,22.76,646.29,100,0.82016,20.35,155.84,53.79,0.19776,0.01,0,0.01,0,28.24,44.39,62.81,0.05633,26.63,2.12,44.17,0.0027,29.81,1.86,49.47,0.00236,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2915.61,100,3.7,41.71,236.4,62.47,0.3,0.01,0,0.01,0,15.31,6067.63,100,7.7,15.3,113.12,32.93,0.14355,0.01,0,0.01,0,38.96,77705.11,90.42,98.61006,38.01,75.74,44.82,12.83,46.25,9.3,47.67,13,37.42,21507.16,36.82,5443.15,50.46,77.81,63.49,338.57,26.6,97.21,40.56,85.94,23.44,98.48,0.01,100,34.24,184.61,15.96,1555.46,35.73,10.08,71.32,98,50.46,57.96,42.84,158.65,44.94,36.57,55.18,10.64,0.35103,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.42,185.08,48.14,27137.66,52.33,14959.76,47.44,930.82,30.51,5160,64.96,6.042,0.01,0,0.01,0,30.25,1.32558,38.58,0.50232,37.42,0.72132,33.54,0.97906,49.3,123.63,45.78,371.51,46.49,273.73,45.93,348.27,46.97,44.46,39.15,10.21,48.66,166.19,43.1,69.23,14.41,113.41,43.64,2,24.27,19.79,57.41,15.05,46.26,101.87,32.45,643.58,41.83,816.6,0.01,99,13.41,98,25.21,94,29.59,8456,22.6,0.6
"Argentina","ARG",14.24,11.61,17.47,11.99,11.14,39.92,38.07,25.19,42.59,0.13,46.58,0.6,54.7,42.08,40.27,30.64,51.54,45.24,28.47,35.98,54.92,0.01,42.23,26.52,40.1,29.77,43.3,40.62,28.91,19.65,34.04,20.82,26.28,52.8,55.67,22.21,0.01,0.01,35.58,0.01,53.15,56.29,39.74,40.67,46.11,37.59,43.14,40.52,23.17,50.22,50793.15,42.44,0.12834,53.43,16584.11,34.75,0.0419,52.91,1662.5,40.95,0.0042,35.19,146.53,22.31,0.00037,32.74,18.64,24.2,5e-05,32.96,6.54,25.98,2e-05,42.43,4158.16,33.64,0.01051,40.59,2103.17,32.12,0.00531,38.22,529.23,30.49,0.00134,59.36,615896.44,51.16,1.5562,59.98,512728.57,50.72,1.29552,60.62,351787.4,49.02,0.88887,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,63.1,2536813.47,46.33,6.40981,34.01,23748.56,24.54,0.06001,50.46,5554.68,46.05,0.01404,36.49,64064.24,19.28,0.16187,39.7,75.2,40.51,13.63,41.56,10.3,21.32,16.8,41.83,15828.53,44.82,2988.49,39.7,5.69,41.57,-6.78,22.92,98.24,36.46,91.98,24.82,97.91,15.55,98.8,41.83,86.73,27.7,1296.42,12.92,3.3,33.54,130,39.97,53.41,17.28,70.66,48.37,41.27,61.13,15.91,0.37636,30.28,3951,16.29,0.01,0.01,0,0.01,0,0.01,0,0.01,0,58.43,299.86,41.83,24470.05,45.78,8504.39,42.08,716.84,40.45,55780.8,31.3,0.138,0.01,0,0.01,0,53.74,-0.445,52.56,-0.31826,54.7,-0.23241,57.92,-0.67548,30.46,356.15,51.86,223.6,37.12,410.39,44.57,412.14,48.37,53.8,43.96,14.84,48.38,174.34,44.09,68.9,24.91,107.21,58.98,0.36,48.26,2,28.2,70.21,43.35,71.26,34.24,661.06,44.82,1107.34,33.21,94,19.56,97,19.15,96,49.3,2545.24,53.88,6.3
"Armenia","ARM",2.05,0.23,18.29,13.45,11.16,40.74,53.25,32.06,36.39,0.18,39.43,0.6,51.38,45.09,41.51,36.42,44.74,48.16,0.01,0.01,28.85,0.01,2.75,0.01,47.37,40.4,55.79,75.29,30.42,19.29,51.74,34.79,32.97,33.54,43.59,62.03,0.01,0.01,0.01,36.02,52.65,50.14,38.23,51.62,46.44,45.03,38.26,46.78,28.35,42.63,23850.91,100,0.82016,43.42,8629.42,60.95,0.29674,30.22,35.44,36.61,0.00122,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,27166.19,38.45,0.93416,24.88,14928.91,31.65,0.51336,22.88,9990.98,31.01,0.34356,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.47,213983.9,66.79,7.35826,36.22,30465.79,53.43,1.04763,0.01,0,0.01,0,0.01,0,0.01,0,47.2,73.14,47.55,12.26,34.24,11.1,47.67,13,53.51,7533.12,58.17,1016.07,70.41,339.24,80.51,1053.28,24.63,97.89,37.57,90.49,18.54,99.23,20.06,95.9,51.86,13.81,51.63,758.8,24.32,5.6,49.77,118,33.89,47.87,32.07,106.54,38.58,28.35,61.7,16.16,0.28305,53.9,85879,71.38,2.97,0.01,0,0.01,0,0.01,0,0.01,0,27.18,10.13,48.84,27689.94,39.97,3337.37,45.54,890.14,0.01,0,0.01,0,35.41,0.2,36.64,6e-06,58.43,-0.61976,47.44,-0.02973,47.2,0.22777,53.27,-0.47585,36.82,276.8,39.7,518,39.15,372,68.07,1.68,44.58,33.85,48.37,19.45,75.86,0.46,35.89,87.45,33.54,102.79,31.78,7.64,46.73,2.4,37.72,51.33,42.08,58.85,53.98,2491.64,45.06,1125.37,36.59,93,32.52,94,19.15,96,45.54,3101.81,43.96,3.5
"Australia","AUS",19.67,31.76,12.18,9.06,7.29,27.37,18.65,1.18,35.45,2.38,32.88,0.56,23.79,29.08,25.45,28.9,27.87,23.53,64.08,27.19,35.21,49.61,6.73,67.62,12.55,11.21,27.17,31.67,9.7,0.01,34.74,0.58,32.24,39.97,34.58,36.21,37.42,0.01,31.63,0.01,20.77,27.24,27.85,35.12,25.13,22.21,29.16,21,39.76,30.57,4027.76,25.64,0.01909,18.93,67.68,16.32,0.00032,26.31,3.39,26.62,2e-05,75.86,10497.94,61.83,0.04975,66.71,2684.01,54.38,0.01272,70.82,2104.58,57.47,0.00997,32.23,446.46,24.91,0.00212,30.56,184.45,23.81,0.00087,28.88,42.26,23.93,2e-04,40.82,108769.37,30.06,0.51544,40.82,93111.33,29.74,0.44124,40.82,72708.86,31.33,0.34456,48.72,31828.61,43.55,0.15083,47.65,689.37,38.49,0.00327,61.9,44.45,61.9,0.00021,44.88,590305.93,17.73,2.79738,22.11,3005.74,16.77,0.01424,31.5,0.14,0.01,0,73.71,3317976.63,62.03,15.72343,12.55,81.85,12.55,16.42,18.66,12.5,6.73,19.5,26.65,38887.35,27.7,9676.73,29.59,0,33.89,-82.09,11.75,99.86,8,99.99,0.01,100,0.01,100,28.68,240.69,42.08,1023.43,0.01,2.5,33.54,130,31.68,47.25,32.82,107.55,38.3,28.29,66.46,19.48,0.21758,44.43,24849,29.51,0.11,38.05,8000,36.8,0.04,0.01,0,0.01,0,44.58,61.94,30.46,15900.41,27.18,244.01,31.68,440.17,36.53,15493,27.38,0.074,0.01,0,0.01,0,19.49,2.05166,22.13,1.70579,33.54,0.85569,22.13,1.7404,33.89,310.9,22.89,1075,38.3,377,32.2,2540.88,20.45,4.23,30.88,5.07,34.86,1186.89,46.73,59.2,6.73,114.63,50.47,1.08,39.15,5.38,12.55,93.17,27.18,6.62,10.16,140.1,33.54,245.68,39.08,92,38.31,92,41.98,82,22.89,11135.19,33.94,1.8
"Austria","AUT",1.25,0.17,9.17,4.6,5.87,28.56,29.37,0.4,32.13,0.18,30.19,0.41,22.13,22.33,33.87,31.89,21.56,39.27,0.01,0.01,54.51,0.01,0.16,0.01,24.88,30.4,25.77,38.19,0.28,0.01,28.19,0.34,28.19,41.04,28.68,54.15,0.01,0.01,16.64,0.01,23.57,20.77,25.29,17.77,24.76,31.71,36.18,19.69,51.65,42.98,25487.67,55.17,0.3061,41.31,5447.6,40.17,0.06542,29.78,33.29,31.28,4e-04,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,218711.89,60.62,2.62669,47.4,186034.38,61.96,2.23424,49.02,137826.79,63.4,1.65528,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.85,479121.6,38.65,5.75417,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.51,80.55,24.27,15.64,29.92,11.7,30.88,15.4,24.91,40930.48,26.65,10169.8,29.59,0,49.3,19.69,0.01,100,8,99.99,0.01,100,0.01,100,30.46,225.15,26.09,1370.44,0.01,2.5,11.44,147,27.7,44.8,28.68,90.11,26.09,22.11,78.68,25.91,0.17083,53.03,71551,55.29,0.86,0.01,0,0.01,0,0.01,0,0.01,0,52.33,137.97,24.27,12843.53,27.7,246.68,23.6,295.33,18.47,283.2,14.99,0.004,0.01,0,0.01,0,24.27,1.70302,22.89,1.66658,22.13,1.1906,19.49,1.78489,19.49,470.6,32.82,667.3,18.45,768,17.11,5817.3,22.13,5.11,27.7,4.42,25.84,2275.53,31.28,94.45,39.43,99.82,54.11,0.77,29.59,11.57,29.59,68.11,10.16,3.02,32.82,654.29,22.89,142.97,50.2,83,49.37,83,55.61,64,24.91,9177.73,18.66,0.4
