"WRI.Country","ISO3.Code","Year","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10_Norm","SI_10_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Norm","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",2024,4.12,0.25,67.77,56.66,78.94,69.6,70.76,55.37,66.4,50.32,44.62,81.96,81.86,73.33,70.8,63.86,74.56,56.35,0.01,0.01,46.79,0.01,2.44,0.01,69.78,74.22,83.91,57.7,53.64,35.9,75.49,64.68,38.99,75.09,100,39.8,59.17,54.09,71.62,93.79,78.22,85.66,72.21,72.5,75.31,67.18,74.62,68.43,59.6,63.67,173969.26,66.24,0.57259,60.33,57597.28,52.71,0.18957,51.25,1816.13,46.58,0.00598,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,326617.47,41.16,1.07501,50.72,281218.89,42.91,0.92558,52.05,213831.11,44.36,0.70379,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1844184.83,42.4,6.06982,31.5,25117.39,28,0.08267,0.01,0,0.01,0,0.01,0,0.01,0,68.72,61.98,70.86,9.19,81.55,2.51,67.55,10.71,80.51,1683.25,87.45,-108.69,75.09,550.09,44.33,16.74,51.17,82.18,56.22,55.95,28.78,97.7,44.79,36.1,77.11,0.66,73.91,565.54,62.87,30.1,66.54,107,39.7,52.45,38.3,233,75.09,83.58,75.73,79.18,20.45,4.4,100,0.53831,44.91,102003,35.28,0.44,60.44,220387,57.92,0.54,64.93,179243.65,45.06,0.08,28.2,13.08,41.83,20436.28,61.99,22050.99,54.22,1619.54,66.02,2486091.2,77.7,13.27,100,22618,87.97,0.061416,69.97,-1.18378,87.45,-1.87955,93.27,-2.5508,78.68,-1.65844,64.76,33.13,80.51,41.33,85.59,36,61.42,3.21,81.55,620.41,69.54,55.7,61.99,1,72.82,29.38,67.18,80.63,59.75,0.6,100,0,69.54,10.95,65.42,1422.29,70.86,4283.98,69.12,7200.86,63.46,69,52.32,76,63.76,49,84.04,217.29,66.15,13.7
"Albania","ALB",2024,6.24,2.29,17.01,11.61,11.1,38.18,50.2,11.87,37.05,1.83,5.23,0.63,49.14,44.15,46.08,29.08,41.53,2.62,2.06,60.41,23.35,0.01,0.17,25.4,40.31,46.23,47.64,71.55,27.22,0.56,49.73,26.19,33.97,37.72,39.7,26.63,22.86,0.01,39.61,0.01,49.23,49.06,45.58,47.79,39.5,46.61,45.55,45.17,18.72,37.91,14828.76,65.67,0.53054,32.21,1932.77,40.74,0.06915,0.01,0,0.01,0,29.31,96.86,37.26,0.00347,27.02,2.85,25.95,1e-04,0.01,0,0.01,0,49.39,16040.03,71.08,0.57388,51.37,12901.63,74.87,0.46159,51.55,6013.87,69.82,0.21516,20.81,13430.55,28.78,0.48052,19.75,8855.68,26.19,0.31684,20.46,6607.85,25.54,0.23641,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,214380.66,85.33,7.67009,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13954.94,26.77,0.49928,38.15,76.46,42.59,12.61,47.44,10.12,45.06,14.49,46.26,19138.57,49.07,3591.27,68.72,325.18,74.49,1644.67,36.47,95.09,20.32,99.3,0.01,100,31.26,84.6,43.84,209.57,56.41,1001.63,20.22,4.1,33.92,135,32.45,46.72,35.57,200.88,37.72,48.82,33.54,24.03,64.43,24.79,39.7,0.21308,25.73,7137,27.56,0.17,24.19,318,21.6,0.01,0.01,0,0.01,0,0.01,1.07,47.44,22568.22,36.51,903.34,43.1,1063.17,37.77,41581.8,41.55,1.462,0.01,0,0.01,0,53.51,-0.40788,45.3,0.06506,48.14,0.11495,50,-0.16578,47.67,213.24,43.59,553.95,41.57,359.91,54.94,13.4,35.89,8.28,43.47,9.5,55.42,5.2,37.42,86.63,48.84,95.66,42.84,4.81,55.57,0.38,39.7,62.73,41.04,26.79,49.3,1660.57,45.54,534.18,19.94,97,12.29,98,26.75,93,44.82,4657.06,38.49,4.8
"Algeria","DZA",2024,9.64,2.62,35.49,18.12,49.06,50.28,45.51,10.82,43.59,2.23,40.84,35.36,60.64,55.07,49.78,49.03,52.08,2.67,0.48,1.69,24.17,0.01,37.95,42.2,39.01,48.98,47.07,47.71,41.65,18.98,51.04,0.34,34.62,56.16,42.59,36.8,0.57,0.53,30.5,41,58.18,63.2,53.49,57.15,54.64,47.83,51.81,46.8,51.37,59.66,117466.19,52.93,0.26722,40.5,7328.16,28.5,0.01667,0.01,0,0.01,0,29.67,99.09,18.93,0.00023,23.14,0.77,0.01,0,0.01,0,0.01,0,24.55,72.43,19.81,0.00016,24.18,55.11,20.15,0.00013,0.01,0,0.01,0,35.18,89600.03,17.57,0.20383,33.89,72876.15,18.31,0.16579,31.65,37512.36,16.43,0.08534,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2311617.88,33.76,5.25869,36.98,44696.11,30.09,0.10168,37.56,84.39,35.54,0.00019,51.21,384525.23,34.77,0.87475,38.87,76.38,39.15,13.21,60.85,6.99,39.43,15.49,52.33,12951.72,42.34,5803.29,44.09,14.58,51.63,108.45,37.72,94.66,46,85.83,22.56,99.79,15.97,99.7,50.46,104.84,51.63,1091.65,0.01,2.5,11.55,152,36.51,48.8,32.82,181.33,56.16,58.8,56.9,48.66,49.54,10.14,42.59,0.2445,45.23,103139,29.94,0.23,32,2000,0.01,0,28.26,121.74,0.01,0,36.82,42.96,29.59,13316.6,48.6,7483.94,52.56,1470.42,38.4,44782,24.23,0.088,42.35,41,39.69,1e-04,58.96,-0.63793,57.41,-0.51309,64.43,-0.74177,61.99,-0.83247,51.63,153.09,55.42,236.82,57.66,147.18,56.65,7.74,54.46,77.69,54.82,22.3,55.91,4.39,59.62,44.65,32.82,105.53,40.25,6.32,77.5,0.02,44.58,53.4,44.58,46,43.35,1131.52,53.03,1310.33,54.44,77,51.43,77,48.42,71,47.67,3941.84,56.9,9
"Andorra","AND",2024,0.28,0.02,3.96,2.63,1.86,12.66,37.73,0.47,28.75,0.01,24.56,0.01,18.81,34.17,35.48,1.47,38.94,0.14,0.01,0.01,0.01,0.01,0.16,0.01,31.87,45.5,34.5,40.49,0.01,0.01,14.78,32.86,44.01,19.49,27.7,0.01,0.01,0.01,0.01,0.01,26.43,13.39,39.49,39.15,25.81,32.41,38.84,0.13,16.55,16.27,121.59,39.18,0.10667,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8776.58,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.07,80.37,31.68,15.51,38.44,11.61,53.86,12.78,37.12,39911.73,32.07,12514.97,57.16,185.37,28.68,-533.02,0.01,100,0.01,100,0.01,100,0.01,100,6.73,511.29,32.45,1422.14,22.13,4.58,48.8,122.98,36.2,48.77,53.51,407.4,19.49,38.43,10.16,17.71,60.57,20.72,27.7,0.11428,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.87,53.38,28.68,12313.5,20.45,234.83,15.96,385.35,0.01,0,0.01,0,0.01,0,0.01,0,29.59,1.2702,23.6,1.4953,6.73,1.58774,26.65,1.48545,34.24,356.65,45.54,511.95,44.33,311.56,34.58,1410.3,27.44,4.66,24.27,2.8,27.18,1906.13,24.27,114,51.63,94,44.09,4.04,25.74,28,51.63,34.48,0.01,2.19,20.45,239.38,0.01,13.07,12.88,98,19.28,97,18.24,96,36.51,9401.31,41.54,5.2
"Angola","AGO",2024,10.42,2.37,45.83,25.01,56.87,67.7,55.54,58.15,76.59,0.57,69.42,41.77,63.64,69.19,69.22,73.15,61.27,0.12,0.14,26.85,34.66,0.01,49.42,54.65,68.26,61.75,56.04,40.27,64.11,46.52,68.14,56.26,69.31,80.51,80.51,32.76,0.56,0.01,45.14,38.65,62.95,64.34,67.22,71.95,68.5,69.57,68.88,64.59,82.85,15.88,101.84,15.7,0.00028,0.01,0,0.01,0,0.01,0,0.01,0,33.68,155.5,23.57,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,27.11,167.66,22.72,0.00046,29.03,162.22,22.34,0.00045,34.65,160.16,27.08,0.00044,42.21,152531.83,27.49,0.42126,41.86,136071.17,27.81,0.3758,43.63,110911.58,29.42,0.30632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.06,1162440.5,18.49,3.21044,61.16,360253.63,54.04,0.99495,69.09,72115.94,68.96,0.19917,62.82,1182757.6,47.54,3.26656,69.54,61.64,67,9.46,65.25,5.84,58.43,12.17,58.96,6450.43,53.27,2496.48,42.34,6.37,38.3,-32.91,71.73,57.72,57.3,52.18,54.2,48.22,39.92,50,67.18,3.87,69.12,673.73,53.9,21.6,58.72,114,77.49,68.56,61.99,725.12,80.51,90.89,81.55,85.93,29.14,4.96,80.51,0.44945,39.41,56025,27.24,0.16,31.31,1771,0.01,0,0.01,0,0.01,0,71.8,1461.24,67.93,33231.9,73.91,38007.2,64.43,2256.36,53.07,352256.6,38.39,1.014,40.4,19.2,36.97,6.2e-05,57.66,-0.60194,68.72,-1.04043,62.28,-0.64624,66.46,-1.0219,68.72,20.94,65.76,112.16,66.81,88.55,77.49,0.54,64.43,221.91,72.82,69.4,67.55,0.26,81.55,24.94,61.13,86.75,48.37,2.33,100,0,67.55,12.35,67.55,1710.48,56.65,2429.79,70.41,7650.43,84.14,42,87.31,41,77.41,25,57.41,1790.9,65.38,13.1
"Antigua and Barbuda","ATG",2024,2.9,1.2,7,8.44,2.58,15.77,38.2,4.17,41.01,0.13,50.57,0.01,40.37,42.74,35.92,2.56,42.63,2.51,37.65,0.01,0.01,3.16,2.07,59.08,34.74,42.17,44.95,32.35,30.05,0.01,25.63,39.4,57.01,25.51,47.44,20.56,0.01,0.01,0.01,0.01,45.91,35.5,45.64,41.82,40.9,33.03,39.07,43.8,0.15,22.42,750.99,100,0.82016,20.35,181.14,54.54,0.19783,0.01,0,0.01,0,27.53,50.61,62.9,0.05528,26.63,2.43,43.17,0.00265,29.37,2.03,48.72,0.00221,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.72,3387.95,100,3.7,41.04,274.7,62.47,0.3,0.01,0,0.01,0,15.31,7050.6,100,7.7,15.3,142.78,33.29,0.15593,0.01,0,0.01,0,38.6,90047.29,90.42,98.34122,35.24,78.5,34.24,14.28,45.42,10.55,39.15,15.51,42.59,25546.04,47.44,4182.85,31.88,0,32.82,-299.05,27.46,98.36,32.88,97.4,0.01,100,0.01,100,52.33,85.82,12.55,1973.85,29.44,6.3,52.74,119.18,46.73,56.88,69.54,1317.31,25.51,41.17,38.01,26.18,56.41,14.99,47.44,0.30665,15.08,105,28.04,0.18,0.01,0,0.01,0,0.01,0,0.01,0,55.67,268.96,45.54,22017.5,52.56,13086.34,49.07,1346.62,0.01,0,0.01,0,0.01,0,0.01,0,41.57,0.3106,50.7,-0.15947,29.59,0.94386,42.59,0.39132,46.73,228.41,44.58,538.07,42.08,335.97,41.57,453.48,43.35,21.25,38.58,6.1,44.58,130.94,34.24,94.25,23.6,112.96,37.72,7.25,30.22,12.99,52.33,32.96,46.97,69.14,39.7,893.41,45.06,526.21,0.01,99,0.01,99,31.09,91,45.3,4517.33,40.11,5
"Argentina","ARG",2024,14.81,11.54,19,14.08,10.93,44.56,38.61,9.88,51.63,0.61,46.04,0.57,53.24,43.08,35.46,40.65,61.37,44.56,29.06,35.41,53.95,0.01,41.82,26.4,38.81,28.51,44.37,45.28,27.14,0.38,39.99,23.1,55.78,47.79,51.63,42.03,0.53,0.01,32.48,0.01,53.62,52.87,38.37,46.54,44.77,38.35,32.79,40.7,40.6,49.8,57470.03,42.03,0.12716,50.6,18740.8,34.2,0.04147,52.07,1877.25,41.53,0.00415,34.81,182.15,23.22,4e-04,34.47,27.31,24.57,6e-05,33.89,8.43,25.98,2e-05,40.72,3812.53,32.84,0.00844,41.06,1918.11,31.73,0.00424,37.3,465.97,30.33,0.00103,58.17,678003.66,51.16,1.50014,58.17,559364.06,49.86,1.23764,58.76,375357.26,48.61,0.83051,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2903834.83,45.63,6.42496,33.65,28248.16,24.54,0.0625,49.57,6197.19,46.05,0.01371,36.14,72896.87,19.28,0.16129,40.25,75.39,37.42,13.4,41.7,11.14,19.49,18.98,42.34,26026.37,46.49,4648.07,44.33,16.14,46.26,28.46,20.76,99.17,35.48,95.72,0.01,100,14.09,99.9,42.08,242.42,38.01,1302.84,17.73,3.2,30.1,137,45.54,56.12,68.32,1284.46,47.79,53.78,47.9,35.45,58.69,18.33,51.63,0.32533,51.69,231068,34.17,0.39,28.25,731,0.01,0,0.01,0,0.01,0,57.41,338.77,44.82,21909.67,50,8783.15,34.91,732.95,39.99,49188.6,26.38,0.12,0.01,0,0.01,0,54.46,-0.44703,52.8,-0.28288,50,-0.00916,55.91,-0.48068,30.88,398.54,47.67,444.12,42.34,334,51.16,43.02,48.84,44.9,41.04,6.9,54.7,7.8,48.37,66.24,21.32,113.29,38.3,6.82,73.35,0.03,12.55,107.13,42.84,30.34,35.89,660.86,43.84,465.34,50.34,81,49.71,81,26.75,93,44.33,4744.77,84.96,121.7
"Armenia","ARM",2024,2.61,0.23,29.54,15.51,41.56,39.99,51.58,3.57,43.98,2.55,43.44,31.88,53.3,42.25,45.79,36.58,38.19,46.88,0.01,0.01,28.24,0.01,2.67,0.01,50.33,42.93,47.08,69.57,20.21,0.43,40.46,0.46,50.51,40.25,41.83,41.41,0.01,40.05,27.65,36.76,49.45,57.46,37.66,45.04,44.45,51.94,40.37,47.54,28.15,41.25,22878.68,100,0.82016,42.14,8224.08,61.05,0.29482,29.34,29.37,34.11,0.00105,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.21,25642.72,38.78,0.91925,22.54,14326.24,33.25,0.51357,21.85,9650.36,31.65,0.34595,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,205350.24,66.79,7.36145,32.57,26259.52,53.43,0.94136,0.01,0,0.01,0,0.01,0,0.01,0,48.84,72.04,51.86,11.06,40.25,11.33,45.78,14.41,46.97,18140.92,47.2,4208.19,66.46,291.92,72.82,1389.25,10.67,99.97,38.28,93.98,0.01,100,18.7,97.9,46.02,183.7,35.57,1352.54,0.01,2.5,21.33,144,53.51,58.84,47.67,334.07,40.25,50.66,45.3,30.85,59.49,19.81,41.83,0.24008,36.16,35988,47.42,1.3,0.01,0,0.01,0,34.31,365.22,46.76,0.27,37.12,47.1,51.63,24060.53,39.97,2892.9,46.49,1216.81,26.52,6507.2,28.83,0.172,34.04,2.8,39.69,1e-04,45.3,0.02804,53.98,-0.31423,65.42,-0.79718,50.46,-0.16857,35.24,348.5,40.25,612.91,33.19,466.64,61.13,3.48,44.58,27.19,44.33,10.7,63.8,0.81,44.33,73.38,49.54,95.38,29.59,24.92,54.54,0.44,40.78,59.81,40.78,26.7,58.17,2601.29,45.3,530.87,30.4,93,31.19,93,23.52,94,48.14,3843.57,30.29,3.5
"Australia","AUS",2024,21.05,31.21,14.2,6.72,14.38,29.64,8.4,0.53,38.61,2.6,30.59,4.45,24.87,26.86,31.43,23.78,34.83,23.33,63.12,26.21,34.24,49.35,6.63,66.72,10.16,0.54,27.18,33.36,0.33,0.01,41.99,0.55,36.31,48.84,32.45,43.37,40.43,0.01,35.37,0.56,22.09,27.99,25.15,33.46,23.02,30.62,32.27,19.29,29.32,28.98,4028.33,25.64,0.01908,18.58,67.79,16.54,0.00032,26.31,3.38,26.84,2e-05,75.86,10501.65,61.93,0.04975,65.29,2686.79,54.48,0.01273,67.08,2103.97,56.43,0.00997,30.85,427.9,24.91,0.00203,28.65,161,23.08,0.00076,27.31,33.5,23.37,0.00016,38.45,108603.91,30.38,0.51447,38.78,93037.87,30.06,0.44073,37.79,72688.18,31.33,0.34433,47.99,31845.98,43.55,0.15086,46.84,686.09,38.49,0.00325,61.9,43.55,61.9,0.00021,42.67,590535.29,17.73,2.79742,21.76,3017.69,16.4,0.0143,31.5,0.1,0.01,0,70.87,3319170.78,62.82,15.72324,10.16,84.53,10.16,17.43,29.37,12.73,0.01,21.08,27.18,62917.57,27.18,16627.35,31.88,0,34.91,-202.34,10.67,99.97,0.01,100,0.01,100,0.01,100,33.54,354.31,52.56,1077.39,0.01,2.5,30.1,137,35.24,48.17,37.42,219.4,48.84,54.04,42.08,28,66.11,26.04,32.45,0.14565,49.54,155792,37.97,0.6,45.11,17240,36.24,0.07,0.01,0,0.01,0,42.08,72.37,30.03,13385.26,25.51,263.26,27.18,427.8,40.64,59895.4,30.78,0.228,30.94,0.2,0.01,0,21.32,1.76449,22.89,1.52887,30.03,0.93357,26.09,1.51009,32.45,377.43,19.49,1481.51,39.7,378.38,28.2,4494.75,17.28,2.94,30.67,3.7,27.7,1833.12,50.7,60.55,20.45,114.78,54.7,1.13,60.45,0.22,10.16,112.69,10.16,3.79,22.89,255.71,30.88,125.92,28.23,94,28.73,94,31.09,91,26.09,15052.47,46.5,5.8
"Austria","AUT",2024,1.16,0.17,7.9,4.59,3.36,31.92,28.57,0.45,29.83,0.18,29.54,0.06,27.65,22.93,33.92,30.19,31.75,38.81,0.01,0.01,54.56,0.01,0.16,0.01,28.68,34.23,22.85,29.72,0.27,0.01,40.78,0.37,23.24,42.84,26.65,58.92,0.01,0.01,0.33,0.01,27.88,27.42,24.47,16.02,30.77,29.94,38.44,24.26,37.58,41.93,27002.15,55.17,0.3074,39.69,5794.48,39.93,0.06597,29.78,32.79,31.28,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.01,242842.84,61.28,2.76462,47.4,205927.08,61.96,2.34436,48.61,152243.92,64.16,1.73321,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.93,508202.48,39.04,5.78559,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.58,28.68,16.03,34.58,12.31,33.89,16.37,22.13,70929.67,23.6,19564.81,31.88,0,27.7,-620.95,0.01,100,7.2,99.97,0.01,100,0.01,100,37.72,289.9,44.09,1220.39,0.01,2.5,13.7,150,23.6,43.81,22.89,136.76,42.84,51.95,22.13,21.85,70.41,30.1,26.65,0.10444,54.8,316202,63.36,3.48,0.01,0,0.01,0,0.01,0,0.01,0,44.09,88.43,23.6,11308.65,28.68,323.41,25.51,423.14,11.02,2.6,0.01,0,0.01,0,0.01,0,30.46,1.25862,25.51,1.46545,38.58,0.638,19.49,1.70585,18.45,545.89,32.45,859.13,20.45,702.27,12.55,9131.49,30.88,5.23,30.67,3.7,22.89,2371.77,29.14,101.91,40.25,101.23,53.51,1.25,49.8,0.71,21.32,93.94,17.28,4.41,31.68,489.99,26.09,101.4,47.29,84,47.73,84,23.52,94,18.45,17954.79,54.65,7.8
