"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.08,0.25,66.52,60.19,77.32,63.24,65.72,62.39,68.86,61.76,45.31,72.18,87.14,73.49,65.52,71.79,53.76,56.71,0.01,0.01,46.6,0.01,2.47,0.01,66.47,72.55,72.56,53.32,65.31,46.7,77.67,63.94,38.15,85.59,100,80.03,46.98,62.65,55.64,93.64,84.08,90.31,70.14,74.39,76.08,68.6,62.57,70.76,72.83,64.43,141306.61,66.24,0.57718,59.54,47271.77,53.18,0.19309,52.07,1596.92,47.28,0.00652,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,262859.47,41.16,1.07367,51.16,224544.67,41.51,0.91717,52.98,171476.01,44,0.70041,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1473407.34,41.3,6.01827,32.57,22517.16,29.74,0.09197,0.01,0,0.01,0,0.01,0,0.01,0,65.76,61.31,67.18,9.82,77.41,3.2,68,9.5,72.82,1713.59,72.3,209.16,77.87,672.65,36.51,-44.28,70.61,48.29,60.4,34.9,48.39,42.7,45.07,19.7,85.67,0.05,70.41,350.03,58.24,24.4,70.19,99,38.3,51.43,38.01,137.27,85.59,97.34,23.6,4.7,0.49537,83.5,965400,76.71,3.31,48.72,71000,45.3,0.24,60.84,102000,64.51,0.35,24.91,7.08,44.58,25530.4,64.11,37208.31,59.22,1566.58,59.36,565617.2,52.15,2.116,100,6082.6,87.68,0.021866,89.84,-1.63572,78.68,-1.45468,87.45,-2.57915,93.27,-1.84544,63.8,23.7,77.11,38.69,85.59,43,64.65,3.2,82.72,954,69.97,88,61.99,1.12,77.11,23.93,67.55,78.6,52.8,0.68,62.28,0.46,74.49,4.74,63.8,3055.17,77.87,7370.91,71.32,14859.36,68.71,66,69.77,66,80.57,29,70.86,376.01,40.78,2.2
"Albania","ALB",4.83,2.36,9.89,5.16,10.93,17.17,51.91,13.1,36.32,0.03,4.95,0.52,53.56,46.9,47.93,2.17,48.64,2.69,2.06,60.14,25.97,0.01,0.18,26.41,40.78,46.57,51.15,74.75,35.32,0.56,50,29.77,27.41,44.33,39.43,0.41,0.01,0.01,27.31,0.01,53.86,53.27,47.45,52.64,41.3,53.19,43.19,42.93,0.11,39.9,15446.34,65.67,0.55056,34.38,2196.73,42.25,0.0783,0.01,0,0.01,0,30.75,90.42,35.67,0.00322,27.02,2.45,25.58,9e-05,0.01,0,0.01,0,50.59,15629.43,69.44,0.55709,52.7,12707.05,70.94,0.45292,51.55,6158.06,69.89,0.2195,23.55,17457.97,33.25,0.62226,21.51,11722.1,28.78,0.41782,21.51,8801.13,29.42,0.3137,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.76,215386.89,85.33,7.67716,0.01,0,0.01,0,0.01,0,0.01,0,25.11,13949.82,27.77,0.49722,36.51,76.75,45.54,12.9,46.88,9.3,46.26,13,49.77,9539.39,52.56,1923.66,67.55,294.95,82.72,1112.73,38.48,91.38,32.42,95.17,0.01,100,31.41,66.4,50.95,36.23,49.07,924.25,25.15,5.9,35.24,129,26.65,44.72,28.2,96.42,42.84,33.57,60.85,15.91,0.24962,16.53,95,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,1.05,41.31,23684.3,34.24,593.31,42.34,728.31,25.87,4195,28.83,0.144,0.01,0,0.01,0,54.94,-0.52508,52.8,-0.28276,53.98,-0.19148,52.56,-0.40738,50.23,123.5,44.82,401.8,43.84,298.9,63.21,4.4,39.7,21,42.97,13.3,56.9,3.73,46.26,61.12,57.16,90.11,41.31,2.42,48.14,2.15,40.51,44.55,38.3,17.38,47.67,1515.92,43.35,853.98,0.01,99,0.01,99,12.56,98,47.44,2739.4,49.88,3.6
"Algeria","DZA",8.9,2.62,30.24,12.8,51.59,41.87,43.14,31.32,38.97,0.17,38.44,42.19,59.89,54.35,46.35,35.44,44.68,2.67,0.49,1.68,24.49,0.01,37.26,42.61,40.91,47.49,39.59,45.03,38.63,18.7,51.78,25.73,35.4,41.83,39.97,44.94,0.01,0.01,30.59,58.19,55.18,65.01,51.03,57.01,55.18,46.15,46.55,48.24,26.03,58.47,94900.94,52.93,0.26982,41.73,5771.81,28.3,0.01641,0.01,0,0.01,0,29.67,81.03,19.47,0.00023,23.53,0.63,0.01,0,0.01,0,0.01,0,24.19,66.64,19.99,0.00019,23.81,36.53,19.6,1e-04,0.01,0,0.01,0,34.21,78759.62,18.67,0.22393,33.89,63621.68,18.31,0.18089,31.01,32255.93,17.57,0.09171,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1840978.2,33.33,5.2342,37.36,35654.51,30.44,0.10137,35.25,41.06,33.59,0.00012,51.21,319039.86,35.46,0.90708,41.04,75.06,40.78,13.69,58.59,7.1,38.49,14,45.78,13063.76,34.24,6529.86,42.34,16.35,47.9,13.7,37.28,92.3,40.02,86.98,22.76,98.82,15.36,99.1,53.13,25.02,50.46,911.13,23.48,5.3,28.2,136,35.89,49.18,34.91,119.94,48.14,40.56,49.07,8.11,0.25247,54.98,94446,36.74,0.26,0.01,0,0.01,0,0.01,0,0.01,0,32.07,16.24,30.88,16067.18,47.44,9518.57,46.49,896.19,36.15,24644.4,25.89,0.072,56.95,361.4,59.45,0.001042,54.7,-0.52485,55.67,-0.47954,70.41,-1.25937,60.03,-0.78495,49.77,131.14,52.33,215.64,53.98,191.17,60.21,9.01,56.9,115,53.51,27.4,53.98,9.91,58.96,40.39,30.88,103.86,39.7,3.85,53.03,1.44,47.9,29.89,46.97,110.7,45.06,1314.77,53.03,2926.36,27.62,95,27.05,95,23.61,95,38.58,4751.45,51.74,3.9
"Andorra","AND",0.29,0.02,4.07,2.75,2.03,12.08,36.79,0.59,30.65,0.01,23.84,0.01,24.63,34.07,26.58,1.49,44.47,0.14,0.01,0.01,0.01,0.01,0.16,0.01,25.99,47.67,30.81,48,0.01,0.01,38.91,30.4,38.23,27.18,27.7,0.01,0.01,0.01,0.01,0.01,28.95,20.95,38.96,37.75,26.88,21.49,32.87,13.96,0.16,16.27,90.56,39.18,0.1068,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,6529.27,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,21.32,81.49,31.68,15.15,41.28,10.4,55.04,11.7,32.07,32076.13,29.59,8870.5,51.4,92.01,44.82,3.96,0.01,100,0.01,100,0.01,100,0.01,100,27.8,290.12,54.46,775.51,20.4,4.65,45.3,122.56,36.82,49.78,39.7,146.03,36.51,26.45,60.3,15.19,0.16346,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.54,114.1,20.45,12365.97,22.13,153.22,14.41,262.71,0.01,0,0.01,0,0.01,0,0.01,0,30.25,1.30807,27.7,1.51803,14.41,1.27827,30.46,1.20455,34.24,317.8,44.33,410.66,37.72,373.77,37.78,994.92,27.7,6.04,26.09,4.2,15.96,3454.35,12.55,122.85,49.54,95.46,38.01,4.62,21.32,33.29,43.84,39.34,12.55,3.12,21.32,285.14,10.16,75.88,0.01,99,0.01,99,37.55,86,33.54,6731.87,58.96,5.57
"Angola","AGO",11.01,2.33,51.98,34.28,57.73,70.95,57.13,61.18,76.13,2.57,69.22,40.21,69.12,69.23,69.58,75.7,67.82,0.12,0.13,26.29,33.44,0.01,59.7,44.88,74.21,69.98,52.09,39.38,63.46,43.98,68.62,73.13,63.47,82.72,84.04,35.03,48.43,0.01,40.77,39.66,76.03,62.84,69.36,66.09,72.39,69.38,69.79,73.49,77.97,15.88,86.22,15.7,0.00041,0.01,0,0.01,0,0.01,0,0.01,0,27.89,42.5,18.93,2e-04,0.01,0,0.01,0,0.01,0,0.01,0,27.11,119.62,21.99,0.00057,27.14,107.74,22.71,0.00051,32.95,107.19,27.25,0.00051,38.12,92829.55,27.81,0.44241,39.45,83304.85,28.13,0.39702,39.12,67536.16,30.38,0.32187,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,52.53,1091707.66,32.89,5.20288,68.27,381499.72,63.87,1.81816,77.56,79128.15,77.46,0.37711,51.71,323808.11,38.96,1.54321,75.09,55.95,73.35,9.15,67.56,4.7,72.48,8.6,56.65,5952.23,47.9,2436.72,42.84,18.49,36.2,-54.76,68.83,50.38,58.5,41.06,52.13,34.88,37.11,44.5,70.09,0.64,67.18,402.61,73.96,33.2,72.3,98,60.3,62.47,66.81,300.35,81.55,92.97,22.89,4.67,0.4681,43.51,19863,28.21,0.09,49.47,79000,47.41,0.34,0.01,0,0.01,0,67.93,938.11,72.3,37424.38,66.81,41521.38,69.97,2157.7,47.01,108494.2,35.36,0.482,40.13,10,39.2,4.6e-05,80.51,-1.32573,71.8,-1.1179,54.22,-0.22618,72.82,-1.26529,68.32,14.63,70.41,54.75,65.42,106.16,66.77,1.93,65.09,326,80.51,120.5,60.57,1.58,75.73,26.06,72.82,70.4,60.16,0.28,78.68,0.14,71.8,5.55,77.87,8109.42,66.11,4914.63,77.11,19059.08,83.36,51,76.8,56,74.04,36,53.74,1860.22,85.59,14.5
"Antigua and Barbuda","ATG",3.59,1.2,10.75,5.58,9.94,22.37,48.54,4.91,44.59,0.01,50.73,0.65,33.22,45.42,33.76,7.95,41.73,2.51,38.11,0.01,0.01,3.15,2.06,59.08,41.65,47.24,42.09,67.02,33.15,0.49,0.67,53.48,45.49,37.42,52.1,0.01,0.01,0.01,42.38,0.01,34.29,32.18,47.52,46.45,42.46,29.32,38.87,40.49,1.56,22.76,654.05,100,0.82016,20.35,157.65,53.79,0.19769,0.01,0,0.01,0,28.24,44.12,62.9,0.05533,26.63,2.11,44.17,0.00265,29.59,1.83,49.58,0.0023,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2950.63,100,3.7,41.71,239.24,62.47,0.3,0.01,0,0.01,0,15.31,6140.49,100,7.7,15.3,115.16,32.93,0.14441,0.01,0,0.01,0,38.6,78609.42,90.42,98.57392,38.3,75.87,45.3,12.91,47.26,9.2,47.23,12.9,38.3,20114.05,46.26,2796.74,70.41,352.76,63.8,325.32,26.92,97.09,40.83,86.33,23.98,98.6,0.01,100,44.96,80.87,0.01,1908.1,37.44,10.77,76.4,96,49.77,57.68,41.57,155.69,45.06,35.64,54.94,10.77,0.34868,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.42,191.79,48.14,26784.85,52.33,14768.68,47.44,921.26,27.17,6160,66.09,7.178,0.01,0,0.01,0,30.25,1.30807,38.87,0.49285,30.88,0.905,33.54,0.95923,49.07,141.04,46.02,385.72,46.97,273.24,45.93,410.63,46.73,44,38.58,9.6,41.57,195.24,42.08,73.18,14.41,112.51,43.1,1.91,24.27,20.31,56.16,16.73,46.73,100.91,33.54,650.28,42.34,778.16,12.79,98,0.01,99,29.78,92,35.57,5795.01,48.95,3.4
"Argentina","ARG",14.26,11.57,17.57,11.76,10.85,42.53,36.06,24.7,41.55,0.13,46.78,0.58,52.6,41.9,38.49,33.9,58.94,45.16,28.27,35.77,54.57,0.01,42.12,26.52,40.38,24.53,42.72,39.97,28.35,18.7,33.05,21.25,24.08,53.03,56.16,22.15,0.01,0.01,33.97,0.01,51.04,54.2,39.46,40.24,46.31,35.45,41.8,40.53,28.36,50.22,51308.86,42.44,0.12811,52.84,16752.93,34.75,0.04183,52.91,1681.13,40.95,0.0042,34.43,137.34,22.15,0.00034,32.32,17.22,24.01,4e-05,32.96,6.56,26.15,2e-05,42.1,4102.5,34.04,0.01024,40.59,1998.9,32.12,0.00499,37.76,482.95,29.67,0.00121,59.36,609467.55,50.72,1.52171,59.36,506835.18,50.28,1.26546,59.98,346484.69,49.02,0.8651,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2568300.98,45.98,6.41249,34.01,23995.61,24.54,0.05991,50.46,5627.77,46.05,0.01405,36.49,62762.4,19.28,0.1567,40.25,75.36,40.51,13.71,41.99,10.3,14.33,17.1,40.51,17441.68,45.06,3125.67,40.51,5.56,39.43,-16.78,22.21,98.43,36.18,92.5,22.76,98.82,15.36,99.1,42.82,98.76,25.51,1399.47,13.33,3.3,33.89,130,40.25,53.12,14.41,71.75,48.49,40.83,61.13,15.99,0.37702,30.27,4173,16.21,0.01,0.01,0,0.01,0,0.01,0,0.01,0,58.43,311.72,42.34,24251.88,46.02,8456.13,42.08,711.88,40.47,55730.4,28.51,0.138,0.01,0,0.01,0,51.86,-0.36147,50.23,-0.16279,51.86,-0.0848,56.65,-0.59051,30.03,365.25,51.86,224.29,35.89,430.96,45.12,434.92,48.37,51,44.33,14.4,42.34,184.18,44.58,66.45,23.6,108.23,56.65,0.4,47.44,2.22,27.18,73.23,43.59,69.24,33.89,657.02,45.06,1074.88,32.15,94,27.05,95,26.24,94,46.26,3005.77,75.09,10.5
"Armenia","ARM",1.64,0.23,11.68,13.18,2.87,42.13,53,28.1,37.31,0.18,39.79,0.01,53.09,44.7,40.73,33.07,55.51,47.93,0.01,0.01,28.89,0.01,2.75,0.01,47.43,39.75,55.92,74.83,30.31,17.17,37.75,31.74,36.31,32.45,44.09,61.61,0.01,0.01,0.01,0.01,55.04,51.2,38.52,50.5,45.91,42.9,38.67,46.57,23.48,42.28,23761.98,100,0.82016,43.42,8592.59,60.95,0.29658,30.22,34.83,35.85,0.0012,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26851.99,38.45,0.92681,24.22,14803.48,31.97,0.51095,23.21,10012.96,31.33,0.3456,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.47,213165.2,66.79,7.35755,36.22,30041.83,53.43,1.03691,0.01,0,0.01,0,0.01,0,0.01,0,47.2,73.42,47.67,12.31,34.81,11.1,45.4,13.1,53.03,7877.8,58.96,990.89,65.42,259.65,85.59,1168.8,24.63,98.2,37.3,90.88,15.81,99.8,18.64,96.4,51.44,32.53,27.7,1343.39,20.05,4.6,50.23,118,37.42,50.2,35.24,121.3,38.3,27.98,60.57,15.81,0.28122,54.1,85841,70.16,2.98,0.01,0,0.01,0,0.01,0,0.01,0,28.2,11.57,48.84,27221.04,39.97,3293.55,45.54,880.65,0.01,0,0.01,0,0.01,0,0.01,0,60.03,-0.6963,50.46,-0.18384,48.14,0.07186,54.46,-0.48864,37.12,284.2,39.97,524,38.01,373.5,67.09,1.86,44.33,32,47.55,18.5,66.11,0.62,35.24,87.21,33.89,103.24,32.82,6.77,47.08,2.28,37.42,52.99,41.57,53.2,54.22,2453.53,44.82,1067.77,32.15,94,22.42,96,17.97,97,46.49,2955.62,66.28,7.3
"Australia","AUS",18.57,31.73,10.87,5.91,7.47,29.08,8.58,1.21,35.89,0.59,32.84,0.6,23.54,29.57,26.6,27.85,33.21,23.45,64.09,27.18,35.26,49.61,6.7,67.62,13.45,0.42,29.56,32.45,10,0.01,37.2,0.58,32.77,40.78,34.58,37.78,0.53,0.01,36.11,0.01,21.32,25.99,28.94,34.19,26.14,26.06,27.16,21.01,36.93,30.25,4027.91,25.64,0.01909,18.93,67.8,16.32,0.00032,26.31,3.39,26.41,2e-05,75.86,10500.91,61.93,0.04977,66.71,2685.29,55.23,0.01273,70.82,2105.17,56.53,0.00998,32.78,448.11,24.91,0.00212,30.17,180.41,23.81,0.00085,28.49,40.57,24.12,0.00019,40.82,108749.84,30.06,0.51538,40.82,93095.17,30.06,0.44119,41.16,72724.44,31.01,0.34465,48.72,31829.09,43.55,0.15084,47.65,687.31,38.49,0.00326,61.9,43.9,61.9,0.00021,44.6,590252.28,17.73,2.79729,22.11,3006.78,16.4,0.01425,31.5,0.17,0.01,0,73.71,3316549.44,62.03,15.71759,14.41,82.03,12.55,16.53,18.03,12.6,0.01,19.8,28.68,37774.58,30.46,8566.38,31.08,0,33.89,-95.71,11.75,99.88,8.51,99.99,0.01,100,0.01,100,30.87,250.09,44.82,1021.25,0.01,2.5,33.89,130,33.89,47.57,31.68,108.17,38.58,28.16,66.81,19.79,0.21018,46.39,25504,30.77,0.12,27.7,1000,0.01,0,0.01,0,0.01,0,44.33,62.6,30.46,15740.58,27.18,242.39,31.68,437.37,39.45,51809,33.06,0.238,0.01,0,0.01,0,21.32,2.03145,21.32,1.76876,31.68,0.88886,21.32,1.76497,32.82,334.3,25.51,1040,37.42,378,31.24,2918.55,22.13,5,30.88,4.8,29.59,1384.7,47.67,57.7,12.55,115.14,49.65,1.06,39.7,5.45,10.16,96.54,26.92,6.72,10.16,135.73,33.89,237.63,37.87,92,37.11,92,35.85,88,23.6,10648.66,46.73,2.9
"Austria","AUT",1.25,0.17,9.26,4.54,5.58,31.35,27.89,0.4,31.85,0.18,30.22,0.36,21.34,22.63,31.82,31.63,30.6,39.14,0.01,0.01,54.35,0.01,0.16,0.01,24.88,26.62,24.88,36.71,0.29,0.01,26.78,0.34,27.92,41.04,28.2,54.02,0.01,0.01,12.98,0.01,21.23,21.45,25.43,18.49,24.64,30.55,33.15,20.41,49.02,42.98,25614.45,55.17,0.3062,40.9,5476.9,39.77,0.06547,29.78,33.2,31.28,4e-04,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.4,220449.24,60.62,2.63526,47.4,187471.14,61.96,2.24104,48.2,138702.1,63.4,1.65805,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.57,481506.68,38.65,5.75595,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.51,80.72,24.27,15.76,29.16,11.8,24.3,16,24.27,42393.16,25.51,10856.75,31.08,0,43.35,-0.7,0.01,100,8.51,99.99,0.01,100,0.01,100,31.33,245.16,22.89,1463.64,0.01,2.5,11.44,146,27.18,45.21,28.68,96.44,27.18,21.81,80.51,26.37,0.16463,52.82,68616,55.24,0.82,0.01,0,0.01,0,0.01,0,0.01,0,52.56,143.82,24.27,12693.69,27.7,246.02,23.6,293.89,13.65,103.2,12.34,0.002,0.01,0,0.01,0,26.09,1.58546,17.28,1.84176,23.6,1.15265,19.49,1.8003,19.49,480.2,33.19,672.1,18.45,765,18.53,5691.14,22.13,5,27.44,4.3,22.89,2227.23,29.59,97.34,42.08,99.11,51.51,0.87,29.14,12.89,24.27,75.62,10.16,3.03,32.82,637.16,25.51,142.01,48.08,86,46.52,86,52.67,69,26.09,9079.58,35.89,1.7
