"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.11,0.25,67.66,62.17,69.09,72.1,67.44,68.98,69.54,63.91,44.91,55.56,81.31,72.99,69.16,76.76,70.59,56.82,0.01,0.01,46.33,0.01,2.48,0.01,66.83,75.75,73.82,55.34,68.74,53.11,80.73,76.81,39.29,85.59,100,79.41,50.89,64.59,39.66,77.84,77.95,84.81,66.33,76.49,76.63,72.43,66.03,73.48,80.18,64.43,128537.66,66.24,0.57962,59.54,43166.93,53.79,0.19465,52.07,1504.04,47.28,0.00678,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.86,240227.04,40.82,1.08326,50.72,203889.65,41.51,0.9194,52.05,155094.34,44.36,0.69937,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1327829.06,41.3,5.98758,33.65,21631.52,30.09,0.09754,0.01,0,0.01,0,0.01,0,0.01,0,65.09,58.53,68.61,9.57,80.45,2.6,71.32,8.1,76.4,969.42,71.32,136.29,75.09,463.83,40.78,-5.33,77.7,36.4,60.81,27.48,59.91,22.3,47.09,11.9,91.98,0.01,70.86,46.78,74.57,38,79.11,92,39.15,52.73,39.43,146.76,85.59,95.89,20.45,4.46,0.50937,82.7,757813,76.25,2.95,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,24.27,6.31,44.33,28113.53,64.11,41740.4,58.96,1702.03,43.77,71775,35.94,0.32,81.75,1788.4,74.11,0.00787,84.04,-1.44361,72.3,-1.21083,84.04,-2.07093,85.59,-1.65867,64.76,18.63,67.93,58.2,90.1,42,64.94,2.05,84.96,1140,69.12,108.5,65.84,0.88,79.55,21.7,72.56,62.9,59.76,0.25,64.68,0.45,74.49,2.84,66.81,5670.35,82.72,10668.35,71.8,20883.15,71.87,58,71.73,58,100,9,73.35,204.61,67.93,10.6
"Albania","ALB",6.3,2.36,16.83,9.48,12.73,39.47,53.18,14.55,36.79,0.53,5.07,0.73,59.77,47.28,52.49,27.91,41.98,2.72,2.01,59.55,27.26,0.01,0.18,25.75,42.5,49.57,51.49,73.75,34.9,0.58,58.72,37.67,28.36,47.67,36.82,0.39,38.57,0.01,53.49,0.01,60.6,58.96,46.82,54.99,41.05,55.82,49.35,43.56,17.88,39.9,16375.91,65.67,0.55993,36.22,2409.14,42.68,0.08237,0.01,0,0.01,0,30.03,78.58,32.61,0.00269,26.63,2.03,25.38,7e-05,0.01,0,0.01,0,50.47,14835.47,69.44,0.50726,52.02,11995.99,67.8,0.41017,51.55,5871.57,69.96,0.20076,25.21,19526.25,33.89,0.66765,22.88,13194.82,30.06,0.45116,22.54,9865.53,31.01,0.33733,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.34,224590.51,85.33,7.67927,0.01,0,0.01,0,0.01,0,0.01,0,24.77,13344.53,26.77,0.45628,37.42,75.28,48.26,12.27,45.22,9.1,54.34,11.4,53.03,5992.11,50,1774.61,65.76,229.51,82.72,934.71,38.03,89.02,32.03,92.32,0.01,100,33.15,52.1,76.11,0.09,45.3,508.14,31.41,8.6,45.18,120,27.18,45.27,29.59,106.37,45.06,40.77,59.49,13.08,0.24309,15.36,90,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,1.05,41.83,26717.43,35.89,679.63,43.84,835.88,48.48,118976.8,59.02,3.934,0.01,0,0.01,0,62.58,-0.78619,58.69,-0.65945,58.96,-0.50714,58.96,-0.73634,48.14,126.88,45.54,360.8,48.05,308.3,62.93,3.72,36.8,22,45.78,19.2,61.82,2.03,48.14,53.66,58.43,85,50.83,0.76,49.37,2.03,47.9,23.19,39.15,28.37,47.9,1818.07,44.09,1286.1,14.62,98,21.17,97,18.47,97,46.02,2224.12,38.3,2.4
"Algeria","DZA",10.28,2.63,40.19,28.48,52.75,43.21,45.47,32.42,40,8.36,37.98,45.87,57.8,55.35,55.05,42.41,34.55,2.69,0.49,1.67,24.85,0.01,37.21,42.82,43.29,53,39.49,47.18,37.28,19.88,50.48,29.54,37.27,44.82,38.3,43.86,24.25,0.55,36.12,58.25,54.22,61.62,51.86,60.74,53.82,55.23,54.87,48.72,36.92,59.66,87562.01,53.82,0.27213,41.31,5301.03,28.3,0.01647,0.01,0,0.01,0,31.11,80.61,20.01,0.00025,23.53,0.68,0.01,0,0.01,0,0.01,0,24.37,53.87,19.26,0.00017,23.44,29.2,19.41,9e-05,0.01,0,0.01,0,34.21,71736,19.4,0.22294,33.89,58884.26,19.4,0.183,30.7,29971.96,17.57,0.09315,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1677404.28,33.33,5.2131,37.36,32196.21,30.44,0.10006,35.25,35.62,33.32,0.00011,51.71,298841.27,35.46,0.92875,43.35,73.32,43.23,13.02,56.57,6.9,49.65,12.3,43.84,10843.31,35.57,5915.06,46.02,38.39,48.37,15.81,35.77,91.13,38.86,85.81,25.74,97.24,15.36,98.4,53.2,4.07,47.9,412.11,27.55,7,31.68,130,37.12,51.06,37.42,137.45,47.44,44.31,47.2,7.47,0.25051,50.98,94410,37.74,0.28,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,30.03,11.17,31.28,17148.02,47.9,10961.09,46.26,933.82,41.59,57588.8,31.37,0.18,58.89,493,57.61,0.001534,53.74,-0.48217,54.7,-0.46757,64.11,-0.91521,59.22,-0.75083,50.93,102.4,52.8,194.15,59.68,178.5,61.82,5.04,54.13,127,53.51,33.5,58.9,5.43,56.41,40.53,50.7,92.35,53.26,0.55,63.2,0.51,49.07,20.87,48.14,171.8,45.3,1446.94,53.03,3397.27,43.97,88,44.3,88,25.84,94,44.33,2551.48,26.92,1.4
"Andorra","AND",0.32,0.02,5.23,2.65,2.03,26.62,34.77,0.58,30.29,0.01,21.3,0.01,24.49,34.11,28.44,17.02,38.96,0.14,0.01,0.01,0.01,0.01,0.16,0.01,26.79,48.16,27.91,40.59,0.01,0.01,32.78,33.6,35.47,23.6,33.19,0.01,0.01,0.01,0.01,0.01,29.47,20.35,38.57,38.75,26.55,26.23,30.84,14.53,19.93,15.88,79.43,39.59,0.10686,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.31,5723.51,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.13,80.33,32.43,14.6,39.96,9.9,58.05,10.8,31.28,30704.14,24.91,10055.26,55.67,103.04,29.59,-167.86,0.01,100,0.01,100,0.01,100,0.01,100,31.38,131.11,34.24,818.55,24.28,6.06,46.49,118.79,33.89,49.25,37.12,136.59,34.91,27.91,60.03,13.84,0.22729,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,51.4,109.11,17.28,12940.55,18.45,149.18,12.55,270.39,0.01,0,0.01,0,0.01,0,0.01,0,29.81,1.27815,29.14,1.29286,12.55,1.3847,33,0.97622,31.68,323.2,46.97,337.1,40.12,445.42,37.43,782.46,24.57,7.71,28.68,5.3,23.73,1722.14,15.96,107.13,47.67,94.41,36.43,4.01,19.25,35.48,41.83,33.34,12.55,2.98,19.49,306.68,12.55,101.16,14.62,98,14.4,98,37.59,86,29.14,7747.05,52.1,4.85
"Angola","AGO",11.14,2.26,54.95,35.46,63.5,73.67,58.88,63.22,77.73,2.76,70.23,49.6,70.9,72.81,71.96,80.51,69.01,0.12,0.13,24.46,32.24,0.01,62.72,38.99,78.78,70.93,51.97,41.38,62.77,44.98,63.17,89.56,68.16,80.51,85.59,44.81,46.67,0.01,41.7,58.99,72.79,69.05,70.93,71.99,75.58,71.07,72.87,76.9,84.29,16.27,83.16,15.7,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,24.01,22.4,17.48,0.00011,0.01,0,0.01,0,0.01,0,0.01,0,24,52.31,21.26,0.00027,24.91,48.12,21.98,0.00025,30.08,47.79,25.46,0.00024,36.8,80825.99,26.84,0.41163,37.79,73076.82,27.17,0.37217,38.45,59167.04,28.78,0.30133,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.49,1133303.87,38.26,5.77175,70.98,417043.77,64.87,2.12394,81.83,82845.39,77.46,0.42192,45.02,157564.4,33.76,0.80245,77.87,50.69,79.71,8.84,66.72,4.4,75.41,7.2,56.65,4310.26,47.67,1992.54,48.14,54.26,35.57,-28.12,67.86,46.34,58.07,34.72,56.76,29.6,35.65,43,64.96,0.86,61.42,82.9,86,55.1,93.27,82,66.81,63.69,69.54,328.75,81.55,92.68,24.27,4.99,0.47467,48.84,68653,41.11,0.35,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,65.76,800.95,77.87,39552.5,69.54,54215.99,68.32,2239.67,45.28,81891.6,38.41,0.44,56.4,338.8,61.7,0.001974,75.73,-1.29614,69.97,-1.13715,63.49,-0.88754,75.09,-1.42766,68.32,13.07,73.63,45.15,78.35,80,66.15,1.58,66.74,519,85.59,166.8,64.06,1.11,76.4,23.06,73.35,62.81,62.62,0.17,79.36,0.15,77.87,2.44,80.51,12018.67,71.8,7187.39,78.68,26973.76,76.55,47,100,14,78.24,28,54.46,1344.51,87.45,23
"Antigua and Barbuda","ATG",3.23,1.21,8.62,11.27,2.55,22.27,46.81,12.55,47.01,0.13,50.64,0.01,37.26,44.25,34.29,9.1,35.4,2.51,38.17,0.01,0.01,3.15,2.07,59.35,41.62,43.69,41.51,63.59,30.36,0.55,27.25,54.52,46.75,42.08,52.8,0.01,24.51,0.01,0.01,0.01,37.1,37.42,46.46,45.56,40.92,31.38,37.47,39.02,2.12,22.76,617.4,100,0.82016,20.35,148.87,54.41,0.19777,0.01,0,0.01,0,28.24,43.18,62.9,0.05736,27.02,2.07,43.6,0.00275,29.81,1.83,49.58,0.00243,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2785.26,100,3.7,41.71,225.83,62.47,0.3,0.01,0,0.01,0,15.87,5796.35,100,7.7,15.3,104.39,32.21,0.13867,0.01,0,0.01,0,38.96,74293.45,90.42,98.69301,38.3,75.1,45.22,12.57,45.22,9.1,42.21,13.3,36.51,19436.68,47.2,2071.64,60.85,159.71,66.46,329.63,23.23,97.67,39.68,84.37,30.43,92.2,0.01,100,36.32,71.21,20.45,1055.71,37.57,11.31,79.11,92,51.63,59.05,42.34,166.74,44.58,39.85,55.91,10.5,0.36218,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,56.41,187.2,47.2,28807.78,52.33,15775.43,47.2,996.11,0.01,0,0.01,0,0.01,0,0.01,0,34.91,0.75,39.43,0.45325,37.12,0.83035,37.72,0.6686,47.9,131.97,45.06,365.82,47.79,308.72,43.44,374.96,42.18,40,39.7,12.5,41.06,228.46,40.78,70.2,18.45,109.91,42.55,1.55,24.62,19.31,50.23,19.12,45.54,115.02,30.46,631.47,42.84,1076.62,0.01,99,14.4,98,66.18,46,35.24,5452.71,35.57,2.1
"Argentina","ARG",15.66,11.61,21.12,20.44,11.18,41.25,40.03,28.1,35.93,1.93,45.77,0.63,51.94,42.75,41.42,31.29,54.16,45.37,28.02,36.73,54.76,0.01,41.96,26.52,39.77,32.9,45.47,43.15,29.47,20.88,42.99,23.56,16.35,51.4,55.18,21.51,33.61,0.01,39.6,0.01,50.67,53.25,41.27,41.94,45.14,38.36,44.72,39.12,25.02,51.08,48561.52,42.44,0.12839,53.43,15928.32,34.75,0.04211,52.91,1608.57,40.95,0.00425,34.43,127.39,22.51,0.00034,31.9,16.16,24.01,4e-05,32.5,5.36,25.1,1e-05,42.91,4107.04,33.64,0.01086,42.49,2127.64,32.91,0.00562,39.16,525.62,31.06,0.00139,59.98,583096.39,50.72,1.54157,59.98,485203.39,50.28,1.28276,59.98,333107.8,49.02,0.88066,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2425721.96,46.33,6.41303,34.01,22289.76,24.19,0.05893,50.46,5304.76,45.28,0.01402,36.49,59241.3,19.28,0.15662,39.15,74.54,40.4,13.35,45.22,9.1,23.94,16.1,42.34,12026.87,48.84,1860.09,40.25,6.41,46.26,8.06,24.25,97.42,35.81,89.86,26.47,96.88,16.47,97.5,43.15,23.83,42.84,569.68,15.75,4,35.24,127,39.7,53.02,6.73,65.73,46.97,43.42,61.7,15.74,0.37697,27.88,3855,16.59,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,57.92,252.08,39.97,25247.88,45.3,8736.84,41.83,747.66,46.05,89067.2,34.06,0.238,0.01,0,0.01,0,52.33,-0.38819,49.07,-0.12421,51.16,-0.04177,55.42,-0.55465,31.28,324.25,54.46,178.74,39.47,446.53,44.57,352.31,46.74,59,43.59,16.5,45.93,138.87,43.59,61.23,28.2,104.08,62.62,0.17,51.56,1.61,27.7,63.97,42.34,82.77,32.45,689.44,43.59,1236.14,14.62,98,30.42,95,35.2,88,45.06,2354.34,65.09,9.6
"Armenia","ARM",2.15,0.23,20.03,18.81,11.09,38.52,52.5,37.21,42.44,0.73,38.95,0.57,53.24,44.99,46.34,41.21,29.94,48.23,0.01,0.01,29.1,0.01,2.78,0.01,47.43,41.7,53.86,71.32,31.62,18.62,64.41,50.53,41.3,41.31,44.82,71.65,0.01,0.54,0.01,32.91,54.05,52.45,38.41,52.9,44.83,54.76,39.22,46.99,36.14,42.98,24291.97,100,0.82016,43.42,8801.42,60.95,0.29716,30.22,38.01,36.61,0.00128,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.17,27261.94,38.45,0.92044,25.54,14818.24,31.97,0.5003,23.21,9961.45,30.7,0.33632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.47,217885.8,66.38,7.3564,37.74,32219.65,54.66,1.08782,0.01,0,0.01,0,0.01,0,0.01,0,46.37,72.6,48.51,12.16,32,10.9,54.34,11.4,53.51,5684.77,54.22,1326.07,63.18,192.17,80.51,788.03,26.88,96.67,37.2,88.9,15.53,99.8,22.32,91.6,68.17,0.67,60.85,106.68,42.35,16,60.3,106,41.83,55.26,40.78,158.14,40.25,32.21,63.18,17.86,0.29496,60.48,219702,84.88,7.37,0.01,0,0.01,0,28.97,66.67,0.01,0,25.51,6.57,49.07,29563.39,39.97,3886.61,46.02,933,0.01,0,0.01,0,32.51,0.2,33.32,6e-06,58.96,-0.67414,49.54,-0.13991,52.1,-0.06753,52.8,-0.40025,37.42,256.4,39.43,498.8,39.8,446.1,70.32,0.7,40.76,35,49.3,23.9,72.42,0.15,45.78,58.09,49.54,92.89,31.78,6.43,47.51,2.31,39.97,39.55,43.84,93.26,52.8,2514.02,44.82,1364.79,41.36,90,39.09,92,29.2,92,48.6,1914.54,18.45,0.7
"Australia","AUS",19.22,31.83,11.61,8.01,6.99,27.92,9.56,1.18,34.21,2.56,33.46,0.5,24.09,28.38,24.25,28.62,31.36,23.63,63.76,27.19,35.76,49.61,6.74,67.62,14.72,0.55,31.25,32.95,9.85,0.01,32.5,0.61,31.66,37.72,33.54,43.77,38.53,0.01,24.85,0.01,21.27,27.28,29.98,36.49,20.89,21.63,27.18,21.13,38.77,30.88,4027.75,25.64,0.01909,18.93,67.63,16.32,0.00032,26.74,3.41,26.62,2e-05,75.86,10493.89,61.93,0.04974,66.71,2682.76,53.56,0.01272,70.82,2103.5,56.53,0.00997,32.23,444.97,24.91,0.00211,30.56,180.65,23.81,0.00086,28.49,40.19,24.3,0.00019,41.51,109302.36,30.06,0.51805,41.51,93566.28,29.74,0.44346,42.91,72996.67,31.65,0.34597,48.72,31812.53,43.55,0.15078,47.65,684.24,38.49,0.00324,61.9,43.69,61.9,0.00021,45.44,590240.49,17.73,2.79748,22.11,3018.12,16.77,0.0143,31.5,0.08,0.01,0,73.71,3316541.57,62.03,15.71895,14.41,81.08,15.04,15.93,29.92,11.2,0.01,20.3,30.46,31364.84,32.07,6853.97,30.25,0,35.89,-27.75,12.82,99.78,7.57,99.99,0.01,100,0.01,100,34.67,98.85,30.46,903.17,0.01,2.5,37.57,125,32.45,47.79,30.88,111.36,38.3,29.44,66.11,19.12,0.23108,48.02,66711,39.89,0.33,48.08,14608,30.87,0.06,0.01,0,0.01,0,46.26,59.74,30.88,16590.93,27.7,251.51,31.68,451.31,29.96,4571.2,20.61,0.022,0.01,0,0.01,0,20.45,1.95236,22.13,1.75121,34.91,0.89351,21.32,1.72445,35.24,277.9,25.51,976.3,41.97,390,31.73,1956.68,14.33,5,30.46,5.7,32.2,979.55,46.73,57.27,6.73,116.37,48.38,0.88,40.84,4.34,10.16,89.42,27.7,6.67,10.16,158.52,33.54,264.59,38.67,92,39.09,92,38.55,85,24.27,8828.14,40.51,2.7
"Austria","AUT",1.35,0.17,10.8,5.91,6.61,32.22,31.33,0.42,31.3,0.6,29.1,0.57,22.02,22.98,33.29,32.31,31.09,39.39,0.01,0.01,54.89,0.01,0.16,0.01,25.44,35.69,27.41,38.71,0.28,0.01,25.18,0.45,28.31,35.57,30.46,49.15,0.45,0.01,32.21,0.01,23.05,21.03,25.83,20.58,22.83,30.6,36.22,20.56,50.78,43.33,24984.48,55.17,0.30558,41.73,5331.35,40.17,0.06521,29.78,33.95,31.28,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.2,212221.09,60.62,2.59559,48.2,180444.14,61.96,2.20694,49.44,133592.22,63.4,1.63391,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.67,469219.06,37.87,5.73884,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,24.91,79.68,25.99,15.08,39.96,9.9,31.88,15,26.65,34939.57,28.2,9123.32,30.25,0,49.54,21.59,0.01,100,7.57,99.99,0.01,100,0.01,100,29.75,142.69,21.32,1053.13,0.01,2.5,19.98,142,27.95,45.55,28.68,95.92,27.7,23.55,75.09,23.88,0.19188,47.22,62422,51.15,0.76,20.2,129.5,0.01,0,0.01,0,0.01,0,52.1,115.73,22.13,13388.2,27.18,249.88,22.89,299.67,34.16,12240,30.37,0.152,0.01,0,0.01,0,21.32,1.92206,24.91,1.6846,27.7,1.10539,15.96,1.85919,19.49,433.6,34.24,617.9,22.86,769,18.53,4191.99,19.55,6,26.65,4.9,26.7,1306.32,30.46,87.73,35.24,100.5,52.04,0.67,30.87,9.77,29.59,62.44,10.16,2.76,33.54,716.6,25.51,172.93,46.35,86,47.06,86,60.02,54,27.18,8071.4,35.57,2.1
