"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4,0.25,63.92,56.36,69.86,66.34,69.31,55.53,58.85,56.17,44.7,55.62,81.78,74.95,66.63,70.1,62.52,56.23,0.01,0.01,46.85,0.01,2.45,0.01,67.4,71.55,77.95,61.4,58.34,35.21,75.56,61.27,38.71,73.35,71.8,64.1,43.18,64.04,35.22,87.85,77.64,86.14,77.33,73.89,73.7,71.99,61.67,69.5,70.7,63.67,163069.39,66.24,0.57394,59.54,54165.33,52.71,0.19064,51.25,1741.78,46.58,0.00613,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,308100.95,41.51,1.08439,50.72,265048.73,42.91,0.93286,52.51,201658.53,44.36,0.70976,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1719892.55,42.04,6.05332,32.21,24167.58,28.34,0.08506,0.01,0,0.01,0,0.01,0,0.01,0,66.11,64.28,68.72,10.1,74.49,3.8,68.72,10.1,72.3,2085.49,84.04,135.28,73.35,415.8,51.4,74.04,58.22,66.81,58.46,45.79,27.11,97.7,45.73,32.2,84.04,0.25,67.93,659.29,56.94,22.2,65.93,106,39.43,51.74,38.01,133.74,73.91,81.25,23.6,4.75,0.42602,68.53,589100,59.96,1.62,48.73,26029,38.26,0.07,66.2,474000,61.96,1.31,24.59,11.59,43.1,21385.04,64.76,31170.01,58.17,1351.74,41.39,62556,29.97,0.186,87.89,14921,87.81,0.043032,81.55,-1.51736,73.91,-1.33461,93.27,-2.80061,79.55,-1.56969,64.11,26.28,93.27,17.6,91.37,39,59.75,3.56,77.62,638,69.97,64.7,63.8,0.91,85.59,23.82,68.32,79.6,52.33,1.11,61.99,0.56,72.3,8.27,63.18,1887.92,74.49,5102.32,71.32,9865.64,68.67,66,65.64,71,78.4,40,70.41,592.96,55.51,5
"Albania","ALB",5.57,2.29,13.57,14.54,10.68,16.08,49.5,30.18,36.43,2.41,4.96,0.58,48.57,43.21,45.39,2.07,44.26,2.63,2.05,60.42,23.73,0.01,0.17,25.4,40.34,42.55,50.92,68.68,30.34,24.9,43.25,25.4,33.26,34.75,41.83,34.41,40.68,0.01,33.62,0.01,49.05,48.09,45.17,47.79,37.38,48.38,42.58,42.73,0.1,37.91,14841.6,65.67,0.53701,32.21,1994.77,41.15,0.07218,0.01,0,0.01,0,29.67,93.05,35.67,0.00337,27.02,2.68,25.95,1e-04,0.01,0,0.01,0,49.39,15528.28,71.08,0.56185,51.37,12384.94,74.87,0.44812,51.55,5581.79,69.89,0.20196,21.16,13915.6,30.7,0.5035,20.11,9158.94,26.52,0.33139,20.46,6807.25,25.21,0.2463,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.99,212058.21,85.33,7.67279,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13919.99,26.77,0.50366,36.51,78.4,44.58,13.74,44.7,10.1,40.51,14.8,49.54,12804.36,52.33,2113.17,60.57,165.13,77.87,1182.46,38.2,94.1,24.09,98.55,18.95,99.89,32.71,78.8,47.44,105.66,39.43,1261.79,19.66,4.3,32.82,135,31.68,47.54,34.91,122.5,37.42,26.26,61.99,19.42,0.24826,31.23,7335,37.91,0.26,35.57,4000,46.53,0.14,0.01,0,0.01,0,0.01,1.13,41.83,20619.03,33.89,552.66,42.84,678.99,32.31,13560.4,34.98,0.472,0.01,0,0.01,0,52.56,-0.41832,45.78,0.08377,42.84,0.37837,53.98,-0.40174,47.9,178.06,42.59,530.22,39.43,340.73,57.92,5.37,33.4,15,41.83,9,57.03,3.22,43.59,74.49,45.54,99.47,40.78,4.36,48.37,2.31,39.15,57.38,36.2,14.74,50,1554.03,43.1,577.63,0.01,99,0.01,99,10.27,98,49.07,3138.66,39.92,2
"Algeria","DZA",8.99,2.63,30.74,12.62,50.26,45.8,46.46,26.94,42.13,0.16,37.93,38.3,61.92,53.55,46.81,41.21,49.79,2.68,0.49,1.71,24.02,0.01,37.99,42.62,41.5,48.59,47.68,48.45,40.72,19.29,49.88,13.44,34.41,53.98,40.25,43.19,0.01,0.01,31.24,46.96,58.44,65.61,51.7,55.06,53.94,51.48,42.56,49.14,34.56,59.66,108954.69,52.93,0.2673,40.9,6696.49,28.5,0.01643,0.01,0,0.01,0,30.03,95.24,19.11,0.00023,23.53,0.76,0.01,0,0.01,0,0.01,0,24.92,74.62,19.81,0.00018,24.91,56.94,20.15,0.00014,0.01,0,0.01,0,33.89,84400.42,17.57,0.20706,33.89,68735.75,18.31,0.16863,31.65,35263.68,16.43,0.08651,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,2140341.65,33.33,5.25093,36.98,41659.61,30.44,0.1022,37.56,79.62,35.54,2e-04,50.73,365722.61,35.8,0.89723,41.57,76.59,41.44,14.3,54.46,8,43.35,14.4,51.86,11558.63,43.84,4541.8,43.1,12.05,54.46,108.86,38.81,93.83,42.72,86.46,22.21,99.62,16.75,99.3,50.46,77.56,49.3,1107.67,13.36,2.8,13.53,149,34.58,48.8,34.24,119,54.7,46.18,50,9.62,0.22802,51.86,100601,35.97,0.24,0.01,0,0.01,0,0.01,0,0.01,0,31.28,21.7,30.46,14219.08,47.2,8019.99,46.02,839.16,38.26,32084,25.51,0.078,48.38,102,45.58,0.000258,57.92,-0.60174,58.96,-0.58916,66.81,-0.91567,64.43,-0.86394,49.3,160.2,54.22,222.3,53.51,181.01,56.65,6.75,53.66,112,54.22,24,55.18,9.42,56.41,47.04,43.84,100.49,36.51,6.96,47.9,2.43,44.09,47.65,45.54,73.7,47.44,1323.09,54.94,2093.77,37.91,91,37.89,91,28.73,92,42.84,4786.67,57.86,5.6
"Andorra","AND",0.26,0.02,3.44,2.73,1.8,8.25,40.02,0.52,31.06,0.01,23.49,0.01,18.81,31.07,28.97,0.41,47.22,0.14,0.01,0.01,0.01,0.01,0.16,0.01,30.91,46.17,34.06,52.79,0.01,0.01,25.63,27.72,36.7,26.09,31.28,0.01,0.01,0.01,0.01,0.01,19.55,18.1,38.82,35.36,21.86,26.08,32.17,1.28,0.13,16.27,110.68,39.18,0.10666,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,7990.01,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.2,81.62,33.89,15.4,41.95,10.5,50.81,13,34.58,34621.07,33.54,9456.7,53.98,113.57,51.63,75.21,0.01,100,0.01,100,0.01,100,0.01,100,12.55,445.26,52.33,1043.38,17.33,3.65,44.33,125.22,34.91,48.83,38.58,136.51,32.82,24.04,60.85,18.28,0.14489,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.9,124.96,22.89,11508.51,22.13,140.21,12.55,254.81,0.01,0,0.01,0,0.01,0,0.01,0,30.46,1.24223,12.55,1.93728,12.55,1.42157,26.09,1.60133,34.58,354.16,43.59,490.39,36.51,407.67,34.24,1241.95,20.87,5.43,22.89,3,15.96,3760.71,25.51,108.74,43.59,100.57,37.72,6.43,19.49,39.25,45.3,45.74,10.16,3.5,20.45,223.37,0.01,41.29,0.01,99,0.01,99,23.07,94,34.91,7532.13,63.88,8.17
"Angola","AGO",11,2.36,51.24,34.05,57.11,69.18,57.23,57.31,80.31,2.5,69.53,40.07,67.72,68.66,67.6,72.4,67.64,0.12,0.14,26.01,34.39,0.01,52.69,52.14,74.49,62.34,55.79,41.4,62.8,46.87,69.45,52.77,76.79,82.72,81.55,41.62,37.4,0.01,43.84,36.63,72.37,63.36,70.83,67.57,67.62,67.1,68.11,67.47,77.7,15.88,97.85,15.7,0.00034,0.01,0,0.01,0,0.01,0,0.01,0,31.47,105.66,22.68,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,27.11,109.59,21.81,0.00038,26.77,105.63,22.34,0.00037,33.37,104.3,26.26,0.00036,40.13,121182.83,27.49,0.4206,41.16,108725.82,28.46,0.37737,42.56,88691.27,30.06,0.30783,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.67,1118507.79,23.2,3.88211,62.02,363938.33,57.31,1.26316,69.09,74142.38,74.11,0.25733,59.83,791528.48,45.43,2.74723,74.49,60.61,74.49,9.52,65.76,5.1,59.09,11.8,56.65,6861.58,54.94,1707.24,44.09,13.36,38.87,-57.47,70.18,55.84,56.19,49.88,53.96,43,40.71,48.4,64.76,3.25,74.49,446.86,49.47,15.4,56.28,116,75.73,67.8,77.87,439.54,84.04,92.41,21.32,4.41,0.45569,48.16,71256,35.97,0.24,43.84,12574,31.9,0.04,0.01,0,0.01,0,71.32,1204.49,69.12,33658.64,66.46,36160.64,71.32,2034.72,50.47,293229.8,38.08,0.982,37.14,10,36.13,3.4e-05,77.11,-1.41251,67.93,-1.02531,56.65,-0.33162,70.86,-1.10426,66.81,21.5,75.09,47.55,70.86,79.43,64.43,1.23,60.38,241,75.73,80.4,60.03,1.68,75.73,27.53,66.46,82.54,58.05,0.59,78.27,0.16,69.54,9.1,73.35,4092.82,57.92,2567.52,72.3,10295.87,73.24,56,75.96,52,84.32,30,56.65,1699.22,80.76,29.8
"Antigua and Barbuda","ATG",4.21,1.2,14.79,9.36,9.43,36.63,44.99,4.34,41.68,0.17,51.91,0.48,41.63,42.03,37.43,32.59,40.3,2.51,37.92,0.01,0.01,3.15,2.07,59.35,42.33,52.2,45.35,40.9,36.1,0.01,18,54.65,44.14,32.07,51.16,0.01,45.22,0.01,22.87,0.01,44.84,38.65,42.87,43.54,39.78,35.97,38.94,42.53,24.98,22.76,717.56,100,0.82016,20.35,173.14,54.54,0.1979,0.01,0,0.01,0,27.89,49.38,63.93,0.05644,26.63,2.37,43.73,0.00271,29.37,2,48.72,0.00228,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.18,3237.16,100,3.7,41.04,262.47,62.47,0.3,0.01,0,0.01,0,15.31,6736.79,100,7.7,15.3,134.04,33.29,0.1532,0.01,0,0.01,0,38.96,86057.08,90.42,98.36138,39.97,76.82,44.82,13.51,48.84,9.3,55.79,12.5,43.35,18775.95,47.44,3160.78,57.41,139.21,29.14,-424.73,30.9,96.74,42.17,87.5,0.01,100,0.01,100,48.14,94.31,6.73,1928.22,41.16,10.29,72.56,99,49.77,56.35,39.15,142.8,43.84,32.13,55.42,12.39,0.33441,0.01,0,0.01,0,28.6,1000,71.49,1.05,0.01,0,0.01,0,57.16,283.71,50.7,24697.6,52.56,13662.34,47.67,873.89,15.25,360,34.3,0.378,0.01,0,0.01,0,42.59,0.24208,47.2,0.00986,37.12,0.74787,40.25,0.44328,40.78,276.7,45.06,449.7,45.06,289.2,42.08,379.97,42.98,42,36.82,6.7,39.97,263.84,35.89,92.1,32.45,106.04,43.72,2.72,24.91,20.51,54.22,26.2,47.44,93.72,37.42,704.84,43.35,592.6,26.82,95,29.82,94,19.48,95,37.72,6461.43,43.05,2.4
"Argentina","ARG",15.29,11.59,20.16,17.33,10.62,44.51,34.2,9.65,39.14,2.52,48.03,0.62,47.82,40.45,35.07,41.99,59.87,44.68,29.12,35.72,54.33,0.01,41.85,26.65,42.08,30.09,44.55,24.24,30.29,0.4,35.8,19.98,19.1,54.22,57.92,38.36,41.89,0.01,37.87,0.01,47.1,48.56,39.92,38.71,42.84,38.86,31.65,41.09,42.9,49.8,55506.66,42.03,0.12749,50.6,18125.04,34.2,0.04163,52.91,1819.05,41.53,0.00418,34.81,173.35,23.57,4e-04,34.03,24.63,24.57,6e-05,33.89,7.69,26.2,2e-05,41.17,3797.21,32.45,0.00872,41.53,1909.75,32.51,0.00439,37.76,463.62,30.49,0.00106,58.76,652712.08,51.16,1.49919,59.36,538283.23,49.86,1.23637,59.98,361351.31,48.2,0.82998,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2795644.8,46.33,6.42123,33.29,26800.58,24.54,0.06156,49.57,5879.21,46.05,0.0135,36.84,69386.5,19.28,0.15937,41.83,76.45,42.34,14.21,40.91,10.6,22.13,17.6,41.04,22996.57,48.37,3085.62,14.41,-0.04,40.78,-21.28,25.86,98.5,35.49,94.8,0.01,100,16.16,99.8,42.08,178.06,30.46,1405.33,12.76,2.6,31.28,136,35.89,49.27,10.16,61.21,48.84,38.9,60.3,17.15,0.37532,45.76,64412,32.15,0.15,49.26,26438,35.63,0.06,0.01,0,0.01,0,59.49,392.2,45.3,22242.45,45.54,7317.54,43.35,679.9,43.95,128682,32.63,0.302,0.01,0,0.01,0,49.77,-0.25595,44.58,0.14954,46.73,0.16944,50.46,-0.24561,30.46,399,52.33,260,32.07,499.2,46.73,148.98,42.47,39,43.22,10.4,47.67,56.99,47.2,66.25,26.09,109.24,46.37,2.17,47.44,2.52,14.41,89.96,44.58,59.24,34.91,618.56,44.58,714.85,47.32,86,48.63,84,34.31,89,45.78,3577.84,78.3,25.7
"Armenia","ARM",2.52,0.23,27.72,13.04,42.83,38.13,53.1,25.79,40.21,0.16,42.81,35.94,53.75,40.68,46.37,31.49,37.97,47.26,0.01,0.01,28.83,0.01,2.68,0.01,48.78,43.52,51.37,72.9,19.98,19.92,46.25,24.03,42.4,35.57,43.1,41.86,0.01,0.01,34.95,36.96,52.99,54.52,33.92,47.97,41.37,53.11,40.49,46.7,21.23,41.93,23121.19,100,0.82016,42.57,8326.98,61.05,0.29538,29.34,30.92,34.85,0.0011,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.19,26241,38.45,0.93083,23.21,14729.71,33.57,0.5225,22.88,9928.97,31.97,0.3522,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,207486.51,66.38,7.36002,33.65,27315.68,53.43,0.96895,0.01,0,0.01,0,0.01,0,0.01,0,46.73,74.87,50.93,12.37,37.27,11.3,50.81,13,49.77,12543.28,53.03,2049.01,67.55,270.67,78.68,1230.87,10.99,99.94,36.33,93.46,21.66,99.7,18.32,98,46.73,107.08,45.78,1184.64,13.36,2.8,43.22,126,44.09,54.35,40.78,148.37,42.34,29.88,59.75,16.21,0.25925,37.88,18871,46.25,0.64,0.01,0,0.01,0,0.01,0,0.01,0,36.82,38.95,48.84,23698.93,39.97,3114.38,46.73,844.13,33.94,15350,36,0.53,34.83,2.6,39.21,9e-05,56.41,-0.56046,49.77,-0.10439,60.85,-0.62069,48.84,-0.15557,26.09,440.2,44.09,485.2,37.12,386.22,61.99,2.6,37.58,26,45.54,13,66.64,0.5,39.15,83.73,57.41,92.94,30.46,13.33,52.1,1.64,41.83,52.25,41.83,39.44,54.94,2183.43,44.33,683.69,30.59,94,22.15,96,14.12,97,53.03,2138.13,27.18,1
"Australia","AUS",19.25,31.39,11.8,8.23,7.31,27.34,9.17,1.15,39.73,2.78,32.32,0.56,25.81,27.07,24.68,25.38,32.62,23.49,63.4,26.59,34.68,49.47,6.63,66.72,15.17,0.47,29.51,33.56,8.54,0.01,38.46,0.54,36.04,47.67,36.51,45.43,47.39,0.01,31.13,0.01,24.59,27.1,24.36,32.61,24.96,25.45,23.93,24.41,26.39,29.61,4028.3,25.64,0.01908,18.93,67.8,16.54,0.00032,26.31,3.39,26.84,2e-05,75.86,10509.27,61.93,0.04979,65.29,2689.36,54.48,0.01274,68.85,2105.48,56.43,0.00997,31.24,438.76,24.91,0.00208,29.41,164.56,23.44,0.00078,27.31,35.21,24.12,0.00017,38.78,108648.13,31.01,0.51473,38.78,93048.12,30.38,0.44082,38.78,72741.73,31.65,0.34462,48.72,31842.94,43.55,0.15086,46.84,686.42,38.49,0.00325,61.9,43.72,61.9,0.00021,42.67,590464.29,17.73,2.79738,21.76,3012.14,16.4,0.01427,31.5,0.1,0.01,0,70.87,3318322.83,62.82,15.72085,15.96,83.2,14.41,17.22,22.51,12.7,0.01,22.7,28.2,47163.25,30.88,10585.95,32.26,0,34.91,-174.77,9.94,99.97,7.34,99.99,0.01,100,0.01,100,29.59,322.01,50,1083.66,0.01,2.5,29.14,137,36.51,49.66,35.57,124.3,40.51,29.09,67.55,23.51,0.1874,51.09,96561,40.4,0.39,50.35,30889,44.61,0.13,0.01,0,0.01,0,41.31,68.22,31.28,14764.27,26.65,227.75,31.68,406.68,37.25,24471,26.01,0.102,0.01,0,0.01,0,24.27,1.79507,24.91,1.53551,33.19,0.89009,22.13,1.68184,33.19,367.8,17.88,1454,37.72,385.2,28.2,3366.05,22.7,6,27.44,3.7,27.7,1462.63,47.44,65.52,12.55,122.52,50.58,1.21,40.25,6.12,6.73,113.14,27.18,6.78,15.96,117.74,33.54,173.13,26.82,95,26.19,95,26.16,93,26.65,11613.25,39.92,2
"Austria","AUT",1.14,0.17,7.62,4.63,3.16,30.23,28.41,0.47,29.64,0.18,29.91,0.06,24.5,21.41,30.95,29.97,29.79,39.01,0.01,0.01,54.59,0.01,0.16,0.01,29.79,27.65,24.88,31.77,0.29,0.01,37.88,0.44,22.75,41.31,27.7,59.85,0.01,0.01,0.38,0.01,26.07,23.02,25.7,17.64,21.64,30.86,31.05,22.21,40.45,42.63,26566.1,55.17,0.30704,39.69,5694.39,39.93,0.06581,30.22,32.7,31.28,0.00038,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.62,238123.27,61.28,2.75212,47.4,201995.54,62.67,2.33457,48.61,149566.67,64.16,1.72862,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,40.75,499852.62,39.04,5.77707,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.14,81.36,30.46,16.02,24.59,12.6,31.08,16.1,24.27,53662.01,25.51,14271.64,32.26,0,31.28,-313.95,0.01,100,8.24,99.97,0.01,100,0.01,100,33.89,285.44,42.34,1234.32,0.01,2.5,19.49,144,21.32,43.31,24.27,85.59,18.98,21.3,71.8,28.37,0.13504,55.6,172534,64.43,1.96,0.01,0,0.01,0,0.01,0,0.01,0,51.4,184.83,24.27,11576.32,27.18,240.89,23.6,274.72,14.47,106,0.01,0,0.01,0,0.01,0,26.65,1.52603,25.51,1.46126,27.18,1.0466,19.49,1.81247,19.49,517,33.89,709,19.49,737,15.96,6337.93,18.15,5,25.81,3.6,24.91,1831.31,28.2,104.78,41.83,101.31,48.84,1.47,27.7,14.89,22.13,85.06,14.41,3.69,29.14,423.01,26.09,114.24,40.55,90,40.98,90,39.84,84,21.32,12797.91,41.62,2.2
