"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.18,0.25,69.75,59.96,78.74,71.89,67.02,63.56,69.37,58.3,44.97,74.27,89.63,73.34,66.04,72.24,77.89,56.71,0.01,0.01,46.47,0.01,2.48,0.01,66.11,72.98,76.47,54.69,65.91,46.98,75.02,70.26,39,85.59,100,60.29,50.89,64.59,55.16,100,86.14,93.27,68.48,74.9,76.92,69.28,62.96,71.91,72.57,64.43,135982.48,66.24,0.57828,59.54,45596.68,53.18,0.1939,52.07,1559.67,47.28,0.00663,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.28,248828.96,41.16,1.05817,51.16,211866.98,41.51,0.90098,52.05,162224.48,44,0.68987,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1413486.14,41.3,6.01098,33.29,21963.57,29.74,0.0934,0.01,0,0.01,0,0.01,0,0.01,0,65.42,60.2,66.81,9.72,75.41,3,70.63,8.8,75.09,1278.56,77.87,20.97,76.4,605.65,39.15,-16,71.44,43.31,60.8,31.87,48.03,42.4,45.95,16.4,86.47,0.02,65.09,284.93,63.7,29.8,77.49,95,38.58,52.73,39.43,146.76,85.59,97.46,22.13,4.62,0.50324,64.56,281827,56.31,1.02,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,24.27,6.81,44.82,26482.24,63.49,39097.42,59.22,1618.4,59.06,552608.8,51.52,2.074,100,3903.6,100,0.014518,93.27,-1.63829,79.55,-1.49609,93.27,-2.69048,93.27,-1.86438,65.76,17.4,71.32,49.7,85.59,42,65.54,2.56,85.59,1027.67,69.13,96.08,63.33,0.91,76.4,24.28,68.72,73.84,54.22,0.46,62.28,0.45,73.91,4.31,64.76,3850.65,80.51,8478.01,71.32,17032.71,67.99,64,69.78,64,80.55,23,73.35,262.66,82.72,26.4
"Albania","ALB",5.31,2.35,12,9.33,12.11,15.31,52.9,13.94,36.2,0.53,5.01,0.71,54.27,46.09,51.35,2.07,33.78,2.7,2.02,59.85,26.01,0.01,0.18,25.58,41.43,48.86,53.5,72.33,35.32,0.57,50.43,37.16,28.29,44.82,37.42,0.39,38.57,0.01,50.66,0.01,54.81,53.73,46.64,51.85,40.49,53.73,49.08,43.03,0.1,39.9,15761.98,65.67,0.55418,34.74,2278.9,42.68,0.08012,0.01,0,0.01,0,29.67,79.5,32.99,0.0028,27.02,2.12,25.38,7e-05,0.01,0,0.01,0,50.47,14967.12,69.44,0.52624,52.02,12073.78,70.94,0.42451,50.86,5873.04,69.89,0.20649,23.88,17626.62,32.61,0.61974,21.85,11843.55,28.78,0.41641,21.51,8814.83,29.42,0.30992,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.05,218383.31,85.33,7.67823,0.01,0,0.01,0,0.01,0,0.01,0,24.44,13463.16,26.77,0.47336,36.82,75.95,46.61,12.45,44.82,9.2,53.27,12.1,52.33,8263.34,54.7,1452.43,65.76,233.05,79.55,1013.03,38.48,90.48,32.42,94.08,0.01,100,32.1,61,48.6,21.71,52.33,630.96,30.16,8.3,45.78,122,26.65,45.19,30.03,102.9,43.84,36.05,60.57,14.7,0.24402,15,77,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,1.05,41.57,24847.04,35.24,624.2,42.84,763.31,47.01,80645,54.6,2.678,0.01,0,0.01,0,56.65,-0.59371,53.03,-0.35676,51.63,-0.03082,55.91,-0.58869,49.07,124.55,44.33,404.76,43.1,315.27,62.37,5.04,38.87,19.47,42.18,15.51,57.41,3.45,46.97,56.91,57.53,87.61,46.61,1.06,54.82,0.98,46.26,32.09,38.3,19.49,47.44,1584.46,43.84,992,0.01,99,0.01,99,10.73,98,47.67,2793.46,23.94,3.3
"Algeria","DZA",10.2,2.63,39.57,27.89,52.09,42.64,44.01,30.15,39.23,8.46,38.33,43.02,60.95,53.91,50.64,38.24,40.04,2.68,0.49,1.68,24.72,0.01,37.24,42.61,41.3,51.09,39.39,45.12,37.89,15.92,49.4,27.72,36.66,42.08,39.15,45.32,24.25,0.55,32.68,56.63,57.79,64.29,50.78,57.26,53.89,55.35,46.33,48.4,30.22,59.06,91772.64,52.93,0.27085,41.73,5561.99,28.3,0.01642,0.01,0,0.01,0,30.75,81.87,20.01,0.00024,23.53,0.67,0.01,0,0.01,0,0.01,0,24.37,63.32,19.99,0.00019,23.44,36.36,19.78,0.00011,0.01,0,0.01,0,34.21,75909.23,19.04,0.22403,33.89,62509,19.4,0.18449,31.01,31937.41,17.19,0.09426,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1770602.27,32.89,5.22565,37.74,34288.6,30.44,0.1012,35.25,41.08,33.59,0.00012,51.71,316782.15,35.11,0.93493,41.83,74.51,40.78,13.48,56.28,6.7,46.37,13.1,45.78,12552.17,33.89,7266.64,43.35,24.02,46.97,5.68,36.37,91.84,39.48,86.53,17.13,99.3,14.8,98.9,50.7,13.96,48.14,778.32,24.73,5.9,31.08,133,36.82,49.93,36.51,129.9,47.44,41.15,48.95,7.81,0.24818,53.96,94993,38.07,0.27,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,31.28,14.22,31.28,16510.31,47.67,10063.08,46.26,905.14,39.23,30075.8,27.23,0.09,56.12,336,57.14,0.000996,56.9,-0.59457,58.69,-0.62653,67.93,-1.09399,60.85,-0.74147,48.84,124.85,52.8,208.11,54.22,187.66,60.47,8.23,56.41,116.33,51.49,29.44,54.46,7.96,57.16,42.79,54.46,90.04,39.7,2.6,52.8,1.22,47.44,28.68,47.2,130.75,45.3,1356.95,53.03,3128.49,33.92,93,37.83,92,21.51,96,44.09,3695.9,36.36,4.9
"Andorra","AND",0.28,0.02,3.89,2.65,2.04,10.9,34.47,0.58,28.95,0.01,22.69,0.01,24.89,33.95,25.46,1.48,34.41,0.14,0.01,0.01,0.01,0.01,0.16,0.01,24.25,46.43,29.98,41.81,0.01,0.01,36.08,30.46,37.37,21.32,30.46,0.01,0.01,0.01,0.01,0.01,28.39,21.82,39.95,37.54,26.09,20.81,31.15,13.76,0.16,15.88,85.92,39.59,0.10693,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,6187.02,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,18.45,81.31,31.88,14.99,38.73,10.3,55.67,11.7,32.45,31854.85,27.7,10529.53,53.27,97.63,32.82,-109.41,0.01,100,0.01,100,0.01,100,0.01,100,26.65,246.51,48.84,765.59,20.48,5,45.3,122.13,36.2,49.72,38.58,142.38,34.58,26.08,59.22,13.47,0.18724,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.46,110.56,20.45,12595.51,20.45,151.78,12.55,264.54,0.01,0,0.01,0,0.01,0,0.01,0,30.25,1.28866,26.65,1.53721,15.22,1.33777,31.28,1.19616,35.24,301.81,45.3,383.95,38.01,387.13,37.07,988.24,27.7,6.69,24.57,4.63,19.49,2856.59,10.16,125.84,45.54,96.23,35.57,4.56,19.49,36.66,43.59,36.97,12.55,2.99,20.45,285.48,10.16,88.95,0.01,99,0.01,99,38.17,86,34.58,7516,34.24,4.67
"Angola","AGO",10.87,2.3,51.34,34.37,58.31,67.54,57.2,62.16,74.68,2.6,69.49,41.28,69.84,68.77,67.74,78.65,57.84,0.12,0.13,25.91,32.75,0.01,60.71,41.86,75.74,68.41,51.58,40.06,63.79,42.24,64,86.58,59.68,81.55,85.59,37.7,46.67,0.01,42.93,39.69,73.97,65.95,68.75,65.2,72.57,67.52,67.96,75.23,82.23,16.27,86.76,15.7,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,25.42,33.42,18.93,0.00017,0.01,0,0.01,0,0.01,0,0.01,0,26.57,80.65,21.99,4e-04,26.77,76.15,22.16,0.00038,32.53,75.63,26.86,0.00038,37.13,85415.24,27.49,0.42374,38.12,77157.89,27.49,0.38277,38.78,62749.52,29.74,0.3113,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.5,1102149.2,35.04,5.46768,69.57,395370.51,63.87,1.9614,77.56,80659.54,77.46,0.40015,46.68,233613.31,37.54,1.15894,76.4,53.83,75.09,9.01,64.27,4.6,72.82,8.5,56.65,5583.61,46.97,2554.3,44.33,27.54,36.2,-43.83,69.55,48.77,58.5,38.53,49.55,38.49,36.01,43.8,65.76,0.73,62.28,312.2,85.71,46.1,87.45,88,56.65,60.94,62.88,259.58,81.55,93.03,24.91,4.81,0.471,46.08,28945,30.84,0.13,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,67.18,878.48,73.91,38394.17,67.55,46206.97,69.54,2183.43,48.58,99265,37.93,0.512,39.99,10,39.4,5e-05,78.68,-1.28462,69.54,-1.06221,57.92,-0.36291,75.09,-1.36698,67.55,15.31,69.97,57.11,65.76,109.74,64.65,2.93,66.11,388.72,79.66,138.3,60.03,1.59,70.41,26.12,72.82,67.58,59.09,0.24,76.4,0.15,69.54,5.62,79.55,9496.82,68.72,5792.82,77.87,21847.18,80.73,49,91.12,36,75.59,35,54.22,1930.65,61.7,12.5
"Antigua and Barbuda","ATG",3.59,1.21,10.67,8.91,10.14,13.46,46.17,4.06,45.8,0.13,50.4,0.66,34.36,45.92,29.38,2.54,32.67,2.51,38.17,0.01,0.01,3.15,2.06,59.35,40.94,45.28,41.12,59.63,32.1,0.01,16.88,49.93,45.41,40.25,52.56,0.01,24.51,0.01,43.26,0.01,34.16,34.56,51.17,45.82,41.31,22.78,37.9,40.35,0.16,22.76,638,100,0.82016,20.35,153.61,54.41,0.19747,0.01,0,0.01,0,27.89,43.84,62.9,0.05636,26.63,2.1,44.17,0.0027,30.25,1.84,49.58,0.00236,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2878.21,100,3.7,41.71,233.37,62.47,0.3,0.01,0,0.01,0,15.31,5989.79,100,7.7,15.3,110.94,32.93,0.14262,0.01,0,0.01,0,38.96,76712.26,90.42,98.61526,38.01,75.6,44.09,12.75,44.21,9.3,46.37,13.1,37.12,24545.28,45.54,2910.58,55.18,113.82,64.43,364.91,25.58,97.32,40.29,85.54,0.01,100,0.01,100,42.34,58.39,6.73,1599.55,34.6,9.97,72.05,98,49.3,58.11,41.83,156.86,44.82,37.48,55.42,10.55,0.35354,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,55.91,180.73,46.97,27541.85,52.33,15205.26,46.97,946.04,29.3,5160,63.88,6.042,0.01,0,0.01,0,30.25,1.28866,38.58,0.50568,35.24,0.81393,33.89,0.94684,56.9,52.7,46.02,367.77,46.26,282.77,45.39,400.09,46.73,43.78,36.51,10.79,40.51,230.64,43.35,67.74,6.73,115.85,42.47,1.73,24.27,20.44,52.8,19.18,46.26,107.76,33.54,678.66,42.34,872.23,0.01,99,0.01,99,42.8,83,28.2,9611.81,37.86,5.3
"Argentina","ARG",15.57,11.63,20.84,20.27,10.96,40.77,38.28,25.58,38.84,1.94,46.38,0.59,53.96,41.37,38.67,37.08,47.27,45.24,28.35,36.55,54.85,0.01,42.17,26.52,39.7,30.23,41.92,42.66,29.1,19.36,36.68,20.72,19.94,52.56,55.91,21.88,33.61,0.01,34.74,0.01,51.95,56.05,39.17,40.38,44.75,35.01,42.71,39.95,34.42,50.22,50223.32,42.44,0.12836,53.43,16428.35,34.75,0.04199,52.91,1644.17,40.95,0.0042,34.43,141.01,22.51,0.00036,31.9,17.75,24.4,5e-05,33.42,6.64,25.73,2e-05,43.4,4261.32,34.04,0.01089,41.53,2196.92,32.12,0.00561,39.16,543.98,30.9,0.00139,59.36,608004.17,50.72,1.55391,59.98,506700.58,50.72,1.295,60.62,347617.07,49.02,0.88842,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2508924.71,46.33,6.41218,34.01,23385.01,24.54,0.05977,50.46,5570.53,46.05,0.01424,36.49,61787.91,19.28,0.15791,39.97,75.03,39.43,13.56,38.73,10.3,23.6,16.5,40.78,16969.2,43.1,3672.51,39.97,6.02,45.54,3.54,23.23,98.04,36.46,91.45,23.84,97.64,15.73,98.5,39.7,77.71,33.89,1160.39,12.8,3.3,33.54,130,39.15,53.17,10.16,69.24,48.37,41.82,61.42,15.85,0.37651,28.61,3534,16.73,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,58.43,288.23,41.31,24671.07,45.54,8543.29,42.08,723.35,42.28,46211.8,28.55,0.116,0.01,0,0.01,0,54.22,-0.43558,49.77,-0.14681,52.8,-0.08522,59.49,-0.67661,29.59,358.04,51.86,213.19,36.82,419.51,44.29,447.88,48.37,55.7,41.41,15.25,41.04,218.94,43.1,68.54,24.27,105.83,58.43,0.26,48.14,1.98,27.7,68.06,43.1,73.25,32.82,666.81,45.06,1166.89,33.92,93,33.06,94,36.37,88,45.54,3308.54,49.07,8.6
"Armenia","ARM",2.15,0.23,20.14,16.92,11.17,43.23,51.72,33.21,37.19,0.55,39.48,0.59,52.88,44.62,41.72,41.13,47.09,48.16,0.01,0.01,28.86,0.01,2.75,0.01,47.9,41.35,49.5,73,30.71,19.09,55.91,37.11,33.18,35.57,43.59,30.79,0.01,0.54,0.01,34.68,54.79,51.04,38.57,50.81,45.34,45.25,38.46,46.62,36.29,42.63,23960.89,100,0.82016,43.42,8671.83,60.95,0.29683,30.22,36.12,36.61,0.00124,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.84,26921.61,38.12,0.9215,24.88,14729.2,31.97,0.50417,22.88,9865.39,31.01,0.33768,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.47,214945.61,66.38,7.35741,36.22,30893.25,53.43,1.05745,0.01,0,0.01,0,0.01,0,0.01,0,48.14,72.9,47.67,12.21,33.72,11,50.7,12.4,51.16,8792.51,47.9,2316.25,64.43,210.7,82.72,1196.08,24.92,97.58,37.85,90.09,17.86,99.22,20.41,95.2,54.94,4.75,56.9,495.94,27.54,6.9,50,117,33.54,48.49,32.82,111.21,39.15,29.08,62.28,16.7,0.28559,29.24,4137,32.42,0.14,0.01,0,0.01,0,28.97,66.67,0.01,0,26.92,9.04,49.07,28153.91,39.97,3432.26,46.02,901.21,0.01,0,0.01,0,33.98,0.2,35.4,6e-06,59.49,-0.7081,50.46,-0.17269,51.16,-0.00937,50.93,-0.34053,37.72,274.3,39.43,519.8,38.3,382.1,67.41,1.8,44.33,34.66,46.38,20.46,66.81,0.39,36.2,81.8,38.3,99.68,32.45,5.7,45.78,2.37,38.3,48.49,42.08,64.65,53.74,2520.37,44.82,1160.85,42.21,89,40.34,91,28.07,94,43.84,3887.4,50.58,9
"Australia","AUS",19.57,31.79,12.05,9.07,6.89,28.01,19.52,1.16,34.23,2.4,33.06,0.53,22.43,27.5,26.84,28.97,28.26,23.53,63.92,27.2,35.49,49.61,6.73,67.62,13.45,10.97,30.62,32.14,9.83,0.01,32.07,0.58,29.35,39.15,34.91,35.96,38.53,0.01,28.6,0.01,19.49,25.82,30.12,34.72,19.89,24.09,29.91,20.86,40.23,30.57,4027.61,25.64,0.01909,18.93,67.58,16.32,0.00032,26.31,3.38,26.62,2e-05,75.86,10492.34,61.93,0.04973,66.71,2682.02,54.38,0.01271,70.82,2103.64,56.53,0.00997,32.62,445.18,25.28,0.00211,29.79,183.69,24.18,0.00087,28.49,39.18,23.93,0.00019,40.82,108915.17,30.06,0.51617,41.16,93247.73,29.9,0.44192,42.21,72777.49,31.33,0.34491,48.72,31831.77,43.55,0.15086,47.65,688.08,38.49,0.00326,61.9,44.34,61.9,0.00021,44.88,590300.63,17.73,2.79756,22.11,3012.32,16.77,0.01428,31.5,0.17,0.01,0,73.71,3317532.12,62.03,15.72247,12.55,81.67,14.41,16.3,17.88,12.4,6.73,19.1,29.59,35927.83,31.68,8238.32,29.59,0,34.91,-65.4,12.08,99.84,8,99.99,0.01,100,0.01,100,26.09,250.13,39.43,1040.98,0.01,2.5,34.07,129,30.03,46.4,28.68,99.23,38.01,28.45,66.11,19.29,0.22468,43.9,23055,29.46,0.11,48.08,14608,30.87,0.06,0.01,0,0.01,0,45.54,61.43,30.46,16061.51,27.18,245.87,31.68,442.56,33.74,9035.2,24.24,0.044,0.01,0,0.01,0,19.49,2.04248,19.49,1.79397,31.28,0.95564,21.32,1.77085,35.57,300.6,25.51,1026,38.58,382,31.24,2768.65,14.41,3.99,27.45,5.29,29.59,1341.43,46.49,58.84,10.16,114.52,47.44,1.01,39.15,5.43,14.41,91.75,26.65,6.63,10.16,145.21,33.54,249.82,36.89,92,37.83,92,46.65,80,24.91,10588.68,32.07,4.3
"Austria","AUT",1.29,0.17,9.76,5.89,5.4,29.21,29.21,0.41,31.66,0.62,30.15,0.41,16.65,23.09,33.18,30.09,24.97,39.32,0.01,0.01,54.58,0.01,0.16,0.01,25.21,29.86,25.51,37.92,0.28,0.01,27.73,0.38,27.69,39.97,28.68,53.04,0.45,0.01,16.65,0.01,22.09,12.55,25.7,20.11,23.81,30.46,36.15,17.27,52.44,43.33,25351.52,55.17,0.30589,41.31,5416.48,40.17,0.06535,29.78,33.66,31.28,0.00041,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.8,217039.88,60.62,2.61877,47.8,184393.07,61.96,2.22486,48.61,136385.89,63.4,1.64561,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.12,476521.16,38.65,5.74964,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.51,80.35,24.91,15.5,28.68,11.5,31.08,15.3,25.51,41660.85,25.51,11856.57,29.59,0,48.6,19.69,0.01,100,8,99.99,0.01,100,0.01,100,30.88,207.78,24.91,1299.77,0.01,2.5,14.41,146,27.18,45.64,28.2,96.03,26.65,22.48,77.11,25.4,0.17691,51.69,74697,54.42,0.9,20.2,129.5,0.01,0,0.01,0,0.01,0,52.1,132.41,24.27,12979.19,27.7,247.1,23.6,296.73,17.79,283.2,15.59,0.004,0.01,0,0.01,0,22.89,1.84304,21.32,1.78084,12.55,1.33921,12.55,1.923,19.49,461.7,33.89,656.3,20.45,769,19.78,5885.85,23.6,5.32,24.03,4.54,24.27,1815.57,30.88,91.92,37.72,99.81,51.63,0.72,30.46,10.94,30.03,65.89,6.73,2.95,32.45,654.13,23.6,145.09,49.37,83,50.78,83,57.52,62,27.7,9616.96,22.51,3.2
